1470298980554	2016-08-04 10-23-00.554	acted	on	innerText
1470298980633	2016-08-04 10-23-00.633	sub-instrument	start	mover	true
1470298980635	2016-08-04 10-23-00.635	activate	mover
1470298982090	2016-08-04 10-23-02.090	acted	on	image-22
1470298982094	2016-08-04 10-23-02.094	action	mover	image-22	{"x":1128,"y":174}
1470298982100	2016-08-04 10-23-02.100	start	moving	image-22	from	{"x":45,"y":104}
1470298982150	2016-08-04 10-23-02.150	action	mover	image-22	{"x":1111,"y":177}
1470298982151	2016-08-04 10-23-02.151	moved	image-22	to	{"x":1111,"y":177}
1470298982157	2016-08-04 10-23-02.157	action	mover	image-22	{"x":1107,"y":177}
1470298982158	2016-08-04 10-23-02.158	moved	image-22	to	{"x":1107,"y":177}
1470298982167	2016-08-04 10-23-02.167	action	mover	image-22	{"x":1103,"y":178}
1470298982168	2016-08-04 10-23-02.168	moved	image-22	to	{"x":1103,"y":178}
1470298982173	2016-08-04 10-23-02.173	action	mover	image-22	{"x":1099,"y":179}
1470298982174	2016-08-04 10-23-02.174	moved	image-22	to	{"x":1099,"y":179}
1470298982181	2016-08-04 10-23-02.181	action	mover	image-22	{"x":1095,"y":180}
1470298982190	2016-08-04 10-23-02.190	action	mover	image-22	{"x":1090,"y":181}
1470298982191	2016-08-04 10-23-02.191	moved	image-22	to	{"x":1090,"y":181}
1470298982198	2016-08-04 10-23-02.198	action	mover	image-22	{"x":1085,"y":182}
1470298982199	2016-08-04 10-23-02.199	moved	image-22	to	{"x":1085,"y":182}
1470298982207	2016-08-04 10-23-02.207	action	mover	image-22	{"x":1081,"y":183}
1470298982213	2016-08-04 10-23-02.213	action	mover	image-22	{"x":1075,"y":184}
1470298982215	2016-08-04 10-23-02.215	moved	image-22	to	{"x":1075,"y":184}
1470298982223	2016-08-04 10-23-02.223	action	mover	image-22	{"x":1068,"y":185}
1470298982231	2016-08-04 10-23-02.231	action	mover	image-22	{"x":1062,"y":186}
1470298982232	2016-08-04 10-23-02.232	moved	image-22	to	{"x":1062,"y":186}
1470298982239	2016-08-04 10-23-02.239	action	mover	image-22	{"x":1056,"y":188}
1470298982248	2016-08-04 10-23-02.248	action	mover	image-22	{"x":1049,"y":189}
1470298982249	2016-08-04 10-23-02.249	moved	image-22	to	{"x":1049,"y":189}
1470298982256	2016-08-04 10-23-02.256	action	mover	image-22	{"x":1042,"y":189}
1470298982264	2016-08-04 10-23-02.264	action	mover	image-22	{"x":1035,"y":190}
1470298982265	2016-08-04 10-23-02.265	moved	image-22	to	{"x":1035,"y":190}
1470298982274	2016-08-04 10-23-02.274	action	mover	image-22	{"x":1028,"y":191}
1470298982280	2016-08-04 10-23-02.280	action	mover	image-22	{"x":1021,"y":191}
1470298982282	2016-08-04 10-23-02.282	moved	image-22	to	{"x":1021,"y":191}
1470298982289	2016-08-04 10-23-02.289	action	mover	image-22	{"x":1012,"y":192}
1470298982298	2016-08-04 10-23-02.298	action	mover	image-22	{"x":1004,"y":193}
1470298982299	2016-08-04 10-23-02.299	moved	image-22	to	{"x":1004,"y":193}
1470298982306	2016-08-04 10-23-02.306	action	mover	image-22	{"x":995,"y":193}
1470298982325	2016-08-04 10-23-02.325	action	mover	image-22	{"x":987,"y":193}
1470298982326	2016-08-04 10-23-02.326	moved	image-22	to	{"x":987,"y":193}
1470298982330	2016-08-04 10-23-02.330	action	mover	image-22	{"x":978,"y":194}
