1470665700365	2016-08-08 16-15-00.365	acted	on	innerText
1470665700477	2016-08-08 16-15-00.477	sub-instrument	start	mover	true
1470665700486	2016-08-08 16-15-00.486	activate	mover
1470665711171	2016-08-08 16-15-11.171	acted	on	image-26
1470665711176	2016-08-08 16-15-11.176	action	mover	image-26	{"x":131,"y":460}
1470665711182	2016-08-08 16-15-11.182	start	moving	image-26	from	{"x":108,"y":80}
1470665711727	2016-08-08 16-15-11.727	acted	on	image-26
1470665711729	2016-08-08 16-15-11.729	action	mover	image-26	{"x":110,"y":476}
1470665711731	2016-08-08 16-15-11.731	start	moving	image-26	from	{"x":87,"y":96}
1470665711743	2016-08-08 16-15-11.743	acted	on	content
1470665711745	2016-08-08 16-15-11.745	action	mover	content	{"x":110,"y":476}
1470665711767	2016-08-08 16-15-11.767	action	mover	content	{"x":110,"y":476}
1470665711768	2016-08-08 16-15-11.768	moved	content	to	{"x":110,"y":476}
1470665711775	2016-08-08 16-15-11.775	action	mover	content	{"x":110,"y":476}
1470665711777	2016-08-08 16-15-11.777	moved	content	to	{"x":110,"y":476}
1470665712729	2016-08-08 16-15-12.729	acted	on	image-26
1470665712731	2016-08-08 16-15-12.731	action	mover	image-26	{"x":138,"y":497}
1470665712732	2016-08-08 16-15-12.732	start	moving	image-26	from	{"x":115,"y":117}
1470665713418	2016-08-08 16-15-13.418	acted	on	image-26
1470665713419	2016-08-08 16-15-13.419	action	mover	image-26	{"x":98,"y":456}
1470665713420	2016-08-08 16-15-13.420	start	moving	image-26	from	{"x":75,"y":76}
1470665713561	2016-08-08 16-15-13.561	action	mover	image-26	{"x":113,"y":453}
1470665713567	2016-08-08 16-15-13.567	action	mover	image-26	{"x":115,"y":453}
1470665713569	2016-08-08 16-15-13.569	moved	image-26	to	{"x":115,"y":453}
1470665713576	2016-08-08 16-15-13.576	action	mover	image-26	{"x":116,"y":452}
1470665713577	2016-08-08 16-15-13.577	moved	image-26	to	{"x":116,"y":452}
1470665713585	2016-08-08 16-15-13.585	action	mover	image-26	{"x":119,"y":452}
1470665713592	2016-08-08 16-15-13.592	action	mover	image-26	{"x":121,"y":451}
1470665713593	2016-08-08 16-15-13.593	moved	image-26	to	{"x":121,"y":451}
1470665713601	2016-08-08 16-15-13.601	action	mover	image-26	{"x":122,"y":451}
1470665713602	2016-08-08 16-15-13.602	moved	image-26	to	{"x":122,"y":451}
1470665713610	2016-08-08 16-15-13.610	action	mover	image-26	{"x":125,"y":450}
1470665713611	2016-08-08 16-15-13.611	moved	image-26	to	{"x":125,"y":450}
1470665713617	2016-08-08 16-15-13.617	action	mover	image-26	{"x":127,"y":450}
1470665713618	2016-08-08 16-15-13.618	moved	image-26	to	{"x":127,"y":450}
1470665713625	2016-08-08 16-15-13.625	action	mover	image-26	{"x":128,"y":450}
1470665713626	2016-08-08 16-15-13.626	moved	image-26	to	{"x":128,"y":450}
1470665713634	2016-08-08 16-15-13.634	action	mover	image-26	{"x":130,"y":449}
1470665713636	2016-08-08 16-15-13.636	moved	image-26	to	{"x":130,"y":449}
1470665713643	2016-08-08 16-15-13.643	action	mover	image-26	{"x":132,"y":449}
1470665713645	2016-08-08 16-15-13.645	moved	image-26	to	{"x":132,"y":449}
1470665713651	2016-08-08 16-15-13.651	action	mover	image-26	{"x":134,"y":449}
1470665713652	2016-08-08 16-15-13.652	moved	image-26	to	{"x":134,"y":449}
1470665713659	2016-08-08 16-15-13.659	action	mover	image-26	{"x":136,"y":449}
1470665713660	2016-08-08 16-15-13.660	moved	image-26	to	{"x":136,"y":449}
1470665713668	2016-08-08 16-15-13.668	action	mover	image-26	{"x":138,"y":448}
1470665713669	2016-08-08 16-15-13.669	moved	image-26	to	{"x":138,"y":448}
1470665713677	2016-08-08 16-15-13.677	action	mover	image-26	{"x":140,"y":448}
1470665713685	2016-08-08 16-15-13.685	action	mover	image-26	{"x":142,"y":447}
1470665713686	2016-08-08 16-15-13.686	moved	image-26	to	{"x":142,"y":447}
1470665713693	2016-08-08 16-15-13.693	action	mover	image-26	{"x":144,"y":447}
1470665713701	2016-08-08 16-15-13.701	action	mover	image-26	{"x":146,"y":446}
1470665713702	2016-08-08 16-15-13.702	moved	image-26	to	{"x":146,"y":446}
1470665713709	2016-08-08 16-15-13.709	action	mover	image-26	{"x":148,"y":446}
1470665713710	2016-08-08 16-15-13.710	moved	image-26	to	{"x":148,"y":446}
1470665713717	2016-08-08 16-15-13.717	action	mover	image-26	{"x":151,"y":446}
1470665713718	2016-08-08 16-15-13.718	moved	image-26	to	{"x":151,"y":446}
1470665713726	2016-08-08 16-15-13.726	action	mover	image-26	{"x":152,"y":445}
1470665713734	2016-08-08 16-15-13.734	action	mover	image-26	{"x":154,"y":445}
1470665713735	2016-08-08 16-15-13.735	moved	image-26	to	{"x":154,"y":445}
1470665713743	2016-08-08 16-15-13.743	action	mover	image-26	{"x":155,"y":445}
1470665713751	2016-08-08 16-15-13.751	action	mover	image-26	{"x":157,"y":444}
1470665713752	2016-08-08 16-15-13.752	moved	image-26	to	{"x":157,"y":444}
1470665713759	2016-08-08 16-15-13.759	action	mover	image-26	{"x":159,"y":444}
1470665713760	2016-08-08 16-15-13.760	moved	image-26	to	{"x":159,"y":444}
1470665713767	2016-08-08 16-15-13.767	action	mover	image-26	{"x":160,"y":444}
1470665713768	2016-08-08 16-15-13.768	moved	image-26	to	{"x":160,"y":444}
1470665713776	2016-08-08 16-15-13.776	action	mover	image-26	{"x":162,"y":444}
1470665713784	2016-08-08 16-15-13.784	action	mover	image-26	{"x":164,"y":443}
