1470735748291: 	acted on	innerText
1470735748414: 	sub-instrument	start	mover	true
1470735748416: 	activate	mover
1470735751837: 	acted on	image-80
1470735751840: 	action	mover	image-80	{"x":1156,"y":107}
1470735751843: 	start moving	image-80	from	{"x":74,"y":103}
1470735751953: 	action	mover	image-80	{"x":1139,"y":111}
1470735751954: 	moved	image-80	to	{"x":1139,"y":111}
1470735751963: 	action	mover	image-80	{"x":1135,"y":112}
1470735751969: 	action	mover	image-80	{"x":1133,"y":113}
1470735751970: 	moved	image-80	to	{"x":1133,"y":113}
1470735751978: 	action	mover	image-80	{"x":1130,"y":114}
1470735751979: 	moved	image-80	to	{"x":1130,"y":114}
1470735751986: 	action	mover	image-80	{"x":1128,"y":114}
1470735751994: 	action	mover	image-80	{"x":1125,"y":115}
1470735751995: 	moved	image-80	to	{"x":1125,"y":115}
1470735752002: 	action	mover	image-80	{"x":1122,"y":116}
1470735752003: 	moved	image-80	to	{"x":1122,"y":116}
1470735752010: 	action	mover	image-80	{"x":1119,"y":116}
1470735752031: 	action	mover	image-80	{"x":1117,"y":117}
1470735752032: 	moved	image-80	to	{"x":1117,"y":117}
1470735752036: 	action	mover	image-80	{"x":1112,"y":119}
1470735752037: 	moved	image-80	to	{"x":1112,"y":119}
1470735752044: 	action	mover	image-80	{"x":1110,"y":119}
1470735752045: 	moved	image-80	to	{"x":1110,"y":119}
1470735752052: 	action	mover	image-80	{"x":1108,"y":120}
1470735752053: 	moved	image-80	to	{"x":1108,"y":120}
1470735752061: 	action	mover	image-80	{"x":1107,"y":121}
1470735752068: 	action	mover	image-80	{"x":1104,"y":122}
1470735752069: 	moved	image-80	to	{"x":1104,"y":122}
1470735752078: 	action	mover	image-80	{"x":1103,"y":123}
1470735752085: 	action	mover	image-80	{"x":1101,"y":124}
1470735752086: 	moved	image-80	to	{"x":1101,"y":124}
1470735752093: 	action	mover	image-80	{"x":1099,"y":124}
1470735752094: 	moved	image-80	to	{"x":1099,"y":124}
1470735752102: 	action	mover	image-80	{"x":1098,"y":125}
1470735752111: 	action	mover	image-80	{"x":1096,"y":125}
1470735752112: 	moved	image-80	to	{"x":1096,"y":125}
1470735752118: 	action	mover	image-80	{"x":1095,"y":126}
1470735752119: 	moved	image-80	to	{"x":1095,"y":126}
1470735752127: 	action	mover	image-80	{"x":1093,"y":126}
1470735752128: 	moved	image-80	to	{"x":1093,"y":126}
1470735752136: 	action	mover	image-80	{"x":1092,"y":127}
1470735752137: 	moved	image-80	to	{"x":1092,"y":127}
1470735752144: 	action	mover	image-80	{"x":1091,"y":127}
1470735752152: 	action	mover	image-80	{"x":1089,"y":128}
1470735752153: 	moved	image-80	to	{"x":1089,"y":128}
1470735752162: 	action	mover	image-80	{"x":1088,"y":128}
1470735752169: 	action	mover	image-80	{"x":1086,"y":129}
1470735752182: 	action	mover	image-80	{"x":1085,"y":129}
1470735752183: 	moved	image-80	to	{"x":1085,"y":129}
1470735752187: 	action	mover	image-80	{"x":1083,"y":130}
1470735752193: 	action	mover	image-80	{"x":1081,"y":131}
1470735752194: 	moved	image-80	to	{"x":1081,"y":131}
1470735752203: 	action	mover	image-80	{"x":1080,"y":132}
1470735752204: 	moved	image-80	to	{"x":1080,"y":132}
1470735752211: 	action	mover	image-80	{"x":1078,"y":132}
1470735752212: 	moved	image-80	to	{"x":1078,"y":132}
1470735752219: 	action	mover	image-80	{"x":1075,"y":133}
1470735752220: 	moved	image-80	to	{"x":1075,"y":133}
1470735752227: 	action	mover	image-80	{"x":1073,"y":134}
1470735752236: 	action	mover	image-80	{"x":1071,"y":134}
1470735752237: 	moved	image-80	to	{"x":1071,"y":134}
1470735752243: 	action	mover	image-80	{"x":1069,"y":135}
1470735752244: 	moved	image-80	to	{"x":1069,"y":135}
1470735752252: 	action	mover	image-80	{"x":1066,"y":136}
1470735752253: 	moved	image-80	to	{"x":1066,"y":136}
1470735752261: 	action	mover	image-80	{"x":1062,"y":137}
1470735752262: 	moved	image-80	to	{"x":1062,"y":137}
1470735752269: 	action	mover	image-80	{"x":1059,"y":138}
1470735752270: 	moved	image-80	to	{"x":1059,"y":138}
1470735752277: 	action	mover	image-80	{"x":1056,"y":139}
1470735752278: 	moved	image-80	to	{"x":1056,"y":139}
1470735752286: 	action	mover	image-80	{"x":1053,"y":140}
1470735752287: 	moved	image-80	to	{"x":1053,"y":140}
1470735752294: 	action	mover	image-80	{"x":1049,"y":141}
1470735752295: 	moved	image-80	to	{"x":1049,"y":141}
1470735752302: 	action	mover	image-80	{"x":1046,"y":142}
1470735752303: 	moved	image-80	to	{"x":1046,"y":142}
1470735752311: 	action	mover	image-80	{"x":1041,"y":144}
1470735752318: 	action	mover	image-80	{"x":1036,"y":146}
1470735752319: 	moved	image-80	to	{"x":1036,"y":146}
1470735752327: 	action	mover	image-80	{"x":1033,"y":147}
1470735752328: 	moved	image-80	to	{"x":1033,"y":147}
1470735752335: 	action	mover	image-80	{"x":1028,"y":149}
1470735752336: 	moved	image-80	to	{"x":1028,"y":149}
1470735752344: 	action	mover	image-80	{"x":1023,"y":150}
1470735752352: 	action	mover	image-80	{"x":1017,"y":152}
1470735752353: 	moved	image-80	to	{"x":1017,"y":152}
1470735752361: 	action	mover	image-80	{"x":1013,"y":154}
1470735752369: 	action	mover	image-80	{"x":1009,"y":155}
1470735752377: 	action	mover	image-80	{"x":1004,"y":156}
1470735752378: 	moved	image-80	to	{"x":1004,"y":156}
1470735752386: 	action	mover	image-80	{"x":999,"y":158}
1470735752387: 	moved	image-80	to	{"x":999,"y":158}
1470735752394: 	action	mover	image-80	{"x":997,"y":159}
1470735752395: 	moved	image-80	to	{"x":997,"y":159}
1470735752402: 	action	mover	image-80	{"x":993,"y":160}
1470735752403: 	moved	image-80	to	{"x":993,"y":160}
1470735752410: 	action	mover	image-80	{"x":991,"y":161}
1470735752411: 	moved	image-80	to	{"x":991,"y":161}
1470735752418: 	action	mover	image-80	{"x":989,"y":161}
