1470743649653	2016-08-09 13-54-09.653	acted	on	innerText
1470743649717	2016-08-09 13-54-09.717	sub-instrument	start	mover	true
1470743649718	2016-08-09 13-54-09.718	activate	mover
1470743650450	2016-08-09 13-54-10.450	acted	on	mover
1470743651083	2016-08-09 13-54-11.083	acted	on	mover
1470743651088	2016-08-09 13-54-11.088	action	mover	mover	{"x":210,"y":241}
1470743651089	2016-08-09 13-54-11.089	start	moving	mover	from	{"x":120,"y":184}
1470743651292	2016-08-09 13-54-11.292	action	mover	mover	{"x":214,"y":256}
1470743651293	2016-08-09 13-54-11.293	moved	mover	to	{"x":214,"y":256}
1470743651300	2016-08-09 13-54-11.300	action	mover	mover	{"x":214,"y":258}
1470743651301	2016-08-09 13-54-11.301	moved	mover	to	{"x":214,"y":258}
1470743651307	2016-08-09 13-54-11.307	action	mover	mover	{"x":215,"y":261}
1470743651308	2016-08-09 13-54-11.308	moved	mover	to	{"x":215,"y":261}
1470743651315	2016-08-09 13-54-11.315	action	mover	mover	{"x":215,"y":263}
1470743651316	2016-08-09 13-54-11.316	moved	mover	to	{"x":215,"y":263}
1470743651323	2016-08-09 13-54-11.323	action	mover	mover	{"x":215,"y":266}
1470743651333	2016-08-09 13-54-11.333	action	mover	mover	{"x":215,"y":268}
1470743651334	2016-08-09 13-54-11.334	moved	mover	to	{"x":215,"y":268}
1470743651340	2016-08-09 13-54-11.340	action	mover	mover	{"x":215,"y":271}
1470743651348	2016-08-09 13-54-11.348	action	mover	mover	{"x":215,"y":272}
1470743651350	2016-08-09 13-54-11.350	moved	mover	to	{"x":215,"y":272}
1470743651357	2016-08-09 13-54-11.357	action	mover	mover	{"x":215,"y":274}
1470743651358	2016-08-09 13-54-11.358	moved	mover	to	{"x":215,"y":274}
1470743651374	2016-08-09 13-54-11.374	action	mover	mover	{"x":215,"y":276}
1470743651382	2016-08-09 13-54-11.382	action	mover	mover	{"x":215,"y":277}
1470743651383	2016-08-09 13-54-11.383	moved	mover	to	{"x":215,"y":277}
1470743651390	2016-08-09 13-54-11.390	action	mover	mover	{"x":214,"y":280}
