1470049612608	2016-08-01 13-06-52.608
1470049860768	2016-08-01 13-11-00.768
1470052113098	2016-08-01 13-48-33.098
1470052236172	2016-08-01 13-50-36.172
1470052521810	2016-08-01 13-55-21.810
1470052572386	2016-08-01 13-56-12.386
1470052602458	2016-08-01 13-56-42.458
1470054569446	2016-08-01 14-29-29.446	acted	on	shapes
1470054571682	2016-08-01 14-29-31.682	acted	on	shapes
1470054631290	2016-08-01 14-30-31.290	acted	on	innerText
1470054631443	2016-08-01 14-30-31.443	sub-instrument	start	draw	true
1470054631474	2016-08-01 14-30-31.474	activate	draw
1470054634437	2016-08-01 14-30-34.437	acted	on	innerText
1470054634653	2016-08-01 14-30-34.653	sub-instrument	stop	draw	false
1470054634667	2016-08-01 14-30-34.667	deactivate	draw
1470054635977	2016-08-01 14-30-35.977	acted	on	innerText
1470054636077	2016-08-01 14-30-36.077	sub-instrument	start	colorPicker	true
1470054636089	2016-08-01 14-30-36.089	activate	colorPicker
1470054637081	2016-08-01 14-30-37.081	acted	on	#00FF00
1470054637166	2016-08-01 14-30-37.166	sub-instrument	#00FF00	colorPicker	true
1470054640308	2016-08-01 14-30-40.308	acted	on	sample
1470054640908	2016-08-01 14-30-40.908	action	colorPicker	sample	{"x":161.51699829101562,"y":281.1449890136719}
1470054640925	2016-08-01 14-30-40.925	changed	color	to	rgb(0,	0,	0)
1470054642270	2016-08-01 14-30-42.270	acted	on	innerText
1470054642365	2016-08-01 14-30-42.365	sub-instrument	stop	colorPicker	false
1470054642369	2016-08-01 14-30-42.369	deactivate	colorPicker
1470054643368	2016-08-01 14-30-43.368	acted	on	innerText
1470054643458	2016-08-01 14-30-43.458	sub-instrument	start	draw	true
1470054643486	2016-08-01 14-30-43.486	activate	draw
1470054649652	2016-08-01 14-30-49.652	acted	on	content
1470054649655	2016-08-01 14-30-49.655	action	draw	content	{"x":44,"y":530}
1470054649656	2016-08-01 14-30-49.656	draw	content	{"x":44,"y":530}
1470054649867	2016-08-01 14-30-49.867	action	draw	content	{"x":59,"y":532}
1470054649880	2016-08-01 14-30-49.880	draw	content	{"x":59,"y":532}
1470054649885	2016-08-01 14-30-49.885	draw	content	{"x":62,"y":533}
1470054649894	2016-08-01 14-30-49.894	action	draw	content	{"x":64,"y":533}
1470054649895	2016-08-01 14-30-49.895	draw	content	{"x":64,"y":533}
1470054649907	2016-08-01 14-30-49.907	action	draw	content	{"x":66,"y":533}
1470054649908	2016-08-01 14-30-49.908	draw	content	{"x":66,"y":533}
1470054649915	2016-08-01 14-30-49.915	action	draw	content	{"x":67,"y":533}
1470054649916	2016-08-01 14-30-49.916	draw	content	{"x":67,"y":533}
1470054649923	2016-08-01 14-30-49.923	draw	content	{"x":69,"y":533}
1470054649931	2016-08-01 14-30-49.931	action	draw	content	{"x":69,"y":534}
1470054649932	2016-08-01 14-30-49.932	draw	content	{"x":69,"y":534}
1470054649939	2016-08-01 14-30-49.939	action	draw	content	{"x":71,"y":534}
1470054649941	2016-08-01 14-30-49.941	draw	content	{"x":71,"y":534}
1470054649948	2016-08-01 14-30-49.948	action	draw	content	{"x":72,"y":534}
1470054649949	2016-08-01 14-30-49.949	draw	content	{"x":72,"y":534}
1470054649955	2016-08-01 14-30-49.955	action	draw	content	{"x":73,"y":534}
1470054649956	2016-08-01 14-30-49.956	draw	content	{"x":73,"y":534}
1470054649968	2016-08-01 14-30-49.968	action	draw	content	{"x":74,"y":534}
1470054649970	2016-08-01 14-30-49.970	draw	content	{"x":74,"y":534}
1470054649973	2016-08-01 14-30-49.973	draw	content	{"x":76,"y":534}
1470054649985	2016-08-01 14-30-49.985	draw	content	{"x":77,"y":534}
1470054649990	2016-08-01 14-30-49.990	draw	content	{"x":78,"y":534}
1470054649999	2016-08-01 14-30-49.999	draw	content	{"x":79,"y":534}
1470054650006	2016-08-01 14-30-50.006	draw	content	{"x":80,"y":535}
1470054650014	2016-08-01 14-30-50.014	action	draw	content	{"x":81,"y":535}
1470054650016	2016-08-01 14-30-50.016	draw	content	{"x":81,"y":535}
1470054650029	2016-08-01 14-30-50.029	draw	content	{"x":82,"y":535}
1470054650032	2016-08-01 14-30-50.032	action	draw	content	{"x":83,"y":535}
1470054650033	2016-08-01 14-30-50.033	draw	content	{"x":83,"y":535}
1470054650040	2016-08-01 14-30-50.040	draw	content	{"x":84,"y":535}
1470054650047	2016-08-01 14-30-50.047	action	draw	content	{"x":85,"y":535}
1470054650048	2016-08-01 14-30-50.048	draw	content	{"x":85,"y":535}
1470054650055	2016-08-01 14-30-50.055	action	draw	content	{"x":86,"y":535}
1470054650056	2016-08-01 14-30-50.056	draw	content	{"x":86,"y":535}
1470054650066	2016-08-01 14-30-50.066	action	draw	content	{"x":87,"y":535}
1470054650067	2016-08-01 14-30-50.067	draw	content	{"x":87,"y":535}
1470054650073	2016-08-01 14-30-50.073	draw	content	{"x":88,"y":535}
1470054650080	2016-08-01 14-30-50.080	action	draw	content	{"x":89,"y":535}
1470054650081	2016-08-01 14-30-50.081	draw	content	{"x":89,"y":535}
1470054650092	2016-08-01 14-30-50.092	draw	content	{"x":90,"y":535}
1470054650098	2016-08-01 14-30-50.098	action	draw	content	{"x":91,"y":535}
1470054650099	2016-08-01 14-30-50.099	draw	content	{"x":91,"y":535}
1470054650105	2016-08-01 14-30-50.105	action	draw	content	{"x":92,"y":535}
1470054650107	2016-08-01 14-30-50.107	draw	content	{"x":92,"y":535}
1470054650122	2016-08-01 14-30-50.122	action	draw	content	{"x":93,"y":535}
1470054650123	2016-08-01 14-30-50.123	draw	content	{"x":93,"y":535}
1470054650132	2016-08-01 14-30-50.132	draw	content	{"x":94,"y":535}
1470054650140	2016-08-01 14-30-50.140	action	draw	content	{"x":95,"y":535}
1470054650142	2016-08-01 14-30-50.142	draw	content	{"x":95,"y":535}
1470054650148	2016-08-01 14-30-50.148	action	draw	content	{"x":96,"y":535}
1470054650149	2016-08-01 14-30-50.149	draw	content	{"x":96,"y":535}
1470054650155	2016-08-01 14-30-50.155	action	draw	content	{"x":97,"y":536}
1470054650156	2016-08-01 14-30-50.156	draw	content	{"x":97,"y":536}
1470054650165	2016-08-01 14-30-50.165	draw	content	{"x":98,"y":536}
1470054650172	2016-08-01 14-30-50.172	action	draw	content	{"x":99,"y":536}
1470054650174	2016-08-01 14-30-50.174	draw	content	{"x":99,"y":536}
