1470054631443: 	sub-instrument	start	draw	true
1470054631474: 	activate	draw
1470054634437: 	acted on	innerText
1470054634653: 	sub-instrument	stop	draw	false
1470054634667: 	deactivate	draw
1470054635977: 	acted on	innerText
1470054636077: 	sub-instrument	start	colorPicker	true
1470054636089: 	activate	colorPicker
1470054637081: 	acted on	#00FF00
1470054637166: 	sub-instrument	#00FF00	colorPicker	true
1470054640308: 	acted on	sample
1470054640908: 	action	colorPicker	sample	{"x":161.51699829101562,"y":281.1449890136719}
1470054640925: 	changed color to	rgb(0, 0, 0)
1470054642270: 	acted on	innerText
1470054642365: 	sub-instrument	stop	colorPicker	false
1470054642369: 	deactivate	colorPicker
1470054643368: 	acted on	innerText
1470054643458: 	sub-instrument	start	draw	true
1470054643486: 	activate	draw
1470054649652: 	acted on	content
1470054649655: 	action	draw	content	{"x":44,"y":530}
1470054649656: 	draw	content	{"x":44,"y":530}
1470054649867: 	action	draw	content	{"x":59,"y":532}
1470054649880: 	draw	content	{"x":59,"y":532}
1470054649885: 	draw	content	{"x":62,"y":533}
1470054649894: 	action	draw	content	{"x":64,"y":533}
1470054649895: 	draw	content	{"x":64,"y":533}
1470054649907: 	action	draw	content	{"x":66,"y":533}
1470054649908: 	draw	content	{"x":66,"y":533}
1470054649915: 	action	draw	content	{"x":67,"y":533}
1470054649916: 	draw	content	{"x":67,"y":533}
1470054649923: 	draw	content	{"x":69,"y":533}
1470054649931: 	action	draw	content	{"x":69,"y":534}
1470054649932: 	draw	content	{"x":69,"y":534}
1470054649939: 	action	draw	content	{"x":71,"y":534}
1470054649941: 	draw	content	{"x":71,"y":534}
1470054649948: 	action	draw	content	{"x":72,"y":534}
1470054649949: 	draw	content	{"x":72,"y":534}
1470054649955: 	action	draw	content	{"x":73,"y":534}
1470054649956: 	draw	content	{"x":73,"y":534}
1470054649968: 	action	draw	content	{"x":74,"y":534}
1470054649970: 	draw	content	{"x":74,"y":534}
1470054649973: 	draw	content	{"x":76,"y":534}
1470054649985: 	draw	content	{"x":77,"y":534}
1470054649990: 	draw	content	{"x":78,"y":534}
1470054649999: 	draw	content	{"x":79,"y":534}
1470054650006: 	draw	content	{"x":80,"y":535}
1470054650014: 	action	draw	content	{"x":81,"y":535}
1470054650016: 	draw	content	{"x":81,"y":535}
1470054650029: 	draw	content	{"x":82,"y":535}
1470054650032: 	action	draw	content	{"x":83,"y":535}
1470054650033: 	draw	content	{"x":83,"y":535}
1470054650040: 	draw	content	{"x":84,"y":535}
1470054650047: 	action	draw	content	{"x":85,"y":535}
1470054650048: 	draw	content	{"x":85,"y":535}
1470054650055: 	action	draw	content	{"x":86,"y":535}
1470054650056: 	draw	content	{"x":86,"y":535}
1470054650066: 	action	draw	content	{"x":87,"y":535}
1470054650067: 	draw	content	{"x":87,"y":535}
1470054650073: 	draw	content	{"x":88,"y":535}
1470054650080: 	action	draw	content	{"x":89,"y":535}
1470054650081: 	draw	content	{"x":89,"y":535}
1470054650092: 	draw	content	{"x":90,"y":535}
1470054650098: 	action	draw	content	{"x":91,"y":535}
1470054650099: 	draw	content	{"x":91,"y":535}
1470054650105: 	action	draw	content	{"x":92,"y":535}
1470054650107: 	draw	content	{"x":92,"y":535}
1470054650122: 	action	draw	content	{"x":93,"y":535}
1470054650123: 	draw	content	{"x":93,"y":535}
1470054650132: 	draw	content	{"x":94,"y":535}
1470054650140: 	action	draw	content	{"x":95,"y":535}
1470054650142: 	draw	content	{"x":95,"y":535}
1470054650148: 	action	draw	content	{"x":96,"y":535}
1470054650149: 	draw	content	{"x":96,"y":535}
1470054650155: 	action	draw	content	{"x":97,"y":536}
1470054650156: 	draw	content	{"x":97,"y":536}
1470054650165: 	draw	content	{"x":98,"y":536}
1470054650172: 	action	draw	content	{"x":99,"y":536}
1470054650174: 	draw	content	{"x":99,"y":536}
1470054650181: 	draw	content	{"x":100,"y":536}
1470054650190: 	action	draw	content	{"x":101,"y":535}
1470054650191: 	draw	content	{"x":101,"y":535}
1470054650197: 	action	draw	content	{"x":103,"y":535}
1470054650198: 	draw	content	{"x":103,"y":535}
1470054650207: 	draw	content	{"x":104,"y":535}
1470054650225: 	draw	content	{"x":105,"y":535}
1470054650233: 	action	draw	content	{"x":107,"y":535}
1470054650234: 	draw	content	{"x":107,"y":535}
1470054650239: 	action	draw	content	{"x":108,"y":535}
1470054650241: 	draw	content	{"x":108,"y":535}
1470054650249: 	draw	content	{"x":109,"y":535}
1470054650256: 	draw	content	{"x":110,"y":535}
1470054650279: 	draw	content	{"x":111,"y":535}
1470054650283: 	draw	content	{"x":113,"y":535}
1470054650290: 	action	draw	content	{"x":115,"y":535}
1470054650291: 	draw	content	{"x":115,"y":535}
1470054650297: 	action	draw	content	{"x":116,"y":535}
1470054650298: 	draw	content	{"x":116,"y":535}
1470054650315: 	draw	content	{"x":118,"y":535}
1470054650318: 	draw	content	{"x":119,"y":535}
1470054650322: 	draw	content	{"x":121,"y":534}
1470054650330: 	action	draw	content	{"x":122,"y":534}
1470054650331: 	draw	content	{"x":122,"y":534}
1470054650339: 	action	draw	content	{"x":124,"y":534}
1470054650340: 	draw	content	{"x":124,"y":534}
1470054650348: 	draw	content	{"x":125,"y":534}
1470054650365: 	action	draw	content	{"x":127,"y":534}
1470054650366: 	draw	content	{"x":127,"y":534}
1470054650368: 	action	draw	content	{"x":128,"y":534}
1470054650369: 	draw	content	{"x":128,"y":534}
1470054650373: 	draw	content	{"x":130,"y":534}
1470054650380: 	action	draw	content	{"x":132,"y":533}
1470054650381: 	draw	content	{"x":132,"y":533}
1470054650389: 	action	draw	content	{"x":134,"y":533}
1470054650390: 	draw	content	{"x":134,"y":533}
1470054650399: 	action	draw	content	{"x":135,"y":533}
1470054650400: 	draw	content	{"x":135,"y":533}
1470054650405: 	action	draw	content	{"x":137,"y":533}
1470054650406: 	draw	content	{"x":137,"y":533}
1470054650415: 	draw	content	{"x":138,"y":533}
1470054650424: 	draw	content	{"x":140,"y":533}
1470054650431: 	draw	content	{"x":142,"y":533}
1470054650451: 	action	draw	content	{"x":143,"y":533}
1470054650452: 	draw	content	{"x":143,"y":533}
1470054650455: 	action	draw	content	{"x":145,"y":533}
1470054650456: 	draw	content	{"x":145,"y":533}
1470054650459: 	draw	content	{"x":146,"y":533}
1470054650465: 	action	draw	content	{"x":148,"y":533}
1470054650466: 	draw	content	{"x":148,"y":533}
1470054650473: 	draw	content	{"x":149,"y":533}
1470054650480: 	action	draw	content	{"x":150,"y":533}
1470054650481: 	draw	content	{"x":150,"y":533}
1470054650489: 	action	draw	content	{"x":151,"y":532}
1470054650490: 	draw	content	{"x":151,"y":532}
1470054650498: 	draw	content	{"x":152,"y":532}
1470054650506: 	action	draw	content	{"x":153,"y":532}
1470054650507: 	draw	content	{"x":153,"y":532}
1470054650515: 	draw	content	{"x":154,"y":532}
1470054650528: 	action	draw	content	{"x":155,"y":532}
1470054650529: 	draw	content	{"x":155,"y":532}
1470054650533: 	action	draw	content	{"x":157,"y":532}
1470054650534: 	draw	content	{"x":157,"y":532}
1470054650540: 	draw	content	{"x":158,"y":532}
1470054650548: 	draw	content	{"x":159,"y":532}
1470054650556: 	draw	content	{"x":160,"y":532}
1470054650565: 	draw	content	{"x":162,"y":532}
1470054650581: 	action	draw	content	{"x":163,"y":532}
1470054650583: 	draw	content	{"x":163,"y":532}
1470054650596: 	draw	content	{"x":164,"y":532}
1470054650600: 	action	draw	content	{"x":165,"y":532}
1470054650601: 	draw	content	{"x":165,"y":532}
1470054650632: 	action	draw	content	{"x":166,"y":532}
1470054650633: 	draw	content	{"x":166,"y":532}
1470054650723: 	action	draw	content	{"x":167,"y":532}
1470054650724: 	draw	content	{"x":167,"y":532}
1470054650781: 	action	draw	content	{"x":168,"y":532}
1470054650782: 	draw	content	{"x":168,"y":532}
1470054650815: 	action	draw	content	{"x":169,"y":532}
1470054650816: 	draw	content	{"x":169,"y":532}
1470054650832: 	action	draw	content	{"x":170,"y":532}
1470054650833: 	draw	content	{"x":170,"y":532}
1470054650842: 	action	draw	content	{"x":171,"y":532}
1470054650843: 	draw	content	{"x":171,"y":532}
1470054650847: 	action	draw	content	{"x":172,"y":532}
1470054650848: 	draw	content	{"x":172,"y":532}
1470054650856: 	action	draw	content	{"x":173,"y":532}
1470054650857: 	draw	content	{"x":173,"y":532}
1470054650865: 	action	draw	content	{"x":174,"y":532}
1470054650866: 	draw	content	{"x":174,"y":532}
1470054650872: 	action	draw	content	{"x":176,"y":532}
1470054650874: 	draw	content	{"x":176,"y":532}
1470054650882: 	draw	content	{"x":177,"y":532}
1470054650907: 	draw	content	{"x":178,"y":532}
1470054650914: 	action	draw	content	{"x":179,"y":532}
1470054650915: 	draw	content	{"x":179,"y":532}
1470054650922: 	action	draw	content	{"x":180,"y":532}
1470054650923: 	draw	content	{"x":180,"y":532}
1470054650949: 	draw	content	{"x":181,"y":532}
