1470135183247: 	acted on	innerText
1470135183349: 	sub-instrument	start	mover	true
1470135183364: 	activate	mover
1470135185165: 	acted on	image-51
1470135185168: 	action	mover	image-51	{"x":189,"y":486}
1470135185173: 	start moving	image-51	from	{"x":102,"y":91}
1470135185231: 	action	mover	image-51	{"x":208,"y":481}
1470135185233: 	moved	image-51	to	{"x":208,"y":481}
1470135185240: 	action	mover	image-51	{"x":213,"y":479}
1470135185241: 	moved	image-51	to	{"x":213,"y":479}
1470135185247: 	action	mover	image-51	{"x":219,"y":477}
1470135185255: 	action	mover	image-51	{"x":224,"y":475}
1470135185256: 	moved	image-51	to	{"x":224,"y":475}
1470135185264: 	action	mover	image-51	{"x":230,"y":473}
1470135185265: 	moved	image-51	to	{"x":230,"y":473}
1470135185272: 	action	mover	image-51	{"x":235,"y":471}
1470135185281: 	action	mover	image-51	{"x":238,"y":470}
1470135185282: 	moved	image-51	to	{"x":238,"y":470}
1470135185289: 	action	mover	image-51	{"x":243,"y":469}
1470135185290: 	moved	image-51	to	{"x":243,"y":469}
1470135185297: 	action	mover	image-51	{"x":247,"y":467}
1470135185298: 	moved	image-51	to	{"x":247,"y":467}
1470135185306: 	action	mover	image-51	{"x":253,"y":464}
1470135185307: 	moved	image-51	to	{"x":253,"y":464}
1470135185313: 	action	mover	image-51	{"x":259,"y":461}
1470135185314: 	moved	image-51	to	{"x":259,"y":461}
1470135185322: 	action	mover	image-51	{"x":264,"y":458}
1470135185323: 	moved	image-51	to	{"x":264,"y":458}
1470135185330: 	action	mover	image-51	{"x":270,"y":454}
1470135185331: 	moved	image-51	to	{"x":270,"y":454}
1470135185339: 	action	mover	image-51	{"x":276,"y":450}
1470135185347: 	action	mover	image-51	{"x":282,"y":446}
1470135185355: 	action	mover	image-51	{"x":288,"y":443}
1470135185356: 	moved	image-51	to	{"x":288,"y":443}
1470135185364: 	action	mover	image-51	{"x":294,"y":439}
1470135185372: 	action	mover	image-51	{"x":300,"y":437}
1470135185373: 	moved	image-51	to	{"x":300,"y":437}
1470135185380: 	action	mover	image-51	{"x":306,"y":435}
1470135185381: 	moved	image-51	to	{"x":306,"y":435}
1470135185388: 	action	mover	image-51	{"x":312,"y":432}
1470135185389: 	moved	image-51	to	{"x":312,"y":432}
1470135185397: 	action	mover	image-51	{"x":317,"y":430}
1470135185405: 	action	mover	image-51	{"x":323,"y":427}
1470135185406: 	moved	image-51	to	{"x":323,"y":427}
1470135185414: 	action	mover	image-51	{"x":326,"y":426}
1470135185415: 	moved	image-51	to	{"x":326,"y":426}
1470135185422: 	action	mover	image-51	{"x":332,"y":423}
1470135185430: 	action	mover	image-51	{"x":337,"y":421}
1470135185431: 	moved	image-51	to	{"x":337,"y":421}
1470135185439: 	action	mover	image-51	{"x":341,"y":419}
1470135185447: 	action	mover	image-51	{"x":346,"y":418}
1470135185455: 	action	mover	image-51	{"x":351,"y":417}
1470135185456: 	moved	image-51	to	{"x":351,"y":417}
1470135185463: 	action	mover	image-51	{"x":356,"y":416}
1470135185464: 	moved	image-51	to	{"x":356,"y":416}
1470135185472: 	action	mover	image-51	{"x":362,"y":414}
1470135185473: 	moved	image-51	to	{"x":362,"y":414}
1470135185480: 	action	mover	image-51	{"x":368,"y":413}
1470135185481: 	moved	image-51	to	{"x":368,"y":413}
1470135185489: 	action	mover	image-51	{"x":371,"y":413}
1470135185497: 	action	mover	image-51	{"x":378,"y":413}
1470135185505: 	action	mover	image-51	{"x":382,"y":413}
1470135185506: 	moved	image-51	to	{"x":382,"y":413}
