1470135183247	2016-08-02 12-53-03.247	acted	on	innerText
1470135183349	2016-08-02 12-53-03.349	sub-instrument	start	mover	true
1470135183364	2016-08-02 12-53-03.364	activate	mover
1470135185165	2016-08-02 12-53-05.165	acted	on	image-51
1470135185168	2016-08-02 12-53-05.168	action	mover	image-51	{"x":189,"y":486}
1470135185173	2016-08-02 12-53-05.173	start	moving	image-51	from	{"x":102,"y":91}
1470135185231	2016-08-02 12-53-05.231	action	mover	image-51	{"x":208,"y":481}
1470135185233	2016-08-02 12-53-05.233	moved	image-51	to	{"x":208,"y":481}
1470135185240	2016-08-02 12-53-05.240	action	mover	image-51	{"x":213,"y":479}
1470135185241	2016-08-02 12-53-05.241	moved	image-51	to	{"x":213,"y":479}
1470135185247	2016-08-02 12-53-05.247	action	mover	image-51	{"x":219,"y":477}
1470135185255	2016-08-02 12-53-05.255	action	mover	image-51	{"x":224,"y":475}
1470135185256	2016-08-02 12-53-05.256	moved	image-51	to	{"x":224,"y":475}
1470135185264	2016-08-02 12-53-05.264	action	mover	image-51	{"x":230,"y":473}
1470135185265	2016-08-02 12-53-05.265	moved	image-51	to	{"x":230,"y":473}
1470135185272	2016-08-02 12-53-05.272	action	mover	image-51	{"x":235,"y":471}
1470135185281	2016-08-02 12-53-05.281	action	mover	image-51	{"x":238,"y":470}
1470135185282	2016-08-02 12-53-05.282	moved	image-51	to	{"x":238,"y":470}
1470135185289	2016-08-02 12-53-05.289	action	mover	image-51	{"x":243,"y":469}
1470135185290	2016-08-02 12-53-05.290	moved	image-51	to	{"x":243,"y":469}
1470135185297	2016-08-02 12-53-05.297	action	mover	image-51	{"x":247,"y":467}
1470135185298	2016-08-02 12-53-05.298	moved	image-51	to	{"x":247,"y":467}
1470135185306	2016-08-02 12-53-05.306	action	mover	image-51	{"x":253,"y":464}
1470135185307	2016-08-02 12-53-05.307	moved	image-51	to	{"x":253,"y":464}
1470135185313	2016-08-02 12-53-05.313	action	mover	image-51	{"x":259,"y":461}
1470135185314	2016-08-02 12-53-05.314	moved	image-51	to	{"x":259,"y":461}
1470135185322	2016-08-02 12-53-05.322	action	mover	image-51	{"x":264,"y":458}
1470135185323	2016-08-02 12-53-05.323	moved	image-51	to	{"x":264,"y":458}
1470135185330	2016-08-02 12-53-05.330	action	mover	image-51	{"x":270,"y":454}
1470135185331	2016-08-02 12-53-05.331	moved	image-51	to	{"x":270,"y":454}
1470135185339	2016-08-02 12-53-05.339	action	mover	image-51	{"x":276,"y":450}
1470135185347	2016-08-02 12-53-05.347	action	mover	image-51	{"x":282,"y":446}
1470135185355	2016-08-02 12-53-05.355	action	mover	image-51	{"x":288,"y":443}
1470135185356	2016-08-02 12-53-05.356	moved	image-51	to	{"x":288,"y":443}
1470135185364	2016-08-02 12-53-05.364	action	mover	image-51	{"x":294,"y":439}
1470135185372	2016-08-02 12-53-05.372	action	mover	image-51	{"x":300,"y":437}
1470135185373	2016-08-02 12-53-05.373	moved	image-51	to	{"x":300,"y":437}
1470135185380	2016-08-02 12-53-05.380	action	mover	image-51	{"x":306,"y":435}
1470135185381	2016-08-02 12-53-05.381	moved	image-51	to	{"x":306,"y":435}
1470135185388	2016-08-02 12-53-05.388	action	mover	image-51	{"x":312,"y":432}
1470135185389	2016-08-02 12-53-05.389	moved	image-51	to	{"x":312,"y":432}
1470135185397	2016-08-02 12-53-05.397	action	mover	image-51	{"x":317,"y":430}
1470135185405	2016-08-02 12-53-05.405	action	mover	image-51	{"x":323,"y":427}
1470135185406	2016-08-02 12-53-05.406	moved	image-51	to	{"x":323,"y":427}
1470135185414	2016-08-02 12-53-05.414	action	mover	image-51	{"x":326,"y":426}
1470135185415	2016-08-02 12-53-05.415	moved	image-51	to	{"x":326,"y":426}
1470135185422	2016-08-02 12-53-05.422	action	mover	image-51	{"x":332,"y":423}
1470135185430	2016-08-02 12-53-05.430	action	mover	image-51	{"x":337,"y":421}
1470135185431	2016-08-02 12-53-05.431	moved	image-51	to	{"x":337,"y":421}
1470135185439	2016-08-02 12-53-05.439	action	mover	image-51	{"x":341,"y":419}
1470135185447	2016-08-02 12-53-05.447	action	mover	image-51	{"x":346,"y":418}
1470135185455	2016-08-02 12-53-05.455	action	mover	image-51	{"x":351,"y":417}
1470135185456	2016-08-02 12-53-05.456	moved	image-51	to	{"x":351,"y":417}
1470135185463	2016-08-02 12-53-05.463	action	mover	image-51	{"x":356,"y":416}
1470135185464	2016-08-02 12-53-05.464	moved	image-51	to	{"x":356,"y":416}
1470135185472	2016-08-02 12-53-05.472	action	mover	image-51	{"x":362,"y":414}
1470135185473	2016-08-02 12-53-05.473	moved	image-51	to	{"x":362,"y":414}
1470135185480	2016-08-02 12-53-05.480	action	mover	image-51	{"x":368,"y":413}
1470135185481	2016-08-02 12-53-05.481	moved	image-51	to	{"x":368,"y":413}
1470135185489	2016-08-02 12-53-05.489	action	mover	image-51	{"x":371,"y":413}
1470135185497	2016-08-02 12-53-05.497	action	mover	image-51	{"x":378,"y":413}
1470135185505	2016-08-02 12-53-05.505	action	mover	image-51	{"x":382,"y":413}
1470135185506	2016-08-02 12-53-05.506	moved	image-51	to	{"x":382,"y":413}
1470135185514	2016-08-02 12-53-05.514	action	mover	image-51	{"x":387,"y":413}
1470135185515	2016-08-02 12-53-05.515	moved	image-51	to	{"x":387,"y":413}
1470135185522	2016-08-02 12-53-05.522	action	mover	image-51	{"x":392,"y":412}
1470135185531	2016-08-02 12-53-05.531	action	mover	image-51	{"x":396,"y":413}
1470135185532	2016-08-02 12-53-05.532	moved	image-51	to	{"x":396,"y":413}
1470135185538	2016-08-02 12-53-05.538	action	mover	image-51	{"x":400,"y":413}
1470135185540	2016-08-02 12-53-05.540	moved	image-51	to	{"x":400,"y":413}
1470135185547	2016-08-02 12-53-05.547	action	mover	image-51	{"x":404,"y":413}
1470135185548	2016-08-02 12-53-05.548	moved	image-51	to	{"x":404,"y":413}
1470135185555	2016-08-02 12-53-05.555	action	mover	image-51	{"x":408,"y":413}
1470135185556	2016-08-02 12-53-05.556	moved	image-51	to	{"x":408,"y":413}
1470135185564	2016-08-02 12-53-05.564	action	mover	image-51	{"x":412,"y":414}
1470135185565	2016-08-02 12-53-05.565	moved	image-51	to	{"x":412,"y":414}
1470135185572	2016-08-02 12-53-05.572	action	mover	image-51	{"x":416,"y":414}
1470135185573	2016-08-02 12-53-05.573	moved	image-51	to	{"x":416,"y":414}
1470135185581	2016-08-02 12-53-05.581	action	mover	image-51	{"x":419,"y":415}
1470135185582	2016-08-02 12-53-05.582	moved	image-51	to	{"x":419,"y":415}
1470135185589	2016-08-02 12-53-05.589	action	mover	image-51	{"x":423,"y":415}
1470135185597	2016-08-02 12-53-05.597	action	mover	image-51	{"x":427,"y":416}
1470135185605	2016-08-02 12-53-05.605	action	mover	image-51	{"x":429,"y":416}
1470135185606	2016-08-02 12-53-05.606	moved	image-51	to	{"x":429,"y":416}
1470135185613	2016-08-02 12-53-05.613	action	mover	image-51	{"x":432,"y":417}
1470135185614	2016-08-02 12-53-05.614	moved	image-51	to	{"x":432,"y":417}
1470135185622	2016-08-02 12-53-05.622	action	mover	image-51	{"x":435,"y":417}
1470135185623	2016-08-02 12-53-05.623	moved	image-51	to	{"x":435,"y":417}
1470135185630	2016-08-02 12-53-05.630	action	mover	image-51	{"x":439,"y":418}
1470135185631	2016-08-02 12-53-05.631	moved	image-51	to	{"x":439,"y":418}
1470135185640	2016-08-02 12-53-05.640	action	mover	image-51	{"x":442,"y":419}
1470135185641	2016-08-02 12-53-05.641	moved	image-51	to	{"x":442,"y":419}
1470135185647	2016-08-02 12-53-05.647	action	mover	image-51	{"x":444,"y":421}
1470135185655	2016-08-02 12-53-05.655	action	mover	image-51	{"x":447,"y":422}
1470135185656	2016-08-02 12-53-05.656	moved	image-51	to	{"x":447,"y":422}
1470135185664	2016-08-02 12-53-05.664	action	mover	image-51	{"x":449,"y":424}
1470135185672	2016-08-02 12-53-05.672	action	mover	image-51	{"x":452,"y":425}
1470135185673	2016-08-02 12-53-05.673	moved	image-51	to	{"x":452,"y":425}
1470135185680	2016-08-02 12-53-05.680	action	mover	image-51	{"x":455,"y":427}
