1470144145966: 
1470144185574: 
1470144210512: 
1470149801730: 	acted on	innerText
1470149801817: 	sub-instrument	start	mover	true
1470149801819: 	activate	mover
1470149802486: 	acted on	mover
1470149802490: 	action	mover	mover	{"x":164,"y":254}
1470149802496: 	start moving	mover	from	{"x":74,"y":197}
1470149802617: 	action	mover	mover	{"x":166,"y":270}
1470149802618: 	moved	mover	to	{"x":166,"y":270}
1470149802625: 	action	mover	mover	{"x":166,"y":273}
1470149802626: 	moved	mover	to	{"x":166,"y":273}
1470149802632: 	action	mover	mover	{"x":166,"y":274}
1470149802633: 	moved	mover	to	{"x":166,"y":274}
1470149802640: 	action	mover	mover	{"x":166,"y":276}
1470149802641: 	moved	mover	to	{"x":166,"y":276}
1470149802655: 	action	mover	mover	{"x":167,"y":279}
1470149802656: 	moved	mover	to	{"x":167,"y":279}
1470149802665: 	action	mover	mover	{"x":167,"y":285}
1470149802666: 	moved	mover	to	{"x":167,"y":285}
1470149802674: 	action	mover	mover	{"x":168,"y":288}
1470149802675: 	moved	mover	to	{"x":168,"y":288}
1470149802684: 	action	mover	mover	{"x":168,"y":291}
1470149802686: 	moved	mover	to	{"x":168,"y":291}
1470149802699: 	action	mover	mover	{"x":169,"y":296}
1470149802701: 	moved	mover	to	{"x":169,"y":296}
1470149802707: 	action	mover	mover	{"x":170,"y":299}
1470149802708: 	moved	mover	to	{"x":170,"y":299}
1470149802721: 	action	mover	mover	{"x":170,"y":302}
1470149802722: 	moved	mover	to	{"x":170,"y":302}
1470149802736: 	action	mover	mover	{"x":171,"y":308}
1470149802749: 	action	mover	mover	{"x":173,"y":317}
1470149802750: 	moved	mover	to	{"x":173,"y":317}
1470149802758: 	action	mover	mover	{"x":173,"y":320}
1470149802759: 	moved	mover	to	{"x":173,"y":320}
1470149802765: 	action	mover	mover	{"x":174,"y":324}
1470149802766: 	moved	mover	to	{"x":174,"y":324}
1470149802773: 	action	mover	mover	{"x":174,"y":328}
1470149802774: 	moved	mover	to	{"x":174,"y":328}
1470149802782: 	action	mover	mover	{"x":174,"y":332}
1470149802783: 	moved	mover	to	{"x":174,"y":332}
1470149802790: 	action	mover	mover	{"x":175,"y":338}
1470149802791: 	moved	mover	to	{"x":175,"y":338}
1470149802798: 	action	mover	mover	{"x":176,"y":342}
1470149802799: 	moved	mover	to	{"x":176,"y":342}
1470149802807: 	action	mover	mover	{"x":177,"y":347}
1470149802808: 	moved	mover	to	{"x":177,"y":347}
1470149802815: 	action	mover	mover	{"x":177,"y":353}
1470149802816: 	moved	mover	to	{"x":177,"y":353}
1470149802824: 	action	mover	mover	{"x":178,"y":359}
1470149802825: 	moved	mover	to	{"x":178,"y":359}
1470149802832: 	action	mover	mover	{"x":179,"y":367}
1470149802833: 	moved	mover	to	{"x":179,"y":367}
1470149802841: 	action	mover	mover	{"x":179,"y":373}
1470149802842: 	moved	mover	to	{"x":179,"y":373}
1470149802848: 	action	mover	mover	{"x":179,"y":379}
1470149802849: 	moved	mover	to	{"x":179,"y":379}
1470149802857: 	action	mover	mover	{"x":180,"y":387}
1470149802858: 	moved	mover	to	{"x":180,"y":387}
1470149802865: 	action	mover	mover	{"x":180,"y":395}
1470149802866: 	moved	mover	to	{"x":180,"y":395}
1470149802874: 	action	mover	mover	{"x":178,"y":409}
1470149802882: 	action	mover	mover	{"x":178,"y":416}
1470149802883: 	moved	mover	to	{"x":178,"y":416}
1470149802890: 	action	mover	mover	{"x":177,"y":427}
1470149802891: 	moved	mover	to	{"x":177,"y":427}
1470149802898: 	action	mover	mover	{"x":177,"y":438}
1470149802899: 	moved	mover	to	{"x":177,"y":438}
1470149802912: 	action	mover	mover	{"x":176,"y":448}
1470149802924: 	action	mover	mover	{"x":174,"y":471}
1470149802932: 	action	mover	mover	{"x":172,"y":482}
1470149802933: 	moved	mover	to	{"x":172,"y":482}
1470149802940: 	action	mover	mover	{"x":172,"y":494}
1470149802941: 	moved	mover	to	{"x":172,"y":494}
1470149802949: 	action	mover	mover	{"x":171,"y":505}
1470149802950: 	moved	mover	to	{"x":171,"y":505}
1470149802957: 	action	mover	mover	{"x":170,"y":518}
1470149802958: 	moved	mover	to	{"x":170,"y":518}
1470149802965: 	action	mover	mover	{"x":169,"y":530}
1470149802966: 	moved	mover	to	{"x":169,"y":530}
1470149802973: 	action	mover	mover	{"x":168,"y":543}
1470149802974: 	moved	mover	to	{"x":168,"y":543}
1470149802982: 	action	mover	mover	{"x":167,"y":553}
1470149802983: 	moved	mover	to	{"x":167,"y":553}
1470149802990: 	action	mover	mover	{"x":166,"y":566}
1470149802991: 	moved	mover	to	{"x":166,"y":566}
1470149802998: 	action	mover	mover	{"x":164,"y":579}
1470149802999: 	moved	mover	to	{"x":164,"y":579}
1470149803009: 	action	mover	mover	{"x":165,"y":592}
1470149803010: 	moved	mover	to	{"x":165,"y":592}
1470149803015: 	action	mover	mover	{"x":163,"y":604}
1470149803016: 	moved	mover	to	{"x":163,"y":604}
1470149803024: 	action	mover	mover	{"x":163,"y":615}
1470149803032: 	action	mover	mover	{"x":162,"y":628}
1470149803033: 	moved	mover	to	{"x":162,"y":628}
1470149803041: 	action	mover	mover	{"x":162,"y":641}
