1470151917867: 
1470153626787: 	acted on	outline
1470153799767: 	acted on	outline
1470153800324: 	acted on	outline
1470153802341: 	acted on	outline
1470153803166: 	acted on	outline
1470153803376: 	acted on	outline
1470153803758: 	acted on	outline
1470153803798: 	acted on	outline
1470153814841: 	acted on	outline
1470153815175: 	acted on	outline
1470153815674: 	acted on	outline
1470153816316: 	acted on	outline
1470153818207: 	acted on	outline
1470153819565: 	acted on	outline
1470153820765: 	acted on	outline
1470153826492: 	acted on	outline
1470153835162: 
1470153930592: 
1470154903361: 
1470155471943: 	acted on	innerText
1470155472024: 	sub-instrument	start	mover	true
1470155472025: 	activate	mover
1470155472923: 	acted on	image-33
1470155472927: 	action	mover	image-33	{"x":205,"y":433}
1470155472932: 	start moving	image-33	from	{"x":128,"y":67}
1470155472972: 	action	mover	image-33	{"x":220,"y":436}
1470155472974: 	moved	image-33	to	{"x":220,"y":436}
1470155472980: 	action	mover	image-33	{"x":226,"y":435}
1470155472981: 	moved	image-33	to	{"x":226,"y":435}
1470155472989: 	action	mover	image-33	{"x":233,"y":434}
1470155472992: 	moved	image-33	to	{"x":233,"y":434}
1470155472998: 	action	mover	image-33	{"x":239,"y":433}
1470155473005: 	action	mover	image-33	{"x":248,"y":432}
1470155473006: 	moved	image-33	to	{"x":248,"y":432}
1470155473013: 	action	mover	image-33	{"x":256,"y":430}
1470155473014: 	moved	image-33	to	{"x":256,"y":430}
1470155473021: 	action	mover	image-33	{"x":268,"y":427}
1470155473022: 	moved	image-33	to	{"x":268,"y":427}
1470155473031: 	action	mover	image-33	{"x":280,"y":424}
1470155473032: 	moved	image-33	to	{"x":280,"y":424}
1470155473040: 	action	mover	image-33	{"x":291,"y":421}
1470155473041: 	moved	image-33	to	{"x":291,"y":421}
1470155473046: 	action	mover	image-33	{"x":302,"y":418}
1470155473047: 	moved	image-33	to	{"x":302,"y":418}
1470155473054: 	action	mover	image-33	{"x":316,"y":414}
1470155473055: 	moved	image-33	to	{"x":316,"y":414}
1470155473063: 	action	mover	image-33	{"x":330,"y":411}
1470155473064: 	moved	image-33	to	{"x":330,"y":411}
1470155473071: 	action	mover	image-33	{"x":344,"y":408}
1470155473072: 	moved	image-33	to	{"x":344,"y":408}
1470155473079: 	action	mover	image-33	{"x":359,"y":404}
1470155473080: 	moved	image-33	to	{"x":359,"y":404}
1470155473088: 	action	mover	image-33	{"x":373,"y":400}
1470155473089: 	moved	image-33	to	{"x":373,"y":400}
1470155473096: 	action	mover	image-33	{"x":389,"y":397}
1470155473097: 	moved	image-33	to	{"x":389,"y":397}
1470155473104: 	action	mover	image-33	{"x":404,"y":392}
1470155473105: 	moved	image-33	to	{"x":404,"y":392}
1470155473113: 	action	mover	image-33	{"x":421,"y":388}
1470155473114: 	moved	image-33	to	{"x":421,"y":388}
1470155473121: 	action	mover	image-33	{"x":439,"y":385}
1470155473122: 	moved	image-33	to	{"x":439,"y":385}
1470155473128: 	action	mover	image-33	{"x":456,"y":381}
1470155473129: 	moved	image-33	to	{"x":456,"y":381}
1470155473138: 	action	mover	image-33	{"x":473,"y":378}
1470155473139: 	moved	image-33	to	{"x":473,"y":378}
1470155473146: 	action	mover	image-33	{"x":492,"y":375}
1470155473155: 	action	mover	image-33	{"x":509,"y":371}
1470155473156: 	moved	image-33	to	{"x":509,"y":371}
1470155473164: 	action	mover	image-33	{"x":528,"y":367}
1470155473165: 	moved	image-33	to	{"x":528,"y":367}
1470155473171: 	action	mover	image-33	{"x":546,"y":365}
1470155473172: 	moved	image-33	to	{"x":546,"y":365}
1470155473179: 	action	mover	image-33	{"x":564,"y":362}
1470155473180: 	moved	image-33	to	{"x":564,"y":362}
1470155473188: 	action	mover	image-33	{"x":582,"y":359}
1470155473189: 	moved	image-33	to	{"x":582,"y":359}
1470155473196: 	action	mover	image-33	{"x":600,"y":356}
1470155473197: 	moved	image-33	to	{"x":600,"y":356}
1470155473204: 	action	mover	image-33	{"x":618,"y":355}
1470155473205: 	moved	image-33	to	{"x":618,"y":355}
1470155473214: 	action	mover	image-33	{"x":634,"y":353}
1470155473215: 	moved	image-33	to	{"x":634,"y":353}
1470155473221: 	action	mover	image-33	{"x":652,"y":352}
1470155473222: 	moved	image-33	to	{"x":652,"y":352}
1470155473229: 	action	mover	image-33	{"x":668,"y":349}
1470155473230: 	moved	image-33	to	{"x":668,"y":349}
1470155473239: 	action	mover	image-33	{"x":686,"y":348}
1470155473240: 	moved	image-33	to	{"x":686,"y":348}
1470155473246: 	action	mover	image-33	{"x":700,"y":346}
1470155473247: 	moved	image-33	to	{"x":700,"y":346}
1470155473256: 	action	mover	image-33	{"x":716,"y":345}
1470155473263: 	action	mover	image-33	{"x":732,"y":344}
1470155473264: 	moved	image-33	to	{"x":732,"y":344}
1470155473271: 	action	mover	image-33	{"x":747,"y":343}
1470155473272: 	moved	image-33	to	{"x":747,"y":343}
1470155473280: 	action	mover	image-33	{"x":763,"y":340}
1470155473281: 	moved	image-33	to	{"x":763,"y":340}
1470155473288: 	action	mover	image-33	{"x":778,"y":340}
1470155473296: 	action	mover	image-33	{"x":792,"y":337}
1470155473297: 	moved	image-33	to	{"x":792,"y":337}
1470155473305: 	action	mover	image-33	{"x":808,"y":338}
1470155473306: 	moved	image-33	to	{"x":808,"y":338}
1470155473313: 	action	mover	image-33	{"x":822,"y":335}
1470155473314: 	moved	image-33	to	{"x":822,"y":335}
1470155473321: 	action	mover	image-33	{"x":836,"y":336}
1470155473322: 	moved	image-33	to	{"x":836,"y":336}
1470155473330: 	action	mover	image-33	{"x":851,"y":333}
1470155473331: 	moved	image-33	to	{"x":851,"y":333}
1470155473338: 	action	mover	image-33	{"x":864,"y":333}
1470155473346: 	action	mover	image-33	{"x":877,"y":332}
1470155473347: 	moved	image-33	to	{"x":877,"y":332}
1470155473355: 	action	mover	image-33	{"x":889,"y":331}
1470155473362: 	action	mover	image-33	{"x":900,"y":330}
1470155473363: 	moved	image-33	to	{"x":900,"y":330}
1470155473371: 	action	mover	image-33	{"x":910,"y":330}
1470155473372: 	moved	image-33	to	{"x":910,"y":330}
1470155473380: 	action	mover	image-33	{"x":917,"y":329}
1470155473381: 	moved	image-33	to	{"x":917,"y":329}
1470155473388: 	action	mover	image-33	{"x":924,"y":328}
1470155473390: 	moved	image-33	to	{"x":924,"y":328}
1470155473397: 	action	mover	image-33	{"x":934,"y":326}
1470155473398: 	moved	image-33	to	{"x":934,"y":326}
1470155473405: 	action	mover	image-33	{"x":940,"y":325}
1470155473406: 	moved	image-33	to	{"x":940,"y":325}
1470155473413: 	action	mover	image-33	{"x":947,"y":323}
1470155473421: 	action	mover	image-33	{"x":953,"y":321}
1470155473422: 	moved	image-33	to	{"x":953,"y":321}
1470155473429: 	action	mover	image-33	{"x":959,"y":318}
1470155473430: 	moved	image-33	to	{"x":959,"y":318}
1470155473438: 	action	mover	image-33	{"x":965,"y":316}
1470155473439: 	moved	image-33	to	{"x":965,"y":316}
1470155473446: 	action	mover	image-33	{"x":967,"y":313}
1470155473447: 	moved	image-33	to	{"x":967,"y":313}
1470155473455: 	action	mover	image-33	{"x":971,"y":310}
1470155473463: 	action	mover	image-33	{"x":974,"y":307}
1470155473464: 	moved	image-33	to	{"x":974,"y":307}
