Observation id	6-C				
					
Media file(s)					
					
Player #1	/Volumes/Untitled/Maters Experiment Videos/2-8/6-1-C.MTS				
					
Observation date	2016-08-23 12:03:34				
					
Description					
					
Time offset (s)	0.0				
					
independent variables					
variable	value				
					
Time	Subject	Behavior	Modifier 1	Comment	Status
7.868		P	M		POINT
8.626		P	M		POINT
9.218		P	M		POINT
13.783		F	V		START
31.534		F	V		STOP
31.535		F	T		START
35.17		F	T		STOP
35.171		F	V		START
75.411		F	V		STOP
75.412		F	T		START
94.272		B	P		POINT
103.232		F	T		STOP
103.233		F	V		START
114.99		F	V		STOP
114.991		F	T		START
134.856		F	T		STOP
134.857		F	V		START
164.954		F	V		STOP
164.955		F	T		START
176.372		F	T		STOP
176.373		F	V		START
200.719		F	V		STOP
200.72		F	T		START
243.753		F	T		STOP
243.754		F	V		START
248.239		B	R		POINT
301.837		B	R		POINT
419.108		F	V		STOP
419.109		F	T		START
424.433		F	T		STOP
424.434		F	V		START
491.734		F	V		STOP
491.735		F	T		START
509.319		B	S		POINT
526.484		F	T		STOP
526.485		F	V		START
532.991		F	V		STOP
532.992		F	T		START
547.873		F	T		STOP
547.874		F	V		START
567.07		F	V		STOP
567.071		F	T		START
578.994		F	T		STOP
578.995		F	V		START
612.901		F	V		STOP
612.902		F	T		START
633.443		F	T		STOP
633.444		F	V		START
637.676		B	D		POINT
660.416		B	D		POINT
663.291		B	D		POINT
