1470046547443: 	acted on	innerText
1470046547533: 	sub-instrument	start	draw	true
1470046547535: 	activate	draw
1470046550775: 	acted on	sample
1470046550887: 	draw	sample	{"x":53,"y":123}
1470046555024: 	acted on	menu
1470046555808: 	acted on	innerText
1470046555891: 	sub-instrument	stop	draw	false
1470046555892: 	deactivate	draw
1470046588824: 	acted on	innerText
1470046588948: 	sub-instrument	start	draw	true
1470046588949: 	activate	draw
1470046591118: 	draw	image-56	{"x":38.5,"y":689.5}
1470046591281: 	draw	image-56	{"x":39.5,"y":706.5}
1470046591290: 	draw	image-56	{"x":39.5,"y":710.5}
1470046591298: 	draw	image-56	{"x":40.5,"y":711.5}
1470046591305: 	draw	image-56	{"x":40.5,"y":715.5}
1470046591314: 	draw	image-56	{"x":40.5,"y":717.5}
1470046591322: 	draw	image-56	{"x":40.5,"y":719.5}
1470046591330: 	draw	image-56	{"x":40.5,"y":722.5}
1470046591340: 	draw	image-56	{"x":41.5,"y":725.5}
1470046591347: 	draw	image-56	{"x":41.5,"y":727.5}
1470046591356: 	draw	image-56	{"x":41.5,"y":731.5}
1470046591366: 	draw	image-56	{"x":41.5,"y":733.5}
1470046591373: 	draw	image-56	{"x":41.5,"y":736.5}
1470046591381: 	draw	image-56	{"x":42.5,"y":739.5}
1470046591390: 	draw	image-56	{"x":42.5,"y":741.5}
1470046591398: 	draw	image-56	{"x":42.5,"y":743.5}
1470046591405: 	draw	image-56	{"x":43.5,"y":745.5}
1470046591415: 	draw	image-56	{"x":43.5,"y":747.5}
1470046591422: 	draw	image-56	{"x":43.5,"y":748.5}
1470046591431: 	draw	image-56	{"x":43.5,"y":750.5}
1470046591440: 	draw	image-56	{"x":43.5,"y":751.5}
1470046591448: 	draw	image-56	{"x":43.5,"y":752.5}
1470046591465: 	draw	image-56	{"x":43.5,"y":753.5}
1470046591489: 	draw	image-56	{"x":43.5,"y":754.5}
1470046591548: 	draw	image-56	{"x":43.5,"y":755.5}
1470046591959: 	draw	image-56	{"x":45.5,"y":734.5}
1470046592116: 	draw	image-56	{"x":61.5,"y":735.5}
1470046592123: 	draw	image-56	{"x":64.5,"y":735.5}
1470046592132: 	draw	image-56	{"x":67.5,"y":735.5}
1470046592141: 	draw	image-56	{"x":70.5,"y":735.5}
1470046592148: 	draw	image-56	{"x":73.5,"y":735.5}
1470046592157: 	draw	image-56	{"x":75.5,"y":735.5}
1470046592165: 	draw	image-56	{"x":78.5,"y":735.5}
1470046592173: 	draw	image-56	{"x":82.5,"y":735.5}
1470046592182: 	draw	image-56	{"x":85.5,"y":734.5}
1470046592189: 	draw	image-56	{"x":89.5,"y":734.5}
1470046592198: 	draw	image-56	{"x":92.5,"y":734.5}
1470046592206: 	draw	image-56	{"x":96.5,"y":733.5}
1470046592215: 	draw	image-56	{"x":100.5,"y":733.5}
1470046592222: 	draw	image-56	{"x":104.5,"y":732.5}
1470046592231: 	draw	image-56	{"x":107.5,"y":732.5}
1470046592240: 	draw	image-56	{"x":110.5,"y":732.5}
1470046592248: 	draw	image-56	{"x":111.5,"y":732.5}
1470046592256: 	draw	image-56	{"x":113.5,"y":732.5}
1470046592272: 	draw	image-56	{"x":114.5,"y":732.5}
1470046592289: 	draw	image-56	{"x":114.5,"y":731.5}
1470046592298: 	draw	image-56	{"x":115.5,"y":731.5}
1470046592408: 	draw	image-56	{"x":115.5,"y":730.5}
1470046592735: 	draw	image-56	{"x":119.5,"y":687.5}
1470046592841: 	draw	image-56	{"x":117.5,"y":702.5}
1470046592849: 	draw	image-56	{"x":117.5,"y":704.5}
1470046592857: 	draw	image-56	{"x":117.5,"y":708.5}
1470046592866: 	draw	image-56	{"x":118.5,"y":711.5}
1470046592873: 	draw	image-56	{"x":118.5,"y":715.5}
1470046592882: 	draw	image-56	{"x":118.5,"y":717.5}
1470046592892: 	draw	image-56	{"x":119.5,"y":722.5}
1470046592898: 	draw	image-56	{"x":119.5,"y":725.5}
1470046592906: 	draw	image-56	{"x":120.5,"y":729.5}
1470046592915: 	draw	image-56	{"x":120.5,"y":734.5}
1470046592923: 	draw	image-56	{"x":121.5,"y":737.5}
1470046592933: 	draw	image-56	{"x":121.5,"y":740.5}
1470046592941: 	draw	image-56	{"x":121.5,"y":743.5}
1470046592948: 	draw	image-56	{"x":122.5,"y":746.5}
1470046592957: 	draw	image-56	{"x":122.5,"y":749.5}
1470046592966: 	draw	image-56	{"x":121.5,"y":753.5}
1470046592972: 	draw	image-56	{"x":121.5,"y":756.5}
1470046592982: 	draw	image-56	{"x":121.5,"y":758.5}
1470046592989: 	draw	image-56	{"x":121.5,"y":760.5}
1470046592998: 	draw	image-56	{"x":121.5,"y":762.5}
1470046593007: 	draw	image-56	{"x":121.5,"y":764.5}
1470046593015: 	draw	image-56	{"x":121.5,"y":765.5}
1470046593032: 	draw	image-56	{"x":121.5,"y":766.5}
1470046593484: 	draw	image-56	{"x":161.5,"y":696.5}
1470046593607: 	draw	image-56	{"x":163.5,"y":713.5}
1470046593615: 	draw	image-56	{"x":165.5,"y":717.5}
1470046593623: 	draw	image-56	{"x":168.5,"y":721.5}
1470046593632: 	draw	image-56	{"x":170.5,"y":724.5}
1470046593639: 	draw	image-56	{"x":172.5,"y":728.5}
1470046593648: 	draw	image-56	{"x":175.5,"y":731.5}
1470046593657: 	draw	image-56	{"x":177.5,"y":734.5}
1470046593665: 	draw	image-56	{"x":180.5,"y":739.5}
1470046593672: 	draw	image-56	{"x":182.5,"y":741.5}
1470046593681: 	draw	image-56	{"x":185.5,"y":745.5}
1470046593689: 	draw	image-56	{"x":189.5,"y":748.5}
1470046593697: 	draw	image-56	{"x":192.5,"y":752.5}
1470046593706: 	draw	image-56	{"x":194.5,"y":754.5}
1470046593714: 	draw	image-56	{"x":198.5,"y":757.5}
1470046593723: 	draw	image-56	{"x":201.5,"y":759.5}
1470046593731: 	draw	image-56	{"x":204.5,"y":761.5}
1470046593739: 	draw	image-56	{"x":207.5,"y":762.5}
1470046593747: 	draw	image-56	{"x":210.5,"y":763.5}
1470046593757: 	draw	image-56	{"x":211.5,"y":763.5}
1470046593764: 	draw	image-56	{"x":213.5,"y":764.5}
1470046593773: 	draw	image-56	{"x":214.5,"y":764.5}
1470046593781: 	draw	image-56	{"x":215.5,"y":764.5}
1470046593789: 	draw	image-56	{"x":216.5,"y":763.5}
1470046593797: 	draw	image-56	{"x":217.5,"y":763.5}
1470046593807: 	draw	image-56	{"x":219.5,"y":761.5}
