1470225519280: 	acted on	innerText
1470225519362: 	sub-instrument	start	draw	true
1470225519364: 	activate	draw
1470225520083: 	draw	image-5	{"x":43,"y":69}
1470225520172: 	draw	image-5	{"x":28,"y":72}
1470225520178: 	draw	image-5	{"x":25,"y":75}
1470225520186: 	draw	image-5	{"x":24,"y":77}
1470225520196: 	draw	image-5	{"x":22,"y":79}
1470225520203: 	draw	image-5	{"x":21,"y":81}
1470225520212: 	draw	image-5	{"x":20,"y":83}
1470225520221: 	draw	image-5	{"x":20,"y":85}
1470225520228: 	draw	image-5	{"x":20,"y":86}
1470225520236: 	draw	image-5	{"x":20,"y":89}
1470225520245: 	draw	image-5	{"x":20,"y":90}
1470225520253: 	draw	image-5	{"x":21,"y":92}
1470225520261: 	draw	image-5	{"x":22,"y":93}
1470225520271: 	draw	image-5	{"x":24,"y":95}
1470225520278: 	draw	image-5	{"x":26,"y":96}
1470225520287: 	draw	image-5	{"x":28,"y":97}
1470225520296: 	draw	image-5	{"x":30,"y":97}
1470225520304: 	draw	image-5	{"x":32,"y":97}
1470225520312: 	draw	image-5	{"x":34,"y":97}
1470225520321: 	draw	image-5	{"x":36,"y":96}
1470225520328: 	draw	image-5	{"x":38,"y":95}
1470225520337: 	draw	image-5	{"x":42,"y":93}
1470225520346: 	draw	image-5	{"x":43,"y":92}
1470225520354: 	draw	image-5	{"x":46,"y":89}
1470225520362: 	draw	image-5	{"x":47,"y":87}
1470225520371: 	draw	image-5	{"x":49,"y":84}
1470225520378: 	draw	image-5	{"x":50,"y":82}
1470225520387: 	draw	image-5	{"x":51,"y":79}
1470225520397: 	draw	image-5	{"x":51,"y":76}
1470225520405: 	draw	image-5	{"x":51,"y":74}
1470225520412: 	draw	image-5	{"x":51,"y":72}
1470225520421: 	draw	image-5	{"x":50,"y":71}
1470225520428: 	draw	image-5	{"x":49,"y":69}
1470225520437: 	draw	image-5	{"x":48,"y":68}
1470225520446: 	draw	image-5	{"x":47,"y":67}
1470225520454: 	draw	image-5	{"x":46,"y":66}
1470225520464: 	draw	image-5	{"x":44,"y":65}
1470225520473: 	draw	image-5	{"x":41,"y":64}
1470225520482: 	draw	image-5	{"x":38,"y":64}
1470225520491: 	draw	image-5	{"x":35,"y":64}
1470225520501: 	draw	image-5	{"x":32,"y":65}
1470225520511: 	draw	image-5	{"x":30,"y":67}
1470225520521: 	draw	image-5	{"x":28,"y":68}
1470225520531: 	draw	image-5	{"x":26,"y":71}
1470225520542: 	draw	image-5	{"x":25,"y":73}
1470225520552: 	draw	image-5	{"x":24,"y":75}
