1470226431434: 	acted on	draw
1470226431842: 	acted on	draw
1470226432594: 	acted on	draw
1470226433363: 	acted on	draw
1470226434011: 	acted on	draw
1470226442872: 	acted on	draw
1470226443366: 	acted on	draw
1470226444138: 	acted on	draw
1470226444608: 	acted on	
1470226445045: 	acted on	draw
1470226449743: 	acted on	draw
1470226449994: 	acted on	draw
1470226451045: 	acted on	draw
1470226596659: 	acted on	innerText
1470226596764: 	sub-instrument	start	draw	true
1470226596783: 	activate	draw
1470226600010: 	draw	image-5	{"x":36,"y":78}
1470226600143: 	draw	image-5	{"x":37,"y":94}
1470226600160: 	draw	image-5	{"x":40,"y":94}
1470226600166: 	draw	image-5	{"x":42,"y":93}
1470226600180: 	draw	image-5	{"x":47,"y":87}
1470226600188: 	draw	image-5	{"x":49,"y":84}
1470226600195: 	draw	image-5	{"x":51,"y":81}
1470226600204: 	draw	image-5	{"x":52,"y":77}
1470226600212: 	draw	image-5	{"x":52,"y":74}
1470226600220: 	draw	image-5	{"x":52,"y":72}
1470226600228: 	draw	image-5	{"x":52,"y":70}
1470226600236: 	draw	image-5	{"x":51,"y":68}
1470226600245: 	draw	image-5	{"x":50,"y":67}
1470226600254: 	draw	image-5	{"x":49,"y":66}
1470226600261: 	draw	image-5	{"x":46,"y":64}
1470226600270: 	draw	image-5	{"x":42,"y":64}
1470226600278: 	draw	image-5	{"x":39,"y":64}
1470226600286: 	draw	image-5	{"x":36,"y":65}
1470226600295: 	draw	image-5	{"x":33,"y":66}
1470226600303: 	draw	image-5	{"x":30,"y":67}
1470226600311: 	draw	image-5	{"x":29,"y":68}
1470226600320: 	draw	image-5	{"x":28,"y":69}
1470226600329: 	draw	image-5	{"x":27,"y":70}
1470226600337: 	draw	image-5	{"x":26,"y":71}
1470226600345: 	draw	image-5	{"x":26,"y":72}
1470226600353: 	draw	image-5	{"x":26,"y":73}
1470226600361: 	draw	image-5	{"x":26,"y":76}
1470226600370: 	draw	image-5	{"x":27,"y":78}
1470226600378: 	draw	image-5	{"x":29,"y":80}
1470226600386: 	draw	image-5	{"x":31,"y":82}
1470226600395: 	draw	image-5	{"x":33,"y":83}
1470226600412: 	draw	image-5	{"x":38,"y":86}
1470226600420: 	draw	image-5	{"x":41,"y":86}
1470226600428: 	draw	image-5	{"x":44,"y":86}
1470226600437: 	draw	image-5	{"x":46,"y":86}
1470226600445: 	draw	image-5	{"x":49,"y":85}
1470226600453: 	draw	image-5	{"x":52,"y":84}
1470226600470: 	draw	image-5	{"x":56,"y":79}
1470226600487: 	draw	image-5	{"x":58,"y":74}
1470226600504: 	draw	image-5	{"x":57,"y":70}
1470226600521: 	draw	image-5	{"x":54,"y":66}
1470226600537: 	draw	image-5	{"x":48,"y":64}
1470226600554: 	draw	image-5	{"x":41,"y":64}
1470226600570: 	draw	image-5	{"x":34,"y":66}
1470226600586: 	draw	image-5	{"x":30,"y":69}
1470226600604: 	draw	image-5	{"x":27,"y":72}
1470226600619: 	draw	image-5	{"x":26,"y":79}
1470226600637: 	draw	image-5	{"x":27,"y":84}
1470226600654: 	draw	image-5	{"x":29,"y":88}
1470226600670: 	draw	image-5	{"x":36,"y":91}
1470226600720: 	draw	image-5	{"x":48,"y":91}
1470226600858: 	draw	image-5	{"x":78,"y":88}
1470226600904: 	draw	image-5	{"x":65,"y":96}
1470226600916: 	draw	image-5	{"x":63,"y":98}
1470226600930: 	draw	image-5	{"x":61,"y":104}
1470226600942: 	draw	image-5	{"x":61,"y":107}
1470226600956: 	draw	image-5	{"x":63,"y":112}
1470226600969: 	draw	image-5	{"x":64,"y":115}
1470226600981: 	draw	image-5	{"x":69,"y":118}
1470226600993: 	draw	image-5	{"x":71,"y":119}
1470226601006: 	draw	image-5	{"x":78,"y":119}
1470226601019: 	draw	image-5	{"x":81,"y":119}
1470226601040: 	draw	image-5	{"x":86,"y":115}
1470226601048: 	draw	image-5	{"x":90,"y":111}
1470226601054: 	draw	image-5	{"x":92,"y":106}
1470226601061: 	draw	image-5	{"x":94,"y":103}
1470226601068: 	draw	image-5	{"x":95,"y":100}
1470226601075: 	draw	image-5	{"x":95,"y":96}
1470226601082: 	draw	image-5	{"x":95,"y":93}
1470226601089: 	draw	image-5	{"x":95,"y":90}
1470226601094: 	draw	image-5	{"x":94,"y":88}
1470226601103: 	draw	image-5	{"x":93,"y":86}
1470226601111: 	draw	image-5	{"x":90,"y":84}
1470226601121: 	draw	image-5	{"x":87,"y":82}
1470226601129: 	draw	image-5	{"x":82,"y":82}
1470226601139: 	draw	image-5	{"x":77,"y":83}
1470226601145: 	draw	image-5	{"x":72,"y":85}
1470226601153: 	draw	image-5	{"x":67,"y":88}
1470226601161: 	draw	image-5	{"x":64,"y":90}
1470226601170: 	draw	image-5	{"x":61,"y":92}
1470226601179: 	draw	image-5	{"x":58,"y":95}
1470226601186: 	draw	image-5	{"x":57,"y":98}
1470226601195: 	draw	image-5	{"x":55,"y":102}
1470226601204: 	draw	image-5	{"x":54,"y":105}
1470226601213: 	draw	image-5	{"x":54,"y":108}
1470226601221: 	draw	image-5	{"x":55,"y":111}
1470226601234: 	draw	image-5	{"x":55,"y":113}
1470226601244: 	draw	image-5	{"x":56,"y":115}
1470226601253: 	draw	image-5	{"x":58,"y":117}
1470226601264: 	draw	image-5	{"x":61,"y":119}
1470226601282: 	draw	image-5	{"x":67,"y":121}
1470226601287: 	draw	image-5	{"x":73,"y":120}
1470226601299: 	draw	image-5	{"x":76,"y":119}
1470226601306: 	draw	image-5	{"x":78,"y":118}
1470226601315: 	draw	image-5	{"x":80,"y":116}
1470226601323: 	draw	image-5	{"x":83,"y":113}
1470226601336: 	draw	image-5	{"x":84,"y":109}
1470226601341: 	draw	image-5	{"x":84,"y":106}
1470226601347: 	draw	image-5	{"x":84,"y":104}
1470226601365: 	draw	image-5	{"x":83,"y":102}
1470226601372: 	draw	image-5	{"x":81,"y":101}
1470226601380: 	draw	image-5	{"x":80,"y":99}
1470226601387: 	draw	image-5	{"x":78,"y":99}
1470226601400: 	draw	image-5	{"x":75,"y":99}
1470226601407: 	draw	image-5	{"x":73,"y":99}
1470226601414: 	draw	image-5	{"x":72,"y":99}
1470226601422: 	draw	image-5	{"x":70,"y":100}
1470226601437: 	draw	image-5	{"x":69,"y":101}
1470226601445: 	draw	image-5	{"x":68,"y":103}
1470226601464: 	draw	image-5	{"x":68,"y":105}
1470226601470: 	draw	image-5	{"x":69,"y":107}
1470226601478: 	draw	image-5	{"x":70,"y":108}
1470226601489: 	draw	image-5	{"x":71,"y":109}
1470226601495: 	draw	image-5	{"x":73,"y":110}
1470226601504: 	draw	image-5	{"x":76,"y":111}
1470226601511: 	draw	image-5	{"x":78,"y":110}
1470226601520: 	draw	image-5	{"x":80,"y":109}
1470226601528: 	draw	image-5	{"x":82,"y":108}
1470226601536: 	draw	image-5	{"x":83,"y":108}
1470226601544: 	draw	image-5	{"x":83,"y":107}
1470226601561: 	draw	image-5	{"x":83,"y":106}
1470226601569: 	draw	image-5	{"x":82,"y":106}
1470226601578: 	draw	image-5	{"x":81,"y":106}
1470226601586: 	draw	image-5	{"x":79,"y":106}
1470226601594: 	draw	image-5	{"x":74,"y":105}
1470226601604: 	draw	image-5	{"x":72,"y":106}
1470226601611: 	draw	image-5	{"x":70,"y":108}
1470226601620: 	draw	image-5	{"x":69,"y":108}
1470226601628: 	draw	image-5	{"x":69,"y":109}
1470226601636: 	draw	image-5	{"x":68,"y":110}
1470226601654: 	draw	image-5	{"x":69,"y":110}
1470226601679: 	draw	image-5	{"x":71,"y":109}
1470226601686: 	draw	image-5	{"x":75,"y":108}
1470226601694: 	draw	image-5	{"x":76,"y":108}
1470226601704: 	draw	image-5	{"x":77,"y":107}
1470226601736: 	draw	image-5	{"x":76,"y":108}
1470226601744: 	draw	image-5	{"x":75,"y":109}
1470226601754: 	draw	image-5	{"x":74,"y":112}
1470226601761: 	draw	image-5	{"x":72,"y":116}
1470226601769: 	draw	image-5	{"x":71,"y":117}
1470226600158: 	acted on	innerText
1470226600225: 	sub-instrument	stop	draw	false
1470226600230: 	deactivate	draw
1470226614516: 	acted on	sample
1470226620330: 	acted on	sample
1470226620628: 	acted on	sample
1470226620841: 	acted on	sample
1470226621059: 	acted on	sample
1470226621265: 	acted on	sample
1470226621483: 	acted on	sample
1470226621709: 	acted on	sample
1470226621962: 	acted on	sample
1470226622198: 	acted on	sample
1470226622741: 	acted on	sample
1470226623191: 	acted on	sample
1470226625253: 	acted on	innerText
1470226625353: 	sub-instrument	start	draw	true
1470226625365: 	activate	draw
1470226628559: 	draw	image-5	{"x":108,"y":32}
1470226628704: 	draw	image-5	{"x":109,"y":49}
1470226628711: 	draw	image-5	{"x":108,"y":51}
1470226628718: 	draw	image-5	{"x":107,"y":54}
1470226628728: 	draw	image-5	{"x":106,"y":57}
1470226628736: 	draw	image-5	{"x":105,"y":59}
1470226628745: 	draw	image-5	{"x":105,"y":61}
1470226628753: 	draw	image-5	{"x":104,"y":63}
1470226628761: 	draw	image-5	{"x":103,"y":65}
1470226628769: 	draw	image-5	{"x":103,"y":67}
1470226628778: 	draw	image-5	{"x":102,"y":70}
1470226628785: 	draw	image-5	{"x":101,"y":71}
1470226628794: 	draw	image-5	{"x":101,"y":73}
1470226628802: 	draw	image-5	{"x":99,"y":76}
1470226628810: 	draw	image-5	{"x":98,"y":78}
1470226628818: 	draw	image-5	{"x":97,"y":80}
1470226628828: 	draw	image-5	{"x":96,"y":82}
1470226628835: 	draw	image-5	{"x":96,"y":84}
1470226628843: 	draw	image-5	{"x":95,"y":85}
1470226628853: 	draw	image-5	{"x":94,"y":86}
1470226628860: 	draw	image-5	{"x":93,"y":88}
1470226628868: 	draw	image-5	{"x":92,"y":89}
1470226628878: 	draw	image-5	{"x":92,"y":90}
1470226628885: 	draw	image-5	{"x":91,"y":90}
1470226628893: 	draw	image-5	{"x":91,"y":91}
1470226628903: 	draw	image-5	{"x":91,"y":92}
1470226628919: 	draw	image-5	{"x":90,"y":92}
1470226629283: 	draw	image-5	{"x":111,"y":23}
1470226629378: 	draw	image-5	{"x":104,"y":37}
1470226629386: 	draw	image-5	{"x":102,"y":38}
1470226629395: 	draw	image-5	{"x":100,"y":41}
1470226629403: 	draw	image-5	{"x":98,"y":43}
1470226629420: 	draw	image-5	{"x":95,"y":46}
1470226629427: 	draw	image-5	{"x":89,"y":50}
1470226629435: 	draw	image-5	{"x":86,"y":51}
1470226629444: 	draw	image-5	{"x":83,"y":53}
1470226629452: 	draw	image-5	{"x":80,"y":55}
1470226629461: 	draw	image-5	{"x":77,"y":57}
1470226629470: 	draw	image-5	{"x":74,"y":58}
1470226629478: 	draw	image-5	{"x":72,"y":60}
1470226629487: 	draw	image-5	{"x":70,"y":61}
1470226629495: 	draw	image-5	{"x":68,"y":62}
1470226629503: 	draw	image-5	{"x":66,"y":64}
1470226629511: 	draw	image-5	{"x":64,"y":64}
1470226629520: 	draw	image-5	{"x":62,"y":65}
1470226629528: 	draw	image-5	{"x":60,"y":66}
1470226629536: 	draw	image-5	{"x":59,"y":67}
1470226629545: 	draw	image-5	{"x":57,"y":68}
1470226629552: 	draw	image-5	{"x":56,"y":68}
1470226629571: 	draw	image-5	{"x":55,"y":68}
1470226629587: 	draw	image-5	{"x":55,"y":69}
1470226628529: 	acted on	innerText
1470226628616: 	sub-instrument	stop	draw	false
1470226628621: 	deactivate	draw
1470226668111: 	acted on	innerText
1470226668200: 	sub-instrument	start	draw	true
1470226668205: 	activate	draw
1470226669010: 	acted on	sample
1470226671342: 	draw	sample	{"x":175.17100524902344,"y":274.81500244140625}
1470226671408: 	draw	sample	{"x":178.61500549316406,"y":266.5830078125}
1470226671458: 	draw	sample	{"x":175.17100524902344,"y":259.989013671875}
