1470225563397: 	acted on	sample
1470225567045: 	acted on	menu
1470225568145: 	acted on	innerText
1470225568312: 	sub-instrument	start	shapes	true
1470225568313: 	activate	shapes
1470225569346: 	acted on	circle
1470225569520: 	sub-instrument	circle	shapes	true
1470225570412: 	acted on	circle
1470225570571: 	sub-instrument	circle	shapes	true
1470225571390: 	shape started	{"x":1007,"y":181}
1470225571395: 	shape continued	10	circle
1470225571821: 	shape continued	15	circle
1470225571827: 	shape continued	17	circle
1470225571836: 	shape continued	18	circle
1470225571845: 	shape continued	19	circle
1470225571853: 	shape continued	21	circle
1470225571861: 	shape continued	22	circle
1470225571870: 	shape continued	24	circle
1470225571877: 	shape continued	25	circle
1470225571886: 	shape continued	27	circle
1470225571894: 	shape continued	29	circle
1470225571903: 	shape continued	31	circle
1470225571911: 	shape continued	33	circle
1470225571920: 	shape continued	35	circle
1470225571928: 	shape continued	36	circle
1470225571935: 	shape continued	38	circle
1470225571944: 	shape continued	40	circle
1470225571952: 	shape continued	42	circle
1470225571960: 	shape continued	43	circle
1470225571970: 	shape continued	45	circle
1470225571978: 	shape continued	46	circle
1470225571985: 	shape continued	47	circle
1470225571994: 	shape continued	48	circle
1470225572002: 	shape continued	50	circle
1470225572011: 	shape continued	51	circle
1470225572019: 	shape continued	53	circle
1470225572028: 	shape continued	55	circle
1470225572035: 	shape continued	56	circle
1470225572044: 	shape continued	58	circle
1470225572052: 	shape continued	59	circle
1470225572060: 	shape continued	61	circle
1470225572070: 	shape continued	62	circle
1470225572077: 	shape continued	64	circle
1470225572085: 	shape continued	66	circle
1470225572094: 	shape continued	67	circle
1470225572102: 	shape continued	69	circle
1470225572110: 	shape continued	71	circle
1470225572119: 	shape continued	73	circle
1470225572127: 	shape continued	75	circle
1470225572136: 	shape continued	77	circle
1470225572144: 	shape continued	79	circle
1470225572152: 	shape continued	80	circle
1470225572160: 	shape continued	82	circle
1470225572170: 	shape continued	83	circle
1470225572177: 	shape continued	85	circle
1470225572185: 	shape continued	86	circle
1470225572194: 	shape continued	88	circle
1470225572202: 	shape continued	90	circle
1470225572210: 	shape continued	92	circle
1470225572219: 	shape continued	94	circle
1470225572227: 	shape continued	95	circle
1470225572236: 	shape continued	97	circle
1470225572244: 	shape continued	98	circle
1470225572252: 	shape continued	100	circle
1470225572260: 	shape continued	102	circle
1470225572270: 	shape continued	103	circle
1470225572278: 	shape continued	105	circle
1470225572285: 	shape continued	106	circle
1470225572295: 	shape continued	108	circle
1470225572302: 	shape continued	110	circle
1470225572310: 	shape continued	111	circle
1470225572320: 	shape continued	112	circle
1470225572327: 	shape continued	114	circle
1470225572335: 	shape continued	116	circle
1470225572345: 	shape continued	117	circle
1470225572352: 	shape continued	119	circle
1470225572360: 	shape continued	120	circle
1470225572369: 	shape continued	122	circle
1470225572378: 	shape continued	123	circle
1470225572385: 	shape continued	125	circle
1470225572394: 	shape continued	126	circle
1470225572402: 	shape continued	128	circle
1470225572410: 	shape continued	129	circle
1470225572420: 	shape continued	130	circle
1470225572427: 	shape continued	132	circle
1470225572435: 	shape continued	134	circle
1470225572444: 	shape continued	135	circle
1470225572452: 	shape continued	137	circle
1470225572460: 	shape continued	138	circle
1470225572469: 	shape continued	140	circle
1470225572477: 	shape continued	142	circle
1470225572485: 	shape continued	144	circle
1470225572494: 	shape continued	146	circle
1470225572503: 	shape continued	148	circle
1470225572511: 	shape continued	150	circle
1470225572520: 	shape continued	152	circle
1470225572528: 	shape continued	154	circle
1470225572537: 	shape continued	156	circle
1470225572546: 	shape continued	157	circle
1470225572555: 	shape continued	159	circle
1470225572565: 	shape continued	162	circle
1470225572573: 	shape continued	164	circle
1470225572583: 	shape continued	166	circle
1470225572592: 	shape continued	168	circle
1470225572602: 	shape continued	170	circle
1470225572612: 	shape continued	174	circle
1470225572622: 	shape continued	177	circle
1470225572631: 	shape continued	178	circle
1470225572642: 	shape continued	180	circle
1470225572652: 	shape continued	183	circle
1470225572663: 	shape continued	187	circle
1470225572673: 	shape continued	189	circle
1470225572683: 	shape continued	191	circle
1470225572697: 	shape continued	193	circle
1470225572704: 	shape continued	195	circle
1470225572713: 	shape continued	197	circle
1470225572723: 	shape continued	199	circle
1470225572733: 	shape continued	203	circle
1470225572742: 	shape continued	206	circle
1470225572748: 	shape continued	207	circle
1470225572755: 	shape continued	209	circle
1470225572761: 	shape continued	211	circle
1470225572769: 	shape continued	213	circle
1470225572786: 	shape continued	217	circle
1470225572779: 	shape continued	215	circle
