1470226429615: 	acted on	shapes
1470226429981: 	acted on	shapes
1470226608794: 	acted on	sample
1470226609989: 	acted on	sample
1470226629421: 	acted on	innerText
1470226629492: 	sub-instrument	start	shapes	true
1470226629514: 	activate	shapes
1470226630319: 	acted on	circle
1470226630380: 	sub-instrument	circle	shapes	true
1470226633915: 	shape started	{"x":1043,"y":208}
1470226633918: 	shape continued	10	circle
1470226634021: 	shape continued	15	circle
1470226634028: 	shape continued	18	circle
1470226634042: 	shape continued	21	circle
1470226634050: 	shape continued	25	circle
1470226634060: 	shape continued	28	circle
1470226634065: 	shape continued	31	circle
1470226634071: 	shape continued	34	circle
1470226634078: 	shape continued	37	circle
1470226634087: 	shape continued	40	circle
1470226634095: 	shape continued	44	circle
1470226634103: 	shape continued	47	circle
1470226634113: 	shape continued	51	circle
1470226634120: 	shape continued	55	circle
1470226634128: 	shape continued	59	circle
1470226634139: 	shape continued	63	circle
1470226634145: 	shape continued	67	circle
1470226634153: 	shape continued	70	circle
1470226634161: 	shape continued	74	circle
1470226634169: 	shape continued	78	circle
1470226634177: 	shape continued	82	circle
1470226634186: 	shape continued	86	circle
1470226634194: 	shape continued	90	circle
1470226634203: 	shape continued	93	circle
1470226634211: 	shape continued	97	circle
1470226634221: 	shape continued	101	circle
1470226634227: 	shape continued	106	circle
1470226634236: 	shape continued	110	circle
1470226634244: 	shape continued	114	circle
1470226634252: 	shape continued	118	circle
1470226634261: 	shape continued	122	circle
1470226634269: 	shape continued	126	circle
1470226634277: 	shape continued	130	circle
1470226634286: 	shape continued	134	circle
1470226634294: 	shape continued	137	circle
1470226634302: 	shape continued	140	circle
1470226634311: 	shape continued	144	circle
1470226634319: 	shape continued	147	circle
1470226634327: 	shape continued	150	circle
1470226634336: 	shape continued	153	circle
1470226634344: 	shape continued	156	circle
1470226634352: 	shape continued	159	circle
1470226634361: 	shape continued	162	circle
1470226634369: 	shape continued	166	circle
1470226634377: 	shape continued	170	circle
1470226634386: 	shape continued	173	circle
1470226634394: 	shape continued	176	circle
1470226634403: 	shape continued	178	circle
1470226634411: 	shape continued	181	circle
1470226634419: 	shape continued	185	circle
1470226634428: 	shape continued	188	circle
1470226634437: 	shape continued	191	circle
1470226634444: 	shape continued	194	circle
1470226634453: 	shape continued	197	circle
1470226634461: 	shape continued	200	circle
1470226634470: 	shape continued	203	circle
1470226634477: 	shape continued	206	circle
1470226634486: 	shape continued	209	circle
1470226634494: 	shape continued	211	circle
1470226634502: 	shape continued	214	circle
1470226634511: 	shape continued	217	circle
1470226634519: 	shape continued	219	circle
1470226634528: 	shape continued	221	circle
1470226634536: 	shape continued	223	circle
1470226634544: 	shape continued	226	circle
1470226634553: 	shape continued	228	circle
1470226634561: 	shape continued	230	circle
1470226634570: 	shape continued	232	circle
1470226634577: 	shape continued	234	circle
1470226634587: 	shape continued	236	circle
1470226634594: 	shape continued	238	circle
1470226634603: 	shape continued	240	circle
1470226634611: 	shape continued	242	circle
1470226634619: 	shape continued	243	circle
1470226634628: 	shape continued	245	circle
1470226634637: 	shape continued	247	circle
1470226634645: 	shape continued	248	circle
1470226634654: 	shape continued	250	circle
1470226634662: 	shape continued	251	circle
1470226634669: 	shape continued	253	circle
1470226634677: 	shape continued	254	circle
1470226634686: 	shape continued	256	circle
1470226634694: 	shape continued	257	circle
1470226634702: 	shape continued	259	circle
1470226634712: 	shape continued	260	circle
1470226634720: 	shape continued	261	circle
1470226634727: 	shape continued	262	circle
1470226634736: 	shape continued	263	circle
1470226634744: 	shape continued	264	circle
1470226634752: 	shape continued	265	circle
1470226634762: 	shape continued	266	circle
1470226634770: 	shape continued	267	circle
1470226634777: 	shape continued	268	circle
1470226634787: 	shape continued	269	circle
1470226634794: 	shape continued	270	circle
1470226634802: 	shape continued	271	circle
1470226634812: 	shape continued	272	circle
1470226634819: 	shape continued	273	circle
1470226634829: 	shape continued	274	circle
1470226634837: 	shape continued	275	circle
1470226634844: 	shape continued	276	circle
1470226634852: 	shape continued	278	circle
1470226634862: 	shape continued	279	circle
1470226634870: 	shape continued	280	circle
1470226634877: 	shape continued	281	circle
1470226634887: 	shape continued	282	circle
1470226634894: 	shape continued	284	circle
1470226634902: 	shape continued	285	circle
1470226634911: 	shape continued	286	circle
1470226634919: 	shape continued	287	circle
1470226634927: 	shape continued	289	circle
1470226634936: 	shape continued	290	circle
1470226634944: 	shape continued	292	circle
1470226634952: 	shape continued	293	circle
1470226634962: 	shape continued	294	circle
1470226634971: 	shape continued	296	circle
1470226634978: 	shape continued	298	circle
1470226634986: 	shape continued	300	circle
1470226634994: 	shape continued	302	circle
1470226635002: 	shape continued	304	circle
1470226635012: 	shape continued	307	circle
1470226635019: 	shape continued	310	circle
1470226635028: 	shape continued	313	circle
1470226635037: 	shape continued	317	circle
1470226633264: 	acted on	innerText
1470226633333: 	sub-instrument	stop	shapes	false
1470226633346: 	deactivate	shapes
1470226690462: 	acted on	innerText
1470226690498: 	sub-instrument	start	shapes	true
1470226690519: 	activate	shapes
1470226691284: 	acted on	rectangle
1470226691322: 	sub-instrument	rectangle	shapes	true
1470226695440: 	shape started	{"x":173,"y":440}
1470226695442: 	shape continued	10	rectangle
1470226695535: 	shape continued	10	rectangle
1470226695542: 	shape continued	10	rectangle
1470226695550: 	shape continued	10	rectangle
1470226695558: 	shape continued	10	rectangle
1470226695569: 	shape continued	11	rectangle
1470226695576: 	shape continued	12	rectangle
1470226695584: 	shape continued	15	rectangle
1470226695593: 	shape continued	16	rectangle
1470226695601: 	shape continued	16	rectangle
1470226695609: 	shape continued	18	rectangle
1470226695618: 	shape continued	19	rectangle
1470226695625: 	shape continued	20	rectangle
1470226695634: 	shape continued	22	rectangle
1470226695643: 	shape continued	23	rectangle
1470226695650: 	shape continued	24	rectangle
1470226695658: 	shape continued	25	rectangle
1470226695667: 	shape continued	26	rectangle
1470226695684: 	shape continued	27	rectangle
1470226695692: 	shape continued	28	rectangle
1470226695699: 	shape continued	30	rectangle
