1470232049389: 	acted on	sample
1470232049666: 	acted on	sample
1470232050871: 	acted on	menu
1470232053264: 	acted on	innerText
1470232053407: 	sub-instrument	start	draw	true
1470232053413: 	activate	draw
1470232058250: 	draw	content	{"x":399,"y":674}
1470232058363: 	draw	content	{"x":399,"y":658}
1470232058381: 	draw	content	{"x":399,"y":654}
1470232058395: 	draw	content	{"x":400,"y":652}
1470232058403: 	draw	content	{"x":400,"y":650}
1470232058412: 	draw	content	{"x":400,"y":648}
1470232058420: 	draw	content	{"x":400,"y":647}
1470232058429: 	draw	content	{"x":401,"y":645}
1470232058445: 	draw	content	{"x":401,"y":643}
1470232058454: 	draw	content	{"x":402,"y":642}
1470232058463: 	draw	content	{"x":402,"y":641}
1470232058470: 	draw	content	{"x":402,"y":640}
1470232058479: 	draw	content	{"x":403,"y":638}
1470232058495: 	draw	content	{"x":404,"y":634}
1470232058504: 	draw	content	{"x":405,"y":632}
1470232058512: 	draw	content	{"x":405,"y":630}
1470232058520: 	draw	content	{"x":405,"y":629}
1470232058529: 	draw	content	{"x":406,"y":627}
1470232058537: 	draw	content	{"x":406,"y":625}
1470232058545: 	draw	content	{"x":406,"y":624}
1470232058554: 	draw	content	{"x":406,"y":622}
1470232058562: 	draw	content	{"x":407,"y":621}
1470232058570: 	draw	content	{"x":407,"y":619}
1470232058580: 	draw	content	{"x":407,"y":618}
1470232058595: 	draw	content	{"x":408,"y":613}
1470232058604: 	draw	content	{"x":408,"y":611}
1470232058612: 	draw	content	{"x":409,"y":610}
1470232058621: 	draw	content	{"x":409,"y":607}
1470232058629: 	draw	content	{"x":410,"y":606}
1470232058638: 	draw	content	{"x":410,"y":604}
1470232058646: 	draw	content	{"x":410,"y":602}
1470232058654: 	draw	content	{"x":411,"y":600}
1470232058662: 	draw	content	{"x":411,"y":599}
1470232058671: 	draw	content	{"x":411,"y":598}
1470232058679: 	draw	content	{"x":412,"y":596}
1470232058687: 	draw	content	{"x":412,"y":594}
1470232058695: 	draw	content	{"x":412,"y":592}
1470232058704: 	draw	content	{"x":413,"y":590}
1470232058713: 	draw	content	{"x":413,"y":588}
1470232058720: 	draw	content	{"x":413,"y":586}
1470232058730: 	draw	content	{"x":414,"y":584}
1470232058737: 	draw	content	{"x":414,"y":583}
1470232058745: 	draw	content	{"x":414,"y":580}
1470232058756: 	draw	content	{"x":414,"y":578}
1470232058770: 	draw	content	{"x":416,"y":572}
1470232058779: 	draw	content	{"x":416,"y":570}
1470232058787: 	draw	content	{"x":416,"y":568}
1470232058795: 	draw	content	{"x":416,"y":566}
1470232058805: 	draw	content	{"x":416,"y":563}
1470232058811: 	draw	content	{"x":417,"y":561}
1470232058821: 	draw	content	{"x":417,"y":559}
1470232058829: 	draw	content	{"x":417,"y":556}
1470232058838: 	draw	content	{"x":418,"y":555}
1470232058855: 	draw	content	{"x":419,"y":549}
1470232058862: 	draw	content	{"x":419,"y":547}
1470232058869: 	draw	content	{"x":419,"y":545}
1470232058880: 	draw	content	{"x":419,"y":543}
1470232058896: 	draw	content	{"x":420,"y":539}
1470232058904: 	draw	content	{"x":420,"y":537}
1470232058911: 	draw	content	{"x":420,"y":535}
1470232058921: 	draw	content	{"x":421,"y":534}
1470232058929: 	draw	content	{"x":421,"y":532}
1470232058937: 	draw	content	{"x":422,"y":530}
1470232058946: 	draw	content	{"x":422,"y":528}
1470232058954: 	draw	content	{"x":423,"y":527}
1470232058962: 	draw	content	{"x":423,"y":525}
1470232058970: 	draw	content	{"x":424,"y":525}
1470232058979: 	draw	content	{"x":424,"y":524}
1470232058988: 	draw	content	{"x":424,"y":523}
1470232058996: 	draw	content	{"x":425,"y":522}
1470232059014: 	draw	content	{"x":426,"y":522}
1470232059019: 	draw	content	{"x":427,"y":522}
1470232059029: 	draw	content	{"x":428,"y":521}
1470232059045: 	draw	content	{"x":432,"y":521}
1470232059054: 	draw	content	{"x":435,"y":522}
1470232059064: 	draw	content	{"x":436,"y":523}
1470232059070: 	draw	content	{"x":439,"y":524}
1470232059080: 	draw	content	{"x":441,"y":525}
1470232059095: 	draw	content	{"x":445,"y":528}
1470232059111: 	draw	content	{"x":449,"y":531}
1470232059121: 	draw	content	{"x":452,"y":533}
1470232059129: 	draw	content	{"x":453,"y":534}
1470232059139: 	draw	content	{"x":455,"y":535}
1470232059155: 	draw	content	{"x":460,"y":537}
1470232059172: 	draw	content	{"x":463,"y":539}
1470232059186: 	draw	content	{"x":467,"y":541}
1470232059195: 	draw	content	{"x":468,"y":541}
1470232059205: 	draw	content	{"x":469,"y":542}
1470232059220: 	draw	content	{"x":471,"y":542}
1470232059229: 	draw	content	{"x":472,"y":543}
1470232059237: 	draw	content	{"x":473,"y":543}
1470232059245: 	draw	content	{"x":475,"y":543}
1470232059254: 	draw	content	{"x":476,"y":542}
1470232059271: 	draw	content	{"x":478,"y":541}
1470232059278: 	draw	content	{"x":480,"y":540}
1470232059287: 	draw	content	{"x":482,"y":537}
1470232059304: 	draw	content	{"x":485,"y":533}
1470232059312: 	draw	content	{"x":486,"y":530}
1470232059330: 	draw	content	{"x":489,"y":524}
1470232059347: 	draw	content	{"x":490,"y":520}
1470232059364: 	draw	content	{"x":492,"y":515}
1470232059381: 	draw	content	{"x":494,"y":509}
1470232059395: 	draw	content	{"x":495,"y":504}
1470232059405: 	draw	content	{"x":495,"y":501}
1470232059421: 	draw	content	{"x":497,"y":495}
1470232059429: 	draw	content	{"x":497,"y":492}
1470232059440: 	draw	content	{"x":498,"y":490}
1470232059454: 	draw	content	{"x":499,"y":483}
1470232059469: 	draw	content	{"x":500,"y":477}
1470232059480: 	draw	content	{"x":500,"y":474}
1470232059497: 	draw	content	{"x":501,"y":469}
1470232059512: 	draw	content	{"x":502,"y":465}
1470232059522: 	draw	content	{"x":503,"y":462}
1470232059540: 	draw	content	{"x":504,"y":456}
1470232059554: 	draw	content	{"x":505,"y":452}
1470232059570: 	draw	content	{"x":506,"y":447}
1470232059583: 	draw	content	{"x":506,"y":445}
1470232059599: 	draw	content	{"x":507,"y":441}
1470232059612: 	draw	content	{"x":508,"y":436}
1470232059632: 	draw	content	{"x":508,"y":433}
1470232059654: 	draw	content	{"x":509,"y":427}
1470232059664: 	draw	content	{"x":510,"y":425}
1470232059678: 	draw	content	{"x":511,"y":422}
1470232059687: 	draw	content	{"x":511,"y":420}
1470232059700: 	draw	content	{"x":511,"y":418}
1470232059712: 	draw	content	{"x":511,"y":414}
1470232059725: 	draw	content	{"x":511,"y":413}
1470232059737: 	draw	content	{"x":512,"y":411}
1470232059745: 	draw	content	{"x":512,"y":409}
1470232059756: 	draw	content	{"x":512,"y":408}
1470232059769: 	draw	content	{"x":512,"y":405}
1470232059778: 	draw	content	{"x":513,"y":403}
1470232059795: 	draw	content	{"x":513,"y":401}
1470232059811: 	draw	content	{"x":513,"y":399}
1470232059819: 	draw	content	{"x":513,"y":398}
1470232059829: 	draw	content	{"x":514,"y":397}
1470232059836: 	draw	content	{"x":514,"y":396}
1470232059853: 	draw	content	{"x":514,"y":393}
1470232059862: 	draw	content	{"x":514,"y":392}
1470232059869: 	draw	content	{"x":514,"y":391}
1470232059887: 	draw	content	{"x":515,"y":390}
1470232059919: 	draw	content	{"x":515,"y":389}
1470232059962: 	draw	content	{"x":516,"y":389}
1470232059980: 	draw	content	{"x":516,"y":390}
1470232059995: 	draw	content	{"x":521,"y":393}
1470232060003: 	draw	content	{"x":523,"y":395}
1470232060011: 	draw	content	{"x":524,"y":398}
