1470231132743: 	acted on	draw
1470231737550: 	acted on	innerText
1470231737686: 	sub-instrument	start	draw	true
1470231737714: 	activate	draw
1470231742057: 	draw	image-5	{"x":28,"y":74}
1470231742152: 	draw	image-5	{"x":41,"y":85}
1470231742161: 	draw	image-5	{"x":43,"y":85}
1470231742173: 	draw	image-5	{"x":45,"y":85}
1470231742182: 	draw	image-5	{"x":47,"y":86}
1470231742191: 	draw	image-5	{"x":48,"y":86}
1470231742198: 	draw	image-5	{"x":49,"y":86}
1470231742204: 	draw	image-5	{"x":51,"y":86}
1470231742212: 	draw	image-5	{"x":52,"y":85}
1470231742220: 	draw	image-5	{"x":53,"y":85}
1470231742226: 	draw	image-5	{"x":54,"y":84}
1470231742235: 	draw	image-5	{"x":55,"y":84}
1470231742243: 	draw	image-5	{"x":56,"y":81}
1470231742251: 	draw	image-5	{"x":57,"y":78}
1470231742260: 	draw	image-5	{"x":56,"y":75}
1470231742268: 	draw	image-5	{"x":56,"y":72}
1470231742276: 	draw	image-5	{"x":55,"y":69}
1470231742285: 	draw	image-5	{"x":54,"y":66}
1470231742293: 	draw	image-5	{"x":52,"y":62}
1470231742302: 	draw	image-5	{"x":51,"y":60}
1470231742310: 	draw	image-5	{"x":50,"y":59}
1470231742318: 	draw	image-5	{"x":49,"y":57}
1470231742326: 	draw	image-5	{"x":48,"y":56}
1470231742335: 	draw	image-5	{"x":46,"y":56}
1470231742343: 	draw	image-5	{"x":45,"y":55}
1470231742351: 	draw	image-5	{"x":43,"y":55}
1470231742360: 	draw	image-5	{"x":40,"y":56}
1470231742368: 	draw	image-5	{"x":37,"y":58}
1470231742376: 	draw	image-5	{"x":34,"y":60}
1470231742385: 	draw	image-5	{"x":32,"y":62}
1470231742393: 	draw	image-5	{"x":30,"y":65}
1470231742402: 	draw	image-5	{"x":29,"y":68}
1470231742410: 	draw	image-5	{"x":28,"y":71}
1470231742418: 	draw	image-5	{"x":27,"y":74}
1470231742426: 	draw	image-5	{"x":27,"y":76}
1470231742436: 	draw	image-5	{"x":27,"y":79}
1470231742443: 	draw	image-5	{"x":27,"y":81}
1470231742451: 	draw	image-5	{"x":28,"y":83}
1470231742460: 	draw	image-5	{"x":28,"y":84}
1470231742468: 	draw	image-5	{"x":29,"y":86}
1470231742477: 	draw	image-5	{"x":31,"y":87}
1470231742485: 	draw	image-5	{"x":32,"y":88}
1470231742493: 	draw	image-5	{"x":34,"y":89}
1470231742502: 	draw	image-5	{"x":36,"y":89}
1470231742510: 	draw	image-5	{"x":38,"y":89}
1470231742519: 	draw	image-5	{"x":40,"y":89}
1470231742528: 	draw	image-5	{"x":43,"y":88}
1470231742535: 	draw	image-5	{"x":45,"y":87}
1470231742543: 	draw	image-5	{"x":48,"y":85}
1470231742551: 	draw	image-5	{"x":50,"y":83}
1470231742560: 	draw	image-5	{"x":51,"y":82}
1470231742568: 	draw	image-5	{"x":53,"y":79}
1470231742576: 	draw	image-5	{"x":54,"y":78}
1470231742586: 	draw	image-5	{"x":55,"y":76}
1470231742593: 	draw	image-5	{"x":56,"y":74}
1470231742601: 	draw	image-5	{"x":56,"y":72}
1470231742610: 	draw	image-5	{"x":55,"y":69}
1470231742618: 	draw	image-5	{"x":54,"y":67}
1470231742627: 	draw	image-5	{"x":53,"y":64}
1470231742635: 	draw	image-5	{"x":51,"y":63}
1470231742643: 	draw	image-5	{"x":50,"y":62}
1470231742652: 	draw	image-5	{"x":48,"y":60}
1470231742660: 	draw	image-5	{"x":46,"y":60}
1470231742668: 	draw	image-5	{"x":43,"y":59}
1470231742676: 	draw	image-5	{"x":41,"y":60}
1470231742685: 	draw	image-5	{"x":38,"y":60}
