1470237036399: 	acted on	menu
1470237037751: 	acted on	menu
1470237037854: 	switched instrument	clipboard	to	mover-C
1470237060402: 	acted on	innerText
1470237060560: 	sub-instrument	start	mover	true
1470237060580: 	activate	mover
1470237064490: 	acted on	image-62
1470237064496: 	action	mover	image-62	{"x":611,"y":483}
1470237064502: 	start moving	image-62	from	{"x":77,"y":94}
1470237064514: 	action	mover	image-62	{"x":595,"y":474}
1470237064515: 	moved	image-62	to	{"x":595,"y":474}
1470237064522: 	action	mover	image-62	{"x":589,"y":471}
1470237064523: 	moved	image-62	to	{"x":589,"y":471}
1470237064528: 	action	mover	image-62	{"x":582,"y":469}
1470237064529: 	moved	image-62	to	{"x":582,"y":469}
1470237064535: 	action	mover	image-62	{"x":575,"y":467}
1470237064543: 	action	mover	image-62	{"x":568,"y":465}
1470237064544: 	moved	image-62	to	{"x":568,"y":465}
1470237064552: 	action	mover	image-62	{"x":560,"y":463}
1470237064560: 	action	mover	image-62	{"x":552,"y":460}
1470237064561: 	moved	image-62	to	{"x":552,"y":460}
1470237064569: 	action	mover	image-62	{"x":544,"y":457}
1470237064570: 	moved	image-62	to	{"x":544,"y":457}
1470237064577: 	action	mover	image-62	{"x":535,"y":455}
1470237064578: 	moved	image-62	to	{"x":535,"y":455}
1470237064585: 	action	mover	image-62	{"x":527,"y":453}
1470237064586: 	moved	image-62	to	{"x":527,"y":453}
1470237064594: 	action	mover	image-62	{"x":519,"y":450}
1470237064595: 	moved	image-62	to	{"x":519,"y":450}
1470237064602: 	action	mover	image-62	{"x":510,"y":446}
1470237064603: 	moved	image-62	to	{"x":510,"y":446}
1470237064609: 	action	mover	image-62	{"x":503,"y":443}
1470237064610: 	moved	image-62	to	{"x":503,"y":443}
1470237064619: 	action	mover	image-62	{"x":494,"y":439}
1470237064620: 	moved	image-62	to	{"x":494,"y":439}
1470237064626: 	action	mover	image-62	{"x":484,"y":435}
1470237064627: 	moved	image-62	to	{"x":484,"y":435}
1470237064635: 	action	mover	image-62	{"x":476,"y":432}
1470237064636: 	moved	image-62	to	{"x":476,"y":432}
1470237064643: 	action	mover	image-62	{"x":464,"y":428}
1470237064644: 	moved	image-62	to	{"x":464,"y":428}
1470237064650: 	action	mover	image-62	{"x":456,"y":425}
1470237064651: 	moved	image-62	to	{"x":456,"y":425}
1470237064659: 	action	mover	image-62	{"x":446,"y":422}
1470237064661: 	moved	image-62	to	{"x":446,"y":422}
1470237064668: 	action	mover	image-62	{"x":437,"y":417}
1470237064669: 	moved	image-62	to	{"x":437,"y":417}
1470237064677: 	action	mover	image-62	{"x":426,"y":413}
1470237064678: 	moved	image-62	to	{"x":426,"y":413}
1470237064685: 	action	mover	image-62	{"x":417,"y":410}
1470237064686: 	moved	image-62	to	{"x":417,"y":410}
1470237064693: 	action	mover	image-62	{"x":406,"y":406}
1470237064694: 	moved	image-62	to	{"x":406,"y":406}
1470237064701: 	action	mover	image-62	{"x":399,"y":402}
1470237064702: 	moved	image-62	to	{"x":399,"y":402}
1470237064709: 	action	mover	image-62	{"x":385,"y":397}
1470237064710: 	moved	image-62	to	{"x":385,"y":397}
1470237064718: 	action	mover	image-62	{"x":377,"y":395}
1470237064726: 	action	mover	image-62	{"x":369,"y":392}
1470237064727: 	moved	image-62	to	{"x":369,"y":392}
1470237064734: 	action	mover	image-62	{"x":360,"y":387}
1470237064735: 	moved	image-62	to	{"x":360,"y":387}
1470237064742: 	action	mover	image-62	{"x":347,"y":383}
1470237064743: 	moved	image-62	to	{"x":347,"y":383}
1470237064751: 	action	mover	image-62	{"x":339,"y":380}
1470237064752: 	moved	image-62	to	{"x":339,"y":380}
1470237064759: 	action	mover	image-62	{"x":331,"y":376}
1470237064760: 	moved	image-62	to	{"x":331,"y":376}
1470237064767: 	action	mover	image-62	{"x":321,"y":372}
1470237064768: 	moved	image-62	to	{"x":321,"y":372}
1470237064776: 	action	mover	image-62	{"x":311,"y":368}
1470237064777: 	moved	image-62	to	{"x":311,"y":368}
1470237064784: 	action	mover	image-62	{"x":305,"y":365}
1470237064785: 	moved	image-62	to	{"x":305,"y":365}
1470237064794: 	action	mover	image-62	{"x":295,"y":361}
1470237064802: 	action	mover	image-62	{"x":287,"y":358}
1470237064810: 	action	mover	image-62	{"x":277,"y":354}
1470237064818: 	action	mover	image-62	{"x":270,"y":352}
1470237064819: 	moved	image-62	to	{"x":270,"y":352}
1470237064826: 	action	mover	image-62	{"x":261,"y":349}
1470237064827: 	moved	image-62	to	{"x":261,"y":349}
1470237064836: 	action	mover	image-62	{"x":253,"y":346}
1470237064843: 	action	mover	image-62	{"x":245,"y":343}
1470237064844: 	moved	image-62	to	{"x":245,"y":343}
1470237064851: 	action	mover	image-62	{"x":238,"y":341}
1470237064852: 	moved	image-62	to	{"x":238,"y":341}
1470237064859: 	action	mover	image-62	{"x":231,"y":339}
1470237064860: 	moved	image-62	to	{"x":231,"y":339}
1470237064868: 	action	mover	image-62	{"x":223,"y":337}
1470237064869: 	moved	image-62	to	{"x":223,"y":337}
1470237064877: 	action	mover	image-62	{"x":216,"y":336}
1470237064878: 	moved	image-62	to	{"x":216,"y":336}
1470237064885: 	action	mover	image-62	{"x":209,"y":334}
1470237064893: 	action	mover	image-62	{"x":202,"y":334}
1470237064901: 	action	mover	image-62	{"x":195,"y":333}
1470237064902: 	moved	image-62	to	{"x":195,"y":333}
1470237064910: 	action	mover	image-62	{"x":189,"y":332}
1470237064918: 	action	mover	image-62	{"x":182,"y":331}
1470237064926: 	action	mover	image-62	{"x":175,"y":331}
1470237064927: 	moved	image-62	to	{"x":175,"y":331}
1470237064935: 	action	mover	image-62	{"x":170,"y":331}
1470237064936: 	moved	image-62	to	{"x":170,"y":331}
1470237064943: 	action	mover	image-62	{"x":164,"y":331}
1470237064952: 	action	mover	image-62	{"x":158,"y":331}
1470237064953: 	moved	image-62	to	{"x":158,"y":331}
1470237064960: 	action	mover	image-62	{"x":152,"y":331}
1470237064961: 	moved	image-62	to	{"x":152,"y":331}
1470237064968: 	action	mover	image-62	{"x":147,"y":332}
1470237064977: 	action	mover	image-62	{"x":141,"y":333}
1470237064984: 	action	mover	image-62	{"x":139,"y":333}
1470237064985: 	moved	image-62	to	{"x":139,"y":333}
1470237064993: 	action	mover	image-62	{"x":134,"y":334}
1470237064994: 	moved	image-62	to	{"x":134,"y":334}
1470237065001: 	action	mover	image-62	{"x":130,"y":335}
1470237065002: 	moved	image-62	to	{"x":130,"y":335}
1470237065010: 	action	mover	image-62	{"x":126,"y":335}
1470237065019: 	action	mover	image-62	{"x":122,"y":336}
1470237065020: 	moved	image-62	to	{"x":122,"y":336}
1470237065026: 	action	mover	image-62	{"x":120,"y":336}
1470237065027: 	moved	image-62	to	{"x":120,"y":336}
1470237065034: 	action	mover	image-62	{"x":117,"y":336}
1470237065035: 	moved	image-62	to	{"x":117,"y":336}
1470237065043: 	action	mover	image-62	{"x":115,"y":336}
1470237065044: 	moved	image-62	to	{"x":115,"y":336}
1470237065543: 	acted on	image-37
