1470236514503: 	acted on	draw
1470236514698: 	acted on	draw
1470236785070: 	acted on	innerText
1470236785163: 	sub-instrument	start	draw	true
1470236785193: 	activate	draw
1470236788389: 	draw	image-5	{"x":38,"y":69}
1470236788491: 	draw	image-5	{"x":29,"y":82}
1470236788498: 	draw	image-5	{"x":29,"y":83}
1470236788508: 	draw	image-5	{"x":28,"y":85}
1470236788516: 	draw	image-5	{"x":28,"y":86}
1470236788533: 	draw	image-5	{"x":29,"y":88}
1470236788548: 	draw	image-5	{"x":30,"y":90}
1470236788558: 	draw	image-5	{"x":32,"y":92}
1470236788566: 	draw	image-5	{"x":34,"y":92}
1470236788574: 	draw	image-5	{"x":36,"y":93}
1470236788582: 	draw	image-5	{"x":39,"y":93}
1470236788590: 	draw	image-5	{"x":41,"y":92}
1470236788599: 	draw	image-5	{"x":44,"y":92}
1470236788608: 	draw	image-5	{"x":46,"y":90}
1470236788616: 	draw	image-5	{"x":48,"y":88}
1470236788623: 	draw	image-5	{"x":50,"y":86}
1470236788632: 	draw	image-5	{"x":51,"y":84}
1470236788641: 	draw	image-5	{"x":52,"y":81}
1470236788648: 	draw	image-5	{"x":53,"y":78}
1470236788657: 	draw	image-5	{"x":53,"y":76}
1470236788665: 	draw	image-5	{"x":52,"y":74}
1470236788673: 	draw	image-5	{"x":52,"y":71}
1470236788682: 	draw	image-5	{"x":51,"y":69}
1470236788690: 	draw	image-5	{"x":50,"y":67}
1470236788699: 	draw	image-5	{"x":48,"y":66}
1470236788708: 	draw	image-5	{"x":46,"y":64}
1470236788715: 	draw	image-5	{"x":44,"y":64}
1470236788722: 	draw	image-5	{"x":42,"y":63}
1470236788732: 	draw	image-5	{"x":40,"y":63}
1470236788739: 	draw	image-5	{"x":39,"y":63}
1470236788748: 	draw	image-5	{"x":37,"y":63}
1470236788757: 	draw	image-5	{"x":36,"y":63}
1470236788765: 	draw	image-5	{"x":35,"y":63}
1470236788773: 	draw	image-5	{"x":34,"y":64}
1470236788782: 	draw	image-5	{"x":33,"y":66}
1470236788790: 	draw	image-5	{"x":32,"y":67}
1470236788798: 	draw	image-5	{"x":32,"y":71}
1470236788807: 	draw	image-5	{"x":33,"y":73}
1470236788815: 	draw	image-5	{"x":34,"y":76}
1470236788823: 	draw	image-5	{"x":36,"y":78}
1470236788832: 	draw	image-5	{"x":38,"y":81}
1470236788839: 	draw	image-5	{"x":39,"y":83}
1470236788847: 	draw	image-5	{"x":41,"y":85}
1470236788857: 	draw	image-5	{"x":43,"y":86}
1470236788865: 	draw	image-5	{"x":45,"y":87}
1470236788874: 	draw	image-5	{"x":47,"y":88}
1470236788882: 	draw	image-5	{"x":48,"y":88}
1470236788890: 	draw	image-5	{"x":49,"y":89}
1470236788898: 	draw	image-5	{"x":50,"y":89}
1470236788907: 	draw	image-5	{"x":51,"y":88}
1470236788914: 	draw	image-5	{"x":53,"y":88}
1470236788922: 	draw	image-5	{"x":55,"y":87}
1470236788932: 	draw	image-5	{"x":56,"y":85}
1470236788940: 	draw	image-5	{"x":58,"y":81}
1470236788947: 	draw	image-5	{"x":58,"y":79}
1470236788957: 	draw	image-5	{"x":58,"y":76}
1470236788965: 	draw	image-5	{"x":58,"y":74}
1470236788974: 	draw	image-5	{"x":57,"y":71}
1470236788982: 	draw	image-5	{"x":56,"y":70}
1470236788990: 	draw	image-5	{"x":55,"y":68}
1470236788998: 	draw	image-5	{"x":52,"y":66}
1470236789006: 	draw	image-5	{"x":49,"y":65}
1470236789015: 	draw	image-5	{"x":46,"y":64}
1470236789023: 	draw	image-5	{"x":43,"y":64}
1470236789031: 	draw	image-5	{"x":39,"y":65}
1470236789040: 	draw	image-5	{"x":36,"y":65}
1470236789049: 	draw	image-5	{"x":33,"y":66}
1470236789057: 	draw	image-5	{"x":32,"y":67}
1470236789064: 	draw	image-5	{"x":30,"y":69}
1470236789073: 	draw	image-5	{"x":29,"y":70}
1470236789081: 	draw	image-5	{"x":28,"y":74}
1470236789090: 	draw	image-5	{"x":28,"y":77}
1470236789097: 	draw	image-5	{"x":28,"y":81}
1470236789106: 	draw	image-5	{"x":30,"y":84}
1470236789115: 	draw	image-5	{"x":34,"y":88}
1470236789123: 	draw	image-5	{"x":37,"y":91}
1470236789131: 	draw	image-5	{"x":42,"y":96}
1470236789139: 	draw	image-5	{"x":47,"y":100}
1470236789420: 	draw	image-5	{"x":62,"y":102}
1470236789499: 	draw	image-5	{"x":66,"y":118}
1470236789507: 	draw	image-5	{"x":69,"y":120}
1470236789516: 	draw	image-5	{"x":71,"y":121}
1470236789523: 	draw	image-5	{"x":75,"y":122}
1470236789532: 	draw	image-5	{"x":77,"y":122}
1470236789539: 	draw	image-5	{"x":80,"y":123}
1470236789548: 	draw	image-5	{"x":82,"y":122}
1470236789557: 	draw	image-5	{"x":84,"y":122}
1470236789566: 	draw	image-5	{"x":87,"y":120}
1470236789577: 	draw	image-5	{"x":89,"y":118}
1470236789590: 	draw	image-5	{"x":92,"y":113}
1470236789598: 	draw	image-5	{"x":93,"y":110}
1470236789612: 	draw	image-5	{"x":93,"y":106}
1470236789624: 	draw	image-5	{"x":92,"y":101}
1470236789632: 	draw	image-5	{"x":90,"y":99}
1470236789645: 	draw	image-5	{"x":88,"y":96}
1470236789659: 	draw	image-5	{"x":82,"y":93}
1470236789665: 	draw	image-5	{"x":79,"y":92}
1470236789680: 	draw	image-5	{"x":75,"y":91}
1470236789695: 	draw	image-5	{"x":70,"y":91}
1470236789700: 	draw	image-5	{"x":67,"y":92}
1470236789707: 	draw	image-5	{"x":65,"y":93}
1470236789718: 	draw	image-5	{"x":64,"y":94}
1470236789723: 	draw	image-5	{"x":62,"y":96}
1470236789733: 	draw	image-5	{"x":61,"y":97}
1470236789740: 	draw	image-5	{"x":60,"y":99}
1470236789747: 	draw	image-5	{"x":60,"y":101}
1470236789756: 	draw	image-5	{"x":60,"y":104}
1470236789765: 	draw	image-5	{"x":60,"y":106}
1470236789782: 	draw	image-5	{"x":61,"y":109}
1470236789790: 	draw	image-5	{"x":65,"y":113}
1470236789798: 	draw	image-5	{"x":67,"y":114}
1470236789807: 	draw	image-5	{"x":70,"y":115}
1470236789815: 	draw	image-5	{"x":73,"y":115}
1470236789823: 	draw	image-5	{"x":76,"y":116}
1470236789832: 	draw	image-5	{"x":78,"y":116}
1470236789840: 	draw	image-5	{"x":80,"y":115}
1470236789848: 	draw	image-5	{"x":81,"y":115}
1470236789858: 	draw	image-5	{"x":82,"y":113}
1470236789865: 	draw	image-5	{"x":84,"y":111}
1470236789873: 	draw	image-5	{"x":85,"y":109}
1470236789882: 	draw	image-5	{"x":85,"y":107}
1470236789890: 	draw	image-5	{"x":84,"y":103}
1470236789897: 	draw	image-5	{"x":83,"y":101}
1470236789907: 	draw	image-5	{"x":82,"y":100}
1470236789915: 	draw	image-5	{"x":81,"y":98}
1470236789924: 	draw	image-5	{"x":80,"y":97}
1470236789932: 	draw	image-5	{"x":78,"y":97}
1470236789940: 	draw	image-5	{"x":77,"y":96}
1470236789948: 	draw	image-5	{"x":74,"y":96}
1470236789957: 	draw	image-5	{"x":72,"y":97}
1470236789965: 	draw	image-5	{"x":69,"y":98}
1470236789972: 	draw	image-5	{"x":68,"y":99}
1470236789982: 	draw	image-5	{"x":66,"y":100}
1470236789989: 	draw	image-5	{"x":66,"y":101}
1470236789998: 	draw	image-5	{"x":65,"y":103}
1470236790008: 	draw	image-5	{"x":65,"y":105}
1470236790015: 	draw	image-5	{"x":65,"y":106}
1470236790023: 	draw	image-5	{"x":66,"y":108}
1470236790032: 	draw	image-5	{"x":67,"y":110}
1470236790040: 	draw	image-5	{"x":69,"y":111}
1470236790047: 	draw	image-5	{"x":71,"y":112}
1470236790058: 	draw	image-5	{"x":73,"y":113}
1470236790064: 	draw	image-5	{"x":75,"y":113}
