1470298753305: 	acted on	innerText
1470298753428: 	sub-instrument	start	mover	true
1470298753431: 	activate	mover
1470298754852: 	start moving	image-5	from	{"x":81,"y":91}
1470298754913: 	moved	image-5	to	{"x":221,"y":149}
1470298754921: 	moved	image-5	to	{"x":223,"y":150}
1470298754928: 	moved	image-5	to	{"x":226,"y":151}
1470298754936: 	moved	image-5	to	{"x":229,"y":152}
1470298754945: 	moved	image-5	to	{"x":232,"y":153}
1470298754953: 	moved	image-5	to	{"x":235,"y":154}
1470298754961: 	moved	image-5	to	{"x":238,"y":155}
1470298754969: 	moved	image-5	to	{"x":241,"y":155}
1470298754977: 	moved	image-5	to	{"x":245,"y":156}
1470298754985: 	moved	image-5	to	{"x":247,"y":157}
1470298754993: 	moved	image-5	to	{"x":250,"y":158}
1470298755002: 	moved	image-5	to	{"x":253,"y":159}
1470298755010: 	moved	image-5	to	{"x":257,"y":159}
1470298755018: 	moved	image-5	to	{"x":259,"y":160}
1470298755026: 	moved	image-5	to	{"x":262,"y":160}
1470298755036: 	moved	image-5	to	{"x":264,"y":161}
1470298755044: 	moved	image-5	to	{"x":266,"y":161}
1470298755051: 	moved	image-5	to	{"x":267,"y":161}
1470298755070: 	moved	image-5	to	{"x":268,"y":161}
1470298755076: 	moved	image-5	to	{"x":268,"y":162}
1470298755127: 	moved	image-5	to	{"x":266,"y":162}
1470298755136: 	moved	image-5	to	{"x":262,"y":162}
1470298755143: 	moved	image-5	to	{"x":255,"y":162}
1470298755151: 	moved	image-5	to	{"x":249,"y":161}
1470298755160: 	moved	image-5	to	{"x":243,"y":160}
1470298755168: 	moved	image-5	to	{"x":236,"y":160}
1470298755176: 	moved	image-5	to	{"x":229,"y":160}
1470298755185: 	moved	image-5	to	{"x":222,"y":159}
1470298755193: 	moved	image-5	to	{"x":215,"y":159}
1470298755202: 	moved	image-5	to	{"x":209,"y":159}
1470298755210: 	moved	image-5	to	{"x":204,"y":159}
1470298755218: 	moved	image-5	to	{"x":200,"y":158}
1470298755226: 	moved	image-5	to	{"x":196,"y":157}
1470298755235: 	moved	image-5	to	{"x":193,"y":156}
1470298755243: 	moved	image-5	to	{"x":190,"y":155}
1470298755251: 	moved	image-5	to	{"x":189,"y":154}
1470298755260: 	moved	image-5	to	{"x":187,"y":153}
1470298755269: 	moved	image-5	to	{"x":186,"y":150}
1470298755276: 	moved	image-5	to	{"x":186,"y":148}
1470298755285: 	moved	image-5	to	{"x":186,"y":146}
1470298755293: 	moved	image-5	to	{"x":187,"y":143}
1470298755302: 	moved	image-5	to	{"x":190,"y":139}
1470298755310: 	moved	image-5	to	{"x":194,"y":135}
1470298755319: 	moved	image-5	to	{"x":200,"y":130}
1470298755326: 	moved	image-5	to	{"x":206,"y":127}
1470298755335: 	moved	image-5	to	{"x":212,"y":123}
1470298755343: 	moved	image-5	to	{"x":219,"y":121}
1470298755351: 	moved	image-5	to	{"x":227,"y":118}
1470298755360: 	moved	image-5	to	{"x":234,"y":116}
1470298755369: 	moved	image-5	to	{"x":241,"y":113}
1470298755376: 	moved	image-5	to	{"x":248,"y":111}
1470298755385: 	moved	image-5	to	{"x":254,"y":110}
1470298755393: 	moved	image-5	to	{"x":259,"y":109}
1470298755401: 	moved	image-5	to	{"x":261,"y":108}
1470298755410: 	moved	image-5	to	{"x":264,"y":108}
1470298755418: 	moved	image-5	to	{"x":266,"y":108}
1470298755444: 	moved	image-5	to	{"x":267,"y":108}
1470298755452: 	moved	image-5	to	{"x":267,"y":109}
1470298755460: 	moved	image-5	to	{"x":266,"y":109}
1470298755469: 	moved	image-5	to	{"x":262,"y":112}
1470298755796: 	start moving	image-11	from	{"x":80,"y":100}
1470298755844: 	moved	image-11	to	{"x":666,"y":127}
1470298755852: 	moved	image-11	to	{"x":661,"y":132}
1470298755862: 	moved	image-11	to	{"x":659,"y":134}
1470298755869: 	moved	image-11	to	{"x":653,"y":139}
1470298755877: 	moved	image-11	to	{"x":648,"y":143}
1470298755886: 	moved	image-11	to	{"x":642,"y":147}
1470298755893: 	moved	image-11	to	{"x":636,"y":151}
1470298755908: 	moved	image-11	to	{"x":629,"y":155}
1470298755918: 	moved	image-11	to	{"x":616,"y":165}
1470298755926: 	moved	image-11	to	{"x":609,"y":169}
1470298755935: 	moved	image-11	to	{"x":600,"y":175}
1470298755944: 	moved	image-11	to	{"x":592,"y":181}
1470298755951: 	moved	image-11	to	{"x":585,"y":186}
1470298755960: 	moved	image-11	to	{"x":575,"y":195}
1470298755968: 	moved	image-11	to	{"x":570,"y":199}
1470298755976: 	moved	image-11	to	{"x":561,"y":206}
1470298755986: 	moved	image-11	to	{"x":552,"y":215}
1470298755993: 	moved	image-11	to	{"x":545,"y":220}
1470298756001: 	moved	image-11	to	{"x":538,"y":226}
1470298756011: 	moved	image-11	to	{"x":530,"y":233}
1470298756019: 	moved	image-11	to	{"x":524,"y":238}
1470298756026: 	moved	image-11	to	{"x":515,"y":245}
1470298756035: 	moved	image-11	to	{"x":506,"y":253}
1470298756044: 	moved	image-11	to	{"x":501,"y":257}
1470298756051: 	moved	image-11	to	{"x":495,"y":263}
1470298756061: 	moved	image-11	to	{"x":487,"y":270}
1470298756068: 	moved	image-11	to	{"x":481,"y":275}
1470298756077: 	moved	image-11	to	{"x":471,"y":283}
1470298756085: 	moved	image-11	to	{"x":467,"y":287}
1470298756093: 	moved	image-11	to	{"x":458,"y":294}
1470298756101: 	moved	image-11	to	{"x":453,"y":298}
1470298756110: 	moved	image-11	to	{"x":446,"y":305}
1470298756118: 	moved	image-11	to	{"x":441,"y":310}
1470298756126: 	moved	image-11	to	{"x":434,"y":315}
1470298756135: 	moved	image-11	to	{"x":428,"y":319}
1470298756145: 	moved	image-11	to	{"x":422,"y":324}
1470298756152: 	moved	image-11	to	{"x":417,"y":328}
1470298756160: 	moved	image-11	to	{"x":412,"y":332}
1470298756169: 	moved	image-11	to	{"x":407,"y":337}
1470298756176: 	moved	image-11	to	{"x":403,"y":341}
1470298756186: 	moved	image-11	to	{"x":400,"y":344}
1470298756194: 	moved	image-11	to	{"x":397,"y":348}
1470298756201: 	moved	image-11	to	{"x":396,"y":350}
1470298756211: 	moved	image-11	to	{"x":395,"y":352}
1470298756219: 	moved	image-11	to	{"x":395,"y":354}
1470298756226: 	moved	image-11	to	{"x":395,"y":355}
1470298756235: 	moved	image-11	to	{"x":395,"y":357}
1470298756243: 	moved	image-11	to	{"x":396,"y":359}
1470298756252: 	moved	image-11	to	{"x":401,"y":362}
1470298756260: 	moved	image-11	to	{"x":407,"y":365}
1470298756268: 	moved	image-11	to	{"x":415,"y":367}
1470298756277: 	moved	image-11	to	{"x":424,"y":369}
1470298756286: 	moved	image-11	to	{"x":437,"y":371}
1470298756293: 	moved	image-11	to	{"x":447,"y":372}
1470298756301: 	moved	image-11	to	{"x":459,"y":373}
1470298756310: 	moved	image-11	to	{"x":472,"y":374}
1470298756318: 	moved	image-11	to	{"x":484,"y":377}
1470298756326: 	moved	image-11	to	{"x":491,"y":378}
1470298756336: 	moved	image-11	to	{"x":501,"y":379}
1470298756343: 	moved	image-11	to	{"x":509,"y":380}
1470298756351: 	moved	image-11	to	{"x":516,"y":382}
1470298756360: 	moved	image-11	to	{"x":523,"y":384}
1470298756368: 	moved	image-11	to	{"x":528,"y":386}
1470298756376: 	moved	image-11	to	{"x":531,"y":387}
1470298756385: 	moved	image-11	to	{"x":533,"y":388}
1470298756394: 	moved	image-11	to	{"x":534,"y":389}
1470298756402: 	moved	image-11	to	{"x":534,"y":390}
1470298756411: 	moved	image-11	to	{"x":535,"y":391}
1470298756418: 	moved	image-11	to	{"x":535,"y":393}
1470298756426: 	moved	image-11	to	{"x":532,"y":396}
1470298756441: 	moved	image-11	to	{"x":526,"y":399}
1470298756451: 	moved	image-11	to	{"x":513,"y":401}
1470298756462: 	moved	image-11	to	{"x":505,"y":402}
1470298756469: 	moved	image-11	to	{"x":497,"y":404}
1470298756476: 	moved	image-11	to	{"x":488,"y":405}
1470298756485: 	moved	image-11	to	{"x":478,"y":406}
1470298756494: 	moved	image-11	to	{"x":470,"y":407}
1470298756501: 	moved	image-11	to	{"x":461,"y":408}
1470298756510: 	moved	image-11	to	{"x":451,"y":410}
1470298756518: 	moved	image-11	to	{"x":440,"y":413}
1470298756526: 	moved	image-11	to	{"x":435,"y":414}
1470298756536: 	moved	image-11	to	{"x":427,"y":416}
1470298756543: 	moved	image-11	to	{"x":419,"y":417}
1470298756551: 	moved	image-11	to	{"x":409,"y":419}
1470298756560: 	moved	image-11	to	{"x":403,"y":420}
1470298756879: 	start moving	image-5	from	{"x":107,"y":92}
1470298756902: 	moved	image-5	to	{"x":308,"y":110}
1470298756911: 	moved	image-5	to	{"x":316,"y":111}
1470298756919: 	moved	image-5	to	{"x":325,"y":111}
1470298756926: 	moved	image-5	to	{"x":334,"y":112}
1470298756935: 	moved	image-5	to	{"x":345,"y":112}
