1470299304861: 	acted on	sample
1470299305202: 	acted on	sample
1470299305569: 	acted on	sample
1470299308270: 	acted on	circle
1470299308335: 	sub-instrument	circle	shapes	false
1470299312587: 	acted on	menu
1470299313152: 	acted on	innerText
1470299313236: 	sub-instrument	start	shapes	true
1470299313237: 	activate	shapes
1470299314269: 	acted on	innerText
1470299314369: 	sub-instrument	stop	shapes	false
1470299314369: 	deactivate	shapes
1470299314952: 	acted on	innerText
1470299315037: 	sub-instrument	start	shapes	true
1470299315037: 	activate	shapes
1470299317752: 	acted on	sample
1470299318545: 	acted on	sample
1470299321554: 	acted on	sample
1470299344826: 	acted on	sample
1470299350393: 	acted on	circle
1470299350493: 	sub-instrument	circle	shapes	true
1470299351048: 	shape started	{"x":181,"y":51}
1470299351051: 	shape continued	10	circle
1470299351117: 	shape continued	17	circle
1470299351125: 	shape continued	20	circle
1470299351134: 	shape continued	23	circle
1470299351142: 	shape continued	25	circle
1470299351150: 	shape continued	28	circle
1470299351159: 	shape continued	30	circle
1470299351166: 	shape continued	34	circle
1470299351174: 	shape continued	36	circle
1470299351184: 	shape continued	38	circle
1470299351191: 	shape continued	40	circle
1470299351200: 	shape continued	43	circle
1470299351208: 	shape continued	45	circle
1470299351216: 	shape continued	47	circle
1470299351224: 	shape continued	49	circle
1470299351233: 	shape continued	51	circle
1470299351242: 	shape continued	53	circle
1470299351249: 	shape continued	55	circle
1470299351258: 	shape continued	56	circle
1470299351267: 	shape continued	58	circle
1470299351274: 	shape continued	59	circle
1470299351284: 	shape continued	60	circle
1470299351291: 	shape continued	62	circle
1470299351299: 	shape continued	63	circle
1470299351309: 	shape continued	65	circle
1470299351316: 	shape continued	66	circle
1470299351325: 	shape continued	67	circle
1470299351333: 	shape continued	68	circle
1470299351342: 	shape continued	69	circle
1470299351359: 	shape continued	70	circle
1470299351366: 	shape continued	70	circle
1470299351375: 	shape continued	71	circle
1470299351392: 	shape continued	72	circle
1470299351434: 	shape continued	72	circle
1470299351467: 	shape continued	73	circle
1470299351626: 	shape continued	73	circle
1470299351669: 	shape continued	73	circle
1470299351674: 	shape continued	73	circle
1470299351684: 	shape continued	72	circle
1470299351691: 	shape continued	71	circle
1470299351699: 	shape continued	70	circle
1470299351708: 	shape continued	70	circle
1470299351716: 	shape continued	71	circle
1470299351731: 	shape continued	71	circle
1470299351735: 	shape continued	72	circle
1470299351744: 	shape continued	72	circle
1470299351749: 	shape continued	73	circle
1470299351759: 	shape continued	74	circle
1470299351767: 	shape continued	76	circle
1470299351776: 	shape continued	77	circle
1470299351784: 	shape continued	78	circle
1470299351791: 	shape continued	81	circle
1470299351799: 	shape continued	82	circle
1470299351809: 	shape continued	84	circle
1470299351816: 	shape continued	87	circle
1470299351825: 	shape continued	90	circle
1470299351833: 	shape continued	92	circle
1470299351841: 	shape continued	93	circle
1470299351849: 	shape continued	96	circle
1470299351859: 	shape continued	99	circle
1470299351867: 	shape continued	102	circle
1470299351874: 	shape continued	105	circle
1470299351883: 	shape continued	108	circle
1470299353019: 	shape started	{"x":534,"y":68}
1470299353020: 	shape continued	10	circle
1470299353092: 	shape continued	14	circle
1470299353099: 	shape continued	16	circle
1470299353109: 	shape continued	18	circle
1470299353116: 	shape continued	21	circle
1470299353124: 	shape continued	24	circle
1470299353134: 	shape continued	27	circle
1470299353141: 	shape continued	30	circle
1470299353149: 	shape continued	33	circle
1470299353158: 	shape continued	35	circle
1470299353166: 	shape continued	37	circle
1470299353174: 	shape continued	40	circle
1470299353184: 	shape continued	43	circle
1470299353191: 	shape continued	46	circle
1470299353199: 	shape continued	48	circle
1470299353208: 	shape continued	51	circle
1470299353216: 	shape continued	54	circle
1470299353224: 	shape continued	57	circle
1470299353234: 	shape continued	59	circle
1470299353241: 	shape continued	62	circle
1470299353250: 	shape continued	64	circle
1470299353258: 	shape continued	66	circle
1470299353266: 	shape continued	68	circle
1470299353274: 	shape continued	70	circle
1470299353284: 	shape continued	71	circle
1470299353291: 	shape continued	73	circle
1470299353299: 	shape continued	74	circle
1470299353308: 	shape continued	76	circle
1470299353316: 	shape continued	77	circle
1470299353324: 	shape continued	79	circle
1470299353333: 	shape continued	80	circle
1470299353349: 	shape continued	81	circle
1470299353358: 	shape continued	82	circle
1470299353366: 	shape continued	83	circle
1470299353384: 	shape continued	84	circle
1470299353417: 	shape continued	85	circle
1470299353584: 	shape continued	86	circle
1470299353746: 	shape continued	88	circle
1470299353755: 	shape continued	90	circle
1470299353766: 	shape continued	94	circle
1470299353775: 	shape continued	96	circle
1470299353782: 	shape continued	98	circle
1470299353799: 	shape continued	99	circle
1470299353806: 	shape continued	102	circle
1470299353812: 	shape continued	103	circle
1470299353819: 	shape continued	105	circle
1470299353826: 	shape continued	106	circle
1470299353834: 	shape continued	108	circle
1470299353843: 	shape continued	109	circle
1470299353850: 	shape continued	110	circle
1470299353858: 	shape continued	111	circle
1470299353869: 	shape continued	113	circle
1470299353874: 	shape continued	114	circle
1470299353883: 	shape continued	115	circle
1470299353900: 	shape continued	117	circle
1470299353917: 	shape continued	119	circle
1470299353925: 	shape continued	120	circle
1470299353934: 	shape continued	121	circle
1470299353943: 	shape continued	122	circle
1470299353978: 	shape continued	123	circle
1470299353983: 	shape continued	125	circle
1470299354017: 	shape continued	126	circle
1470299354052: 	shape continued	127	circle
1470299354177: 	shape continued	127	circle
1470299357513: 	acted on	innerText
1470299357618: 	sub-instrument	stop	shapes	false
1470299357619: 	deactivate	shapes
1470299420735: 	acted on	shapes
1470299421215: 	acted on	sample
1470299421857: 	acted on	sample
1470299422710: 	acted on	circle
1470299422832: 	sub-instrument	circle	shapes	false
1470299425657: 	acted on	menu
1470299426475: 	acted on	innerText
1470299426549: 	sub-instrument	start	shapes	true
1470299426550: 	activate	shapes
1470299426982: 	acted on	circle
1470299427048: 	sub-instrument	circle	shapes	true
1470299428336: 	shape started	{"x":375,"y":55}
1470299428338: 	shape continued	10	circle
1470299428392: 	shape continued	375	circle
1470299428399: 	shape continued	201.5	circle
1470299428415: 	shape continued	295.25	circle
1470299428422: 	shape continued	250.375	circle
1470299428431: 	shape continued	273.8125	circle
1470299428435: 	shape continued	262.09375	circle
1470299428448: 	shape continued	269.953125	circle
1470299428453: 	shape continued	266.015625	circle
1470299428465: 	shape continued	273.984375	circle
1470299428470: 	shape continued	270	circle
1470299428481: 	shape continued	275	circle
1470299428485: 	shape continued	272.5	circle
1470299428498: 	shape continued	277.75	circle
1470299428502: 	shape continued	275.125	circle
1470299428515: 	shape continued	279.4375	circle
1470299428519: 	shape continued	277.28125	circle
1470299428530: 	shape continued	280.359375	circle
1470299428537: 	shape continued	278.8125	circle
1470299428548: 	shape continued	281.59375	circle
1470299428552: 	shape continued	280.203125	circle
1470299428565: 	shape continued	282.890625	circle
1470299428569: 	shape continued	281.546875	circle
1470299428582: 	shape continued	283.21875	circle
1470299428584: 	shape continued	282.390625	circle
1470299428597: 	shape continued	282.796875	circle
1470299428606: 	shape continued	283.59375	circle
1470299428622: 	shape continued	283.203125	circle
1470299428627: 	shape continued	284.390625	circle
1470299428631: 	shape continued	283.796875	circle
1470299428648: 	shape continued	285.09375	circle
1470299428652: 	shape continued	284.453125	circle
1470299428658: 	shape continued	285.765625	circle
1470299428673: 	shape continued	286.109375	circle
1470299428698: 	shape continued	286.9375	circle
1470299428702: 	shape continued	286.53125	circle
1470299428723: 	shape continued	287.734375	circle
1470299428740: 	shape continued	287.125	circle
1470299428773: 	shape continued	288.4375	circle
1470299428798: 	shape continued	287.78125	circle
1470299428831: 	shape continued	288.109375	circle
1470299428849: 	shape continued	287.9375	circle
1470299428865: 	shape continued	289.03125	circle
1470299428876: 	shape continued	288.484375	circle
1470299428909: 	shape continued	288.75	circle
1470299428916: 	shape continued	288.625	circle
1470299428924: 	shape continued	289.6875	circle
1470299428931: 	shape continued	289.15625	circle
1470299428939: 	shape continued	289.421875	circle
1470299428947: 	shape continued	289.28125	circle
1470299428956: 	shape continued	289.359375	circle
1470299428965: 	shape continued	289.3125	circle
1470299428973: 	shape continued	289.34375	circle
1470299428981: 	shape continued	289.328125	circle
1470299428990: 	shape continued	289.328125	circle
1470299429091: 	shape continued	288.328125	circle
1470299429107: 	shape continued	288.828125	circle
1470299429124: 	shape continued	288.578125	circle
1470299429132: 	shape continued	288.703125	circle
1470299429140: 	shape continued	287.640625	circle
1470299429148: 	shape continued	288.171875	circle
1470299429157: 	shape continued	287.90625	circle
1470299429173: 	shape continued	287.046875	circle
1470299429182: 	shape continued	287.46875	circle
1470299429190: 	shape continued	287.265625	circle
1470299429199: 	shape continued	286.359375	circle
1470299429207: 	shape continued	286.8125	circle
1470299429215: 	shape continued	286.59375	circle
1470299429267: 	shape started	{"x":111.296875,"y":154.296875}
1470299429268: 	shape continued	10	circle
1470299429290: 	shape continued	10	circle
1470299429307: 	shape continued	10	circle
1470299429708: 	shape started	{"x":142.296875,"y":134.296875}
1470299429709: 	shape continued	10	circle
1470299429739: 	shape continued	10	circle
1470299429748: 	shape continued	10	circle
1470299429772: 	shape continued	10	circle
1470299429781: 	shape continued	10	circle
1470299429790: 	shape continued	10	circle
1470299429798: 	shape continued	10	circle
1470299429808: 	shape continued	10	circle
1470299429822: 	shape continued	10	circle
1470299429832: 	shape continued	10	circle
1470299429839: 	shape continued	10	circle
1470299429847: 	shape continued	10	circle
1470299429864: 	shape continued	10	circle
1470299429872: 	shape continued	11	circle
1470299429882: 	shape continued	12	circle
1470299429889: 	shape continued	13	circle
1470299429897: 	shape continued	14	circle
1470299429907: 	shape continued	16	circle
1470299429915: 	shape continued	17	circle
1470299429932: 	shape continued	18	circle
1470299429939: 	shape continued	19	circle
1470299429957: 	shape continued	20	circle
1470299429964: 	shape continued	21	circle
1470299429972: 	shape continued	22	circle
1470299429982: 	shape continued	22	circle
1470299429989: 	shape continued	23	circle
1470299430007: 	shape continued	23	circle
1470299430024: 	shape continued	25	circle
1470299430032: 	shape continued	24	circle
1470299430057: 	shape continued	25	circle
1470299430065: 	shape continued	26	circle
1470299430792: 	shape started	{"x":107.296875,"y":223.296875}
1470299430793: 	shape continued	10	circle
1470299430916: 	shape continued	10	circle
1470299430922: 	shape continued	10	circle
1470299430931: 	shape continued	12	circle
1470299430939: 	shape continued	15	circle
1470299430947: 	shape continued	20	circle
1470299430957: 	shape continued	23	circle
1470299430964: 	shape continued	28	circle
1470299430972: 	shape continued	32	circle
1470299430981: 	shape continued	37	circle
1470299430989: 	shape continued	42	circle
1470299430997: 	shape continued	48	circle
1470299431006: 	shape continued	54	circle
1470299431014: 	shape continued	60	circle
1470299431022: 	shape continued	67	circle
1470299431031: 	shape continued	73	circle
1470299431039: 	shape continued	79	circle
1470299431047: 	shape continued	84	circle
1470299431056: 	shape continued	90	circle
1470299431064: 	shape continued	93	circle
1470299431073: 	shape continued	97	circle
1470299431081: 	shape continued	101	circle
1470299431089: 	shape continued	102	circle
1470299431097: 	shape continued	105	circle
1470299431106: 	shape continued	106	circle
1470299431114: 	shape continued	107.296875	circle
1470299431122: 	shape continued	107.296875	circle
1470299433746: 	shape started	{"x":57.296875,"y":152.296875}
1470299433748: 	shape continued	10	circle
1470299433801: 	shape continued	18	circle
1470299433811: 	shape continued	10	circle
1470299433820: 	shape continued	10	circle
1470299433827: 	shape continued	10	circle
1470299433835: 	shape continued	10	circle
1470299433853: 	shape continued	10	circle
1470299433861: 	shape continued	12.296875	circle
1470299433871: 	shape continued	10	circle
1470299433878: 	shape continued	10	circle
1470299433885: 	shape continued	10	circle
1470299433892: 	shape continued	10	circle
1470299433901: 	shape continued	10	circle
1470299433910: 	shape continued	10	circle
