1470300315214: 	acted on	innerText
1470300315318: 	sub-instrument	start	shapes	true
1470300315338: 	activate	shapes
1470300320375: 	acted on	sample
1470300321216: 	acted on	sample
1470300325238: 	acted on	circle
1470300325393: 	sub-instrument	circle	shapes	true
1470300330039: 	shape started	{"x":1018,"y":271}
1470300330043: 	shape continued	10	circle
1470300330135: 	shape continued	10	circle
1470300330142: 	shape continued	11	circle
1470300330151: 	shape continued	12	circle
1470300330159: 	shape continued	13	circle
1470300330167: 	shape continued	15	circle
1470300330176: 	shape continued	15	circle
1470300330185: 	shape continued	17	circle
1470300330193: 	shape continued	17	circle
1470300330201: 	shape continued	18	circle
1470300330209: 	shape continued	19	circle
1470300330217: 	shape continued	20	circle
1470300330226: 	shape continued	21	circle
1470300330234: 	shape continued	22	circle
1470300330243: 	shape continued	23	circle
1470300330251: 	shape continued	24	circle
1470300330259: 	shape continued	25	circle
1470300330267: 	shape continued	26	circle
1470300330276: 	shape continued	28	circle
1470300330284: 	shape continued	29	circle
1470300330292: 	shape continued	30	circle
1470300330302: 	shape continued	31	circle
1470300330310: 	shape continued	32	circle
1470300330317: 	shape continued	33	circle
1470300330327: 	shape continued	34	circle
1470300330334: 	shape continued	35	circle
1470300330343: 	shape continued	36	circle
1470300330352: 	shape continued	37	circle
1470300330360: 	shape continued	38	circle
1470300330367: 	shape continued	39	circle
1470300330377: 	shape continued	39	circle
1470300330384: 	shape continued	40	circle
1470300330393: 	shape continued	40	circle
1470300330402: 	shape continued	41	circle
1470300330409: 	shape continued	42	circle
1470300330418: 	shape continued	42	circle
1470300330426: 	shape continued	43	circle
1470300330435: 	shape continued	43	circle
1470300330443: 	shape continued	44	circle
1470300330451: 	shape continued	44	circle
1470300330460: 	shape continued	44	circle
1470300330468: 	shape continued	44	circle
1470300330477: 	shape continued	45	circle
1470300330484: 	shape continued	45	circle
1470300330493: 	shape continued	45	circle
1470300330501: 	shape continued	46	circle
1470300330509: 	shape continued	46	circle
1470300330517: 	shape continued	47	circle
1470300330526: 	shape continued	47	circle
1470300330535: 	shape continued	48	circle
1470300330542: 	shape continued	48	circle
1470300330551: 	shape continued	49	circle
1470300330568: 	shape continued	49	circle
