1470307466024: 	acted on	menu
1470307470649: 	acted on	innerText
1470307470773: 	sub-instrument	start	mover	true
1470307470774: 	activate	mover
1470307471271: 	start moving	mover	from	{"x":2,"y":44}
1470307471447: 	moved	mover	to	{"x":95,"y":117}
1470307471455: 	moved	mover	to	{"x":96,"y":118}
1470307471464: 	moved	mover	to	{"x":96,"y":119}
1470307471472: 	moved	mover	to	{"x":97,"y":122}
1470307471479: 	moved	mover	to	{"x":98,"y":123}
1470307471489: 	moved	mover	to	{"x":98,"y":125}
1470307471498: 	moved	mover	to	{"x":99,"y":127}
1470307471505: 	moved	mover	to	{"x":99,"y":128}
1470307471514: 	moved	mover	to	{"x":99,"y":130}
1470307471522: 	moved	mover	to	{"x":99,"y":132}
1470307471531: 	moved	mover	to	{"x":99,"y":134}
1470307471540: 	moved	mover	to	{"x":100,"y":136}
1470307471547: 	moved	mover	to	{"x":100,"y":137}
1470307471556: 	moved	mover	to	{"x":100,"y":139}
1470307471564: 	moved	mover	to	{"x":100,"y":141}
1470307471572: 	moved	mover	to	{"x":100,"y":143}
1470307471580: 	moved	mover	to	{"x":100,"y":144}
1470307471589: 	moved	mover	to	{"x":100,"y":146}
1470307471597: 	moved	mover	to	{"x":100,"y":148}
1470307471604: 	moved	mover	to	{"x":100,"y":149}
1470307471614: 	moved	mover	to	{"x":100,"y":152}
1470307471622: 	moved	mover	to	{"x":100,"y":153}
1470307471630: 	moved	mover	to	{"x":100,"y":156}
1470307471639: 	moved	mover	to	{"x":100,"y":158}
1470307471647: 	moved	mover	to	{"x":100,"y":159}
1470307471655: 	moved	mover	to	{"x":100,"y":161}
1470307471664: 	moved	mover	to	{"x":100,"y":162}
1470307471672: 	moved	mover	to	{"x":100,"y":164}
1470307471680: 	moved	mover	to	{"x":101,"y":165}
1470307471689: 	moved	mover	to	{"x":101,"y":166}
1470307471697: 	moved	mover	to	{"x":101,"y":168}
1470307471705: 	moved	mover	to	{"x":101,"y":170}
1470307471714: 	moved	mover	to	{"x":101,"y":172}
1470307471721: 	moved	mover	to	{"x":101,"y":175}
1470307471730: 	moved	mover	to	{"x":101,"y":177}
1470307471740: 	moved	mover	to	{"x":101,"y":182}
1470307471747: 	moved	mover	to	{"x":101,"y":183}
1470307471755: 	moved	mover	to	{"x":101,"y":188}
1470307471764: 	moved	mover	to	{"x":101,"y":189}
1470307471772: 	moved	mover	to	{"x":101,"y":194}
1470307471780: 	moved	mover	to	{"x":101,"y":200}
1470307471789: 	moved	mover	to	{"x":101,"y":202}
1470307471798: 	moved	mover	to	{"x":101,"y":206}
1470307471805: 	moved	mover	to	{"x":101,"y":210}
1470307471814: 	moved	mover	to	{"x":101,"y":217}
1470307471822: 	moved	mover	to	{"x":102,"y":222}
1470307471830: 	moved	mover	to	{"x":102,"y":228}
1470307471839: 	moved	mover	to	{"x":102,"y":234}
1470307471846: 	moved	mover	to	{"x":102,"y":239}
1470307471856: 	moved	mover	to	{"x":103,"y":247}
1470307471864: 	moved	mover	to	{"x":104,"y":253}
1470307471872: 	moved	mover	to	{"x":104,"y":259}
1470307471879: 	moved	mover	to	{"x":104,"y":266}
1470307471889: 	moved	mover	to	{"x":104,"y":273}
1470307471897: 	moved	mover	to	{"x":106,"y":285}
1470307471905: 	moved	mover	to	{"x":106,"y":289}
1470307471914: 	moved	mover	to	{"x":106,"y":298}
1470307471922: 	moved	mover	to	{"x":107,"y":304}
1470307471930: 	moved	mover	to	{"x":107,"y":316}
1470307471939: 	moved	mover	to	{"x":107,"y":324}
1470307471947: 	moved	mover	to	{"x":107,"y":331}
1470307471955: 	moved	mover	to	{"x":107,"y":344}
1470307471964: 	moved	mover	to	{"x":107,"y":353}
1470307471973: 	moved	mover	to	{"x":107,"y":360}
1470307471980: 	moved	mover	to	{"x":106,"y":376}
1470307471989: 	moved	mover	to	{"x":106,"y":384}
1470307471996: 	moved	mover	to	{"x":105,"y":396}
1470307472005: 	moved	mover	to	{"x":106,"y":407}
1470307472015: 	moved	mover	to	{"x":106,"y":417}
1470307472022: 	moved	mover	to	{"x":106,"y":428}
1470307472030: 	moved	mover	to	{"x":106,"y":440}
1470307472039: 	moved	mover	to	{"x":106,"y":451}
1470307472047: 	moved	mover	to	{"x":105,"y":462}
1470307472055: 	moved	mover	to	{"x":105,"y":473}
1470307472064: 	moved	mover	to	{"x":105,"y":484}
1470307472072: 	moved	mover	to	{"x":105,"y":496}
1470307472080: 	moved	mover	to	{"x":104,"y":507}
1470307472090: 	moved	mover	to	{"x":104,"y":519}
1470307472098: 	moved	mover	to	{"x":104,"y":529}
