1470648328275: 	acted on	menu
1470648329614: 	acted on	innerText
1470648329764: 	sub-instrument	start	draw	true
1470648329766: 	activate	draw
1470648332690: 	acted on	sample
1470648338192: 	draw	image-81	{"x":58,"y":72}
1470648340873: 	draw	image-81	{"x":52,"y":86}
1470648340889: 	draw	image-81	{"x":50,"y":86}
1470648340897: 	draw	image-81	{"x":49,"y":86}
1470648340907: 	draw	image-81	{"x":48,"y":86}
1470648340914: 	draw	image-81	{"x":47,"y":86}
1470648340931: 	draw	image-81	{"x":46,"y":86}
1470648340939: 	draw	image-81	{"x":45,"y":86}
1470648340949: 	draw	image-81	{"x":44,"y":85}
1470648340964: 	draw	image-81	{"x":43,"y":85}
1470648340981: 	draw	image-81	{"x":42,"y":85}
1470648340990: 	draw	image-81	{"x":41,"y":85}
1470648341014: 	draw	image-81	{"x":40,"y":85}
1470648341022: 	draw	image-81	{"x":40,"y":84}
1470648341030: 	draw	image-81	{"x":39,"y":84}
1470648341081: 	draw	image-81	{"x":38,"y":84}
1470648341189: 	draw	image-81	{"x":37,"y":83}
1470648341329: 	draw	image-81	{"x":37,"y":82}
1470648341361: 	draw	image-81	{"x":38,"y":82}
1470648341428: 	draw	image-81	{"x":38,"y":81}
1470648341536: 	draw	image-81	{"x":39,"y":80}
1470648341769: 	draw	image-81	{"x":38,"y":80}
1470648341786: 	draw	image-81	{"x":38,"y":79}
1470648341809: 	draw	image-81	{"x":37,"y":79}
1470648341833: 	draw	image-81	{"x":37,"y":78}
1470648341849: 	draw	image-81	{"x":36,"y":78}
1470648341863: 	draw	image-81	{"x":35,"y":77}
1470648341884: 	draw	image-81	{"x":34,"y":76}
1470648341899: 	draw	image-81	{"x":33,"y":75}
1470648341914: 	draw	image-81	{"x":33,"y":74}
1470648341949: 	draw	image-81	{"x":33,"y":73}
1470648341974: 	draw	image-81	{"x":32,"y":73}
1470648341999: 	draw	image-81	{"x":32,"y":72}
1470648342032: 	draw	image-81	{"x":32,"y":71}
1470648342066: 	draw	image-81	{"x":31,"y":69}
1470648342099: 	draw	image-81	{"x":31,"y":68}
1470648342134: 	draw	image-81	{"x":32,"y":68}
1470648342157: 	draw	image-81	{"x":32,"y":67}
1470648342190: 	draw	image-81	{"x":32,"y":66}
1470648342232: 	draw	image-81	{"x":32,"y":65}
1470648342281: 	draw	image-81	{"x":32,"y":64}
1470648342290: 	draw	image-81	{"x":33,"y":64}
1470648342331: 	draw	image-81	{"x":33,"y":63}
1470648342412: 	draw	image-81	{"x":33,"y":62}
1470648342494: 	draw	image-81	{"x":33,"y":61}
1470648342544: 	draw	image-81	{"x":32,"y":60}
1470648342566: 	draw	image-81	{"x":31,"y":60}
1470648342592: 	draw	image-81	{"x":31,"y":59}
1470648342625: 	draw	image-81	{"x":30,"y":59}
1470648342640: 	draw	image-81	{"x":30,"y":58}
1470648342689: 	draw	image-81	{"x":29,"y":57}
1470648342747: 	draw	image-81	{"x":29,"y":56}
1470648342764: 	draw	image-81	{"x":28,"y":56}
1470648342831: 	draw	image-81	{"x":28,"y":55}
1470648342923: 	draw	image-81	{"x":28,"y":54}
1470648342965: 	draw	image-81	{"x":29,"y":54}
