1470647889081: 	acted on	menu
1470647889963: 	acted on	menu
1470647890806: 	acted on	menu
1470647891332: 	acted on	innerText
1470647891556: 	sub-instrument	start	mover	true
1470647891557: 	activate	mover
1470647893141: 	start moving	mover	from	{"x":128,"y":202}
1470647893356: 	moved	mover	to	{"x":219,"y":277}
1470647893363: 	moved	mover	to	{"x":219,"y":279}
1470647893371: 	moved	mover	to	{"x":220,"y":282}
1470647893381: 	moved	mover	to	{"x":221,"y":285}
1470647893388: 	moved	mover	to	{"x":221,"y":288}
1470647893396: 	moved	mover	to	{"x":222,"y":290}
1470647893405: 	moved	mover	to	{"x":223,"y":294}
1470647893413: 	moved	mover	to	{"x":224,"y":296}
1470647893421: 	moved	mover	to	{"x":225,"y":301}
1470647893430: 	moved	mover	to	{"x":226,"y":305}
1470647893438: 	moved	mover	to	{"x":227,"y":308}
1470647893446: 	moved	mover	to	{"x":228,"y":313}
1470647893455: 	moved	mover	to	{"x":229,"y":317}
1470647893463: 	moved	mover	to	{"x":230,"y":320}
1470647893470: 	moved	mover	to	{"x":231,"y":325}
1470647893480: 	moved	mover	to	{"x":232,"y":328}
1470647893487: 	moved	mover	to	{"x":233,"y":332}
1470647893496: 	moved	mover	to	{"x":234,"y":336}
1470647893505: 	moved	mover	to	{"x":235,"y":340}
1470647893512: 	moved	mover	to	{"x":232,"y":349}
1470647893521: 	moved	mover	to	{"x":234,"y":349}
1470647893530: 	moved	mover	to	{"x":235,"y":352}
1470647893537: 	moved	mover	to	{"x":238,"y":354}
1470647893546: 	moved	mover	to	{"x":239,"y":358}
1470647893555: 	moved	mover	to	{"x":240,"y":361}
1470647893562: 	moved	mover	to	{"x":241,"y":364}
1470647893571: 	moved	mover	to	{"x":242,"y":368}
1470647893580: 	moved	mover	to	{"x":242,"y":371}
1470647893588: 	moved	mover	to	{"x":242,"y":374}
1470647893596: 	moved	mover	to	{"x":243,"y":376}
1470647893604: 	moved	mover	to	{"x":243,"y":378}
1470647893613: 	moved	mover	to	{"x":243,"y":380}
1470647893621: 	moved	mover	to	{"x":243,"y":382}
1470647893629: 	moved	mover	to	{"x":243,"y":385}
1470647893637: 	moved	mover	to	{"x":243,"y":388}
1470647893646: 	moved	mover	to	{"x":243,"y":390}
1470647893655: 	moved	mover	to	{"x":243,"y":391}
1470647893663: 	moved	mover	to	{"x":243,"y":393}
1470647893670: 	moved	mover	to	{"x":243,"y":395}
1470647893680: 	moved	mover	to	{"x":243,"y":396}
1470647893687: 	moved	mover	to	{"x":241,"y":400}
1470647893705: 	moved	mover	to	{"x":240,"y":401}
1470647893712: 	moved	mover	to	{"x":238,"y":401}
1470647893721: 	moved	mover	to	{"x":234,"y":402}
1470647893730: 	moved	mover	to	{"x":228,"y":401}
1470647893737: 	moved	mover	to	{"x":222,"y":399}
1470647893746: 	moved	mover	to	{"x":216,"y":396}
1470647893755: 	moved	mover	to	{"x":210,"y":393}
1470647893763: 	moved	mover	to	{"x":203,"y":390}
1470647893771: 	moved	mover	to	{"x":197,"y":387}
1470647893780: 	moved	mover	to	{"x":191,"y":384}
1470647893788: 	moved	mover	to	{"x":184,"y":381}
1470647893796: 	moved	mover	to	{"x":178,"y":377}
1470647893805: 	moved	mover	to	{"x":172,"y":374}
1470647893812: 	moved	mover	to	{"x":168,"y":370}
1470647893820: 	moved	mover	to	{"x":163,"y":367}
1470647893830: 	moved	mover	to	{"x":159,"y":363}
1470647893837: 	moved	mover	to	{"x":156,"y":359}
1470647893846: 	moved	mover	to	{"x":153,"y":354}
1470647893855: 	moved	mover	to	{"x":151,"y":350}
1470647893863: 	moved	mover	to	{"x":149,"y":348}
1470647893871: 	moved	mover	to	{"x":147,"y":343}
1470647893880: 	moved	mover	to	{"x":145,"y":338}
1470647893888: 	moved	mover	to	{"x":144,"y":333}
1470647893896: 	moved	mover	to	{"x":144,"y":328}
1470647893905: 	moved	mover	to	{"x":144,"y":326}
1470647893912: 	moved	mover	to	{"x":145,"y":322}
1470647893920: 	moved	mover	to	{"x":147,"y":316}
1470647893930: 	moved	mover	to	{"x":149,"y":312}
1470647893943: 	moved	mover	to	{"x":153,"y":307}
1470647893955: 	moved	mover	to	{"x":161,"y":299}
1470647893962: 	moved	mover	to	{"x":167,"y":295}
1470647893970: 	moved	mover	to	{"x":175,"y":290}
1470647893979: 	moved	mover	to	{"x":181,"y":287}
1470647893987: 	moved	mover	to	{"x":190,"y":282}
1470647893996: 	moved	mover	to	{"x":196,"y":279}
