1470648769236: 	acted on	rectangle
1470648769334: 	sub-instrument	rectangle	shapes	false
1470648775726: 	acted on	menu
1470648776218: 	acted on	innerText
1470648776309: 	sub-instrument	start	shapes	true
1470648776310: 	activate	shapes
1470648777927: 	acted on	rectangle
1470648778009: 	sub-instrument	rectangle	shapes	true
1470648780276: 	acted on	rectangle
1470648780366: 	sub-instrument	rectangle	shapes	true
1470648780691: 	acted on	sample
1470648781301: 	acted on	rectangle
1470648781416: 	sub-instrument	rectangle	shapes	true
1470648783511: 	shape started	{"x":819,"y":273}
1470648783514: 	shape continued	10	rectangle
1470648783669: 	shape continued	12	rectangle
1470648783677: 	shape continued	14	rectangle
1470648783685: 	shape continued	16	rectangle
1470648783691: 	shape continued	18	rectangle
1470648783699: 	shape continued	21	rectangle
1470648783706: 	shape continued	23	rectangle
1470648783715: 	shape continued	26	rectangle
1470648783724: 	shape continued	28	rectangle
1470648783731: 	shape continued	31	rectangle
1470648783748: 	shape continued	33	rectangle
1470648783753: 	shape continued	36	rectangle
1470648783759: 	shape continued	37	rectangle
1470648783768: 	shape continued	40	rectangle
1470648783774: 	shape continued	42	rectangle
1470648783784: 	shape continued	44	rectangle
1470648783792: 	shape continued	47	rectangle
1470648783798: 	shape continued	49	rectangle
1470648783807: 	shape continued	51	rectangle
1470648783816: 	shape continued	53	rectangle
1470648783824: 	shape continued	56	rectangle
1470648783834: 	shape continued	58	rectangle
1470648783841: 	shape continued	61	rectangle
1470648783849: 	shape continued	63	rectangle
1470648783858: 	shape continued	65	rectangle
1470648783866: 	shape continued	67	rectangle
1470648783874: 	shape continued	70	rectangle
1470648783882: 	shape continued	72	rectangle
1470648783891: 	shape continued	74	rectangle
1470648783900: 	shape continued	78	rectangle
1470648783906: 	shape continued	80	rectangle
1470648783916: 	shape continued	81	rectangle
1470648783924: 	shape continued	84	rectangle
1470648783933: 	shape continued	85	rectangle
1470648783941: 	shape continued	88	rectangle
1470648783949: 	shape continued	89	rectangle
1470648783958: 	shape continued	91	rectangle
1470648783966: 	shape continued	92	rectangle
1470648783975: 	shape continued	94	rectangle
1470648783982: 	shape continued	95	rectangle
1470648783992: 	shape continued	97	rectangle
1470648784001: 	shape continued	98	rectangle
1470648784007: 	shape continued	100	rectangle
1470648784016: 	shape continued	101	rectangle
1470648784024: 	shape continued	103	rectangle
1470648784032: 	shape continued	105	rectangle
1470648784041: 	shape continued	106	rectangle
1470648784049: 	shape continued	108	rectangle
1470648784056: 	shape continued	109	rectangle
1470648784066: 	shape continued	111	rectangle
1470648784075: 	shape continued	113	rectangle
1470648784081: 	shape continued	114	rectangle
1470648784091: 	shape continued	115	rectangle
1470648784099: 	shape continued	117	rectangle
1470648784109: 	shape continued	118	rectangle
1470648784115: 	shape continued	120	rectangle
1470648784124: 	shape continued	120	rectangle
1470648784133: 	shape continued	121	rectangle
1470648784141: 	shape continued	122	rectangle
1470648784149: 	shape continued	123	rectangle
1470648784157: 	shape continued	123	rectangle
1470648784173: 	shape continued	124	rectangle
1470648784190: 	shape continued	124	rectangle
1470648784374: 	shape continued	124	rectangle
1470648784441: 	shape continued	123	rectangle
1470648784500: 	shape continued	123	rectangle
1470648784516: 	shape continued	122	rectangle
1470648784557: 	shape continued	122	rectangle
1470648784574: 	shape continued	121	rectangle
1470648784599: 	shape continued	121	rectangle
1470648784606: 	shape continued	120	rectangle
1470648784652: 	shape continued	119	rectangle
1470648784713: 	shape continued	118	rectangle
1470648784724: 	shape continued	118	rectangle
1470648784783: 	shape continued	117	rectangle
1470648784800: 	shape continued	117	rectangle
1470648786320: 	shape started	{"x":95.5,"y":91.5}
1470648786321: 	shape continued	10	rectangle
1470648786509: 	shape continued	12	rectangle
1470648786516: 	shape continued	13	rectangle
1470648786534: 	shape continued	14	rectangle
1470648786541: 	shape continued	14	rectangle
1470648786558: 	shape continued	15	rectangle
1470648786565: 	shape continued	15	rectangle
1470648786591: 	shape continued	16	rectangle
1470648786607: 	shape continued	16	rectangle
1470648786775: 	shape continued	17	rectangle
1470648786874: 	shape continued	16	rectangle
1470648786925: 	shape continued	16	rectangle
1470648788352: 	shape started	{"x":792,"y":297}
1470648788353: 	shape continued	10	rectangle
1470648788433: 	shape continued	10	rectangle
1470648788440: 	shape continued	12	rectangle
1470648788449: 	shape continued	15	rectangle
1470648788457: 	shape continued	18	rectangle
1470648788465: 	shape continued	22	rectangle
1470648788474: 	shape continued	25	rectangle
1470648788483: 	shape continued	29	rectangle
1470648788491: 	shape continued	33	rectangle
1470648788499: 	shape continued	37	rectangle
1470648788517: 	shape continued	41	rectangle
1470648788533: 	shape continued	56	rectangle
1470648788549: 	shape continued	65	rectangle
1470648788558: 	shape continued	69	rectangle
1470648788565: 	shape continued	74	rectangle
1470648788584: 	shape continued	79	rectangle
1470648788603: 	shape continued	93	rectangle
1470648788616: 	shape continued	102	rectangle
1470648788624: 	shape continued	107	rectangle
1470648788642: 	shape continued	112	rectangle
1470648788648: 	shape continued	122	rectangle
1470648788668: 	shape continued	126	rectangle
1470648788683: 	shape continued	139	rectangle
1470648788691: 	shape continued	141	rectangle
1470648788698: 	shape continued	145	rectangle
1470648788715: 	shape continued	149	rectangle
1470648788723: 	shape continued	156	rectangle
1470648788734: 	shape continued	159	rectangle
1470648788753: 	shape continued	166	rectangle
1470648788766: 	shape continued	172	rectangle
1470648788783: 	shape continued	177	rectangle
1470648788790: 	shape continued	178	rectangle
1470648788798: 	shape continued	180	rectangle
1470648788807: 	shape continued	181	rectangle
1470648788816: 	shape continued	183	rectangle
1470648788824: 	shape continued	183	rectangle
1470648788833: 	shape continued	184	rectangle
1470648788849: 	shape continued	185	rectangle
1470648788894: 	shape continued	186	rectangle
1470648789024: 	shape continued	186	rectangle
1470648789183: 	shape continued	185	rectangle
1470648793270: 	acted on	innerText
1470648793366: 	sub-instrument	stop	shapes	false
1470648793367: 	deactivate	shapes
1470648817151: 	acted on	innerText
1470648817233: 	sub-instrument	start	shapes	true
1470648817234: 	activate	shapes
1470648820917: 	acted on	rectangle
1470648821016: 	sub-instrument	rectangle	shapes	true
1470648821855: 	shape started	{"x":1067,"y":199}
1470648821856: 	shape continued	10	rectangle
1470648821949: 	shape continued	10	rectangle
1470648821956: 	shape continued	10	rectangle
1470648821966: 	shape continued	11	rectangle
1470648821974: 	shape continued	13	rectangle
1470648821981: 	shape continued	15	rectangle
1470648821990: 	shape continued	17	rectangle
1470648821999: 	shape continued	19	rectangle
1470648822008: 	shape continued	21	rectangle
1470648822015: 	shape continued	23	rectangle
1470648822023: 	shape continued	25	rectangle
1470648822031: 	shape continued	27	rectangle
1470648822040: 	shape continued	29	rectangle
1470648822048: 	shape continued	31	rectangle
1470648822056: 	shape continued	32	rectangle
1470648822065: 	shape continued	34	rectangle
1470648822073: 	shape continued	35	rectangle
1470648822081: 	shape continued	36	rectangle
1470648822090: 	shape continued	37	rectangle
1470648822098: 	shape continued	38	rectangle
1470648822107: 	shape continued	39	rectangle
1470648822115: 	shape continued	40	rectangle
1470648822123: 	shape continued	41	rectangle
1470648822141: 	shape continued	42	rectangle
1470648822148: 	shape continued	42	rectangle
1470648822157: 	shape continued	43	rectangle
1470648822165: 	shape continued	44	rectangle
1470648822173: 	shape continued	44	rectangle
1470648822181: 	shape continued	45	rectangle
1470648822190: 	shape continued	46	rectangle
1470648822207: 	shape continued	46	rectangle
1470648822215: 	shape continued	47	rectangle
1470648822232: 	shape continued	47	rectangle
1470648822242: 	shape continued	48	rectangle
1470648822257: 	shape continued	48	rectangle
1470648822274: 	shape continued	49	rectangle
1470648822281: 	shape continued	49	rectangle
1470648822299: 	shape continued	50	rectangle
1470648822306: 	shape continued	50	rectangle
1470648822332: 	shape continued	51	rectangle
1470648822382: 	shape continued	51	rectangle
1470648822415: 	shape continued	52	rectangle
1470648822482: 	shape continued	52	rectangle
1470648822524: 	shape continued	53	rectangle
1470648822541: 	shape continued	53	rectangle
1470648822599: 	shape continued	54	rectangle
1470648822616: 	shape continued	58	rectangle
1470648822633: 	shape continued	60	rectangle
1470648822640: 	shape continued	61	rectangle
1470648822648: 	shape continued	63	rectangle
1470648822656: 	shape continued	64	rectangle
1470648822665: 	shape continued	65	rectangle
1470648822674: 	shape continued	67	rectangle
1470648822682: 	shape continued	68	rectangle
1470648822690: 	shape continued	69	rectangle
1470648822698: 	shape continued	71	rectangle
1470648822707: 	shape continued	72	rectangle
1470648822715: 	shape continued	73	rectangle
1470648822723: 	shape continued	74	rectangle
1470648822732: 	shape continued	76	rectangle
1470648822740: 	shape continued	77	rectangle
1470648822748: 	shape continued	78	rectangle
1470648822757: 	shape continued	79	rectangle
1470648822765: 	shape continued	79	rectangle
1470648822773: 	shape continued	80	rectangle
1470648822782: 	shape continued	81	rectangle
1470648822790: 	shape continued	82	rectangle
1470648822799: 	shape continued	82	rectangle
1470648822806: 	shape continued	83	rectangle
1470648822815: 	shape continued	83	rectangle
1470648822824: 	shape continued	84	rectangle
1470648822831: 	shape continued	85	rectangle
1470648822840: 	shape continued	85	rectangle
1470648822856: 	shape continued	86	rectangle
1470648822874: 	shape continued	86	rectangle
1470648822899: 	shape continued	87	rectangle
1470648822941: 	shape continued	87	rectangle
1470648822982: 	shape continued	87	rectangle
1470648822999: 	shape continued	88	rectangle
1470648823006: 	shape continued	88	rectangle
1470648823024: 	shape continued	88	rectangle
1470648823031: 	shape continued	89	rectangle
1470648823041: 	shape continued	89	rectangle
1470648823048: 	shape continued	91	rectangle
1470648823057: 	shape continued	92	rectangle
1470648823066: 	shape continued	92	rectangle
1470648823073: 	shape continued	93	rectangle
