1470648000079: 	acted on	sample
1470648003388: 	acted on	innerText
1470648003578: 	sub-instrument	start	shapes	true
1470648003579: 	activate	shapes
1470648004738: 	acted on	circle
1470648004879: 	sub-instrument	circle	shapes	true
1470648006410: 	shape started	{"x":1061,"y":168}
1470648006412: 	shape continued	10	circle
1470648006586: 	shape continued	13	circle
1470648006594: 	shape continued	15	circle
1470648006603: 	shape continued	17	circle
1470648006611: 	shape continued	18	circle
1470648006618: 	shape continued	20	circle
1470648006628: 	shape continued	22	circle
1470648006635: 	shape continued	24	circle
1470648006644: 	shape continued	26	circle
1470648006652: 	shape continued	27	circle
1470648006661: 	shape continued	29	circle
1470648006668: 	shape continued	31	circle
1470648006678: 	shape continued	32	circle
1470648006685: 	shape continued	34	circle
1470648006694: 	shape continued	36	circle
1470648006703: 	shape continued	38	circle
1470648006711: 	shape continued	39	circle
1470648006718: 	shape continued	41	circle
1470648006727: 	shape continued	43	circle
1470648006737: 	shape continued	45	circle
1470648006744: 	shape continued	48	circle
1470648006753: 	shape continued	50	circle
1470648006762: 	shape continued	52	circle
1470648006768: 	shape continued	54	circle
1470648006778: 	shape continued	56	circle
1470648006785: 	shape continued	59	circle
1470648006794: 	shape continued	60	circle
1470648006803: 	shape continued	63	circle
1470648006811: 	shape continued	65	circle
1470648006818: 	shape continued	67	circle
1470648006827: 	shape continued	68	circle
1470648006836: 	shape continued	70	circle
1470648006846: 	shape continued	72	circle
1470648006853: 	shape continued	74	circle
1470648006861: 	shape continued	76	circle
1470648006868: 	shape continued	78	circle
1470648006877: 	shape continued	80	circle
1470648006885: 	shape continued	82	circle
1470648006893: 	shape continued	85	circle
1470648006903: 	shape continued	87	circle
1470648006910: 	shape continued	89	circle
1470648006919: 	shape continued	92	circle
1470648006927: 	shape continued	93	circle
1470648006936: 	shape continued	96	circle
1470648006944: 	shape continued	98	circle
1470648006952: 	shape continued	101	circle
1470648006960: 	shape continued	103	circle
1470648006969: 	shape continued	105	circle
1470648006978: 	shape continued	108	circle
1470648006986: 	shape continued	110	circle
1470648006994: 	shape continued	113	circle
1470648007003: 	shape continued	116	circle
1470648007011: 	shape continued	119	circle
1470648007018: 	shape continued	121	circle
1470648007028: 	shape continued	124	circle
1470648007036: 	shape continued	126	circle
1470648007043: 	shape continued	129	circle
1470648007052: 	shape continued	132	circle
1470648007060: 	shape continued	134	circle
1470648007068: 	shape continued	137	circle
1470648007078: 	shape continued	139	circle
1470648007086: 	shape continued	142	circle
1470648007094: 	shape continued	144	circle
1470648007103: 	shape continued	147	circle
1470648007110: 	shape continued	149	circle
1470648007119: 	shape continued	152	circle
1470648007128: 	shape continued	154	circle
1470648007135: 	shape continued	157	circle
1470648007143: 	shape continued	160	circle
1470648007152: 	shape continued	162	circle
1470648007160: 	shape continued	165	circle
1470648007168: 	shape continued	168	circle
1470648007178: 	shape continued	170	circle
1470648007185: 	shape continued	173	circle
1470648007194: 	shape continued	176	circle
1470648007203: 	shape continued	179	circle
1470648007210: 	shape continued	182	circle
1470648007218: 	shape continued	185	circle
1470648007227: 	shape continued	188	circle
1470648007235: 	shape continued	190	circle
1470648007244: 	shape continued	193	circle
1470648007252: 	shape continued	195	circle
1470648007261: 	shape continued	198	circle
1470648007269: 	shape continued	201	circle
1470648007278: 	shape continued	204	circle
1470648007285: 	shape continued	207	circle
1470648007294: 	shape continued	209	circle
1470648007303: 	shape continued	212	circle
1470648007310: 	shape continued	215	circle
1470648007319: 	shape continued	217	circle
1470648007328: 	shape continued	220	circle
1470648007335: 	shape continued	223	circle
1470648007344: 	shape continued	226	circle
1470648007353: 	shape continued	229	circle
1470648007360: 	shape continued	231	circle
1470648007368: 	shape continued	233	circle
1470648007378: 	shape continued	235	circle
1470648007387: 	shape continued	237	circle
1470648007393: 	shape continued	240	circle
1470648007403: 	shape continued	242	circle
1470648007410: 	shape continued	244	circle
1470648007419: 	shape continued	247	circle
