1470650538065: 	acted on	sample
1470650539476: 	acted on	sample
1470650540078: 	acted on	sample
1470650540915: 	acted on	sample
1470650557642: 	acted on	innerText
1470650557719: 	sub-instrument	start	shapes	true
1470650557733: 	activate	shapes
1470650558266: 	acted on	circle
1470650558323: 	sub-instrument	circle	shapes	true
1470650568516: 	shape started	{"x":1022,"y":165}
1470650568519: 	shape continued	10	circle
1470650568621: 	shape continued	13	circle
1470650568630: 	shape continued	16	circle
1470650568636: 	shape continued	19	circle
1470650568645: 	shape continued	23	circle
1470650568653: 	shape continued	26	circle
1470650568661: 	shape continued	30	circle
1470650568671: 	shape continued	34	circle
1470650568678: 	shape continued	38	circle
1470650568687: 	shape continued	42	circle
1470650568695: 	shape continued	45	circle
1470650568703: 	shape continued	49	circle
1470650568711: 	shape continued	52	circle
1470650568720: 	shape continued	57	circle
1470650568728: 	shape continued	62	circle
1470650568735: 	shape continued	65	circle
1470650568745: 	shape continued	69	circle
1470650568753: 	shape continued	74	circle
1470650568760: 	shape continued	78	circle
1470650568770: 	shape continued	84	circle
1470650568778: 	shape continued	88	circle
1470650568789: 	shape continued	92	circle
1470650568797: 	shape continued	98	circle
1470650568803: 	shape continued	103	circle
1470650568811: 	shape continued	107	circle
1470650568819: 	shape continued	112	circle
1470650568828: 	shape continued	116	circle
1470650568836: 	shape continued	121	circle
1470650568845: 	shape continued	126	circle
1470650568853: 	shape continued	130	circle
1470650568861: 	shape continued	135	circle
1470650568870: 	shape continued	140	circle
1470650568878: 	shape continued	146	circle
1470650568886: 	shape continued	150	circle
1470650568894: 	shape continued	154	circle
1470650568903: 	shape continued	158	circle
1470650568910: 	shape continued	163	circle
1470650568920: 	shape continued	167	circle
1470650568928: 	shape continued	171	circle
1470650568935: 	shape continued	175	circle
1470650568945: 	shape continued	179	circle
1470650568952: 	shape continued	183	circle
1470650568961: 	shape continued	187	circle
1470650568970: 	shape continued	191	circle
1470650568978: 	shape continued	195	circle
1470650568986: 	shape continued	198	circle
1470650568995: 	shape continued	201	circle
1470650569003: 	shape continued	205	circle
1470650569011: 	shape continued	208	circle
1470650569020: 	shape continued	211	circle
1470650569027: 	shape continued	214	circle
1470650569037: 	shape continued	218	circle
1470650569045: 	shape continued	221	circle
1470650569052: 	shape continued	224	circle
1470650569061: 	shape continued	228	circle
1470650569070: 	shape continued	231	circle
1470650569079: 	shape continued	234	circle
1470650569086: 	shape continued	236	circle
1470650569094: 	shape continued	240	circle
1470650569103: 	shape continued	243	circle
1470650569110: 	shape continued	246	circle
1470650569120: 	shape continued	249	circle
1470650569127: 	shape continued	252	circle
1470650569136: 	shape continued	255	circle
1470650569144: 	shape continued	258	circle
1470650569152: 	shape continued	261	circle
1470650569160: 	shape continued	263	circle
1470650569170: 	shape continued	265	circle
1470650569178: 	shape continued	268	circle
1470650569185: 	shape continued	271	circle
1470650569196: 	shape continued	273	circle
1470650569202: 	shape continued	276	circle
1470650569212: 	shape continued	278	circle
1470650569220: 	shape continued	280	circle
1470650569228: 	shape continued	282	circle
1470650569235: 	shape continued	285	circle
1470650569244: 	shape continued	287	circle
1470650569253: 	shape continued	288	circle
1470650569261: 	shape continued	290	circle
1470650569269: 	shape continued	291	circle
1470650569278: 	shape continued	293	circle
1470650569286: 	shape continued	295	circle
1470650569296: 	shape continued	296	circle
1470650569303: 	shape continued	298	circle
1470650569310: 	shape continued	299	circle
1470650569319: 	shape continued	301	circle
1470650569328: 	shape continued	302	circle
1470650569336: 	shape continued	303	circle
1470650569345: 	shape continued	304	circle
1470650569353: 	shape continued	306	circle
1470650569360: 	shape continued	307	circle
1470650569371: 	shape continued	308	circle
1470650569378: 	shape continued	309	circle
1470650569386: 	shape continued	310	circle
1470650569396: 	shape continued	311	circle
1470650569403: 	shape continued	312	circle
1470650569410: 	shape continued	313	circle
1470650569421: 	shape continued	314	circle
1470650569428: 	shape continued	315	circle
1470650569445: 	shape continued	316	circle
1470650569453: 	shape continued	317	circle
1470650569470: 	shape continued	318	circle
1470650569487: 	shape continued	319	circle
1470650569511: 	shape continued	320	circle
1470650569529: 	shape continued	321	circle
1470650569536: 	shape continued	323	circle
1470650569545: 	shape continued	324	circle
1470650569553: 	shape continued	326	circle
1470650569560: 	shape continued	329	circle
1470650569570: 	shape continued	332	circle
1470650569578: 	shape continued	335	circle
1470650569587: 	shape continued	338	circle
1470650569595: 	shape continued	341	circle
1470650561035: 	acted on	innerText
1470650561139: 	sub-instrument	stop	shapes	false
1470650561163: 	deactivate	shapes
