1470659648344: 	acted on	innerText
1470659648453: 	sub-instrument	start	mover	true
1470659648467: 	activate	mover
1470659661100: 	acted on	image-50
1470659661112: 	action	mover	image-50	{"x":1111,"y":486}
1470659661144: 	start moving	image-50	from	{"x":71,"y":94}
1470659661586: 	action	mover	image-50	{"x":1097,"y":476}
1470659661590: 	moved	image-50	to	{"x":1097,"y":476}
1470659661606: 	action	mover	image-50	{"x":1094,"y":474}
1470659661608: 	moved	image-50	to	{"x":1094,"y":474}
1470659661629: 	action	mover	image-50	{"x":1092,"y":473}
1470659661649: 	moved	image-50	to	{"x":1092,"y":473}
1470659661659: 	action	mover	image-50	{"x":1086,"y":470}
1470659661661: 	moved	image-50	to	{"x":1086,"y":470}
1470659661672: 	action	mover	image-50	{"x":1085,"y":469}
1470659661674: 	moved	image-50	to	{"x":1085,"y":469}
1470659661685: 	action	mover	image-50	{"x":1083,"y":469}
1470659661686: 	moved	image-50	to	{"x":1083,"y":469}
1470659661693: 	action	mover	image-50	{"x":1082,"y":468}
1470659661694: 	moved	image-50	to	{"x":1082,"y":468}
1470659661708: 	action	mover	image-50	{"x":1081,"y":468}
1470659661709: 	moved	image-50	to	{"x":1081,"y":468}
1470659661715: 	action	mover	image-50	{"x":1080,"y":468}
1470659661716: 	moved	image-50	to	{"x":1080,"y":468}
1470659661722: 	action	mover	image-50	{"x":1079,"y":468}
1470659661723: 	moved	image-50	to	{"x":1079,"y":468}
1470659661755: 	action	mover	image-50	{"x":1078,"y":468}
1470659661848: 	action	mover	image-50	{"x":1077,"y":468}
1470659661849: 	moved	image-50	to	{"x":1077,"y":468}
1470659661930: 	action	mover	image-50	{"x":1076,"y":468}
1470659661955: 	action	mover	image-50	{"x":1075,"y":468}
1470659661956: 	moved	image-50	to	{"x":1075,"y":468}
1470659661962: 	action	mover	image-50	{"x":1074,"y":467}
1470659661963: 	moved	image-50	to	{"x":1074,"y":467}
1470659661972: 	action	mover	image-50	{"x":1069,"y":464}
1470659661973: 	moved	image-50	to	{"x":1069,"y":464}
1470659661979: 	action	mover	image-50	{"x":1066,"y":463}
1470659661980: 	moved	image-50	to	{"x":1066,"y":463}
1470659661987: 	action	mover	image-50	{"x":1063,"y":461}
1470659661988: 	moved	image-50	to	{"x":1063,"y":461}
1470659661996: 	action	mover	image-50	{"x":1059,"y":459}
1470659661997: 	moved	image-50	to	{"x":1059,"y":459}
1470659662004: 	action	mover	image-50	{"x":1057,"y":458}
1470659662005: 	moved	image-50	to	{"x":1057,"y":458}
1470659662013: 	action	mover	image-50	{"x":1053,"y":456}
1470659662039: 	action	mover	image-50	{"x":1049,"y":454}
1470659662050: 	moved	image-50	to	{"x":1049,"y":454}
1470659662055: 	action	mover	image-50	{"x":1036,"y":447}
1470659662056: 	moved	image-50	to	{"x":1036,"y":447}
1470659662060: 	action	mover	image-50	{"x":1032,"y":444}
1470659662061: 	moved	image-50	to	{"x":1032,"y":444}
1470659662065: 	action	mover	image-50	{"x":1028,"y":442}
1470659662066: 	moved	image-50	to	{"x":1028,"y":442}
1470659662072: 	action	mover	image-50	{"x":1022,"y":438}
1470659662073: 	moved	image-50	to	{"x":1022,"y":438}
1470659662079: 	action	mover	image-50	{"x":1017,"y":435}
1470659662080: 	moved	image-50	to	{"x":1017,"y":435}
1470659662088: 	action	mover	image-50	{"x":1012,"y":432}
1470659662097: 	action	mover	image-50	{"x":1006,"y":429}
1470659662104: 	action	mover	image-50	{"x":1000,"y":426}
1470659662105: 	moved	image-50	to	{"x":1000,"y":426}
1470659662113: 	action	mover	image-50	{"x":994,"y":423}
1470659662122: 	action	mover	image-50	{"x":988,"y":421}
1470659662123: 	moved	image-50	to	{"x":988,"y":421}
1470659662129: 	action	mover	image-50	{"x":982,"y":418}
1470659662130: 	moved	image-50	to	{"x":982,"y":418}
1470659662137: 	action	mover	image-50	{"x":975,"y":415}
1470659662149: 	moved	image-50	to	{"x":975,"y":415}
1470659662153: 	action	mover	image-50	{"x":966,"y":412}
1470659662154: 	moved	image-50	to	{"x":966,"y":412}
1470659662158: 	action	mover	image-50	{"x":959,"y":409}
1470659662163: 	action	mover	image-50	{"x":951,"y":406}
1470659662172: 	action	mover	image-50	{"x":941,"y":402}
1470659662173: 	moved	image-50	to	{"x":941,"y":402}
1470659662180: 	action	mover	image-50	{"x":933,"y":399}
1470659662181: 	moved	image-50	to	{"x":933,"y":399}
1470659662187: 	action	mover	image-50	{"x":921,"y":396}
1470659662188: 	moved	image-50	to	{"x":921,"y":396}
1470659662196: 	action	mover	image-50	{"x":911,"y":393}
1470659662197: 	moved	image-50	to	{"x":911,"y":393}
1470659662204: 	action	mover	image-50	{"x":899,"y":390}
1470659662205: 	moved	image-50	to	{"x":899,"y":390}
1470659662212: 	action	mover	image-50	{"x":892,"y":388}
1470659662213: 	moved	image-50	to	{"x":892,"y":388}
1470659662221: 	action	mover	image-50	{"x":877,"y":385}
1470659662222: 	moved	image-50	to	{"x":877,"y":385}
1470659662229: 	action	mover	image-50	{"x":865,"y":382}
1470659662230: 	moved	image-50	to	{"x":865,"y":382}
1470659662237: 	action	mover	image-50	{"x":852,"y":379}
1470659662238: 	moved	image-50	to	{"x":852,"y":379}
1470659662246: 	action	mover	image-50	{"x":840,"y":378}
1470659662247: 	moved	image-50	to	{"x":840,"y":378}
1470659662255: 	action	mover	image-50	{"x":830,"y":376}
1470659662262: 	action	mover	image-50	{"x":817,"y":375}
1470659662263: 	moved	image-50	to	{"x":817,"y":375}
1470659662271: 	action	mover	image-50	{"x":805,"y":373}
1470659662272: 	moved	image-50	to	{"x":805,"y":373}
1470659662279: 	action	mover	image-50	{"x":792,"y":372}
1470659662280: 	moved	image-50	to	{"x":792,"y":372}
1470659662288: 	action	mover	image-50	{"x":780,"y":370}
1470659662289: 	moved	image-50	to	{"x":780,"y":370}
1470659662297: 	action	mover	image-50	{"x":768,"y":369}
1470659662305: 	action	mover	image-50	{"x":756,"y":368}
1470659662312: 	action	mover	image-50	{"x":745,"y":367}
1470659662313: 	moved	image-50	to	{"x":745,"y":367}
1470659662322: 	action	mover	image-50	{"x":732,"y":366}
1470659662323: 	moved	image-50	to	{"x":732,"y":366}
1470659662334: 	action	mover	image-50	{"x":721,"y":366}
1470659662335: 	moved	image-50	to	{"x":721,"y":366}
1470659662339: 	action	mover	image-50	{"x":709,"y":364}
1470659662340: 	moved	image-50	to	{"x":709,"y":364}
1470659662346: 	action	mover	image-50	{"x":698,"y":363}
1470659662347: 	moved	image-50	to	{"x":698,"y":363}
1470659662355: 	action	mover	image-50	{"x":687,"y":362}
1470659662362: 	action	mover	image-50	{"x":675,"y":361}
1470659662363: 	moved	image-50	to	{"x":675,"y":361}
1470659662371: 	action	mover	image-50	{"x":665,"y":358}
1470659662372: 	moved	image-50	to	{"x":665,"y":358}
1470659662380: 	action	mover	image-50	{"x":654,"y":357}
1470659662387: 	action	mover	image-50	{"x":642,"y":356}
1470659662388: 	moved	image-50	to	{"x":642,"y":356}
1470659662397: 	action	mover	image-50	{"x":632,"y":354}
1470659662398: 	moved	image-50	to	{"x":632,"y":354}
1470659662405: 	action	mover	image-50	{"x":621,"y":352}
1470659662406: 	moved	image-50	to	{"x":621,"y":352}
1470659662413: 	action	mover	image-50	{"x":609,"y":351}
