1470659807985: 	acted on	innerText
1470659808094: 	sub-instrument	start	shapes	true
1470659808105: 	activate	shapes
1470659808571: 	acted on	sample
1470659809355: 	acted on	sample
1470659810246: 	acted on	sample
1470659811268: 	acted on	innerText
1470659811345: 	sub-instrument	stop	shapes	false
1470659811357: 	deactivate	shapes
1470659811833: 	acted on	sample
1470659818605: 	acted on	shapes
1470659819013: 	acted on	innerText
1470659819112: 	sub-instrument	start	shapes	true
1470659819125: 	activate	shapes
1470659819586: 	acted on	sample
1470659824035: 	acted on	innerText
1470659824268: 	sub-instrument	stop	shapes	false
1470659824292: 	deactivate	shapes
1470659829781: 	acted on	circle
1470659829854: 	sub-instrument	circle	shapes	false
1470659840802: 	acted on	innerText
1470659840895: 	sub-instrument	start	shapes	true
1470659840898: 	activate	shapes
1470659844476: 	acted on	circle
1470659844577: 	sub-instrument	circle	shapes	true
1470659855491: 	shape started	{"x":108,"y":488}
1470659855494: 	shape continued	10	circle
1470659856205: 	shape started	{"x":8,"y":5}
1470659856207: 	shape continued	10	circle
1470659856376: 	shape continued	10	circle
1470659856384: 	shape continued	10	circle
1470659856387: 	shape continued	10	circle
1470659856394: 	shape continued	10	circle
1470659856402: 	shape continued	10	circle
1470659856410: 	shape continued	10	circle
1470659856420: 	shape continued	10	circle
1470659856427: 	shape continued	10	circle
1470659856435: 	shape continued	10	circle
1470659856444: 	shape continued	10	circle
1470659856452: 	shape continued	10	circle
1470659856460: 	shape continued	10	circle
1470659856469: 	shape continued	10	circle
1470659856477: 	shape continued	10	circle
1470659856485: 	shape continued	10	circle
1470659856495: 	shape continued	10	circle
1470659856520: 	shape continued	10	circle
1470659856779: 	shape continued	10	circle
1470659856820: 	shape continued	10	circle
1470659856829: 	shape continued	10	circle
1470659856836: 	shape continued	10	circle
1470659856844: 	shape continued	10	circle
1470659856852: 	shape continued	10	circle
1470659856861: 	shape continued	10	circle
1470659856869: 	shape continued	10	circle
1470659856877: 	shape continued	10	circle
1470659856885: 	shape continued	10	circle
1470659856895: 	shape continued	10	circle
1470659856902: 	shape continued	10	circle
1470659856910: 	shape continued	10	circle
1470659856919: 	shape continued	10	circle
1470659856927: 	shape continued	10	circle
1470659856935: 	shape continued	10	circle
1470659856944: 	shape continued	10	circle
1470659856952: 	shape continued	10	circle
1470659856960: 	shape continued	10	circle
1470659856970: 	shape continued	10	circle
1470659856977: 	shape continued	10	circle
1470659856986: 	shape continued	10	circle
1470659856994: 	shape continued	10	circle
1470659857010: 	shape continued	10	circle
1470659857019: 	shape continued	10	circle
1470659857095: 	shape continued	10	circle
1470659857103: 	shape continued	10	circle
1470659857405: 	shape started	{"x":117,"y":496}
1470659857406: 	shape continued	10	circle
1470659857547: 	shape started	{"x":8,"y":1}
1470659857548: 	shape continued	10	circle
1470659857688: 	shape started	{"x":124,"y":492}
1470659857689: 	shape continued	10	circle
1470659858962: 	shape started	{"x":2,"y":8}
1470659858963: 	shape continued	10	circle
1470659859285: 	shape continued	10	circle
1470659859655: 	shape started	{"x":133,"y":531}
1470659859656: 	shape continued	10	circle
1470659859826: 	shape continued	10	circle
1470659859834: 	shape continued	11	circle
1470659859843: 	shape continued	12	circle
1470659859851: 	shape continued	14	circle
1470659859860: 	shape continued	15	circle
1470659859868: 	shape continued	15	circle
1470659859876: 	shape continued	16	circle
1470659859884: 	shape continued	17	circle
1470659859894: 	shape continued	17	circle
1470659859910: 	shape continued	18	circle
1470659859927: 	shape continued	18	circle
1470659860787: 	shape started	{"x":137,"y":541}
1470659860788: 	shape continued	10	circle
1470659860994: 	shape continued	13	circle
1470659861001: 	shape continued	14	circle
1470659861011: 	shape continued	16	circle
1470659861018: 	shape continued	17	circle
1470659861026: 	shape continued	19	circle
1470659861035: 	shape continued	20	circle
1470659861043: 	shape continued	21	circle
1470659861051: 	shape continued	22	circle
1470659861060: 	shape continued	23	circle
1470659861068: 	shape continued	24	circle
1470659861076: 	shape continued	25	circle
1470659861085: 	shape continued	26	circle
1470659861093: 	shape continued	28	circle
1470659861100: 	shape continued	29	circle
1470659861110: 	shape continued	30	circle
1470659861118: 	shape continued	31	circle
1470659861126: 	shape continued	32	circle
1470659861135: 	shape continued	33	circle
1470659861143: 	shape continued	34	circle
1470659861151: 	shape continued	35	circle
1470659861160: 	shape continued	36	circle
1470659861168: 	shape continued	37	circle
1470659861177: 	shape continued	38	circle
1470659861185: 	shape continued	39	circle
1470659861200: 	shape continued	40	circle
1470659861210: 	shape continued	41	circle
1470659861218: 	shape continued	41	circle
1470659861226: 	shape continued	43	circle
1470659861243: 	shape continued	44	circle
1470659861251: 	shape continued	45	circle
1470659861260: 	shape continued	46	circle
1470659861267: 	shape continued	47	circle
1470659861276: 	shape continued	48	circle
1470659861285: 	shape continued	49	circle
1470659861301: 	shape continued	50	circle
1470659861310: 	shape continued	51	circle
1470659861317: 	shape continued	52	circle
1470659861326: 	shape continued	53	circle
1470659861335: 	shape continued	54	circle
1470659861343: 	shape continued	55	circle
1470659861351: 	shape continued	55	circle
1470659861360: 	shape continued	56	circle
1470659861368: 	shape continued	57	circle
1470659861375: 	shape continued	58	circle
1470659861385: 	shape continued	59	circle
1470659861392: 	shape continued	60	circle
1470659861402: 	shape continued	61	circle
1470659861410: 	shape continued	62	circle
1470659861418: 	shape continued	62	circle
1470659861425: 	shape continued	63	circle
1470659861435: 	shape continued	64	circle
1470659861442: 	shape continued	65	circle
1470659861451: 	shape continued	66	circle
1470659861468: 	shape continued	67	circle
1470659861485: 	shape continued	68	circle
1470659861492: 	shape continued	69	circle
1470659861501: 	shape continued	69	circle
1470659861510: 	shape continued	70	circle
1470659861517: 	shape continued	70	circle
1470659861525: 	shape continued	71	circle
1470659861543: 	shape continued	72	circle
1470659861551: 	shape continued	73	circle
1470659861560: 	shape continued	73	circle
1470659861576: 	shape continued	74	circle
1470659861585: 	shape continued	74	circle
1470659861593: 	shape continued	75	circle
1470659861611: 	shape continued	76	circle
1470659861627: 	shape continued	76	circle
1470659861634: 	shape continued	77	circle
1470659861643: 	shape continued	78	circle
1470659861660: 	shape continued	79	circle
1470659861668: 	shape continued	79	circle
1470659861676: 	shape continued	80	circle
1470659861685: 	shape continued	80	circle
1470659861693: 	shape continued	81	circle
1470659861700: 	shape continued	82	circle
1470659861718: 	shape continued	83	circle
1470659861735: 	shape continued	84	circle
1470659861742: 	shape continued	85	circle
1470659861751: 	shape continued	85	circle
1470659861760: 	shape continued	86	circle
1470659861768: 	shape continued	87	circle
1470659861776: 	shape continued	88	circle
1470659861785: 	shape continued	89	circle
1470659861793: 	shape continued	89	circle
1470659861801: 	shape continued	90	circle
1470659861809: 	shape continued	91	circle
1470659861827: 	shape continued	92	circle
1470659861834: 	shape continued	93	circle
1470659861843: 	shape continued	94	circle
1470659861861: 	shape continued	95	circle
1470659861867: 	shape continued	96	circle
1470659861876: 	shape continued	97	circle
1470659861884: 	shape continued	98	circle
1470659861892: 	shape continued	99	circle
1470659861910: 	shape continued	100	circle
1470659861918: 	shape continued	101	circle
1470659861926: 	shape continued	102	circle
1470659861935: 	shape continued	103	circle
1470659861942: 	shape continued	104	circle
1470659861951: 	shape continued	105	circle
1470659861959: 	shape continued	106	circle
1470659861968: 	shape continued	107	circle
1470659861976: 	shape continued	108	circle
1470659861985: 	shape continued	109	circle
1470659861993: 	shape continued	110	circle
1470659862001: 	shape continued	110	circle
1470659862010: 	shape continued	112	circle
1470659862017: 	shape continued	113	circle
1470659862025: 	shape continued	114	circle
1470659862036: 	shape continued	115	circle
1470659862042: 	shape continued	116	circle
1470659862051: 	shape continued	117	circle
1470659862059: 	shape continued	118	circle
1470659862068: 	shape continued	118	circle
1470659862075: 	shape continued	119	circle
1470659862084: 	shape continued	120	circle
1470659862092: 	shape continued	121	circle
1470659862101: 	shape continued	122	circle
1470659862110: 	shape continued	122	circle
1470659862118: 	shape continued	123	circle
1470659862126: 	shape continued	124	circle
1470659862136: 	shape continued	125	circle
1470659862143: 	shape continued	126	circle
1470659862150: 	shape continued	127	circle
1470659862168: 	shape continued	128	circle
1470659862172: 	shape continued	129	circle
1470659862178: 	shape continued	130	circle
1470659862193: 	shape continued	131	circle
1470659862202: 	shape continued	132	circle
1470659862210: 	shape continued	133	circle
1470659862217: 	shape continued	134	circle
1470659862225: 	shape continued	135	circle
1470659862235: 	shape continued	135	circle
1470659862243: 	shape continued	136	circle
1470659862250: 	shape continued	137	circle
1470659862260: 	shape continued	138	circle
1470659862276: 	shape continued	139	circle
1470659862285: 	shape continued	140	circle
1470659862301: 	shape continued	141	circle
1470659862318: 	shape continued	142	circle
1470659862343: 	shape continued	143	circle
1470659862369: 	shape continued	143	circle
1470659862411: 	shape continued	144	circle
1470659862506: 	shape continued	145	circle
1470659866316: 	shape started	{"x":263,"y":571}
1470659866317: 	shape continued	10	circle
1470659866519: 	shape continued	14	circle
1470659866527: 	shape continued	15	circle
1470659866535: 	shape continued	16	circle
1470659866543: 	shape continued	17	circle
1470659866551: 	shape continued	18	circle
1470659866560: 	shape continued	19	circle
1470659866568: 	shape continued	20	circle
