1470665753139: 	acted on	innerText
1470665753307: 	sub-instrument	start	draw	true
1470665753331: 	activate	draw
1470665764938: 	draw	image-61	{"x":126,"y":139}
1470665765401: 	draw	image-61	{"x":135,"y":150}
1470665765410: 	draw	image-61	{"x":136,"y":150}
1470665765417: 	draw	image-61	{"x":137,"y":150}
1470665765427: 	draw	image-61	{"x":138,"y":150}
1470665765434: 	draw	image-61	{"x":139,"y":150}
1470665765442: 	draw	image-61	{"x":140,"y":150}
1470665765451: 	draw	image-61	{"x":141,"y":150}
1470665765460: 	draw	image-61	{"x":142,"y":150}
1470665765470: 	draw	image-61	{"x":143,"y":150}
1470665765475: 	draw	image-61	{"x":144,"y":150}
1470665765484: 	draw	image-61	{"x":145,"y":150}
1470665765493: 	draw	image-61	{"x":146,"y":150}
1470665765501: 	draw	image-61	{"x":146,"y":150}
1470665765510: 	draw	image-61	{"x":147,"y":150}
1470665765518: 	draw	image-61	{"x":148,"y":150}
1470665765527: 	draw	image-61	{"x":149,"y":150}
1470665765535: 	draw	image-61	{"x":150,"y":150}
1470665765543: 	draw	image-61	{"x":150,"y":150}
1470665765550: 	draw	image-61	{"x":150,"y":150}
1470665765560: 	draw	image-61	{"x":150,"y":150}
1470665765568: 	draw	image-61	{"x":150,"y":150}
1470665765576: 	draw	image-61	{"x":150,"y":150}
1470665765584: 	draw	image-61	{"x":150,"y":150}
1470665765593: 	draw	image-61	{"x":150,"y":150}
1470665765601: 	draw	image-61	{"x":150,"y":150}
1470665765609: 	draw	image-61	{"x":150,"y":150}
1470665765617: 	draw	image-61	{"x":150,"y":150}
1470665765626: 	draw	image-61	{"x":150,"y":150}
1470665765635: 	draw	image-61	{"x":150,"y":150}
1470665765642: 	draw	image-61	{"x":150,"y":150}
1470665765651: 	draw	image-61	{"x":150,"y":150}
1470665765660: 	draw	image-61	{"x":150,"y":150}
1470665765668: 	draw	image-61	{"x":150,"y":150}
1470665765676: 	draw	image-61	{"x":150,"y":150}
1470665765684: 	draw	image-61	{"x":150,"y":150}
1470665765692: 	draw	image-61	{"x":150,"y":150}
1470665765701: 	draw	image-61	{"x":150,"y":150}
1470665765709: 	draw	image-61	{"x":150,"y":150}
1470665765718: 	draw	image-61	{"x":150,"y":150}
1470665765726: 	draw	image-61	{"x":150,"y":150}
1470665765734: 	draw	image-61	{"x":150,"y":150}
1470665765742: 	draw	image-61	{"x":150,"y":150}
1470665765751: 	draw	image-61	{"x":150,"y":150}
1470665765760: 	draw	image-61	{"x":150,"y":150}
1470665765767: 	draw	image-61	{"x":150,"y":150}
1470665765776: 	draw	image-61	{"x":150,"y":150}
1470665765785: 	draw	image-61	{"x":150,"y":150}
1470665765793: 	draw	image-61	{"x":150,"y":150}
1470665765800: 	draw	image-61	{"x":150,"y":150}
1470665765810: 	draw	image-61	{"x":150,"y":150}
1470665765818: 	draw	image-61	{"x":150,"y":150}
1470665765825: 	draw	image-61	{"x":150,"y":150}
1470665765835: 	draw	image-61	{"x":150,"y":150}
1470665765843: 	draw	image-61	{"x":150,"y":150}
1470665765851: 	draw	image-61	{"x":150,"y":150}
