1470666841100: 	acted on	sample
1470666841600: 	acted on	sample
1470666845470: 	acted on	innerText
1470666845551: 	sub-instrument	start	shapes	true
1470666845552: 	activate	shapes
1470666846111: 	acted on	rectangle
1470666846211: 	sub-instrument	rectangle	shapes	true
1470666847189: 	shape started	{"x":229,"y":426}
1470666847192: 	shape continued	10	rectangle
1470666847473: 	shape continued	11	rectangle
1470666847487: 	shape continued	14	rectangle
1470666847502: 	shape continued	16	rectangle
1470666847519: 	shape continued	17	rectangle
1470666847536: 	shape continued	19	rectangle
1470666847552: 	shape continued	20	rectangle
1470666847568: 	shape continued	22	rectangle
1470666847584: 	shape continued	23	rectangle
1470666847601: 	shape continued	25	rectangle
1470666847609: 	shape continued	25	rectangle
1470666847618: 	shape continued	26	rectangle
1470666847635: 	shape continued	28	rectangle
1470666847652: 	shape continued	29	rectangle
1470666847669: 	shape continued	31	rectangle
1470666847686: 	shape continued	32	rectangle
1470666847696: 	shape continued	33	rectangle
1470666847708: 	shape continued	34	rectangle
1470666847716: 	shape continued	34	rectangle
1470666847724: 	shape continued	35	rectangle
1470666847733: 	shape continued	35	rectangle
1470666847741: 	shape continued	36	rectangle
1470666847749: 	shape continued	37	rectangle
1470666847758: 	shape continued	37	rectangle
1470666847765: 	shape continued	38	rectangle
1470666847773: 	shape continued	38	rectangle
1470666847784: 	shape continued	39	rectangle
1470666847791: 	shape continued	39	rectangle
1470666847799: 	shape continued	40	rectangle
1470666847808: 	shape continued	40	rectangle
1470666847816: 	shape continued	40	rectangle
1470666847824: 	shape continued	40	rectangle
1470666847833: 	shape continued	41	rectangle
1470666847840: 	shape continued	41	rectangle
1470666847848: 	shape continued	41	rectangle
1470666847858: 	shape continued	41	rectangle
1470666847866: 	shape continued	41	rectangle
1470666847874: 	shape continued	41	rectangle
1470666847882: 	shape continued	41	rectangle
1470666847891: 	shape continued	40	rectangle
1470666847899: 	shape continued	40	rectangle
1470666847916: 	shape continued	40	rectangle
1470666847934: 	shape continued	40	rectangle
1470666847966: 	shape continued	40	rectangle
1470666848009: 	shape continued	40	rectangle
1470666848438: 	shape started	{"x":23,"y":21}
1470666848440: 	shape continued	10	rectangle
1470666848534: 	shape continued	10	rectangle
1470666848541: 	shape continued	10	rectangle
1470666848551: 	shape continued	10	rectangle
1470666848558: 	shape continued	10	rectangle
1470666848567: 	shape continued	10	rectangle
1470666848579: 	shape continued	10	rectangle
1470666848595: 	shape continued	10	rectangle
1470666848612: 	shape continued	10	rectangle
1470666848630: 	shape continued	10	rectangle
1470666848645: 	shape continued	10	rectangle
1470666848661: 	shape continued	10	rectangle
1470666848668: 	shape continued	10	rectangle
1470666848677: 	shape continued	11	rectangle
1470666848685: 	shape continued	11	rectangle
1470666848693: 	shape continued	12	rectangle
1470666848708: 	shape continued	13	rectangle
1470666848716: 	shape continued	15	rectangle
1470666848725: 	shape continued	15	rectangle
1470666848732: 	shape continued	16	rectangle
1470666848741: 	shape continued	17	rectangle
1470666848750: 	shape continued	17	rectangle
1470666848757: 	shape continued	17	rectangle
1470666848765: 	shape continued	17	rectangle
1470666848775: 	shape continued	17	rectangle
1470666848782: 	shape continued	17	rectangle
1470666848790: 	shape continued	17	rectangle
1470666848800: 	shape continued	17	rectangle
1470666848808: 	shape continued	17	rectangle
1470666848816: 	shape continued	17	rectangle
1470666848826: 	shape continued	17	rectangle
1470666848842: 	shape continued	17	rectangle
1470666849181: 	shape started	{"x":27,"y":32}
1470666849182: 	shape continued	10	rectangle
1470666849301: 	shape continued	10	rectangle
1470666849308: 	shape continued	10	rectangle
1470666849317: 	shape continued	10	rectangle
1470666849329: 	shape continued	11	rectangle
1470666849345: 	shape continued	13	rectangle
1470666849377: 	shape continued	13	rectangle
1470666849386: 	shape continued	13	rectangle
1470666849396: 	shape continued	13	rectangle
1470666849413: 	shape continued	13	rectangle
1470666849431: 	shape continued	13	rectangle
1470666849444: 	shape continued	13	rectangle
1470666849451: 	shape continued	13	rectangle
1470666849459: 	shape continued	13	rectangle
1470666849468: 	shape continued	13	rectangle
1470666849476: 	shape continued	13	rectangle
1470666849483: 	shape continued	13	rectangle
1470666849491: 	shape continued	13	rectangle
1470666849500: 	shape continued	13	rectangle
1470666849508: 	shape continued	13	rectangle
1470666849516: 	shape continued	13	rectangle
1470666849525: 	shape continued	13	rectangle
1470666849533: 	shape continued	13	rectangle
1470666849541: 	shape continued	13	rectangle
1470666849550: 	shape continued	13	rectangle
1470666849558: 	shape continued	13	rectangle
1470666849566: 	shape continued	13	rectangle
1470666849576: 	shape continued	13	rectangle
1470666849583: 	shape continued	13	rectangle
1470666849591: 	shape continued	13	rectangle
1470666849600: 	shape continued	13	rectangle
1470666849608: 	shape continued	13	rectangle
1470666849616: 	shape continued	13	rectangle
1470666849626: 	shape continued	13	rectangle
1470666849632: 	shape continued	13	rectangle
1470666849641: 	shape continued	13	rectangle
1470666849651: 	shape continued	13	rectangle
1470666849657: 	shape continued	13	rectangle
1470666849667: 	shape continued	13	rectangle
1470666849675: 	shape continued	13	rectangle
1470666849683: 	shape continued	13	rectangle
1470666849691: 	shape continued	13	rectangle
1470666849700: 	shape continued	13	rectangle
1470666849708: 	shape continued	13	rectangle
1470666849715: 	shape continued	13	rectangle
1470666849725: 	shape continued	13	rectangle
1470666849733: 	shape continued	13	rectangle
1470666849741: 	shape continued	13	rectangle
1470666849750: 	shape continued	13	rectangle
1470666849758: 	shape continued	13	rectangle
1470666849775: 	shape continued	13	rectangle
1470666849783: 	shape continued	13	rectangle
1470666849808: 	shape continued	13	rectangle
1470666855673: 	shape started	{"x":5.5,"y":2.5}
1470666855674: 	shape continued	10	rectangle
1470666855988: 	shape started	{"x":6.5,"y":11.5}
1470666855990: 	shape continued	10	rectangle
1470666857019: 	acted on	innerText
1470666857117: 	sub-instrument	stop	shapes	false
1470666857118: 	deactivate	shapes
1470666865484: 	acted on	innerText
1470666865592: 	sub-instrument	start	shapes	true
1470666865593: 	activate	shapes
1470666871535: 	acted on	rectangle
1470666871617: 	sub-instrument	rectangle	shapes	true
1470666872394: 	shape started	{"x":200,"y":467}
1470666872396: 	shape continued	10	rectangle
1470666872941: 	shape continued	11	rectangle
1470666872958: 	shape continued	16	rectangle
1470666872969: 	shape continued	17	rectangle
1470666872985: 	shape continued	22	rectangle
1470666872999: 	shape continued	26	rectangle
1470666873009: 	shape continued	29	rectangle
1470666873024: 	shape continued	33	rectangle
1470666873031: 	shape continued	35	rectangle
1470666873041: 	shape continued	37	rectangle
1470666873047: 	shape continued	39	rectangle
1470666873056: 	shape continued	41	rectangle
1470666873064: 	shape continued	43	rectangle
1470666873072: 	shape continued	45	rectangle
1470666873081: 	shape continued	47	rectangle
1470666873089: 	shape continued	49	rectangle
1470666873097: 	shape continued	51	rectangle
1470666873106: 	shape continued	54	rectangle
1470666873114: 	shape continued	56	rectangle
1470666873123: 	shape continued	57	rectangle
1470666873132: 	shape continued	59	rectangle
1470666873140: 	shape continued	61	rectangle
1470666873147: 	shape continued	63	rectangle
1470666873157: 	shape continued	65	rectangle
1470666873165: 	shape continued	67	rectangle
1470666873172: 	shape continued	68	rectangle
1470666873182: 	shape continued	70	rectangle
