1470665842501: 	acted on	rectangle
1470665842611: 	sub-instrument	rectangle	shapes	false
1470665843198: 	acted on	innerText
1470665843253: 	sub-instrument	start	shapes	true
1470665843268: 	activate	shapes
1470665844344: 	acted on	rectangle
1470665844384: 	sub-instrument	rectangle	shapes	true
1470665855781: 	shape started	{"x":462,"y":366}
1470665855785: 	shape continued	10	rectangle
1470665855959: 	shape continued	10	rectangle
1470665855967: 	shape continued	10	rectangle
1470665855975: 	shape continued	10	rectangle
1470665855983: 	shape continued	10	rectangle
1470665855992: 	shape continued	10	rectangle
1470665855999: 	shape continued	10	rectangle
1470665856017: 	shape continued	10	rectangle
1470665856025: 	shape continued	10	rectangle
1470665856050: 	shape continued	10	rectangle
1470665856067: 	shape continued	10	rectangle
1470665856092: 	shape continued	10	rectangle
1470665856118: 	shape continued	10	rectangle
1470665856126: 	shape continued	10	rectangle
1470665856143: 	shape continued	10	rectangle
1470665856150: 	shape continued	10	rectangle
1470665856158: 	shape continued	10	rectangle
1470665856167: 	shape continued	10	rectangle
1470665856175: 	shape continued	11	rectangle
1470665856184: 	shape continued	13	rectangle
1470665856191: 	shape continued	14	rectangle
1470665856200: 	shape continued	15	rectangle
1470665856209: 	shape continued	16	rectangle
1470665856216: 	shape continued	17	rectangle
1470665856226: 	shape continued	18	rectangle
1470665856234: 	shape continued	19	rectangle
1470665856243: 	shape continued	20	rectangle
1470665856260: 	shape continued	21	rectangle
1470665856266: 	shape continued	22	rectangle
1470665856285: 	shape continued	23	rectangle
1470665856292: 	shape continued	24	rectangle
1470665856309: 	shape continued	25	rectangle
1470665856317: 	shape continued	26	rectangle
1470665856325: 	shape continued	27	rectangle
1470665856333: 	shape continued	28	rectangle
1470665856341: 	shape continued	30	rectangle
1470665856350: 	shape continued	31	rectangle
1470665856359: 	shape continued	33	rectangle
1470665856366: 	shape continued	34	rectangle
1470665856374: 	shape continued	35	rectangle
1470665856383: 	shape continued	36	rectangle
1470665856392: 	shape continued	37	rectangle
1470665856399: 	shape continued	39	rectangle
1470665856408: 	shape continued	40	rectangle
1470665856417: 	shape continued	41	rectangle
1470665856424: 	shape continued	42	rectangle
1470665856433: 	shape continued	43	rectangle
1470665856442: 	shape continued	44	rectangle
1470665856459: 	shape continued	46	rectangle
1470665856467: 	shape continued	47	rectangle
1470665856474: 	shape continued	48	rectangle
1470665856483: 	shape continued	49	rectangle
1470665856492: 	shape continued	51	rectangle
1470665856499: 	shape continued	52	rectangle
1470665856508: 	shape continued	54	rectangle
1470665856516: 	shape continued	55	rectangle
1470665856525: 	shape continued	57	rectangle
1470665856534: 	shape continued	58	rectangle
1470665856541: 	shape continued	59	rectangle
1470665856549: 	shape continued	60	rectangle
1470665856559: 	shape continued	61	rectangle
1470665856575: 	shape continued	62	rectangle
1470665856592: 	shape continued	62	rectangle
1470665856625: 	shape continued	62	rectangle
1470665856660: 	shape continued	62	rectangle
1470665856667: 	shape continued	61	rectangle
1470665856675: 	shape continued	60	rectangle
1470665856683: 	shape continued	59	rectangle
1470665856692: 	shape continued	57	rectangle
1470665856699: 	shape continued	56	rectangle
1470665856709: 	shape continued	55	rectangle
1470665856716: 	shape continued	53	rectangle
1470665856725: 	shape continued	51	rectangle
