1470736024342: 	acted on	innerText
1470736024476: 	sub-instrument	start	draw	true
1470736024477: 	activate	draw
1470736025863: 	draw	outline	{"x":1198,"y":0}
1470736026778: 	draw	object-colorPicker	{"x":1198,"y":0}
1470736027503: 	draw	object-colorPicker	{"x":1198,"y":0}
1470736029128: 	draw	colorPicker	{"x":1198,"y":0}
1470736030095: 	draw	object-colorPicker	{"x":1198,"y":0}
1470736030778: 	draw	object-colorPicker	{"x":1198,"y":0}
1470736031286: 	draw	object-colorPicker	{"x":1198,"y":0}
1470736032310: 	draw	outline	{"x":1179,"y":0}
1470736032325: 	draw	outline	{"x":1180,"y":0}
1470736032341: 	draw	outline	{"x":1182,"y":0}
1470736032350: 	draw	outline	{"x":1192,"y":0}
1470736032356: 	draw	outline	{"x":1195,"y":0}
1470736032383: 	draw	outline	{"x":1196,"y":0}
1470736032393: 	draw	outline	{"x":1198,"y":0}
1470736032401: 	draw	outline	{"x":1199,"y":0}
1470736032409: 	draw	outline	{"x":1200,"y":0}
1470736032422: 	draw	outline	{"x":1198,"y":0}
1470736032934: 	draw	outline	{"x":1198,"y":0}
1470736034175: 	draw	outline	{"x":1162,"y":0}
1470736034377: 	draw	object-colorPicker	{"x":1162,"y":0}
1470736034384: 	draw	object-colorPicker	{"x":1161,"y":0}
1470736035583: 	acted on	sample
1470736035675: 	draw	sample	{"x":45,"y":110}
1470736040811: 	draw	image-35	{"x":76,"y":94}
1470736040984: 	draw	image-35	{"x":64,"y":83}
1470736040992: 	draw	image-35	{"x":63,"y":82}
1470736041000: 	draw	image-35	{"x":63,"y":80}
1470736041007: 	draw	image-35	{"x":62,"y":79}
1470736041017: 	draw	image-35	{"x":62,"y":78}
1470736041024: 	draw	image-35	{"x":61,"y":77}
1470736041033: 	draw	image-35	{"x":61,"y":75}
1470736041041: 	draw	image-35	{"x":60,"y":74}
1470736041050: 	draw	image-35	{"x":60,"y":72}
1470736041058: 	draw	image-35	{"x":60,"y":71}
1470736041066: 	draw	image-35	{"x":60,"y":69}
1470736041074: 	draw	image-35	{"x":59,"y":67}
1470736041082: 	draw	image-35	{"x":59,"y":66}
1470736041091: 	draw	image-35	{"x":59,"y":65}
1470736041100: 	draw	image-35	{"x":59,"y":64}
1470736041107: 	draw	image-35	{"x":59,"y":63}
1470736041124: 	draw	image-35	{"x":59,"y":62}
1470736041132: 	draw	image-35	{"x":59,"y":61}
1470736041142: 	draw	image-35	{"x":59,"y":60}
1470736041158: 	draw	image-35	{"x":59,"y":59}
1470736041174: 	draw	image-35	{"x":59,"y":57}
1470736041192: 	draw	image-35	{"x":59,"y":56}
1470736041207: 	draw	image-35	{"x":59,"y":55}
1470736041211: 	draw	image-35	{"x":59,"y":54}
1470736041217: 	draw	image-35	{"x":59,"y":55}
1470736041258: 	draw	image-35	{"x":59,"y":54}
1470736041366: 	draw	image-35	{"x":60,"y":54}
1470736041392: 	draw	image-35	{"x":60,"y":53}
1470736041416: 	draw	image-35	{"x":61,"y":53}
1470736041433: 	draw	image-35	{"x":61,"y":52}
1470736041440: 	draw	image-35	{"x":62,"y":52}
1470736041449: 	draw	image-35	{"x":63,"y":51}
1470736041457: 	draw	image-35	{"x":64,"y":51}
1470736041483: 	draw	image-35	{"x":66,"y":50}
1470736041500: 	draw	image-35	{"x":67,"y":50}
1470736041533: 	draw	image-35	{"x":67,"y":49}
1470736041541: 	draw	image-35	{"x":67,"y":50}
1470736041558: 	draw	image-35	{"x":67,"y":49}
1470736041583: 	draw	image-35	{"x":68,"y":49}
1470736041658: 	draw	image-35	{"x":69,"y":49}
1470736041674: 	draw	image-35	{"x":69,"y":48}
1470736041707: 	draw	image-35	{"x":70,"y":48}
1470736041883: 	draw	image-35	{"x":70,"y":47}
1470736041916: 	draw	image-35	{"x":69,"y":47}
1470736041924: 	draw	image-35	{"x":68,"y":48}
1470736041932: 	draw	image-35	{"x":65,"y":49}
1470736041941: 	draw	image-35	{"x":63,"y":50}
1470736041949: 	draw	image-35	{"x":61,"y":51}
1470736041958: 	draw	image-35	{"x":59,"y":53}
1470736041965: 	draw	image-35	{"x":58,"y":54}
1470736041974: 	draw	image-35	{"x":57,"y":54}
1470736041982: 	draw	image-35	{"x":56,"y":55}
1470736041991: 	draw	image-35	{"x":56,"y":56}
1470736041999: 	draw	image-35	{"x":55,"y":56}
1470736042007: 	draw	image-35	{"x":54,"y":57}
1470736042024: 	draw	image-35	{"x":53,"y":58}
1470736042041: 	draw	image-35	{"x":52,"y":59}
1470736042048: 	draw	image-35	{"x":52,"y":60}
1470736042057: 	draw	image-35	{"x":51,"y":61}
1470736042067: 	draw	image-35	{"x":51,"y":62}
1470736042073: 	draw	image-35	{"x":50,"y":63}
1470736042082: 	draw	image-35	{"x":50,"y":64}
1470736042091: 	draw	image-35	{"x":50,"y":66}
1470736042107: 	draw	image-35	{"x":50,"y":68}
1470736042116: 	draw	image-35	{"x":50,"y":69}
1470736042124: 	draw	image-35	{"x":50,"y":70}
1470736042132: 	draw	image-35	{"x":50,"y":71}
1470736042141: 	draw	image-35	{"x":51,"y":72}
1470736042149: 	draw	image-35	{"x":51,"y":73}
1470736042157: 	draw	image-35	{"x":51,"y":74}
1470736042167: 	draw	image-35	{"x":52,"y":76}
1470736042175: 	draw	image-35	{"x":53,"y":78}
1470736042181: 	draw	image-35	{"x":53,"y":80}
1470736042193: 	draw	image-35	{"x":54,"y":82}
1470736042199: 	draw	image-35	{"x":55,"y":84}
1470736042208: 	draw	image-35	{"x":56,"y":86}
1470736042216: 	draw	image-35	{"x":57,"y":88}
1470736042223: 	draw	image-35	{"x":58,"y":89}
1470736042232: 	draw	image-35	{"x":59,"y":91}
1470736042241: 	draw	image-35	{"x":60,"y":92}
1470736042249: 	draw	image-35	{"x":61,"y":94}
1470736042257: 	draw	image-35	{"x":62,"y":95}
1470736042266: 	draw	image-35	{"x":63,"y":96}
1470736042274: 	draw	image-35	{"x":64,"y":97}
1470736042282: 	draw	image-35	{"x":66,"y":98}
1470736042291: 	draw	image-35	{"x":67,"y":100}
1470736042299: 	draw	image-35	{"x":68,"y":100}
1470736042308: 	draw	image-35	{"x":70,"y":101}
1470736042316: 	draw	image-35	{"x":72,"y":103}
1470736042325: 	draw	image-35	{"x":73,"y":104}
1470736042332: 	draw	image-35	{"x":74,"y":105}
1470736042341: 	draw	image-35	{"x":76,"y":105}
1470736042349: 	draw	image-35	{"x":77,"y":106}
1470736042357: 	draw	image-35	{"x":78,"y":107}
1470736042366: 	draw	image-35	{"x":79,"y":107}
1470736042374: 	draw	image-35	{"x":80,"y":108}
1470736042391: 	draw	image-35	{"x":81,"y":109}
1470736042400: 	draw	image-35	{"x":82,"y":109}
1470736042408: 	draw	image-35	{"x":82,"y":110}
1470736042417: 	draw	image-35	{"x":83,"y":110}
1470736042432: 	draw	image-35	{"x":83,"y":111}
1470736042441: 	draw	image-35	{"x":84,"y":111}
1470736042491: 	draw	image-35	{"x":84,"y":112}
1470736042549: 	draw	image-35	{"x":83,"y":112}
1470736042566: 	draw	image-35	{"x":81,"y":113}
1470736042574: 	draw	image-35	{"x":79,"y":114}
1470736042582: 	draw	image-35	{"x":77,"y":115}
1470736042591: 	draw	image-35	{"x":76,"y":115}
1470736042599: 	draw	image-35	{"x":74,"y":115}
1470736042608: 	draw	image-35	{"x":73,"y":115}
1470736042616: 	draw	image-35	{"x":72,"y":115}
1470736042624: 	draw	image-35	{"x":70,"y":115}
1470736042632: 	draw	image-35	{"x":69,"y":115}
1470736042641: 	draw	image-35	{"x":68,"y":115}
1470736042649: 	draw	image-35	{"x":66,"y":115}
1470736042657: 	draw	image-35	{"x":65,"y":115}
1470736042666: 	draw	image-35	{"x":63,"y":115}
1470736042674: 	draw	image-35	{"x":62,"y":115}
1470736042682: 	draw	image-35	{"x":60,"y":115}
1470736042691: 	draw	image-35	{"x":59,"y":115}
1470736042699: 	draw	image-35	{"x":58,"y":114}
1470736042707: 	draw	image-35	{"x":56,"y":114}
1470736042716: 	draw	image-35	{"x":55,"y":113}
1470736042725: 	draw	image-35	{"x":54,"y":113}
1470736042732: 	draw	image-35	{"x":52,"y":112}
1470736042747: 	draw	image-35	{"x":51,"y":112}
1470736042753: 	draw	image-35	{"x":50,"y":111}
1470736042761: 	draw	image-35	{"x":49,"y":110}
1470736042769: 	draw	image-35	{"x":48,"y":110}
1470736042779: 	draw	image-35	{"x":46,"y":109}
1470736042793: 	draw	image-35	{"x":45,"y":107}
1470736042802: 	draw	image-35	{"x":44,"y":106}
1470736042813: 	draw	image-35	{"x":43,"y":105}
1470736042829: 	draw	image-35	{"x":42,"y":103}
1470736042844: 	draw	image-35	{"x":40,"y":100}
1470736042861: 	draw	image-35	{"x":38,"y":98}
1470736042880: 	draw	image-35	{"x":38,"y":96}
1470736042900: 	draw	image-35	{"x":37,"y":95}
1470736042939: 	draw	image-35	{"x":36,"y":94}
1470736042947: 	draw	image-35	{"x":36,"y":93}
1470736043043: 	draw	image-35	{"x":36,"y":94}
1470736043066: 	draw	image-35	{"x":36,"y":95}
1470736043075: 	draw	image-35	{"x":38,"y":98}
1470736043082: 	draw	image-35	{"x":39,"y":100}
1470736043094: 	draw	image-35	{"x":40,"y":101}
1470736043101: 	draw	image-35	{"x":42,"y":104}
