1470734245392: 	acted on	menu
1470734246171: 	acted on	innerText
1470734246330: 	sub-instrument	start	draw	true
1470734246349: 	activate	draw
1470734256816: 	draw	image-5	{"x":38,"y":67}
1470734256897: 	draw	image-5	{"x":24,"y":76}
1470734256905: 	draw	image-5	{"x":23,"y":79}
1470734256913: 	draw	image-5	{"x":22,"y":82}
1470734256922: 	draw	image-5	{"x":21,"y":85}
1470734256929: 	draw	image-5	{"x":22,"y":88}
1470734256939: 	draw	image-5	{"x":22,"y":89}
1470734256946: 	draw	image-5	{"x":22,"y":90}
1470734256955: 	draw	image-5	{"x":23,"y":91}
1470734256963: 	draw	image-5	{"x":23,"y":92}
1470734256971: 	draw	image-5	{"x":24,"y":92}
1470734256980: 	draw	image-5	{"x":26,"y":92}
1470734256988: 	draw	image-5	{"x":29,"y":92}
1470734256997: 	draw	image-5	{"x":32,"y":91}
1470734257006: 	draw	image-5	{"x":35,"y":89}
1470734257013: 	draw	image-5	{"x":37,"y":87}
1470734257021: 	draw	image-5	{"x":40,"y":84}
1470734257030: 	draw	image-5	{"x":42,"y":81}
1470734257038: 	draw	image-5	{"x":44,"y":78}
1470734257046: 	draw	image-5	{"x":45,"y":76}
1470734257055: 	draw	image-5	{"x":46,"y":74}
1470734257063: 	draw	image-5	{"x":46,"y":71}
1470734257071: 	draw	image-5	{"x":46,"y":70}
1470734257081: 	draw	image-5	{"x":46,"y":67}
1470734257088: 	draw	image-5	{"x":44,"y":64}
1470734257096: 	draw	image-5	{"x":43,"y":62}
1470734257105: 	draw	image-5	{"x":42,"y":61}
1470734257114: 	draw	image-5	{"x":40,"y":60}
1470734257122: 	draw	image-5	{"x":38,"y":59}
1470734257130: 	draw	image-5	{"x":37,"y":59}
1470734257138: 	draw	image-5	{"x":34,"y":59}
1470734257146: 	draw	image-5	{"x":32,"y":59}
1470734257155: 	draw	image-5	{"x":30,"y":59}
1470734257163: 	draw	image-5	{"x":28,"y":60}
1470734257171: 	draw	image-5	{"x":26,"y":62}
1470734257180: 	draw	image-5	{"x":24,"y":65}
1470734257189: 	draw	image-5	{"x":23,"y":67}
1470734257196: 	draw	image-5	{"x":22,"y":69}
1470734257205: 	draw	image-5	{"x":22,"y":71}
1470734257213: 	draw	image-5	{"x":22,"y":73}
1470734257221: 	draw	image-5	{"x":23,"y":75}
1470734257230: 	draw	image-5	{"x":23,"y":76}
1470734257238: 	draw	image-5	{"x":24,"y":78}
1470734257246: 	draw	image-5	{"x":25,"y":79}
1470734257255: 	draw	image-5	{"x":27,"y":80}
1470734257263: 	draw	image-5	{"x":29,"y":81}
1470734257271: 	draw	image-5	{"x":31,"y":81}
1470734257280: 	draw	image-5	{"x":34,"y":80}
1470734257288: 	draw	image-5	{"x":37,"y":79}
1470734257295: 	draw	image-5	{"x":40,"y":77}
1470734257305: 	draw	image-5	{"x":42,"y":75}
1470734257313: 	draw	image-5	{"x":44,"y":73}
1470734257321: 	draw	image-5	{"x":45,"y":71}
1470734257330: 	draw	image-5	{"x":46,"y":68}
1470734257338: 	draw	image-5	{"x":47,"y":66}
1470734257346: 	draw	image-5	{"x":47,"y":64}
1470734257355: 	draw	image-5	{"x":46,"y":62}
1470734257363: 	draw	image-5	{"x":46,"y":61}
1470734257370: 	draw	image-5	{"x":44,"y":59}
1470734257381: 	draw	image-5	{"x":42,"y":58}
1470734257389: 	draw	image-5	{"x":40,"y":57}
1470734257397: 	draw	image-5	{"x":37,"y":56}
1470734257406: 	draw	image-5	{"x":34,"y":56}
1470734257413: 	draw	image-5	{"x":31,"y":56}
1470734257421: 	draw	image-5	{"x":30,"y":56}
1470734257430: 	draw	image-5	{"x":27,"y":57}
1470734257438: 	draw	image-5	{"x":25,"y":58}
1470734257446: 	draw	image-5	{"x":23,"y":59}
1470734257455: 	draw	image-5	{"x":21,"y":61}
1470734257463: 	draw	image-5	{"x":19,"y":63}
1470734257471: 	draw	image-5	{"x":18,"y":67}
1470734257481: 	draw	image-5	{"x":19,"y":71}
1470734257488: 	draw	image-5	{"x":20,"y":75}
1470734257496: 	draw	image-5	{"x":22,"y":78}
1470734257505: 	draw	image-5	{"x":26,"y":82}
1470734257790: 	draw	image-5	{"x":58,"y":89}
1470734257880: 	draw	image-5	{"x":60,"y":104}
1470734257888: 	draw	image-5	{"x":62,"y":105}
1470734257896: 	draw	image-5	{"x":64,"y":106}
1470734257905: 	draw	image-5	{"x":67,"y":106}
1470734257913: 	draw	image-5	{"x":69,"y":106}
1470734257921: 	draw	image-5	{"x":71,"y":106}
1470734257930: 	draw	image-5	{"x":74,"y":106}
1470734257938: 	draw	image-5	{"x":76,"y":105}
1470734257946: 	draw	image-5	{"x":78,"y":104}
1470734257955: 	draw	image-5	{"x":80,"y":102}
