1470735748291: 	acted on	innerText
1470735748414: 	sub-instrument	start	mover	true
1470735748416: 	activate	mover
1470735751843: 	start moving	image-80	from	{"x":74,"y":103}
1470735751954: 	moved	image-80	to	{"x":1139,"y":111}
1470735751963: 	moved	image-80	to	{"x":1135,"y":112}
1470735751970: 	moved	image-80	to	{"x":1133,"y":113}
1470735751979: 	moved	image-80	to	{"x":1130,"y":114}
1470735751986: 	moved	image-80	to	{"x":1128,"y":114}
1470735751995: 	moved	image-80	to	{"x":1125,"y":115}
1470735752003: 	moved	image-80	to	{"x":1122,"y":116}
1470735752010: 	moved	image-80	to	{"x":1119,"y":116}
1470735752032: 	moved	image-80	to	{"x":1117,"y":117}
1470735752037: 	moved	image-80	to	{"x":1112,"y":119}
1470735752045: 	moved	image-80	to	{"x":1110,"y":119}
1470735752053: 	moved	image-80	to	{"x":1108,"y":120}
1470735752061: 	moved	image-80	to	{"x":1107,"y":121}
1470735752069: 	moved	image-80	to	{"x":1104,"y":122}
1470735752078: 	moved	image-80	to	{"x":1103,"y":123}
1470735752086: 	moved	image-80	to	{"x":1101,"y":124}
1470735752094: 	moved	image-80	to	{"x":1099,"y":124}
1470735752102: 	moved	image-80	to	{"x":1098,"y":125}
1470735752112: 	moved	image-80	to	{"x":1096,"y":125}
1470735752119: 	moved	image-80	to	{"x":1095,"y":126}
1470735752128: 	moved	image-80	to	{"x":1093,"y":126}
1470735752137: 	moved	image-80	to	{"x":1092,"y":127}
1470735752144: 	moved	image-80	to	{"x":1091,"y":127}
1470735752153: 	moved	image-80	to	{"x":1089,"y":128}
1470735752162: 	moved	image-80	to	{"x":1088,"y":128}
1470735752169: 	moved	image-80	to	{"x":1086,"y":129}
1470735752183: 	moved	image-80	to	{"x":1085,"y":129}
1470735752187: 	moved	image-80	to	{"x":1083,"y":130}
1470735752194: 	moved	image-80	to	{"x":1081,"y":131}
1470735752204: 	moved	image-80	to	{"x":1080,"y":132}
1470735752212: 	moved	image-80	to	{"x":1078,"y":132}
1470735752220: 	moved	image-80	to	{"x":1075,"y":133}
1470735752227: 	moved	image-80	to	{"x":1073,"y":134}
1470735752237: 	moved	image-80	to	{"x":1071,"y":134}
