1470734287524: 	acted on	sample
1470734288468: 	acted on	sample
1470734292787: 	acted on	innerText
1470734292952: 	sub-instrument	start	shapes	true
1470734292958: 	activate	shapes
1470734294012: 	acted on	circle
1470734294153: 	sub-instrument	circle	shapes	true
1470734305833: 	shape started	{"x":997,"y":211}
1470734305835: 	shape continued	10	circle
1470734305947: 	shape continued	16	circle
1470734305955: 	shape continued	19	circle
1470734305963: 	shape continued	22	circle
1470734305971: 	shape continued	24	circle
1470734305980: 	shape continued	27	circle
1470734305988: 	shape continued	30	circle
1470734305997: 	shape continued	33	circle
1470734306005: 	shape continued	35	circle
1470734306013: 	shape continued	38	circle
1470734306021: 	shape continued	41	circle
1470734306030: 	shape continued	45	circle
1470734306037: 	shape continued	48	circle
1470734306045: 	shape continued	51	circle
1470734306055: 	shape continued	53	circle
1470734306062: 	shape continued	56	circle
1470734306071: 	shape continued	59	circle
1470734306079: 	shape continued	61	circle
1470734306088: 	shape continued	63	circle
1470734306095: 	shape continued	65	circle
1470734306105: 	shape continued	68	circle
1470734306112: 	shape continued	71	circle
1470734306120: 	shape continued	73	circle
1470734306130: 	shape continued	76	circle
1470734306137: 	shape continued	79	circle
1470734306145: 	shape continued	82	circle
1470734306154: 	shape continued	85	circle
1470734306162: 	shape continued	87	circle
1470734306170: 	shape continued	90	circle
1470734306179: 	shape continued	93	circle
1470734306188: 	shape continued	95	circle
1470734306196: 	shape continued	98	circle
1470734306204: 	shape continued	100	circle
1470734306212: 	shape continued	103	circle
1470734306220: 	shape continued	106	circle
1470734306229: 	shape continued	109	circle
1470734306237: 	shape continued	111	circle
1470734306245: 	shape continued	114	circle
1470734306254: 	shape continued	117	circle
1470734306263: 	shape continued	120	circle
1470734306271: 	shape continued	122	circle
1470734306279: 	shape continued	125	circle
1470734306287: 	shape continued	127	circle
1470734306295: 	shape continued	129	circle
1470734306304: 	shape continued	132	circle
1470734306312: 	shape continued	134	circle
1470734306320: 	shape continued	137	circle
1470734306329: 	shape continued	140	circle
1470734306337: 	shape continued	143	circle
1470734306346: 	shape continued	146	circle
1470734306355: 	shape continued	148	circle
1470734306362: 	shape continued	151	circle
1470734306370: 	shape continued	155	circle
1470734306379: 	shape continued	158	circle
1470734306388: 	shape continued	161	circle
1470734306395: 	shape continued	164	circle
1470734306404: 	shape continued	167	circle
1470734306413: 	shape continued	169	circle
1470734306421: 	shape continued	172	circle
1470734306429: 	shape continued	175	circle
1470734306438: 	shape continued	177	circle
1470734306445: 	shape continued	180	circle
1470734306454: 	shape continued	182	circle
1470734306462: 	shape continued	184	circle
1470734306469: 	shape continued	186	circle
1470734306479: 	shape continued	189	circle
1470734306487: 	shape continued	191	circle
1470734306496: 	shape continued	194	circle
1470734306504: 	shape continued	196	circle
1470734306513: 	shape continued	198	circle
1470734306520: 	shape continued	201	circle
1470734306529: 	shape continued	203	circle
1470734306537: 	shape continued	206	circle
1470734306545: 	shape continued	208	circle
1470734306554: 	shape continued	211	circle
1470734306562: 	shape continued	213	circle
1470734306570: 	shape continued	215	circle
1470734306580: 	shape continued	217	circle
1470734306587: 	shape continued	219	circle
1470734306595: 	shape continued	222	circle
1470734306605: 	shape continued	224	circle
1470734306612: 	shape continued	225	circle
1470734306621: 	shape continued	227	circle
1470734306630: 	shape continued	229	circle
1470734306638: 	shape continued	231	circle
1470734306646: 	shape continued	233	circle
1470734306655: 	shape continued	234	circle
1470734306662: 	shape continued	236	circle
1470734306670: 	shape continued	238	circle
1470734306680: 	shape continued	239	circle
1470734306687: 	shape continued	241	circle
1470734306697: 	shape continued	242	circle
1470734306706: 	shape continued	244	circle
1470734306712: 	shape continued	246	circle
1470734306721: 	shape continued	247	circle
1470734306729: 	shape continued	248	circle
1470734306737: 	shape continued	249	circle
1470734306745: 	shape continued	251	circle
1470734306756: 	shape continued	252	circle
1470734306763: 	shape continued	253	circle
1470734306770: 	shape continued	254	circle
1470734306779: 	shape continued	255	circle
1470734306787: 	shape continued	257	circle
1470734306796: 	shape continued	258	circle
1470734306805: 	shape continued	259	circle
1470734306812: 	shape continued	260	circle
1470734306819: 	shape continued	261	circle
1470734306830: 	shape continued	262	circle
1470734306837: 	shape continued	263	circle
1470734306847: 	shape continued	264	circle
1470734306855: 	shape continued	265	circle
1470734306863: 	shape continued	266	circle
1470734306871: 	shape continued	267	circle
1470734306880: 	shape continued	268	circle
1470734306896: 	shape continued	269	circle
1470734306913: 	shape continued	270	circle
1470734306922: 	shape continued	271	circle
1470734306938: 	shape continued	272	circle
1470734306946: 	shape continued	273	circle
1470734306963: 	shape continued	274	circle
1470734306971: 	shape continued	275	circle
1470734306988: 	shape continued	276	circle
1470734306996: 	shape continued	277	circle
1470734307006: 	shape continued	278	circle
1470734307014: 	shape continued	279	circle
1470734307021: 	shape continued	280	circle
1470734307030: 	shape continued	282	circle
1470734307038: 	shape continued	283	circle
1470734307046: 	shape continued	284	circle
1470734307055: 	shape continued	285	circle
1470734307063: 	shape continued	287	circle
1470734307071: 	shape continued	288	circle
1470734307080: 	shape continued	289	circle
1470734307088: 	shape continued	290	circle
1470734307096: 	shape continued	291	circle
1470734307113: 	shape continued	292	circle
1470734307122: 	shape continued	293	circle
1470734307131: 	shape continued	294	circle
1470734307138: 	shape continued	294	circle
1470734307155: 	shape continued	295	circle
1470734307180: 	shape continued	296	circle
1470734307197: 	shape continued	296	circle
1470734307204: 	shape continued	297	circle
1470734307230: 	shape continued	298	circle
1470734307246: 	shape continued	299	circle
1470734307255: 	shape continued	299	circle
1470734307263: 	shape continued	300	circle
1470734307280: 	shape continued	301	circle
1470734307296: 	shape continued	302	circle
1470734307313: 	shape continued	303	circle
1470734307364: 	shape continued	304	circle
1470734307430: 	shape continued	305	circle
1470734307481: 	shape continued	306	circle
1470734307488: 	shape continued	306	circle
1470734307522: 	shape continued	307	circle
1470734307564: 	shape continued	308	circle
1470734307581: 	shape continued	309	circle
1470734307589: 	shape continued	311	circle
1470734307596: 	shape continued	314	circle
1470734298472: 	acted on	innerText
1470734298582: 	sub-instrument	stop	shapes	false
1470734298589: 	deactivate	shapes
1470734400794: 	acted on	innerText
1470734400845: 	sub-instrument	start	shapes	true
1470734400863: 	activate	shapes
1470734406148: 	acted on	rectangle
1470734406270: 	sub-instrument	rectangle	shapes	true
1470734406564: 	acted on	rectangle
1470734406649: 	sub-instrument	rectangle	shapes	true
1470734406767: 	acted on	rectangle
1470734406822: 	sub-instrument	rectangle	shapes	true
1470734418240: 	shape started	{"x":686,"y":429}
1470734418242: 	shape continued	10	rectangle
1470734418423: 	shape started	{"x":4,"y":6}
1470734418424: 	shape continued	10	rectangle
1470734416279: 	acted on	circle
1470734416383: 	sub-instrument	circle	shapes	true
1470734427923: 	shape started	{"x":721,"y":209}
1470734427924: 	shape continued	10	circle
