1470741120551: 	acted on	innerText
1470741120655: 	sub-instrument	start	draw	true
1470741120672: 	activate	draw
1470741122324: 	acted on	innerText
1470741122421: 	sub-instrument	stop	draw	false
1470741122466: 	deactivate	draw
1470741129814: 	acted on	sample
1470741146780: 	acted on	sample
1470741148832: 	acted on	sample
1470741155135: 	acted on	sample
1470741155243: 	acted on	sample
1470741155985: 	acted on	innerText
1470741156105: 	sub-instrument	start	draw	true
1470741156121: 	activate	draw
1470741157028: 	acted on	sample
1470741166616: 	draw	sample	{"x":188.8249969482422,"y":267.4859924316406}
1470741169163: 	draw	image-58	{"x":31,"y":32}
1470741169552: 	draw	image-58	{"x":15,"y":31}
1470741169560: 	draw	image-58	{"x":14,"y":31}
1470741169576: 	draw	image-58	{"x":13,"y":32}
1470741169583: 	draw	image-58	{"x":12,"y":32}
1470741169592: 	draw	image-58	{"x":11,"y":32}
1470741169600: 	draw	image-58	{"x":10,"y":32}
1470741169608: 	draw	image-58	{"x":9,"y":32}
1470741169617: 	draw	image-58	{"x":8,"y":33}
1470741169625: 	draw	image-58	{"x":7,"y":33}
1470741169633: 	draw	image-58	{"x":6,"y":33}
1470741169642: 	draw	image-58	{"x":4,"y":33}
1470741169650: 	draw	image-58	{"x":3,"y":33}
1470741169658: 	draw	image-58	{"x":2,"y":34}
1470741169667: 	draw	image-58	{"x":1,"y":34}
1470741169675: 	draw	image-58	{"x":0,"y":34}
1470741169683: 	draw	image-58	{"x":0,"y":35}
1470741169692: 	draw	image-58	{"x":0,"y":35}
1470741169700: 	draw	image-58	{"x":0,"y":36}
1470741169710: 	draw	image-58	{"x":0,"y":37}
1470741169718: 	draw	image-58	{"x":0,"y":37}
1470741169725: 	draw	image-58	{"x":0,"y":38}
1470741169733: 	draw	image-58	{"x":0,"y":39}
1470741169743: 	draw	image-58	{"x":0,"y":40}
1470741169750: 	draw	image-58	{"x":0,"y":40}
1470741169759: 	draw	image-58	{"x":0,"y":41}
1470741169768: 	draw	image-58	{"x":0,"y":42}
1470741169775: 	draw	image-58	{"x":0,"y":42}
1470741169783: 	draw	image-58	{"x":0,"y":43}
1470741169792: 	draw	image-58	{"x":0,"y":43}
1470741169800: 	draw	image-58	{"x":0,"y":44}
1470741169810: 	draw	image-58	{"x":0,"y":45}
1470741169817: 	draw	image-58	{"x":0,"y":46}
1470741169825: 	draw	image-58	{"x":0,"y":46}
1470741169833: 	draw	image-58	{"x":0,"y":47}
1470741169842: 	draw	image-58	{"x":0,"y":48}
1470741169850: 	draw	image-58	{"x":0,"y":50}
1470741169858: 	draw	image-58	{"x":0,"y":50}
1470741169867: 	draw	image-58	{"x":0,"y":52}
1470741169875: 	draw	image-58	{"x":0,"y":53}
1470741169883: 	draw	image-58	{"x":0,"y":55}
1470741169893: 	draw	image-58	{"x":0,"y":56}
1470741169900: 	draw	image-58	{"x":0,"y":57}
1470741169909: 	draw	image-58	{"x":0,"y":58}
1470741169918: 	draw	image-58	{"x":0,"y":60}
1470741169926: 	draw	image-58	{"x":0,"y":61}
1470741169934: 	draw	image-58	{"x":0,"y":63}
1470741169942: 	draw	image-58	{"x":0,"y":64}
1470741169950: 	draw	image-58	{"x":0,"y":65}
1470741169959: 	draw	image-58	{"x":0,"y":67}
1470741169967: 	draw	image-58	{"x":0,"y":68}
1470741169976: 	draw	image-58	{"x":0,"y":70}
1470741169984: 	draw	image-58	{"x":0,"y":71}
1470741169993: 	draw	image-58	{"x":0,"y":73}
1470741170001: 	draw	image-58	{"x":0,"y":74}
1470741170008: 	draw	image-58	{"x":0,"y":75}
1470741170018: 	draw	image-58	{"x":0,"y":76}
1470741170026: 	draw	image-58	{"x":0,"y":78}
1470741170033: 	draw	image-58	{"x":0,"y":79}
1470741170042: 	draw	image-58	{"x":0,"y":81}
1470741170050: 	draw	image-58	{"x":0,"y":81}
1470741170059: 	draw	image-58	{"x":0,"y":82}
1470741170068: 	draw	image-58	{"x":0,"y":83}
1470741170076: 	draw	image-58	{"x":0,"y":84}
1470741170084: 	draw	image-58	{"x":0,"y":85}
1470741170093: 	draw	image-58	{"x":0,"y":86}
1470741170108: 	draw	image-58	{"x":0,"y":87}
1470741170118: 	draw	image-58	{"x":0,"y":87}
1470741170126: 	draw	image-58	{"x":0,"y":88}
1470741170133: 	draw	image-58	{"x":0,"y":89}
1470741170143: 	draw	image-58	{"x":0,"y":90}
1470741170159: 	draw	image-58	{"x":0,"y":91}
1470741170167: 	draw	image-58	{"x":0,"y":92}
1470741170176: 	draw	image-58	{"x":0,"y":93}
1470741170184: 	draw	image-58	{"x":0,"y":93}
1470741170193: 	draw	image-58	{"x":0,"y":94}
1470741170201: 	draw	image-58	{"x":0,"y":95}
1470741170218: 	draw	image-58	{"x":0,"y":96}
1470741170234: 	draw	image-58	{"x":0,"y":97}
1470741170250: 	draw	image-58	{"x":0,"y":98}
1470741170267: 	draw	image-58	{"x":0,"y":98}
1470741170275: 	draw	image-58	{"x":0,"y":99}
1470741170292: 	draw	image-58	{"x":0,"y":100}
1470741170302: 	draw	image-58	{"x":0,"y":100}
1470741170309: 	draw	image-58	{"x":0,"y":101}
1470741170326: 	draw	image-58	{"x":0,"y":102}
1470741170333: 	draw	image-58	{"x":0,"y":103}
1470741170350: 	draw	image-58	{"x":0,"y":104}
1470741170375: 	draw	image-58	{"x":0,"y":105}
1470741170393: 	draw	image-58	{"x":0,"y":106}
1470741170426: 	draw	image-58	{"x":0,"y":107}
1470741170442: 	draw	image-58	{"x":0,"y":107}
1470741170459: 	draw	image-58	{"x":0,"y":108}
1470741170492: 	draw	image-58	{"x":0,"y":109}
1470741170543: 	draw	image-58	{"x":0,"y":110}
1470741170593: 	draw	image-58	{"x":0,"y":110}
1470741170626: 	draw	image-58	{"x":0,"y":111}
1470741172621: 	draw	image-58	{"x":3,"y":38}
1470741172977: 	draw	image-58	{"x":0,"y":45}
1470741172993: 	draw	image-58	{"x":0,"y":46}
1470741173009: 	draw	image-58	{"x":0,"y":47}
1470741173042: 	draw	image-58	{"x":0,"y":48}
1470741173075: 	draw	image-58	{"x":0,"y":49}
1470741173151: 	draw	image-58	{"x":0,"y":50}
1470741173201: 	draw	image-58	{"x":0,"y":51}
1470741173234: 	draw	image-58	{"x":0,"y":52}
1470741173251: 	draw	image-58	{"x":0,"y":53}
1470741173259: 	draw	image-58	{"x":0,"y":54}
1470741173285: 	draw	image-58	{"x":0,"y":55}
1470741173301: 	draw	image-58	{"x":0,"y":56}
1470741173318: 	draw	image-58	{"x":0,"y":57}
1470741173334: 	draw	image-58	{"x":0,"y":58}
1470741173342: 	draw	image-58	{"x":0,"y":59}
1470741173350: 	draw	image-58	{"x":0,"y":60}
1470741173376: 	draw	image-58	{"x":0,"y":61}
1470741173385: 	draw	image-58	{"x":0,"y":62}
1470741173401: 	draw	image-58	{"x":0,"y":63}
1470741173426: 	draw	image-58	{"x":0,"y":64}
1470741173434: 	draw	image-58	{"x":0,"y":65}
1470741173451: 	draw	image-58	{"x":0,"y":66}
