1470741105127: 	acted on	innerText
1470741106186: 	acted on	innerText
1470741106246: 	sub-instrument	start	mover	true
1470741106260: 	activate	mover
1470741117703: 	start moving	image-12	from	{"x":74,"y":93}
1470741117870: 	moved	image-12	to	{"x":96,"y":112}
1470741117877: 	moved	image-12	to	{"x":98,"y":114}
1470741117885: 	moved	image-12	to	{"x":100,"y":116}
1470741117894: 	moved	image-12	to	{"x":102,"y":118}
1470741117902: 	moved	image-12	to	{"x":105,"y":120}
1470741117909: 	moved	image-12	to	{"x":107,"y":122}
1470741117918: 	moved	image-12	to	{"x":109,"y":124}
1470741117927: 	moved	image-12	to	{"x":112,"y":126}
1470741117935: 	moved	image-12	to	{"x":114,"y":128}
1470741117943: 	moved	image-12	to	{"x":118,"y":130}
1470741117951: 	moved	image-12	to	{"x":121,"y":132}
1470741117960: 	moved	image-12	to	{"x":124,"y":135}
1470741117970: 	moved	image-12	to	{"x":128,"y":137}
1470741117976: 	moved	image-12	to	{"x":132,"y":140}
1470741117985: 	moved	image-12	to	{"x":136,"y":142}
1470741117994: 	moved	image-12	to	{"x":140,"y":145}
1470741118002: 	moved	image-12	to	{"x":144,"y":147}
1470741118010: 	moved	image-12	to	{"x":150,"y":150}
1470741118019: 	moved	image-12	to	{"x":156,"y":152}
1470741118026: 	moved	image-12	to	{"x":160,"y":155}
1470741118035: 	moved	image-12	to	{"x":164,"y":156}
1470741118044: 	moved	image-12	to	{"x":171,"y":159}
1470741118052: 	moved	image-12	to	{"x":176,"y":161}
1470741118060: 	moved	image-12	to	{"x":182,"y":164}
1470741118069: 	moved	image-12	to	{"x":188,"y":167}
1470741118076: 	moved	image-12	to	{"x":194,"y":169}
1470741118085: 	moved	image-12	to	{"x":199,"y":171}
1470741118093: 	moved	image-12	to	{"x":204,"y":173}
1470741118102: 	moved	image-12	to	{"x":209,"y":175}
1470741118110: 	moved	image-12	to	{"x":219,"y":182}
1470741118119: 	moved	image-12	to	{"x":222,"y":183}
1470741118127: 	moved	image-12	to	{"x":225,"y":183}
1470741118135: 	moved	image-12	to	{"x":232,"y":186}
1470741118143: 	moved	image-12	to	{"x":238,"y":188}
1470741118151: 	moved	image-12	to	{"x":243,"y":190}
1470741118161: 	moved	image-12	to	{"x":249,"y":193}
1470741118169: 	moved	image-12	to	{"x":255,"y":195}
1470741118177: 	moved	image-12	to	{"x":261,"y":198}
1470741118185: 	moved	image-12	to	{"x":268,"y":201}
1470741118195: 	moved	image-12	to	{"x":274,"y":204}
1470741118202: 	moved	image-12	to	{"x":282,"y":208}
1470741118210: 	moved	image-12	to	{"x":287,"y":210}
1470741118219: 	moved	image-12	to	{"x":295,"y":212}
1470741118228: 	moved	image-12	to	{"x":301,"y":214}
1470741118235: 	moved	image-12	to	{"x":308,"y":216}
1470741118244: 	moved	image-12	to	{"x":316,"y":218}
1470741118251: 	moved	image-12	to	{"x":323,"y":220}
1470741118261: 	moved	image-12	to	{"x":332,"y":223}
1470741118269: 	moved	image-12	to	{"x":340,"y":224}
1470741118277: 	moved	image-12	to	{"x":348,"y":227}
1470741118285: 	moved	image-12	to	{"x":357,"y":229}
1470741118293: 	moved	image-12	to	{"x":366,"y":232}
1470741118301: 	moved	image-12	to	{"x":373,"y":234}
1470741118309: 	moved	image-12	to	{"x":383,"y":237}
1470741118318: 	moved	image-12	to	{"x":393,"y":239}
1470741118327: 	moved	image-12	to	{"x":401,"y":242}
1470741118335: 	moved	image-12	to	{"x":410,"y":245}
1470741118344: 	moved	image-12	to	{"x":418,"y":247}
1470741118351: 	moved	image-12	to	{"x":428,"y":249}
1470741118359: 	moved	image-12	to	{"x":437,"y":251}
1470741118369: 	moved	image-12	to	{"x":445,"y":254}
1470741118376: 	moved	image-12	to	{"x":453,"y":256}
1470741118385: 	moved	image-12	to	{"x":463,"y":258}
1470741118393: 	moved	image-12	to	{"x":472,"y":261}
1470741118402: 	moved	image-12	to	{"x":479,"y":263}
1470741118409: 	moved	image-12	to	{"x":487,"y":265}
1470741118419: 	moved	image-12	to	{"x":499,"y":269}
1470741118427: 	moved	image-12	to	{"x":504,"y":271}
1470741118436: 	moved	image-12	to	{"x":513,"y":273}
1470741118443: 	moved	image-12	to	{"x":521,"y":275}
1470741118451: 	moved	image-12	to	{"x":529,"y":278}
1470741118460: 	moved	image-12	to	{"x":537,"y":280}
1470741118469: 	moved	image-12	to	{"x":545,"y":283}
1470741118477: 	moved	image-12	to	{"x":552,"y":284}
1470741118486: 	moved	image-12	to	{"x":561,"y":287}
1470741118494: 	moved	image-12	to	{"x":568,"y":289}
1470741118502: 	moved	image-12	to	{"x":576,"y":292}
1470741118509: 	moved	image-12	to	{"x":583,"y":293}
1470741118519: 	moved	image-12	to	{"x":591,"y":294}
1470741118527: 	moved	image-12	to	{"x":598,"y":297}
1470741118534: 	moved	image-12	to	{"x":606,"y":299}
1470741118544: 	moved	image-12	to	{"x":613,"y":301}
1470741118551: 	moved	image-12	to	{"x":620,"y":303}
1470741118559: 	moved	image-12	to	{"x":627,"y":305}
1470741118569: 	moved	image-12	to	{"x":634,"y":307}
1470741118577: 	moved	image-12	to	{"x":641,"y":309}
1470741118584: 	moved	image-12	to	{"x":647,"y":310}
1470741118594: 	moved	image-12	to	{"x":654,"y":312}
1470741118602: 	moved	image-12	to	{"x":660,"y":314}
1470741118609: 	moved	image-12	to	{"x":667,"y":315}
1470741118618: 	moved	image-12	to	{"x":673,"y":317}
1470741118626: 	moved	image-12	to	{"x":680,"y":318}
1470741118635: 	moved	image-12	to	{"x":686,"y":319}
1470741118643: 	moved	image-12	to	{"x":692,"y":321}
1470741118652: 	moved	image-12	to	{"x":697,"y":322}
1470741118659: 	moved	image-12	to	{"x":703,"y":323}
1470741118669: 	moved	image-12	to	{"x":708,"y":325}
1470741118676: 	moved	image-12	to	{"x":713,"y":326}
1470741118685: 	moved	image-12	to	{"x":718,"y":327}
1470741118694: 	moved	image-12	to	{"x":723,"y":328}
1470741118701: 	moved	image-12	to	{"x":729,"y":330}
1470741118710: 	moved	image-12	to	{"x":733,"y":331}
1470741118718: 	moved	image-12	to	{"x":737,"y":333}
1470741118727: 	moved	image-12	to	{"x":741,"y":334}
1470741118735: 	moved	image-12	to	{"x":746,"y":335}
1470741118744: 	moved	image-12	to	{"x":750,"y":336}
1470741118751: 	moved	image-12	to	{"x":755,"y":338}
1470741118760: 	moved	image-12	to	{"x":759,"y":339}
1470741118768: 	moved	image-12	to	{"x":763,"y":340}
1470741118777: 	moved	image-12	to	{"x":767,"y":342}
1470741118785: 	moved	image-12	to	{"x":771,"y":343}
