1470054631290: 	acted on	innerText
1470054631443: 	sub-instrument	start	draw	true
1470054631474: 	activate	draw
1470054634437: 	acted on	innerText
1470054634653: 	sub-instrument	stop	draw	false
1470054634667: 	deactivate	draw
1470054640308: 	acted on	sample
1470054643368: 	acted on	innerText
1470054643458: 	sub-instrument	start	draw	true
1470054643486: 	activate	draw
1470054649656: 	draw	content	{"x":44,"y":530}
1470054649880: 	draw	content	{"x":59,"y":532}
1470054649885: 	draw	content	{"x":62,"y":533}
1470054649895: 	draw	content	{"x":64,"y":533}
1470054649908: 	draw	content	{"x":66,"y":533}
1470054649916: 	draw	content	{"x":67,"y":533}
1470054649923: 	draw	content	{"x":69,"y":533}
1470054649932: 	draw	content	{"x":69,"y":534}
1470054649941: 	draw	content	{"x":71,"y":534}
1470054649949: 	draw	content	{"x":72,"y":534}
1470054649956: 	draw	content	{"x":73,"y":534}
1470054649970: 	draw	content	{"x":74,"y":534}
1470054649973: 	draw	content	{"x":76,"y":534}
1470054649985: 	draw	content	{"x":77,"y":534}
1470054649990: 	draw	content	{"x":78,"y":534}
1470054649999: 	draw	content	{"x":79,"y":534}
1470054650006: 	draw	content	{"x":80,"y":535}
1470054650016: 	draw	content	{"x":81,"y":535}
1470054650029: 	draw	content	{"x":82,"y":535}
1470054650033: 	draw	content	{"x":83,"y":535}
1470054650040: 	draw	content	{"x":84,"y":535}
1470054650048: 	draw	content	{"x":85,"y":535}
1470054650056: 	draw	content	{"x":86,"y":535}
1470054650067: 	draw	content	{"x":87,"y":535}
1470054650073: 	draw	content	{"x":88,"y":535}
1470054650081: 	draw	content	{"x":89,"y":535}
1470054650092: 	draw	content	{"x":90,"y":535}
1470054650099: 	draw	content	{"x":91,"y":535}
1470054650107: 	draw	content	{"x":92,"y":535}
1470054650123: 	draw	content	{"x":93,"y":535}
1470054650132: 	draw	content	{"x":94,"y":535}
1470054650142: 	draw	content	{"x":95,"y":535}
1470054650149: 	draw	content	{"x":96,"y":535}
1470054650156: 	draw	content	{"x":97,"y":536}
