1470054073253: 	acted on	sample
1470054262681: 	acted on	innerText
1470054262747: 	sub-instrument	start	draw	true
1470054262755: 	activate	draw
1470054264373: 	draw	image-5	{"x":45,"y":83}
1470054264495: 	draw	image-5	{"x":28,"y":86}
1470054264503: 	draw	image-5	{"x":27,"y":87}
1470054264512: 	draw	image-5	{"x":26,"y":89}
1470054264520: 	draw	image-5	{"x":25,"y":91}
1470054264529: 	draw	image-5	{"x":25,"y":92}
1470054264537: 	draw	image-5	{"x":25,"y":93}
1470054264545: 	draw	image-5	{"x":25,"y":94}
1470054264554: 	draw	image-5	{"x":25,"y":95}
1470054264562: 	draw	image-5	{"x":27,"y":96}
1470054264578: 	draw	image-5	{"x":29,"y":97}
1470054264582: 	draw	image-5	{"x":33,"y":97}
1470054264587: 	draw	image-5	{"x":37,"y":96}
1470054264595: 	draw	image-5	{"x":42,"y":94}
1470054264603: 	draw	image-5	{"x":45,"y":93}
1470054264611: 	draw	image-5	{"x":48,"y":91}
1470054264620: 	draw	image-5	{"x":50,"y":89}
1470054264628: 	draw	image-5	{"x":52,"y":87}
1470054264645: 	draw	image-5	{"x":54,"y":84}
1470054264649: 	draw	image-5	{"x":55,"y":82}
1470054264657: 	draw	image-5	{"x":56,"y":80}
1470054264661: 	draw	image-5	{"x":56,"y":78}
1470054264670: 	draw	image-5	{"x":56,"y":77}
1470054264678: 	draw	image-5	{"x":55,"y":75}
1470054264686: 	draw	image-5	{"x":55,"y":74}
1470054264695: 	draw	image-5	{"x":54,"y":72}
1470054264703: 	draw	image-5	{"x":53,"y":71}
1470054264712: 	draw	image-5	{"x":51,"y":70}
1470054264720: 	draw	image-5	{"x":49,"y":69}
1470054264728: 	draw	image-5	{"x":47,"y":69}
1470054264736: 	draw	image-5	{"x":45,"y":69}
1470054264745: 	draw	image-5	{"x":43,"y":69}
1470054264754: 	draw	image-5	{"x":40,"y":69}
1470054264761: 	draw	image-5	{"x":38,"y":71}
1470054264770: 	draw	image-5	{"x":36,"y":73}
1470054264779: 	draw	image-5	{"x":34,"y":74}
1470054264787: 	draw	image-5	{"x":33,"y":76}
1470054264794: 	draw	image-5	{"x":32,"y":79}
1470054264803: 	draw	image-5	{"x":31,"y":82}
1470054264812: 	draw	image-5	{"x":31,"y":83}
1470054264819: 	draw	image-5	{"x":31,"y":85}
1470054264829: 	draw	image-5	{"x":32,"y":87}
1470054264837: 	draw	image-5	{"x":33,"y":89}
1470054264845: 	draw	image-5	{"x":34,"y":90}
1470054264853: 	draw	image-5	{"x":35,"y":91}
1470054264862: 	draw	image-5	{"x":37,"y":92}
1470054264870: 	draw	image-5	{"x":40,"y":93}
1470054264879: 	draw	image-5	{"x":43,"y":92}
1470054264886: 	draw	image-5	{"x":46,"y":91}
1470054264895: 	draw	image-5	{"x":49,"y":90}
1470054264904: 	draw	image-5	{"x":51,"y":88}
1470054264912: 	draw	image-5	{"x":53,"y":85}
1470054264920: 	draw	image-5	{"x":55,"y":82}
1470054264929: 	draw	image-5	{"x":56,"y":80}
1470054264939: 	draw	image-5	{"x":56,"y":79}
1470054264945: 	draw	image-5	{"x":56,"y":76}
1470054264953: 	draw	image-5	{"x":55,"y":74}
1470054264962: 	draw	image-5	{"x":53,"y":71}
1470054264969: 	draw	image-5	{"x":51,"y":69}
1470054264979: 	draw	image-5	{"x":49,"y":68}
1470054264986: 	draw	image-5	{"x":45,"y":68}
1470054264994: 	draw	image-5	{"x":42,"y":67}
1470054265009: 	draw	image-5	{"x":39,"y":67}
1470054265018: 	draw	image-5	{"x":38,"y":67}
1470054265025: 	draw	image-5	{"x":37,"y":67}
1470054265033: 	draw	image-5	{"x":36,"y":67}
1470054265042: 	draw	image-5	{"x":35,"y":68}
1470054265052: 	draw	image-5	{"x":34,"y":69}
