1470054640908: 	action	colorPicker	sample	{"x":161.51699829101562,"y":281.1449890136719}
1470054649655: 	action	draw	content	{"x":44,"y":530}
1470054649867: 	action	draw	content	{"x":59,"y":532}
1470054649885: 	action	draw	content	{"x":62,"y":533}
1470054649894: 	action	draw	content	{"x":64,"y":533}
1470054649907: 	action	draw	content	{"x":66,"y":533}
1470054649915: 	action	draw	content	{"x":67,"y":533}
1470054649923: 	action	draw	content	{"x":69,"y":533}
1470054649931: 	action	draw	content	{"x":69,"y":534}
1470054649939: 	action	draw	content	{"x":71,"y":534}
1470054649948: 	action	draw	content	{"x":72,"y":534}
1470054649955: 	action	draw	content	{"x":73,"y":534}
1470054649968: 	action	draw	content	{"x":74,"y":534}
1470054649973: 	action	draw	content	{"x":76,"y":534}
1470054649985: 	action	draw	content	{"x":77,"y":534}
1470054649990: 	action	draw	content	{"x":78,"y":534}
1470054649999: 	action	draw	content	{"x":79,"y":534}
1470054650006: 	action	draw	content	{"x":80,"y":535}
1470054650014: 	action	draw	content	{"x":81,"y":535}
1470054650029: 	action	draw	content	{"x":82,"y":535}
1470054650032: 	action	draw	content	{"x":83,"y":535}
1470054650040: 	action	draw	content	{"x":84,"y":535}
1470054650047: 	action	draw	content	{"x":85,"y":535}
1470054650055: 	action	draw	content	{"x":86,"y":535}
1470054650066: 	action	draw	content	{"x":87,"y":535}
1470054650073: 	action	draw	content	{"x":88,"y":535}
1470054650080: 	action	draw	content	{"x":89,"y":535}
1470054650092: 	action	draw	content	{"x":90,"y":535}
1470054650098: 	action	draw	content	{"x":91,"y":535}
1470054650105: 	action	draw	content	{"x":92,"y":535}
1470054650122: 	action	draw	content	{"x":93,"y":535}
1470054650132: 	action	draw	content	{"x":94,"y":535}
1470054650140: 	action	draw	content	{"x":95,"y":535}
1470054650148: 	action	draw	content	{"x":96,"y":535}
1470054650155: 	action	draw	content	{"x":97,"y":536}
1470054650165: 	action	draw	content	{"x":98,"y":536}
1470054650172: 	action	draw	content	{"x":99,"y":536}
1470054650181: 	action	draw	content	{"x":100,"y":536}
1470054650190: 	action	draw	content	{"x":101,"y":535}
1470054650197: 	action	draw	content	{"x":103,"y":535}
1470054650207: 	action	draw	content	{"x":104,"y":535}
1470054650225: 	action	draw	content	{"x":105,"y":535}
1470054650233: 	action	draw	content	{"x":107,"y":535}
1470054650239: 	action	draw	content	{"x":108,"y":535}
1470054650249: 	action	draw	content	{"x":109,"y":535}
1470054650256: 	action	draw	content	{"x":110,"y":535}
1470054650279: 	action	draw	content	{"x":111,"y":535}
1470054650283: 	action	draw	content	{"x":113,"y":535}
1470054650290: 	action	draw	content	{"x":115,"y":535}
1470054650297: 	action	draw	content	{"x":116,"y":535}
1470054650315: 	action	draw	content	{"x":118,"y":535}
1470054650318: 	action	draw	content	{"x":119,"y":535}
1470054650322: 	action	draw	content	{"x":121,"y":534}
1470054650330: 	action	draw	content	{"x":122,"y":534}
1470054650339: 	action	draw	content	{"x":124,"y":534}
1470054650348: 	action	draw	content	{"x":125,"y":534}
1470054650365: 	action	draw	content	{"x":127,"y":534}
1470054650368: 	action	draw	content	{"x":128,"y":534}
1470054650373: 	action	draw	content	{"x":130,"y":534}
1470054650380: 	action	draw	content	{"x":132,"y":533}
1470054650389: 	action	draw	content	{"x":134,"y":533}
1470054650399: 	action	draw	content	{"x":135,"y":533}
1470054650405: 	action	draw	content	{"x":137,"y":533}
1470054650415: 	action	draw	content	{"x":138,"y":533}
1470054650424: 	action	draw	content	{"x":140,"y":533}
1470054650431: 	action	draw	content	{"x":142,"y":533}
1470054650451: 	action	draw	content	{"x":143,"y":533}
1470054650455: 	action	draw	content	{"x":145,"y":533}
1470054650459: 	action	draw	content	{"x":146,"y":533}
1470054650465: 	action	draw	content	{"x":148,"y":533}
1470054650473: 	action	draw	content	{"x":149,"y":533}
1470054650480: 	action	draw	content	{"x":150,"y":533}
1470054650489: 	action	draw	content	{"x":151,"y":532}
1470054650498: 	action	draw	content	{"x":152,"y":532}
1470054650506: 	action	draw	content	{"x":153,"y":532}
1470054650515: 	action	draw	content	{"x":154,"y":532}
1470054650528: 	action	draw	content	{"x":155,"y":532}
1470054650533: 	action	draw	content	{"x":157,"y":532}
1470054650540: 	action	draw	content	{"x":158,"y":532}
1470054650548: 	action	draw	content	{"x":159,"y":532}
1470054650556: 	action	draw	content	{"x":160,"y":532}
1470054650565: 	action	draw	content	{"x":162,"y":532}
1470054650581: 	action	draw	content	{"x":163,"y":532}
1470054650596: 	action	draw	content	{"x":164,"y":532}
1470054650600: 	action	draw	content	{"x":165,"y":532}
