1470754020420: 	acted on	mover
1470754021202: 	acted on	innerText
1470754021380: 	sub-instrument	start	mover	true
1470754021397: 	activate	mover
1470754032449: 	start moving	image-12	from	{"x":121,"y":90}
1470754032782: 	moved	image-12	to	{"x":608,"y":456}
1470754032787: 	moved	image-12	to	{"x":607,"y":456}
1470754032804: 	moved	image-12	to	{"x":606,"y":455}
1470754032813: 	moved	image-12	to	{"x":605,"y":455}
1470754032821: 	moved	image-12	to	{"x":604,"y":455}
1470754032830: 	moved	image-12	to	{"x":603,"y":455}
1470754032838: 	moved	image-12	to	{"x":603,"y":454}
1470754032846: 	moved	image-12	to	{"x":601,"y":454}
1470754032855: 	moved	image-12	to	{"x":600,"y":454}
1470754032862: 	moved	image-12	to	{"x":599,"y":454}
1470754032872: 	moved	image-12	to	{"x":598,"y":453}
1470754032879: 	moved	image-12	to	{"x":597,"y":453}
1470754032895: 	moved	image-12	to	{"x":596,"y":453}
1470754032905: 	moved	image-12	to	{"x":595,"y":452}
1470754032939: 	moved	image-12	to	{"x":594,"y":452}
1470754032956: 	moved	image-12	to	{"x":594,"y":451}
1470754033039: 	moved	image-12	to	{"x":594,"y":450}
1470754033122: 	moved	image-12	to	{"x":594,"y":449}
1470754033130: 	moved	image-12	to	{"x":593,"y":449}
1470754033164: 	moved	image-12	to	{"x":593,"y":448}
1470754033170: 	moved	image-12	to	{"x":591,"y":447}
1470754033188: 	moved	image-12	to	{"x":586,"y":443}
1470754033180: 	moved	image-12	to	{"x":589,"y":445}
1470754033196: 	moved	image-12	to	{"x":584,"y":442}
1470754033204: 	moved	image-12	to	{"x":582,"y":441}
1470754033212: 	moved	image-12	to	{"x":580,"y":440}
1470754033220: 	moved	image-12	to	{"x":578,"y":439}
1470754033229: 	moved	image-12	to	{"x":576,"y":438}
1470754033238: 	moved	image-12	to	{"x":573,"y":436}
1470754033246: 	moved	image-12	to	{"x":570,"y":435}
1470754033254: 	moved	image-12	to	{"x":567,"y":433}
1470754033262: 	moved	image-12	to	{"x":565,"y":431}
1470754033271: 	moved	image-12	to	{"x":562,"y":429}
1470754033279: 	moved	image-12	to	{"x":559,"y":427}
1470754033287: 	moved	image-12	to	{"x":556,"y":425}
1470754033295: 	moved	image-12	to	{"x":553,"y":423}
1470754033306: 	moved	image-12	to	{"x":550,"y":421}
1470754033313: 	moved	image-12	to	{"x":546,"y":418}
1470754033320: 	moved	image-12	to	{"x":543,"y":415}
1470754033329: 	moved	image-12	to	{"x":540,"y":413}
1470754033338: 	moved	image-12	to	{"x":536,"y":411}
1470754033345: 	moved	image-12	to	{"x":533,"y":409}
1470754033355: 	moved	image-12	to	{"x":528,"y":407}
1470754033362: 	moved	image-12	to	{"x":525,"y":405}
1470754033371: 	moved	image-12	to	{"x":521,"y":402}
1470754033379: 	moved	image-12	to	{"x":517,"y":400}
1470754033387: 	moved	image-12	to	{"x":514,"y":398}
1470754033395: 	moved	image-12	to	{"x":510,"y":396}
1470754033404: 	moved	image-12	to	{"x":506,"y":394}
1470754033412: 	moved	image-12	to	{"x":503,"y":392}
1470754033421: 	moved	image-12	to	{"x":500,"y":390}
1470754033429: 	moved	image-12	to	{"x":496,"y":387}
1470754033437: 	moved	image-12	to	{"x":492,"y":384}
1470754033445: 	moved	image-12	to	{"x":489,"y":382}
1470754033455: 	moved	image-12	to	{"x":486,"y":379}
1470754033462: 	moved	image-12	to	{"x":482,"y":376}
1470754033471: 	moved	image-12	to	{"x":480,"y":374}
1470754033480: 	moved	image-12	to	{"x":477,"y":371}
1470754033487: 	moved	image-12	to	{"x":474,"y":368}
1470754033495: 	moved	image-12	to	{"x":472,"y":366}
1470754033504: 	moved	image-12	to	{"x":471,"y":364}
1470754033512: 	moved	image-12	to	{"x":469,"y":362}
1470754033520: 	moved	image-12	to	{"x":467,"y":359}
1470754033529: 	moved	image-12	to	{"x":465,"y":356}
1470754033538: 	moved	image-12	to	{"x":462,"y":353}
1470754033546: 	moved	image-12	to	{"x":461,"y":351}
1470754033554: 	moved	image-12	to	{"x":460,"y":348}
1470754033562: 	moved	image-12	to	{"x":459,"y":346}
1470754033571: 	moved	image-12	to	{"x":457,"y":343}
1470754033579: 	moved	image-12	to	{"x":456,"y":340}
1470754033587: 	moved	image-12	to	{"x":455,"y":338}
1470754033596: 	moved	image-12	to	{"x":455,"y":336}
1470754033604: 	moved	image-12	to	{"x":454,"y":334}
1470754033613: 	moved	image-12	to	{"x":453,"y":332}
1470754033621: 	moved	image-12	to	{"x":452,"y":330}
1470754033629: 	moved	image-12	to	{"x":452,"y":328}
1470754033637: 	moved	image-12	to	{"x":452,"y":326}
1470754033646: 	moved	image-12	to	{"x":451,"y":324}
1470754033654: 	moved	image-12	to	{"x":451,"y":323}
1470754033663: 	moved	image-12	to	{"x":451,"y":321}
1470754033671: 	moved	image-12	to	{"x":451,"y":319}
1470754033680: 	moved	image-12	to	{"x":451,"y":318}
1470754033688: 	moved	image-12	to	{"x":451,"y":316}
1470754033697: 	moved	image-12	to	{"x":451,"y":315}
1470754033704: 	moved	image-12	to	{"x":451,"y":313}
1470754033712: 	moved	image-12	to	{"x":451,"y":312}
1470754033720: 	moved	image-12	to	{"x":451,"y":311}
1470754033731: 	moved	image-12	to	{"x":452,"y":310}
1470754033740: 	moved	image-12	to	{"x":452,"y":309}
1470754033745: 	moved	image-12	to	{"x":452,"y":308}
1470754033763: 	moved	image-12	to	{"x":453,"y":307}
1470754033780: 	moved	image-12	to	{"x":453,"y":306}
1470754033796: 	moved	image-12	to	{"x":454,"y":305}
1470754033813: 	moved	image-12	to	{"x":454,"y":304}
1470754033829: 	moved	image-12	to	{"x":455,"y":303}
1470754033846: 	moved	image-12	to	{"x":455,"y":302}
