1470752802822: 	acted on	sample
1470752805055: 	acted on	sample
1470752806372: 	acted on	menu
1470752835786: 	acted on	circle
1470752835923: 	sub-instrument	circle	shapes	false
1470752836639: 	acted on	innerText
1470752836772: 	sub-instrument	start	shapes	true
1470752836774: 	activate	shapes
1470752839531: 	acted on	sample
1470752842521: 	acted on	circle
1470752842646: 	sub-instrument	circle	shapes	true
1470752843683: 	shape started	{"x":878,"y":430}
1470752843685: 	shape continued	10	circle
1470752843796: 	shape continued	10	circle
1470752843805: 	shape continued	10	circle
1470752843813: 	shape continued	10	circle
1470752843822: 	shape continued	10	circle
1470752843830: 	shape continued	10	circle
1470752843847: 	shape continued	10	circle
1470752843854: 	shape continued	10	circle
1470752843862: 	shape continued	10	circle
1470752843871: 	shape continued	10	circle
1470752843887: 	shape continued	10	circle
1470752843897: 	shape continued	10	circle
1470752843904: 	shape continued	11	circle
1470752843912: 	shape continued	11	circle
1470752843921: 	shape continued	12	circle
1470752843930: 	shape continued	12	circle
1470752843937: 	shape continued	13	circle
1470752843946: 	shape continued	14	circle
1470752843954: 	shape continued	14	circle
1470752843963: 	shape continued	15	circle
1470752843971: 	shape continued	16	circle
1470752843979: 	shape continued	17	circle
1470752843996: 	shape continued	19	circle
1470752844005: 	shape continued	20	circle
1470752844012: 	shape continued	20	circle
1470752844021: 	shape continued	21	circle
1470752844029: 	shape continued	21	circle
1470752844037: 	shape continued	22	circle
1470752844047: 	shape continued	22	circle
1470752844053: 	shape continued	22	circle
1470752844062: 	shape continued	22	circle
1470752844079: 	shape continued	23	circle
1470752844138: 	shape continued	23	circle
1470752850164: 	acted on	circle
1470752850330: 	sub-instrument	circle	shapes	true
1470752851050: 	shape started	{"x":943,"y":420}
1470752851052: 	shape continued	10	circle
1470752851140: 	shape continued	10	circle
1470752851146: 	shape continued	10	circle
1470752851154: 	shape continued	10	circle
1470752851163: 	shape continued	10	circle
1470752851171: 	shape continued	10	circle
1470752851179: 	shape continued	10	circle
1470752851188: 	shape continued	10	circle
1470752851196: 	shape continued	10	circle
1470752851204: 	shape continued	10	circle
1470752851214: 	shape continued	10	circle
1470752851221: 	shape continued	10	circle
1470752851230: 	shape continued	11	circle
1470752851240: 	shape continued	12	circle
1470752851254: 	shape continued	15	circle
1470752851264: 	shape continued	17	circle
1470752851271: 	shape continued	18	circle
1470752851279: 	shape continued	19	circle
1470752851288: 	shape continued	20	circle
1470752851296: 	shape continued	21	circle
1470752851305: 	shape continued	22	circle
1470752851313: 	shape continued	23	circle
1470752851330: 	shape continued	24	circle
1470752851337: 	shape continued	24	circle
1470752851345: 	shape continued	24	circle
1470752851355: 	shape continued	23	circle
1470752851362: 	shape continued	21	circle
1470752851371: 	shape continued	18	circle
1470752851379: 	shape continued	15	circle
1470752851388: 	shape continued	12	circle
1470752851396: 	shape continued	10	circle
1470752851405: 	shape continued	10	circle
1470752851413: 	shape continued	10	circle
1470752851421: 	shape continued	10	circle
1470752851430: 	shape continued	10	circle
1470752851437: 	shape continued	10	circle
1470752851446: 	shape continued	10	circle
1470752851455: 	shape continued	10	circle
1470752851462: 	shape continued	10	circle
1470752851471: 	shape continued	10	circle
1470752851480: 	shape continued	10	circle
1470752851487: 	shape continued	10	circle
1470752851496: 	shape continued	10	circle
1470752851505: 	shape continued	10	circle
1470752851512: 	shape continued	10	circle
1470752851521: 	shape continued	10	circle
1470752851530: 	shape continued	10	circle
1470752851538: 	shape continued	14	circle
1470752851546: 	shape continued	16	circle
1470752851554: 	shape continued	18	circle
1470752851562: 	shape continued	20	circle
1470752851571: 	shape continued	22	circle
1470752851580: 	shape continued	24	circle
1470752851588: 	shape continued	26	circle
1470752851596: 	shape continued	29	circle
