1470753891439: 	acted on	sample
1470753892807: 	acted on	sample
1470753893466: 	acted on	sample
1470753894071: 	acted on	sample
1470753894474: 	acted on	sample
1470753909575: 	acted on	innerText
1470753909684: 	sub-instrument	start	shapes	true
1470753909705: 	activate	shapes
1470753910224: 	acted on	circle
1470753910338: 	sub-instrument	circle	shapes	true
1470753921799: 	shape started	{"x":1014,"y":155}
1470753921802: 	shape continued	10	circle
1470753921947: 	shape continued	16	circle
1470753921955: 	shape continued	17	circle
1470753921962: 	shape continued	18	circle
1470753921971: 	shape continued	19	circle
1470753921979: 	shape continued	20	circle
1470753921987: 	shape continued	21	circle
1470753921997: 	shape continued	23	circle
1470753922004: 	shape continued	24	circle
1470753922012: 	shape continued	25	circle
1470753922021: 	shape continued	27	circle
1470753922029: 	shape continued	30	circle
1470753922037: 	shape continued	31	circle
1470753922047: 	shape continued	34	circle
1470753922054: 	shape continued	36	circle
1470753922062: 	shape continued	38	circle
1470753922071: 	shape continued	41	circle
1470753922079: 	shape continued	43	circle
1470753922087: 	shape continued	46	circle
1470753922098: 	shape continued	50	circle
1470753922105: 	shape continued	53	circle
1470753922113: 	shape continued	57	circle
1470753922121: 	shape continued	60	circle
1470753922129: 	shape continued	63	circle
1470753922137: 	shape continued	68	circle
1470753922147: 	shape continued	71	circle
1470753922154: 	shape continued	75	circle
1470753922162: 	shape continued	79	circle
1470753922171: 	shape continued	83	circle
1470753922179: 	shape continued	86	circle
1470753922187: 	shape continued	90	circle
1470753922197: 	shape continued	93	circle
1470753922204: 	shape continued	96	circle
1470753922212: 	shape continued	100	circle
1470753922221: 	shape continued	103	circle
1470753922229: 	shape continued	106	circle
1470753922237: 	shape continued	110	circle
1470753922246: 	shape continued	114	circle
1470753922255: 	shape continued	116	circle
1470753922262: 	shape continued	119	circle
1470753922271: 	shape continued	123	circle
1470753922279: 	shape continued	127	circle
1470753922286: 	shape continued	130	circle
1470753922296: 	shape continued	134	circle
1470753922304: 	shape continued	136	circle
1470753922312: 	shape continued	140	circle
1470753922321: 	shape continued	144	circle
1470753922329: 	shape continued	147	circle
1470753922337: 	shape continued	150	circle
1470753922346: 	shape continued	152	circle
1470753922354: 	shape continued	155	circle
1470753922362: 	shape continued	158	circle
1470753922371: 	shape continued	161	circle
1470753922379: 	shape continued	163	circle
1470753922387: 	shape continued	165	circle
1470753922398: 	shape continued	167	circle
1470753922404: 	shape continued	171	circle
1470753922413: 	shape continued	173	circle
1470753922421: 	shape continued	175	circle
1470753922429: 	shape continued	177	circle
1470753922437: 	shape continued	179	circle
1470753922446: 	shape continued	181	circle
1470753922454: 	shape continued	183	circle
1470753922462: 	shape continued	184	circle
1470753922472: 	shape continued	185	circle
1470753922480: 	shape continued	188	circle
1470753922486: 	shape continued	189	circle
1470753922496: 	shape continued	191	circle
1470753922503: 	shape continued	193	circle
1470753922512: 	shape continued	194	circle
1470753922523: 	shape continued	195	circle
1470753922529: 	shape continued	197	circle
1470753922537: 	shape continued	198	circle
1470753922547: 	shape continued	200	circle
1470753922554: 	shape continued	202	circle
1470753922562: 	shape continued	203	circle
1470753922571: 	shape continued	205	circle
1470753922579: 	shape continued	207	circle
1470753922587: 	shape continued	208	circle
1470753922596: 	shape continued	209	circle
1470753922604: 	shape continued	211	circle
1470753922611: 	shape continued	212	circle
1470753922621: 	shape continued	214	circle
1470753922629: 	shape continued	215	circle
1470753922637: 	shape continued	217	circle
1470753922647: 	shape continued	219	circle
1470753922654: 	shape continued	220	circle
1470753922662: 	shape continued	222	circle
1470753922671: 	shape continued	223	circle
1470753922679: 	shape continued	225	circle
1470753922687: 	shape continued	226	circle
1470753922697: 	shape continued	228	circle
1470753922704: 	shape continued	229	circle
1470753922712: 	shape continued	230	circle
1470753922721: 	shape continued	231	circle
1470753922730: 	shape continued	233	circle
1470753922737: 	shape continued	234	circle
1470753922746: 	shape continued	235	circle
1470753922754: 	shape continued	236	circle
1470753922762: 	shape continued	237	circle
1470753922772: 	shape continued	238	circle
1470753922780: 	shape continued	239	circle
1470753922787: 	shape continued	240	circle
1470753922797: 	shape continued	241	circle
1470753922804: 	shape continued	241	circle
1470753922812: 	shape continued	242	circle
1470753922829: 	shape continued	243	circle
1470753922837: 	shape continued	244	circle
1470753922846: 	shape continued	244	circle
1470753922854: 	shape continued	245	circle
1470753922872: 	shape continued	246	circle
1470753922879: 	shape continued	247	circle
1470753922887: 	shape continued	248	circle
1470753922904: 	shape continued	249	circle
1470753922912: 	shape continued	250	circle
1470753922921: 	shape continued	251	circle
1470753922929: 	shape continued	252	circle
1470753922938: 	shape continued	253	circle
1470753922946: 	shape continued	254	circle
1470753922954: 	shape continued	255	circle
1470753922962: 	shape continued	256	circle
1470753922971: 	shape continued	257	circle
1470753922979: 	shape continued	258	circle
1470753922997: 	shape continued	259	circle
1470753923012: 	shape continued	260	circle
1470753923021: 	shape continued	261	circle
1470753923046: 	shape continued	262	circle
1470753913267: 	acted on	innerText
1470753913340: 	sub-instrument	stop	shapes	false
1470753913353: 	deactivate	shapes
