1470125386151: 	acted on	image-50
1470125389100: 	acted on	innerText
1470125389240: 	sub-instrument	start	mover	true
1470125389243: 	activate	mover
1470125389874: 	acted on	mover
1470125389878: 	action	mover	mover	{"x":219,"y":257}
1470125389883: 	start moving	mover	from	{"x":129,"y":200}
1470125390008: 	action	mover	mover	{"x":214,"y":272}
1470125390009: 	moved	mover	to	{"x":214,"y":272}
1470125390024: 	action	mover	mover	{"x":213,"y":278}
1470125390025: 	moved	mover	to	{"x":213,"y":278}
1470125390035: 	action	mover	mover	{"x":212,"y":280}
1470125390039: 	moved	mover	to	{"x":212,"y":280}
1470125390052: 	action	mover	mover	{"x":212,"y":288}
1470125390054: 	moved	mover	to	{"x":212,"y":288}
1470125390064: 	action	mover	mover	{"x":211,"y":295}
1470125390065: 	moved	mover	to	{"x":211,"y":295}
1470125390074: 	action	mover	mover	{"x":211,"y":299}
1470125390075: 	moved	mover	to	{"x":211,"y":299}
1470125390091: 	action	mover	mover	{"x":211,"y":306}
1470125390092: 	moved	mover	to	{"x":211,"y":306}
1470125390099: 	action	mover	mover	{"x":211,"y":311}
1470125390100: 	moved	mover	to	{"x":211,"y":311}
1470125390107: 	action	mover	mover	{"x":211,"y":315}
1470125390108: 	moved	mover	to	{"x":211,"y":315}
1470125390116: 	action	mover	mover	{"x":211,"y":319}
1470125390117: 	moved	mover	to	{"x":211,"y":319}
1470125390123: 	action	mover	mover	{"x":211,"y":325}
1470125390124: 	moved	mover	to	{"x":211,"y":325}
1470125390131: 	action	mover	mover	{"x":211,"y":328}
1470125390132: 	moved	mover	to	{"x":211,"y":328}
1470125390140: 	action	mover	mover	{"x":212,"y":332}
1470125390141: 	moved	mover	to	{"x":212,"y":332}
1470125390148: 	action	mover	mover	{"x":212,"y":336}
1470125390155: 	action	mover	mover	{"x":212,"y":340}
1470125390156: 	moved	mover	to	{"x":212,"y":340}
1470125390164: 	action	mover	mover	{"x":213,"y":344}
1470125390165: 	moved	mover	to	{"x":213,"y":344}
1470125390173: 	action	mover	mover	{"x":214,"y":349}
1470125390180: 	action	mover	mover	{"x":214,"y":355}
1470125390181: 	moved	mover	to	{"x":214,"y":355}
1470125390188: 	action	mover	mover	{"x":215,"y":360}
1470125390189: 	moved	mover	to	{"x":215,"y":360}
1470125390198: 	action	mover	mover	{"x":215,"y":364}
1470125390199: 	moved	mover	to	{"x":215,"y":364}
1470125390207: 	action	mover	mover	{"x":216,"y":369}
1470125390214: 	action	mover	mover	{"x":217,"y":374}
1470125390215: 	moved	mover	to	{"x":217,"y":374}
1470125390222: 	action	mover	mover	{"x":217,"y":378}
1470125390223: 	moved	mover	to	{"x":217,"y":378}
1470125390231: 	action	mover	mover	{"x":219,"y":384}
1470125390232: 	moved	mover	to	{"x":219,"y":384}
1470125390240: 	action	mover	mover	{"x":219,"y":390}
1470125390241: 	moved	mover	to	{"x":219,"y":390}
1470125390249: 	action	mover	mover	{"x":220,"y":396}
1470125390256: 	action	mover	mover	{"x":221,"y":402}
1470125390263: 	action	mover	mover	{"x":222,"y":409}
1470125390264: 	moved	mover	to	{"x":222,"y":409}
1470125390273: 	action	mover	mover	{"x":223,"y":416}
1470125390274: 	moved	mover	to	{"x":223,"y":416}
1470125390281: 	action	mover	mover	{"x":224,"y":422}
1470125390282: 	moved	mover	to	{"x":224,"y":422}
1470125390288: 	action	mover	mover	{"x":224,"y":430}
1470125390289: 	moved	mover	to	{"x":224,"y":430}
1470125390299: 	action	mover	mover	{"x":225,"y":439}
1470125390306: 	action	mover	mover	{"x":226,"y":446}
1470125390314: 	action	mover	mover	{"x":227,"y":454}
1470125390315: 	moved	mover	to	{"x":227,"y":454}
1470125390322: 	action	mover	mover	{"x":228,"y":464}
1470125390323: 	moved	mover	to	{"x":228,"y":464}
1470125390330: 	action	mover	mover	{"x":229,"y":476}
1470125390331: 	moved	mover	to	{"x":229,"y":476}
1470125390338: 	action	mover	mover	{"x":230,"y":486}
