1470125433149: 	acted on	sample
1470125449067: 	acted on	innerText
1470125449291: 	sub-instrument	start	draw	true
1470125449292: 	activate	draw
1470125451690: 	draw	image-35	{"x":71,"y":81}
1470125452259: 	draw	image-35	{"x":75,"y":66}
1470125452274: 	draw	image-35	{"x":78,"y":65}
1470125452283: 	draw	image-35	{"x":80,"y":65}
1470125452290: 	draw	image-35	{"x":81,"y":64}
1470125452298: 	draw	image-35	{"x":82,"y":64}
1470125452307: 	draw	image-35	{"x":83,"y":64}
1470125452315: 	draw	image-35	{"x":84,"y":64}
1470125452323: 	draw	image-35	{"x":85,"y":65}
1470125452332: 	draw	image-35	{"x":86,"y":65}
1470125452340: 	draw	image-35	{"x":87,"y":65}
1470125452348: 	draw	image-35	{"x":88,"y":66}
1470125452356: 	draw	image-35	{"x":88,"y":67}
1470125452365: 	draw	image-35	{"x":90,"y":68}
1470125452374: 	draw	image-35	{"x":90,"y":69}
1470125452382: 	draw	image-35	{"x":91,"y":71}
1470125452398: 	draw	image-35	{"x":91,"y":72}
1470125452407: 	draw	image-35	{"x":91,"y":74}
1470125452415: 	draw	image-35	{"x":91,"y":75}
1470125452423: 	draw	image-35	{"x":91,"y":76}
1470125452432: 	draw	image-35	{"x":91,"y":78}
1470125452440: 	draw	image-35	{"x":90,"y":80}
1470125452447: 	draw	image-35	{"x":90,"y":82}
1470125452458: 	draw	image-35	{"x":89,"y":84}
1470125452464: 	draw	image-35	{"x":88,"y":86}
1470125452473: 	draw	image-35	{"x":87,"y":87}
1470125452481: 	draw	image-35	{"x":87,"y":88}
1470125452489: 	draw	image-35	{"x":86,"y":89}
1470125452497: 	draw	image-35	{"x":85,"y":90}
1470125452507: 	draw	image-35	{"x":84,"y":90}
1470125452514: 	draw	image-35	{"x":83,"y":91}
1470125452523: 	draw	image-35	{"x":82,"y":92}
1470125452531: 	draw	image-35	{"x":80,"y":92}
1470125452539: 	draw	image-35	{"x":78,"y":93}
1470125452547: 	draw	image-35	{"x":75,"y":93}
1470125452557: 	draw	image-35	{"x":73,"y":94}
1470125452564: 	draw	image-35	{"x":71,"y":94}
1470125452572: 	draw	image-35	{"x":69,"y":94}
1470125452582: 	draw	image-35	{"x":66,"y":93}
1470125452589: 	draw	image-35	{"x":64,"y":93}
1470125452597: 	draw	image-35	{"x":62,"y":92}
1470125452606: 	draw	image-35	{"x":59,"y":91}
1470125452614: 	draw	image-35	{"x":57,"y":89}
1470125452623: 	draw	image-35	{"x":55,"y":87}
1470125452631: 	draw	image-35	{"x":54,"y":85}
1470125452639: 	draw	image-35	{"x":53,"y":84}
1470125452647: 	draw	image-35	{"x":52,"y":82}
1470125452656: 	draw	image-35	{"x":51,"y":81}
1470125452664: 	draw	image-35	{"x":51,"y":78}
1470125452673: 	draw	image-35	{"x":51,"y":76}
1470125452681: 	draw	image-35	{"x":52,"y":74}
1470125452690: 	draw	image-35	{"x":52,"y":72}
1470125452697: 	draw	image-35	{"x":54,"y":70}
1470125452706: 	draw	image-35	{"x":55,"y":69}
1470125452714: 	draw	image-35	{"x":57,"y":67}
1470125452722: 	draw	image-35	{"x":58,"y":66}
1470125452731: 	draw	image-35	{"x":60,"y":65}
1470125452741: 	draw	image-35	{"x":61,"y":65}
1470125452748: 	draw	image-35	{"x":63,"y":64}
1470125452757: 	draw	image-35	{"x":65,"y":64}
1470125452764: 	draw	image-35	{"x":67,"y":64}
1470125452773: 	draw	image-35	{"x":70,"y":65}
1470125452782: 	draw	image-35	{"x":72,"y":66}
1470125452789: 	draw	image-35	{"x":74,"y":67}
1470125452797: 	draw	image-35	{"x":76,"y":69}
1470125452807: 	draw	image-35	{"x":78,"y":70}
1470125452814: 	draw	image-35	{"x":79,"y":72}
1470125452822: 	draw	image-35	{"x":80,"y":74}
1470125452832: 	draw	image-35	{"x":82,"y":77}
1470125452839: 	draw	image-35	{"x":82,"y":79}
1470125452847: 	draw	image-35	{"x":83,"y":81}
1470125452857: 	draw	image-35	{"x":83,"y":83}
1470125452864: 	draw	image-35	{"x":82,"y":85}
1470125452872: 	draw	image-35	{"x":82,"y":88}
1470125452881: 	draw	image-35	{"x":80,"y":90}
1470125452889: 	draw	image-35	{"x":79,"y":92}
1470125452898: 	draw	image-35	{"x":76,"y":94}
1470125452907: 	draw	image-35	{"x":73,"y":95}
1470125452914: 	draw	image-35	{"x":71,"y":96}
1470125452923: 	draw	image-35	{"x":68,"y":97}
1470125452932: 	draw	image-35	{"x":66,"y":98}
1470125452939: 	draw	image-35	{"x":63,"y":98}
1470125452948: 	draw	image-35	{"x":61,"y":98}
1470125452956: 	draw	image-35	{"x":59,"y":97}
1470125452964: 	draw	image-35	{"x":58,"y":96}
1470125452972: 	draw	image-35	{"x":56,"y":95}
1470125452981: 	draw	image-35	{"x":55,"y":94}
1470125452989: 	draw	image-35	{"x":54,"y":92}
1470125452997: 	draw	image-35	{"x":52,"y":89}
1470125453007: 	draw	image-35	{"x":52,"y":87}
1470125453015: 	draw	image-35	{"x":52,"y":83}
1470125453023: 	draw	image-35	{"x":53,"y":80}
1470125453031: 	draw	image-35	{"x":54,"y":77}
1470125453045: 	draw	image-35	{"x":56,"y":74}
1470125453056: 	draw	image-35	{"x":59,"y":69}
1470125453065: 	draw	image-35	{"x":60,"y":67}
1470125453075: 	draw	image-35	{"x":63,"y":64}
1470125453089: 	draw	image-35	{"x":67,"y":60}
1470125453098: 	draw	image-35	{"x":69,"y":59}
1470125453106: 	draw	image-35	{"x":71,"y":58}
1470125453114: 	draw	image-35	{"x":73,"y":57}
1470125453123: 	draw	image-35	{"x":75,"y":56}
1470125453131: 	draw	image-35	{"x":77,"y":56}
1470125453139: 	draw	image-35	{"x":78,"y":56}
1470125453148: 	draw	image-35	{"x":79,"y":56}
1470125453156: 	draw	image-35	{"x":80,"y":56}
1470125453164: 	draw	image-35	{"x":81,"y":56}
1470125453181: 	draw	image-35	{"x":82,"y":56}
1470125453189: 	draw	image-35	{"x":82,"y":57}
1470125453198: 	draw	image-35	{"x":83,"y":57}
1470125453214: 	draw	image-35	{"x":83,"y":58}
1470125453233: 	draw	image-35	{"x":84,"y":58}
1470125453249: 	draw	image-35	{"x":84,"y":59}
1470125456096: 	draw	image-35	{"x":67,"y":62}
1470125456183: 	draw	image-35	{"x":62,"y":77}
1470125456190: 	draw	image-35	{"x":61,"y":78}
1470125456200: 	draw	image-35	{"x":59,"y":79}
1470125456208: 	draw	image-35	{"x":58,"y":79}
1470125456214: 	draw	image-35	{"x":57,"y":79}
1470125456224: 	draw	image-35	{"x":55,"y":79}
1470125456232: 	draw	image-35	{"x":54,"y":79}
1470125456239: 	draw	image-35	{"x":52,"y":77}
1470125456249: 	draw	image-35	{"x":50,"y":74}
1470125456256: 	draw	image-35	{"x":50,"y":71}
1470125456265: 	draw	image-35	{"x":50,"y":67}
1470125456274: 	draw	image-35	{"x":50,"y":63}
1470125456282: 	draw	image-35	{"x":51,"y":60}
1470125456289: 	draw	image-35	{"x":52,"y":57}
1470125456299: 	draw	image-35	{"x":54,"y":54}
1470125456306: 	draw	image-35	{"x":56,"y":51}
