1470127524529: 	acted on	sample
1470127525023: 	acted on	sample
1470127525432: 	acted on	sample
1470127525615: 	acted on	sample
1470127525741: 	acted on	sample
1470127525911: 	acted on	sample
1470127528673: 	acted on	innerText
1470127528793: 	sub-instrument	start	shapes	true
1470127528822: 	activate	shapes
1470127529493: 	acted on	circle
1470127529572: 	sub-instrument	circle	shapes	true
1470127532489: 	shape started	{"x":1042,"y":388}
1470127532492: 	shape continued	10	circle
1470127532910: 	shape continued	10	circle
1470127532926: 	shape continued	13	circle
1470127532933: 	shape continued	14	circle
1470127532941: 	shape continued	15	circle
1470127532950: 	shape continued	15	circle
1470127532966: 	shape continued	15	circle
1470127532976: 	shape continued	15	circle
1470127532982: 	shape continued	14	circle
1470127532992: 	shape continued	14	circle
1470127533001: 	shape continued	12	circle
1470127533009: 	shape continued	10	circle
1470127533025: 	shape continued	10	circle
1470127533033: 	shape continued	10	circle
1470127533041: 	shape continued	10	circle
1470127533058: 	shape continued	10	circle
1470127533068: 	shape continued	10	circle
1470127533075: 	shape continued	10	circle
1470127533083: 	shape continued	10	circle
1470127533091: 	shape continued	10	circle
1470127533100: 	shape continued	10	circle
1470127533109: 	shape continued	10	circle
1470127533117: 	shape continued	10	circle
1470127533128: 	shape continued	10	circle
1470127533133: 	shape continued	10	circle
1470127533141: 	shape continued	10	circle
1470127533151: 	shape continued	11	circle
1470127533158: 	shape continued	11	circle
1470127533166: 	shape continued	12	circle
1470127533192: 	shape continued	12	circle
1470127533217: 	shape continued	12	circle
1470127533226: 	shape continued	11	circle
1470127533234: 	shape continued	10	circle
1470127533242: 	shape continued	10	circle
1470127533250: 	shape continued	10	circle
1470127533258: 	shape continued	10	circle
1470127533266: 	shape continued	10	circle
1470127533276: 	shape continued	10	circle
1470127533283: 	shape continued	10	circle
1470127533295: 	shape continued	10	circle
1470127533306: 	shape continued	10	circle
1470127533319: 	shape continued	10	circle
1470127533327: 	shape continued	10	circle
1470127533344: 	shape continued	10	circle
1470127533351: 	shape continued	10	circle
1470127533359: 	shape continued	10	circle
1470127533367: 	shape continued	10	circle
1470127533377: 	shape continued	10	circle
1470127533384: 	shape continued	10	circle
1470127533392: 	shape continued	10	circle
1470127533403: 	shape continued	10	circle
1470127533409: 	shape continued	10	circle
1470127533416: 	shape continued	10	circle
1470127533425: 	shape continued	10	circle
1470127533433: 	shape continued	10	circle
1470127533451: 	shape continued	10	circle
1470127533458: 	shape continued	10	circle
1470127533467: 	shape continued	10	circle
1470127533476: 	shape continued	10	circle
1470127533483: 	shape continued	10	circle
1470127533492: 	shape continued	10	circle
1470127533500: 	shape continued	10	circle
1470127533508: 	shape continued	10	circle
1470127533516: 	shape continued	10	circle
1470127533526: 	shape continued	10	circle
1470127533534: 	shape continued	10	circle
1470127533541: 	shape continued	10	circle
1470127533550: 	shape continued	10	circle
1470127533557: 	shape continued	10	circle
1470127533566: 	shape continued	10	circle
1470127533575: 	shape continued	10	circle
1470127533583: 	shape continued	10	circle
1470127533591: 	shape continued	10	circle
1470127533600: 	shape continued	10	circle
1470127533609: 	shape continued	10	circle
1470127533616: 	shape continued	10	circle
1470127533625: 	shape continued	12	circle
1470127533633: 	shape continued	14	circle
1470127533641: 	shape continued	15	circle
1470127533650: 	shape continued	16	circle
1470127533658: 	shape continued	17	circle
1470127533666: 	shape continued	18	circle
1470127533675: 	shape continued	18	circle
1470127533682: 	shape continued	18	circle
1470127533690: 	shape continued	18	circle
1470127533701: 	shape continued	17	circle
1470127533708: 	shape continued	17	circle
1470127533717: 	shape continued	15	circle
1470127533725: 	shape continued	14	circle
1470127533734: 	shape continued	12	circle
1470127533741: 	shape continued	10	circle
1470127533750: 	shape continued	10	circle
1470127533758: 	shape continued	10	circle
1470127533765: 	shape continued	10	circle
1470127533775: 	shape continued	10	circle
1470127533817: 	shape continued	10	circle
1470127533825: 	shape continued	10	circle
1470127533842: 	shape continued	10	circle
1470127533850: 	shape continued	10	circle
1470127533858: 	shape continued	10	circle
1470127533866: 	shape continued	10	circle
1470127533885: 	shape continued	10	circle
1470127534047: 	shape continued	10	circle
1470127534062: 	shape continued	10	circle
1470127534077: 	shape continued	10	circle
1470127534085: 	shape continued	10	circle
1470127534093: 	shape continued	10	circle
1470127534108: 	shape continued	10	circle
1470127534117: 	shape continued	10	circle
1470127534126: 	shape continued	11	circle
1470127534248: 	shape continued	10	circle
1470127534262: 	shape continued	10	circle
1470127534279: 	shape continued	10	circle
1470127534293: 	shape continued	10	circle
1470127534301: 	shape continued	10	circle
1470127534308: 	shape continued	10	circle
1470127534318: 	shape continued	10	circle
1470127534326: 	shape continued	10	circle
1470127534334: 	shape continued	10	circle
1470127534342: 	shape continued	10	circle
1470127534353: 	shape continued	10	circle
1470127534359: 	shape continued	11	circle
1470127534366: 	shape continued	12	circle
1470127534377: 	shape continued	13	circle
1470127534383: 	shape continued	13	circle
1470127534402: 	shape continued	14	circle
1470127534435: 	shape continued	15	circle
1470127534519: 	shape continued	16	circle
1470127534862: 	shape started	{"x":1026,"y":394}
1470127534864: 	shape continued	10	circle
1470127534976: 	shape continued	15	circle
1470127534983: 	shape continued	17	circle
