1470127050443: 	acted on	shapes
1470127127769: 	acted on	sample
1470127128885: 	acted on	sample
1470127129727: 	acted on	sample
1470127132401: 	acted on	innerText
1470127132519: 	sub-instrument	start	shapes	true
1470127132527: 	activate	shapes
1470127133040: 	acted on	circle
1470127133139: 	sub-instrument	circle	shapes	true
1470127135042: 	shape started	{"x":1057,"y":173}
1470127135045: 	shape continued	10	circle
1470127135181: 	shape continued	15	circle
1470127135189: 	shape continued	17	circle
1470127135199: 	shape continued	19	circle
1470127135206: 	shape continued	21	circle
1470127135214: 	shape continued	23	circle
1470127135223: 	shape continued	25	circle
1470127135230: 	shape continued	28	circle
1470127135239: 	shape continued	30	circle
1470127135247: 	shape continued	33	circle
1470127135255: 	shape continued	36	circle
1470127135264: 	shape continued	40	circle
1470127135273: 	shape continued	44	circle
1470127135280: 	shape continued	48	circle
1470127135288: 	shape continued	52	circle
1470127135298: 	shape continued	55	circle
1470127135306: 	shape continued	59	circle
1470127135313: 	shape continued	64	circle
1470127135322: 	shape continued	68	circle
1470127135331: 	shape continued	71	circle
1470127135339: 	shape continued	75	circle
1470127135348: 	shape continued	79	circle
1470127135356: 	shape continued	82	circle
1470127135364: 	shape continued	86	circle
1470127135373: 	shape continued	89	circle
1470127135380: 	shape continued	93	circle
1470127135388: 	shape continued	97	circle
1470127135399: 	shape continued	101	circle
1470127135406: 	shape continued	106	circle
1470127135413: 	shape continued	110	circle
1470127135422: 	shape continued	115	circle
1470127135430: 	shape continued	119	circle
1470127135438: 	shape continued	123	circle
1470127135448: 	shape continued	128	circle
1470127135455: 	shape continued	132	circle
1470127135463: 	shape continued	135	circle
1470127135473: 	shape continued	138	circle
1470127135480: 	shape continued	142	circle
1470127135489: 	shape continued	145	circle
1470127135498: 	shape continued	149	circle
1470127135506: 	shape continued	153	circle
1470127135513: 	shape continued	158	circle
1470127135524: 	shape continued	162	circle
1470127135530: 	shape continued	166	circle
1470127135539: 	shape continued	171	circle
1470127135548: 	shape continued	176	circle
1470127135555: 	shape continued	180	circle
1470127135564: 	shape continued	183	circle
1470127135573: 	shape continued	187	circle
1470127135581: 	shape continued	191	circle
1470127135588: 	shape continued	195	circle
1470127135599: 	shape continued	199	circle
1470127135605: 	shape continued	203	circle
1470127135613: 	shape continued	206	circle
1470127135623: 	shape continued	211	circle
1470127135630: 	shape continued	214	circle
1470127135639: 	shape continued	218	circle
1470127135648: 	shape continued	221	circle
1470127135655: 	shape continued	224	circle
1470127135663: 	shape continued	227	circle
1470127135674: 	shape continued	230	circle
1470127135680: 	shape continued	232	circle
1470127135688: 	shape continued	234	circle
1470127135697: 	shape continued	236	circle
1470127135705: 	shape continued	238	circle
1470127135713: 	shape continued	240	circle
1470127135724: 	shape continued	242	circle
1470127135730: 	shape continued	244	circle
1470127135738: 	shape continued	246	circle
1470127135748: 	shape continued	247	circle
1470127135755: 	shape continued	249	circle
1470127135764: 	shape continued	251	circle
1470127135772: 	shape continued	253	circle
1470127135780: 	shape continued	255	circle
1470127135790: 	shape continued	257	circle
1470127135797: 	shape continued	259	circle
1470127135805: 	shape continued	261	circle
1470127135815: 	shape continued	263	circle
1470127135822: 	shape continued	265	circle
1470127135830: 	shape continued	267	circle
1470127135840: 	shape continued	269	circle
1470127135847: 	shape continued	271	circle
1470127135856: 	shape continued	273	circle
1470127135864: 	shape continued	275	circle
1470127135872: 	shape continued	277	circle
1470127135880: 	shape continued	279	circle
1470127135889: 	shape continued	280	circle
1470127135897: 	shape continued	281	circle
1470127135905: 	shape continued	283	circle
1470127135915: 	shape continued	284	circle
1470127135922: 	shape continued	285	circle
1470127135930: 	shape continued	286	circle
1470127135939: 	shape continued	288	circle
1470127135947: 	shape continued	289	circle
1470127135955: 	shape continued	290	circle
1470127135964: 	shape continued	291	circle
1470127135972: 	shape continued	293	circle
1470127135980: 	shape continued	294	circle
1470127135989: 	shape continued	295	circle
1470127135997: 	shape continued	296	circle
1470127136006: 	shape continued	297	circle
1470127136015: 	shape continued	298	circle
1470127136023: 	shape continued	299	circle
1470127136040: 	shape continued	300	circle
1470127136047: 	shape continued	301	circle
1470127136056: 	shape continued	302	circle
1470127136064: 	shape continued	303	circle
1470127136073: 	shape continued	304	circle
1470127136080: 	shape continued	305	circle
1470127136089: 	shape continued	306	circle
1470127136097: 	shape continued	307	circle
1470127136105: 	shape continued	308	circle
1470127136114: 	shape continued	309	circle
1470127136124: 	shape continued	310	circle
1470127136131: 	shape continued	311	circle
1470127136147: 	shape continued	312	circle
1470127136155: 	shape continued	313	circle
1470127136172: 	shape continued	314	circle
1470127136180: 	shape continued	315	circle
1470127136198: 	shape continued	316	circle
1470127136214: 	shape continued	317	circle
1470127136231: 	shape continued	318	circle
1470127136256: 	shape continued	319	circle
1470127136281: 	shape continued	320	circle
1470127136306: 	shape continued	321	circle
1470127136314: 	shape continued	321	circle
1470127136364: 	shape continued	322	circle
1470127136198: 	acted on	innerText
1470127136266: 	sub-instrument	stop	shapes	false
1470127136271: 	deactivate	shapes
1470127263541: 	acted on	shapes
