1470135252732: 	acted on	sample
1470135255255: 	acted on	innerText
1470135255352: 	sub-instrument	start	draw	true
1470135255365: 	activate	draw
1470135258960: 	draw	image-65	{"x":32,"y":11}
1470135259273: 	draw	image-65	{"x":25,"y":0}
1470135259281: 	draw	image-65	{"x":24,"y":0}
1470135259289: 	draw	image-65	{"x":24,"y":0}
1470135259297: 	draw	image-65	{"x":24,"y":0}
1470135259315: 	draw	image-65	{"x":24,"y":0}
1470135259331: 	draw	image-65	{"x":24,"y":0}
1470135259348: 	draw	image-65	{"x":24,"y":0}
1470135259364: 	draw	image-65	{"x":25,"y":0}
1470135259373: 	draw	image-65	{"x":25,"y":0}
1470135259381: 	draw	image-65	{"x":26,"y":0}
1470135259389: 	draw	image-65	{"x":26,"y":0}
1470135259413: 	draw	image-65	{"x":27,"y":0}
1470135259421: 	draw	image-65	{"x":27,"y":0}
1470135259449: 	draw	image-65	{"x":28,"y":0}
1470135259454: 	draw	image-65	{"x":28,"y":0}
1470135259464: 	draw	image-65	{"x":29,"y":0}
1470135259492: 	draw	image-65	{"x":30,"y":0}
1470135259545: 	draw	image-65	{"x":31,"y":0}
1470135259557: 	draw	image-65	{"x":31,"y":0}
1470135259615: 	draw	image-65	{"x":32,"y":0}
1470135259640: 	draw	image-65	{"x":32,"y":0}
1470135259648: 	draw	image-65	{"x":33,"y":0}
1470135259674: 	draw	image-65	{"x":34,"y":0}
1470135259691: 	draw	image-65	{"x":35,"y":0}
1470135259707: 	draw	image-65	{"x":36,"y":0}
1470135259724: 	draw	image-65	{"x":38,"y":0}
1470135259733: 	draw	image-65	{"x":38,"y":0}
1470135259739: 	draw	image-65	{"x":41,"y":0}
1470135259757: 	draw	image-65	{"x":42,"y":0}
1470135259765: 	draw	image-65	{"x":43,"y":0}
1470135259772: 	draw	image-65	{"x":44,"y":0}
1470135259780: 	draw	image-65	{"x":45,"y":0}
1470135259790: 	draw	image-65	{"x":48,"y":0}
1470135259798: 	draw	image-65	{"x":49,"y":0}
1470135259806: 	draw	image-65	{"x":50,"y":0}
1470135259814: 	draw	image-65	{"x":51,"y":0}
1470135259822: 	draw	image-65	{"x":52,"y":0}
1470135259829: 	draw	image-65	{"x":54,"y":0}
1470135259838: 	draw	image-65	{"x":55,"y":0}
1470135259855: 	draw	image-65	{"x":57,"y":0}
1470135259864: 	draw	image-65	{"x":58,"y":0}
1470135259872: 	draw	image-65	{"x":59,"y":0}
1470135259880: 	draw	image-65	{"x":60,"y":0}
1470135259888: 	draw	image-65	{"x":62,"y":0}
1470135259896: 	draw	image-65	{"x":63,"y":0}
1470135259904: 	draw	image-65	{"x":64,"y":0}
1470135259913: 	draw	image-65	{"x":65,"y":0}
1470135259921: 	draw	image-65	{"x":66,"y":0}
1470135259929: 	draw	image-65	{"x":67,"y":0}
1470135259938: 	draw	image-65	{"x":68,"y":0}
1470135259947: 	draw	image-65	{"x":69,"y":0}
1470135259955: 	draw	image-65	{"x":70,"y":0}
1470135259963: 	draw	image-65	{"x":71,"y":0}
1470135259980: 	draw	image-65	{"x":72,"y":0}
1470135259998: 	draw	image-65	{"x":73,"y":0}
1470135260022: 	draw	image-65	{"x":74,"y":0}
1470135260072: 	draw	image-65	{"x":75,"y":0}
1470135260189: 	draw	image-65	{"x":76,"y":0}
1470135260214: 	draw	image-65	{"x":76,"y":0}
1470135260239: 	draw	image-65	{"x":77,"y":0}
1470135260655: 	draw	image-65	{"x":77,"y":0}
1470135260692: 	draw	image-65	{"x":78,"y":0}
1470135260723: 	draw	image-65	{"x":79,"y":0}
1470135260741: 	draw	image-65	{"x":79,"y":0}
1470135260749: 	draw	image-65	{"x":80,"y":0}
1470135260756: 	draw	image-65	{"x":81,"y":0}
1470135260765: 	draw	image-65	{"x":82,"y":0}
1470135260773: 	draw	image-65	{"x":82,"y":0}
1470135260797: 	draw	image-65	{"x":83,"y":0}
1470135260813: 	draw	image-65	{"x":83,"y":0}
1470135260874: 	draw	image-65	{"x":84,"y":0}
1470135260927: 	draw	image-65	{"x":84,"y":0}
1470135262910: 	draw	content	{"x":488,"y":236}
1470135263115: 	draw	content	{"x":502,"y":225}
1470135263122: 	draw	content	{"x":505,"y":223}
1470135263129: 	draw	content	{"x":507,"y":221}
1470135263138: 	draw	content	{"x":509,"y":220}
1470135263146: 	draw	content	{"x":512,"y":218}
1470135263154: 	draw	content	{"x":514,"y":217}
1470135263164: 	draw	content	{"x":516,"y":216}
1470135263172: 	draw	content	{"x":518,"y":214}
1470135263179: 	draw	content	{"x":519,"y":214}
1470135263188: 	draw	content	{"x":520,"y":213}
1470135263196: 	draw	content	{"x":521,"y":213}
1470135263205: 	draw	content	{"x":522,"y":212}
1470135263238: 	draw	content	{"x":523,"y":212}
