1470135183247: 	acted on	innerText
1470135183349: 	sub-instrument	start	mover	true
1470135183364: 	activate	mover
1470135185173: 	start moving	image-51	from	{"x":102,"y":91}
1470135185233: 	moved	image-51	to	{"x":208,"y":481}
1470135185241: 	moved	image-51	to	{"x":213,"y":479}
1470135185247: 	moved	image-51	to	{"x":219,"y":477}
1470135185256: 	moved	image-51	to	{"x":224,"y":475}
1470135185265: 	moved	image-51	to	{"x":230,"y":473}
1470135185272: 	moved	image-51	to	{"x":235,"y":471}
1470135185282: 	moved	image-51	to	{"x":238,"y":470}
1470135185290: 	moved	image-51	to	{"x":243,"y":469}
1470135185298: 	moved	image-51	to	{"x":247,"y":467}
1470135185307: 	moved	image-51	to	{"x":253,"y":464}
1470135185314: 	moved	image-51	to	{"x":259,"y":461}
1470135185323: 	moved	image-51	to	{"x":264,"y":458}
1470135185331: 	moved	image-51	to	{"x":270,"y":454}
1470135185339: 	moved	image-51	to	{"x":276,"y":450}
1470135185347: 	moved	image-51	to	{"x":282,"y":446}
1470135185356: 	moved	image-51	to	{"x":288,"y":443}
1470135185364: 	moved	image-51	to	{"x":294,"y":439}
1470135185373: 	moved	image-51	to	{"x":300,"y":437}
1470135185381: 	moved	image-51	to	{"x":306,"y":435}
1470135185389: 	moved	image-51	to	{"x":312,"y":432}
1470135185397: 	moved	image-51	to	{"x":317,"y":430}
1470135185406: 	moved	image-51	to	{"x":323,"y":427}
1470135185415: 	moved	image-51	to	{"x":326,"y":426}
1470135185422: 	moved	image-51	to	{"x":332,"y":423}
1470135185431: 	moved	image-51	to	{"x":337,"y":421}
1470135185439: 	moved	image-51	to	{"x":341,"y":419}
1470135185447: 	moved	image-51	to	{"x":346,"y":418}
1470135185456: 	moved	image-51	to	{"x":351,"y":417}
1470135185464: 	moved	image-51	to	{"x":356,"y":416}
1470135185473: 	moved	image-51	to	{"x":362,"y":414}
1470135185481: 	moved	image-51	to	{"x":368,"y":413}
1470135185489: 	moved	image-51	to	{"x":371,"y":413}
1470135185497: 	moved	image-51	to	{"x":378,"y":413}
1470135185506: 	moved	image-51	to	{"x":382,"y":413}
1470135185515: 	moved	image-51	to	{"x":387,"y":413}
1470135185522: 	moved	image-51	to	{"x":392,"y":412}
1470135185532: 	moved	image-51	to	{"x":396,"y":413}
1470135185540: 	moved	image-51	to	{"x":400,"y":413}
1470135185548: 	moved	image-51	to	{"x":404,"y":413}
1470135185556: 	moved	image-51	to	{"x":408,"y":413}
1470135185565: 	moved	image-51	to	{"x":412,"y":414}
1470135185573: 	moved	image-51	to	{"x":416,"y":414}
1470135185582: 	moved	image-51	to	{"x":419,"y":415}
1470135185589: 	moved	image-51	to	{"x":423,"y":415}
1470135185597: 	moved	image-51	to	{"x":427,"y":416}
1470135185606: 	moved	image-51	to	{"x":429,"y":416}
1470135185614: 	moved	image-51	to	{"x":432,"y":417}
1470135185623: 	moved	image-51	to	{"x":435,"y":417}
1470135185631: 	moved	image-51	to	{"x":439,"y":418}
1470135185641: 	moved	image-51	to	{"x":442,"y":419}
1470135185647: 	moved	image-51	to	{"x":444,"y":421}
1470135185656: 	moved	image-51	to	{"x":447,"y":422}
1470135185664: 	moved	image-51	to	{"x":449,"y":424}
1470135185673: 	moved	image-51	to	{"x":452,"y":425}
1470135185681: 	moved	image-51	to	{"x":455,"y":427}
1470135185689: 	moved	image-51	to	{"x":458,"y":428}
1470135185698: 	moved	image-51	to	{"x":460,"y":429}
1470135185706: 	moved	image-51	to	{"x":462,"y":430}
1470135185714: 	moved	image-51	to	{"x":465,"y":431}
1470135185722: 	moved	image-51	to	{"x":468,"y":433}
1470135185731: 	moved	image-51	to	{"x":471,"y":434}
1470135185739: 	moved	image-51	to	{"x":474,"y":435}
1470135185747: 	moved	image-51	to	{"x":478,"y":436}
1470135185756: 	moved	image-51	to	{"x":480,"y":437}
1470135185765: 	moved	image-51	to	{"x":483,"y":439}
1470135185772: 	moved	image-51	to	{"x":485,"y":440}
1470135185781: 	moved	image-51	to	{"x":487,"y":441}
1470135185789: 	moved	image-51	to	{"x":489,"y":442}
1470135185797: 	moved	image-51	to	{"x":489,"y":443}
1470135185806: 	moved	image-51	to	{"x":491,"y":444}
1470135185822: 	moved	image-51	to	{"x":492,"y":444}
1470135185831: 	moved	image-51	to	{"x":492,"y":445}
1470135185839: 	moved	image-51	to	{"x":494,"y":446}
1470135185847: 	moved	image-51	to	{"x":495,"y":448}
1470135185856: 	moved	image-51	to	{"x":495,"y":450}
1470135185864: 	moved	image-51	to	{"x":496,"y":452}
1470135185873: 	moved	image-51	to	{"x":495,"y":453}
1470135186542: 	start moving	image-21	from	{"x":121,"y":131}
1470135186607: 	moved	image-21	to	{"x":179,"y":148}
1470135186614: 	moved	image-21	to	{"x":182,"y":148}
1470135186623: 	moved	image-21	to	{"x":186,"y":148}
1470135186631: 	moved	image-21	to	{"x":189,"y":149}
1470135186639: 	moved	image-21	to	{"x":194,"y":149}
1470135186647: 	moved	image-21	to	{"x":198,"y":149}
1470135186656: 	moved	image-21	to	{"x":201,"y":149}
1470135186664: 	moved	image-21	to	{"x":204,"y":150}
1470135186673: 	moved	image-21	to	{"x":207,"y":150}
1470135186681: 	moved	image-21	to	{"x":212,"y":151}
1470135186689: 	moved	image-21	to	{"x":216,"y":151}
1470135186697: 	moved	image-21	to	{"x":220,"y":152}
1470135186706: 	moved	image-21	to	{"x":223,"y":152}
1470135186714: 	moved	image-21	to	{"x":227,"y":152}
1470135186722: 	moved	image-21	to	{"x":229,"y":153}
1470135186731: 	moved	image-21	to	{"x":234,"y":153}
1470135186739: 	moved	image-21	to	{"x":237,"y":153}
1470135186748: 	moved	image-21	to	{"x":242,"y":154}
1470135186758: 	moved	image-21	to	{"x":244,"y":155}
1470135186766: 	moved	image-21	to	{"x":248,"y":156}
1470135186773: 	moved	image-21	to	{"x":253,"y":157}
1470135186781: 	moved	image-21	to	{"x":256,"y":157}
1470135186790: 	moved	image-21	to	{"x":260,"y":158}
1470135186797: 	moved	image-21	to	{"x":264,"y":158}
1470135186806: 	moved	image-21	to	{"x":268,"y":158}
1470135186814: 	moved	image-21	to	{"x":271,"y":159}
1470135186822: 	moved	image-21	to	{"x":275,"y":159}
1470135186832: 	moved	image-21	to	{"x":279,"y":160}
1470135186839: 	moved	image-21	to	{"x":283,"y":161}
1470135186848: 	moved	image-21	to	{"x":287,"y":162}
1470135186856: 	moved	image-21	to	{"x":291,"y":163}
1470135186864: 	moved	image-21	to	{"x":295,"y":164}
1470135186872: 	moved	image-21	to	{"x":299,"y":165}
1470135186882: 	moved	image-21	to	{"x":303,"y":166}
1470135186890: 	moved	image-21	to	{"x":308,"y":167}
1470135186898: 	moved	image-21	to	{"x":312,"y":168}
1470135186906: 	moved	image-21	to	{"x":315,"y":169}
1470135186914: 	moved	image-21	to	{"x":319,"y":169}
1470135186922: 	moved	image-21	to	{"x":324,"y":170}
1470135186934: 	moved	image-21	to	{"x":329,"y":171}
1470135186946: 	moved	image-21	to	{"x":333,"y":171}
1470135186950: 	moved	image-21	to	{"x":338,"y":172}
1470135186956: 	moved	image-21	to	{"x":342,"y":172}
1470135186965: 	moved	image-21	to	{"x":346,"y":173}
1470135186973: 	moved	image-21	to	{"x":350,"y":174}
1470135186981: 	moved	image-21	to	{"x":355,"y":175}
1470135186989: 	moved	image-21	to	{"x":360,"y":176}
1470135186998: 	moved	image-21	to	{"x":363,"y":177}
1470135187007: 	moved	image-21	to	{"x":368,"y":178}
1470135187015: 	moved	image-21	to	{"x":371,"y":179}
1470135187023: 	moved	image-21	to	{"x":375,"y":180}
1470135187031: 	moved	image-21	to	{"x":379,"y":180}
1470135187040: 	moved	image-21	to	{"x":382,"y":181}
1470135187048: 	moved	image-21	to	{"x":386,"y":182}
1470135187056: 	moved	image-21	to	{"x":388,"y":183}
1470135187064: 	moved	image-21	to	{"x":392,"y":184}
1470135187072: 	moved	image-21	to	{"x":395,"y":185}
1470135187081: 	moved	image-21	to	{"x":397,"y":186}
1470135187090: 	moved	image-21	to	{"x":400,"y":186}
1470135187097: 	moved	image-21	to	{"x":402,"y":187}
1470135187106: 	moved	image-21	to	{"x":404,"y":188}
1470135187114: 	moved	image-21	to	{"x":406,"y":188}
1470135187122: 	moved	image-21	to	{"x":408,"y":189}
1470135187132: 	moved	image-21	to	{"x":409,"y":189}
1470135187140: 	moved	image-21	to	{"x":410,"y":189}
1470135187148: 	moved	image-21	to	{"x":411,"y":190}
1470135187157: 	moved	image-21	to	{"x":412,"y":190}
1470135187183: 	moved	image-21	to	{"x":413,"y":191}
1470135187207: 	moved	image-21	to	{"x":414,"y":191}
1470135187224: 	moved	image-21	to	{"x":414,"y":192}
1470135187282: 	moved	image-21	to	{"x":413,"y":193}
1470135187448: 	moved	image-21	to	{"x":413,"y":194}
1470135188042: 	start moving	image-56	from	{"x":110,"y":105}
1470135188123: 	moved	image-56	to	{"x":647,"y":150}
1470135188131: 	moved	image-56	to	{"x":650,"y":153}
1470135188139: 	moved	image-56	to	{"x":653,"y":155}
1470135188147: 	moved	image-56	to	{"x":656,"y":158}
1470135188156: 	moved	image-56	to	{"x":659,"y":160}
1470135188164: 	moved	image-56	to	{"x":662,"y":163}
1470135188172: 	moved	image-56	to	{"x":665,"y":166}
1470135188182: 	moved	image-56	to	{"x":667,"y":168}
1470135188189: 	moved	image-56	to	{"x":670,"y":171}
1470135188197: 	moved	image-56	to	{"x":674,"y":174}
1470135188206: 	moved	image-56	to	{"x":677,"y":176}
1470135188215: 	moved	image-56	to	{"x":680,"y":179}
1470135188222: 	moved	image-56	to	{"x":684,"y":181}
1470135188231: 	moved	image-56	to	{"x":688,"y":183}
1470135188239: 	moved	image-56	to	{"x":692,"y":186}
1470135188247: 	moved	image-56	to	{"x":696,"y":189}
1470135188257: 	moved	image-56	to	{"x":700,"y":192}
1470135188264: 	moved	image-56	to	{"x":704,"y":196}
1470135188272: 	moved	image-56	to	{"x":707,"y":197}
1470135188281: 	moved	image-56	to	{"x":711,"y":200}
1470135188289: 	moved	image-56	to	{"x":714,"y":203}
1470135188297: 	moved	image-56	to	{"x":718,"y":205}
1470135188306: 	moved	image-56	to	{"x":722,"y":209}
1470135188314: 	moved	image-56	to	{"x":726,"y":211}
1470135188322: 	moved	image-56	to	{"x":729,"y":213}
1470135188331: 	moved	image-56	to	{"x":733,"y":216}
1470135188339: 	moved	image-56	to	{"x":737,"y":218}
1470135188347: 	moved	image-56	to	{"x":741,"y":220}
1470135188357: 	moved	image-56	to	{"x":745,"y":221}
1470135188364: 	moved	image-56	to	{"x":749,"y":222}
1470135188372: 	moved	image-56	to	{"x":753,"y":224}
1470135188381: 	moved	image-56	to	{"x":757,"y":225}
1470135188389: 	moved	image-56	to	{"x":760,"y":226}
1470135188397: 	moved	image-56	to	{"x":763,"y":226}
1470135188410: 	moved	image-56	to	{"x":766,"y":227}
1470135188423: 	moved	image-56	to	{"x":773,"y":228}
1470135188431: 	moved	image-56	to	{"x":776,"y":229}
1470135188440: 	moved	image-56	to	{"x":779,"y":229}
1470135188447: 	moved	image-56	to	{"x":782,"y":229}
1470135188456: 	moved	image-56	to	{"x":785,"y":229}
1470135188464: 	moved	image-56	to	{"x":788,"y":229}
1470135188473: 	moved	image-56	to	{"x":790,"y":229}
1470135188481: 	moved	image-56	to	{"x":792,"y":229}
1470135188489: 	moved	image-56	to	{"x":794,"y":229}
1470135188497: 	moved	image-56	to	{"x":795,"y":229}
1470135188507: 	moved	image-56	to	{"x":796,"y":228}
1470135188514: 	moved	image-56	to	{"x":798,"y":228}
1470135188522: 	moved	image-56	to	{"x":800,"y":227}
1470135188531: 	moved	image-56	to	{"x":801,"y":227}
1470135188539: 	moved	image-56	to	{"x":803,"y":226}
1470135188547: 	moved	image-56	to	{"x":807,"y":224}
1470135188556: 	moved	image-56	to	{"x":810,"y":222}
1470135188564: 	moved	image-56	to	{"x":813,"y":221}
1470135188572: 	moved	image-56	to	{"x":816,"y":218}
1470135188581: 	moved	image-56	to	{"x":819,"y":214}
1470135188590: 	moved	image-56	to	{"x":821,"y":212}
1470135188597: 	moved	image-56	to	{"x":824,"y":209}
1470135188606: 	moved	image-56	to	{"x":825,"y":208}
1470135188614: 	moved	image-56	to	{"x":827,"y":206}
1470135188622: 	moved	image-56	to	{"x":829,"y":205}
1470135188631: 	moved	image-56	to	{"x":831,"y":202}
