1470135211143: 	acted on	innerText
1470135211244: 	sub-instrument	start	shapes	true
1470135211263: 	activate	shapes
1470135211995: 	acted on	circle
1470135212093: 	sub-instrument	circle	shapes	true
1470135217218: 	acted on	sample
1470135217998: 	acted on	sample
1470135219465: 	shape started	{"x":178.50100708007812,"y":263.82000732421875}
1470135219469: 	shape continued	10	circle
1470135226293: 	shape started	{"x":408,"y":459}
1470135226295: 	shape continued	10	circle
1470135226489: 	shape continued	10	circle
1470135226496: 	shape continued	11	circle
1470135226506: 	shape continued	12	circle
1470135226513: 	shape continued	13	circle
1470135226521: 	shape continued	14	circle
1470135226539: 	shape continued	16	circle
1470135226546: 	shape continued	16	circle
1470135226555: 	shape continued	17	circle
1470135226563: 	shape continued	18	circle
1470135226571: 	shape continued	19	circle
1470135226580: 	shape continued	21	circle
1470135226588: 	shape continued	21	circle
1470135226597: 	shape continued	22	circle
1470135226605: 	shape continued	23	circle
1470135226613: 	shape continued	24	circle
1470135226621: 	shape continued	25	circle
1470135226630: 	shape continued	26	circle
1470135226638: 	shape continued	27	circle
1470135226646: 	shape continued	28	circle
1470135226655: 	shape continued	29	circle
1470135226664: 	shape continued	30	circle
1470135226671: 	shape continued	31	circle
1470135226682: 	shape continued	32	circle
1470135226688: 	shape continued	33	circle
1470135226696: 	shape continued	35	circle
1470135226706: 	shape continued	36	circle
1470135226714: 	shape continued	37	circle
1470135226721: 	shape continued	38	circle
1470135226730: 	shape continued	39	circle
1470135226739: 	shape continued	40	circle
1470135226747: 	shape continued	40	circle
1470135226756: 	shape continued	41	circle
1470135226772: 	shape continued	42	circle
1470135226781: 	shape continued	42	circle
1470135226789: 	shape continued	43	circle
1470135226806: 	shape continued	44	circle
1470135226813: 	shape continued	44	circle
1470135226822: 	shape continued	45	circle
1470135226839: 	shape continued	46	circle
1470135226846: 	shape continued	47	circle
1470135226855: 	shape continued	48	circle
1470135226863: 	shape continued	49	circle
1470135226871: 	shape continued	50	circle
1470135226880: 	shape continued	51	circle
1470135226889: 	shape continued	52	circle
1470135226896: 	shape continued	53	circle
1470135226906: 	shape continued	54	circle
1470135226914: 	shape continued	54	circle
1470135226922: 	shape continued	56	circle
1470135226931: 	shape continued	57	circle
1470135226938: 	shape continued	58	circle
1470135226947: 	shape continued	58	circle
1470135226956: 	shape continued	59	circle
1470135226964: 	shape continued	60	circle
1470135226971: 	shape continued	61	circle
1470135226989: 	shape continued	62	circle
1470135226996: 	shape continued	63	circle
1470135227015: 	shape continued	63	circle
1470135227021: 	shape continued	64	circle
1470135227030: 	shape continued	64	circle
1470135227038: 	shape continued	65	circle
1470135227056: 	shape continued	66	circle
1470135227071: 	shape continued	67	circle
1470135227097: 	shape continued	68	circle
1470135227114: 	shape continued	69	circle
1470135227131: 	shape continued	70	circle
1470135227139: 	shape continued	70	circle
1470135227156: 	shape continued	71	circle
1470135227164: 	shape continued	71	circle
1470135227171: 	shape continued	72	circle
1470135227180: 	shape continued	72	circle
1470135227189: 	shape continued	73	circle
1470135227206: 	shape continued	74	circle
1470135227223: 	shape continued	75	circle
1470135227230: 	shape continued	76	circle
1470135227247: 	shape continued	76	circle
1470135227264: 	shape continued	77	circle
1470135227281: 	shape continued	77	circle
1470135227289: 	shape continued	78	circle
1470135227307: 	shape continued	78	circle
1470135227313: 	shape continued	79	circle
1470135227331: 	shape continued	79	circle
1470135227347: 	shape continued	80	circle
1470135227355: 	shape continued	80	circle
1470135227403: 	shape continued	80	circle
1470135227426: 	shape continued	81	circle
1470135227442: 	shape continued	82	circle
1470135227458: 	shape continued	82	circle
1470135227477: 	shape continued	83	circle
1470135227513: 	shape continued	84	circle
1470135227553: 	shape continued	85	circle
1470135227570: 	shape continued	85	circle
1470135227584: 	shape continued	86	circle
1470135227600: 	shape continued	87	circle
1470135227615: 	shape continued	88	circle
1470135227649: 	shape continued	89	circle
1470135227658: 	shape continued	90	circle
1470135227674: 	shape continued	90	circle
1470135227685: 	shape continued	91	circle
1470135227698: 	shape continued	92	circle
1470135227707: 	shape continued	92	circle
1470135227715: 	shape continued	93	circle
1470135227739: 	shape continued	94	circle
1470135227746: 	shape continued	95	circle
1470135227772: 	shape continued	96	circle
1470135227797: 	shape continued	96	circle
1470135227807: 	shape continued	97	circle
1470135227841: 	shape continued	98	circle
1470135227858: 	shape continued	99	circle
1470135227866: 	shape continued	100	circle
1470135227890: 	shape continued	101	circle
1470135227923: 	shape continued	102	circle
1470135227942: 	shape continued	102	circle
1470135227966: 	shape continued	103	circle
1470135228033: 	shape continued	104	circle
1470135228083: 	shape continued	105	circle
1470135228107: 	shape continued	105	circle
1470135228148: 	shape continued	106	circle
1470135230332: 	acted on	innerText
1470135230397: 	sub-instrument	stop	shapes	false
1470135230411: 	deactivate	shapes
1470135761334: 	acted on	shapes
