1470141193239: 	acted on	draw
1470141194263: 	acted on	draw
1470141195305: 	acted on	innerText
1470141195396: 	sub-instrument	start	draw	true
1470141195397: 	activate	draw
1470141199333: 	draw	content	{"x":27,"y":480}
1470141199522: 	draw	content	{"x":32,"y":465}
1470141199535: 	draw	content	{"x":34,"y":462}
1470141199545: 	draw	content	{"x":34,"y":461}
1470141199554: 	draw	content	{"x":36,"y":459}
1470141199561: 	draw	content	{"x":37,"y":458}
1470141199570: 	draw	content	{"x":38,"y":456}
1470141199578: 	draw	content	{"x":39,"y":454}
1470141199586: 	draw	content	{"x":41,"y":453}
1470141199596: 	draw	content	{"x":41,"y":452}
1470141199603: 	draw	content	{"x":42,"y":450}
1470141199610: 	draw	content	{"x":44,"y":449}
1470141199621: 	draw	content	{"x":45,"y":448}
1470141199627: 	draw	content	{"x":46,"y":447}
1470141199635: 	draw	content	{"x":47,"y":446}
1470141199645: 	draw	content	{"x":49,"y":445}
1470141199653: 	draw	content	{"x":51,"y":444}
1470141199661: 	draw	content	{"x":53,"y":442}
1470141199670: 	draw	content	{"x":54,"y":442}
1470141199678: 	draw	content	{"x":55,"y":441}
1470141199685: 	draw	content	{"x":57,"y":440}
1470141199696: 	draw	content	{"x":58,"y":439}
1470141199703: 	draw	content	{"x":60,"y":437}
1470141199710: 	draw	content	{"x":61,"y":436}
1470141199721: 	draw	content	{"x":63,"y":435}
1470141199728: 	draw	content	{"x":64,"y":434}
1470141199735: 	draw	content	{"x":65,"y":434}
1470141199745: 	draw	content	{"x":66,"y":433}
1470141199753: 	draw	content	{"x":67,"y":432}
1470141199760: 	draw	content	{"x":69,"y":432}
1470141199770: 	draw	content	{"x":70,"y":431}
1470141199778: 	draw	content	{"x":71,"y":430}
1470141199785: 	draw	content	{"x":72,"y":430}
1470141199795: 	draw	content	{"x":73,"y":430}
1470141199804: 	draw	content	{"x":74,"y":429}
1470141199810: 	draw	content	{"x":76,"y":428}
1470141199820: 	draw	content	{"x":77,"y":428}
1470141199828: 	draw	content	{"x":77,"y":427}
1470141199838: 	draw	content	{"x":78,"y":427}
1470141199846: 	draw	content	{"x":79,"y":427}
1470141199853: 	draw	content	{"x":80,"y":426}
1470141199870: 	draw	content	{"x":81,"y":426}
1470141199878: 	draw	content	{"x":82,"y":425}
1470141199886: 	draw	content	{"x":83,"y":425}
1470141199894: 	draw	content	{"x":85,"y":424}
1470141199903: 	draw	content	{"x":86,"y":424}
1470141199912: 	draw	content	{"x":87,"y":424}
1470141199919: 	draw	content	{"x":88,"y":423}
1470141199928: 	draw	content	{"x":90,"y":423}
1470141199937: 	draw	content	{"x":91,"y":422}
1470141199945: 	draw	content	{"x":92,"y":422}
1470141199953: 	draw	content	{"x":93,"y":421}
1470141199961: 	draw	content	{"x":94,"y":421}
1470141199969: 	draw	content	{"x":96,"y":420}
1470141199977: 	draw	content	{"x":97,"y":420}
1470141199987: 	draw	content	{"x":99,"y":419}
1470141199994: 	draw	content	{"x":100,"y":419}
1470141200003: 	draw	content	{"x":101,"y":418}
1470141200011: 	draw	content	{"x":103,"y":418}
1470141200019: 	draw	content	{"x":104,"y":417}
1470141200027: 	draw	content	{"x":106,"y":417}
1470141200037: 	draw	content	{"x":107,"y":416}
1470141200054: 	draw	content	{"x":109,"y":416}
1470141200062: 	draw	content	{"x":112,"y":415}
1470141200072: 	draw	content	{"x":113,"y":415}
1470141200078: 	draw	content	{"x":115,"y":414}
1470141200087: 	draw	content	{"x":116,"y":414}
1470141200094: 	draw	content	{"x":119,"y":414}
1470141200102: 	draw	content	{"x":120,"y":413}
1470141200112: 	draw	content	{"x":122,"y":413}
1470141200119: 	draw	content	{"x":124,"y":412}
1470141200128: 	draw	content	{"x":125,"y":412}
1470141200136: 	draw	content	{"x":127,"y":412}
1470141200144: 	draw	content	{"x":129,"y":411}
1470141200152: 	draw	content	{"x":131,"y":411}
1470141200161: 	draw	content	{"x":133,"y":411}
1470141200170: 	draw	content	{"x":135,"y":411}
1470141200178: 	draw	content	{"x":137,"y":411}
1470141200187: 	draw	content	{"x":139,"y":411}
1470141200194: 	draw	content	{"x":141,"y":411}
1470141200203: 	draw	content	{"x":143,"y":411}
1470141200211: 	draw	content	{"x":145,"y":410}
1470141200228: 	draw	content	{"x":151,"y":409}
1470141200236: 	draw	content	{"x":153,"y":409}
1470141200246: 	draw	content	{"x":156,"y":409}
1470141200252: 	draw	content	{"x":158,"y":409}
1470141200261: 	draw	content	{"x":160,"y":409}
1470141200269: 	draw	content	{"x":162,"y":409}
1470141200278: 	draw	content	{"x":164,"y":409}
1470141200288: 	draw	content	{"x":166,"y":409}
1470141200295: 	draw	content	{"x":168,"y":409}
1470141200303: 	draw	content	{"x":171,"y":410}
1470141200311: 	draw	content	{"x":173,"y":410}
1470141200320: 	draw	content	{"x":175,"y":410}
1470141200328: 	draw	content	{"x":178,"y":410}
1470141200336: 	draw	content	{"x":179,"y":410}
1470141200344: 	draw	content	{"x":181,"y":411}
1470141200352: 	draw	content	{"x":183,"y":411}
1470141200361: 	draw	content	{"x":185,"y":411}
1470141200371: 	draw	content	{"x":187,"y":412}
1470141200378: 	draw	content	{"x":189,"y":412}
1470141200386: 	draw	content	{"x":191,"y":413}
1470141200394: 	draw	content	{"x":193,"y":413}
1470141200402: 	draw	content	{"x":195,"y":414}
1470141200412: 	draw	content	{"x":197,"y":415}
1470141200420: 	draw	content	{"x":199,"y":416}
1470141200427: 	draw	content	{"x":200,"y":417}
1470141200437: 	draw	content	{"x":202,"y":418}
1470141200445: 	draw	content	{"x":204,"y":419}
1470141200452: 	draw	content	{"x":205,"y":419}
1470141200461: 	draw	content	{"x":207,"y":421}
1470141200470: 	draw	content	{"x":209,"y":421}
1470141200478: 	draw	content	{"x":210,"y":422}
1470141200487: 	draw	content	{"x":212,"y":423}
1470141200495: 	draw	content	{"x":214,"y":424}
1470141200502: 	draw	content	{"x":215,"y":425}
1470141200521: 	draw	content	{"x":217,"y":426}
1470141200528: 	draw	content	{"x":220,"y":428}
1470141200539: 	draw	content	{"x":221,"y":429}
1470141200552: 	draw	content	{"x":224,"y":431}
1470141200561: 	draw	content	{"x":226,"y":432}
1470141200569: 	draw	content	{"x":227,"y":432}
1470141200577: 	draw	content	{"x":228,"y":433}
1470141200586: 	draw	content	{"x":230,"y":435}
1470141200594: 	draw	content	{"x":231,"y":436}
1470141200602: 	draw	content	{"x":232,"y":437}
1470141200612: 	draw	content	{"x":234,"y":438}
1470141200619: 	draw	content	{"x":235,"y":440}
1470141200627: 	draw	content	{"x":236,"y":440}
1470141200636: 	draw	content	{"x":237,"y":442}
1470141200645: 	draw	content	{"x":238,"y":443}
1470141200653: 	draw	content	{"x":240,"y":444}
1470141200662: 	draw	content	{"x":240,"y":445}
1470141200669: 	draw	content	{"x":241,"y":446}
1470141200677: 	draw	content	{"x":242,"y":447}
1470141200687: 	draw	content	{"x":243,"y":448}
1470141200694: 	draw	content	{"x":244,"y":449}
1470141200702: 	draw	content	{"x":245,"y":450}
1470141200711: 	draw	content	{"x":246,"y":452}
1470141200719: 	draw	content	{"x":247,"y":452}
1470141200727: 	draw	content	{"x":248,"y":454}
1470141200736: 	draw	content	{"x":249,"y":455}
1470141200745: 	draw	content	{"x":249,"y":456}
1470141200763: 	draw	content	{"x":251,"y":459}
1470141200770: 	draw	content	{"x":251,"y":460}
1470141200777: 	draw	content	{"x":252,"y":461}
1470141200786: 	draw	content	{"x":252,"y":462}
1470141200795: 	draw	content	{"x":252,"y":463}
1470141200812: 	draw	content	{"x":253,"y":465}
1470141200819: 	draw	content	{"x":254,"y":465}
1470141200836: 	draw	content	{"x":254,"y":466}
1470141200846: 	draw	content	{"x":254,"y":468}
1470141200853: 	draw	content	{"x":255,"y":469}
1470141200870: 	draw	content	{"x":255,"y":470}
1470141200887: 	draw	content	{"x":256,"y":471}
1470141200911: 	draw	content	{"x":257,"y":473}
1470141200930: 	draw	content	{"x":257,"y":474}
1470141200944: 	draw	content	{"x":258,"y":475}
1470141200962: 	draw	content	{"x":258,"y":476}
1470141200979: 	draw	content	{"x":258,"y":477}
1470141200995: 	draw	content	{"x":259,"y":478}
1470141201012: 	draw	content	{"x":259,"y":479}
1470141201043: 	draw	content	{"x":260,"y":480}
1470141201063: 	draw	content	{"x":260,"y":482}
1470141201079: 	draw	content	{"x":260,"y":483}
1470141201094: 	draw	content	{"x":261,"y":484}
1470141201112: 	draw	content	{"x":261,"y":485}
1470141201152: 	draw	content	{"x":262,"y":486}
1470141201186: 	draw	content	{"x":262,"y":487}
1470141201212: 	draw	content	{"x":262,"y":488}
1470141201237: 	draw	content	{"x":263,"y":489}
1470141201279: 	draw	content	{"x":263,"y":490}
1470141201337: 	draw	content	{"x":264,"y":490}
1470141201353: 	draw	content	{"x":264,"y":491}
1470141201420: 	draw	content	{"x":264,"y":492}
1470141201462: 	draw	content	{"x":265,"y":492}
1470141207631: 	draw	content	{"x":121,"y":388}
1470141207804: 	draw	content	{"x":114,"y":374}
1470141207811: 	draw	content	{"x":112,"y":372}
1470141207819: 	draw	content	{"x":112,"y":371}
1470141207829: 	draw	content	{"x":110,"y":369}
1470141207837: 	draw	content	{"x":110,"y":368}
1470141207845: 	draw	content	{"x":108,"y":366}
1470141207854: 	draw	content	{"x":106,"y":365}
1470141207862: 	draw	content	{"x":105,"y":363}
1470141207870: 	draw	content	{"x":103,"y":362}
1470141207879: 	draw	content	{"x":101,"y":361}
1470141207887: 	draw	content	{"x":99,"y":360}
1470141207894: 	draw	content	{"x":98,"y":359}
1470141207903: 	draw	content	{"x":95,"y":358}
1470141207911: 	draw	content	{"x":93,"y":357}
