1470140170832: 	acted on	innerText
1470140172165: 	acted on	innerText
1470140172386: 	sub-instrument	start	draw	true
1470140172393: 	activate	draw
1470140190359: 	acted on	sample
1470140190785: 	draw	sample	{"x":171.50799560546875,"y":274.14801025390625}
1470140193761: 	draw	image-59	{"x":99,"y":138}
1470140194506: 	draw	image-59	{"x":91,"y":150}
1470140194514: 	draw	image-59	{"x":90,"y":150}
1470140194523: 	draw	image-59	{"x":89,"y":150}
1470140194531: 	draw	image-59	{"x":88,"y":150}
1470140194539: 	draw	image-59	{"x":87,"y":150}
1470140194557: 	draw	image-59	{"x":86,"y":150}
1470140194575: 	draw	image-59	{"x":83,"y":150}
1470140194589: 	draw	image-59	{"x":82,"y":150}
1470140195308: 	draw	content	{"x":355,"y":314}
1470140195405: 	draw	content	{"x":341,"y":320}
1470140195413: 	draw	content	{"x":339,"y":321}
1470140195423: 	draw	content	{"x":337,"y":322}
1470140195429: 	draw	content	{"x":334,"y":325}
1470140195438: 	draw	content	{"x":332,"y":326}
1470140195447: 	draw	content	{"x":330,"y":328}
1470140195454: 	draw	content	{"x":328,"y":330}
1470140195463: 	draw	content	{"x":325,"y":332}
1470140195472: 	draw	content	{"x":322,"y":335}
1470140195481: 	draw	content	{"x":320,"y":338}
1470140195487: 	draw	content	{"x":318,"y":340}
1470140195498: 	draw	content	{"x":316,"y":342}
1470140195507: 	draw	content	{"x":314,"y":344}
1470140195513: 	draw	content	{"x":312,"y":346}
1470140195522: 	draw	content	{"x":309,"y":349}
1470140195529: 	draw	content	{"x":307,"y":351}
1470140195537: 	draw	content	{"x":305,"y":353}
1470140195547: 	draw	content	{"x":303,"y":355}
1470140195554: 	draw	content	{"x":300,"y":358}
1470140195564: 	draw	content	{"x":299,"y":359}
1470140195571: 	draw	content	{"x":297,"y":362}
1470140195580: 	draw	content	{"x":296,"y":363}
1470140195587: 	draw	content	{"x":295,"y":365}
1470140195597: 	draw	content	{"x":294,"y":366}
1470140195604: 	draw	content	{"x":293,"y":368}
1470140195612: 	draw	content	{"x":292,"y":369}
1470140195621: 	draw	content	{"x":290,"y":371}
1470140195637: 	draw	content	{"x":288,"y":375}
1470140195629: 	draw	content	{"x":290,"y":372}
1470140195648: 	draw	content	{"x":288,"y":376}
1470140195653: 	draw	content	{"x":286,"y":377}
1470140195664: 	draw	content	{"x":285,"y":378}
1470140195671: 	draw	content	{"x":284,"y":380}
1470140195679: 	draw	content	{"x":284,"y":381}
1470140195687: 	draw	content	{"x":283,"y":382}
1470140195696: 	draw	content	{"x":282,"y":383}
1470140195706: 	draw	content	{"x":282,"y":384}
1470140195712: 	draw	content	{"x":281,"y":385}
1470140195721: 	draw	content	{"x":281,"y":386}
1470140195729: 	draw	content	{"x":280,"y":387}
1470140195737: 	draw	content	{"x":280,"y":388}
1470140195747: 	draw	content	{"x":279,"y":389}
1470140195763: 	draw	content	{"x":278,"y":390}
1470140195773: 	draw	content	{"x":278,"y":391}
1470140195778: 	draw	content	{"x":278,"y":392}
1470140195786: 	draw	content	{"x":277,"y":393}
1470140195797: 	draw	content	{"x":277,"y":394}
1470140195804: 	draw	content	{"x":277,"y":395}
1470140195816: 	draw	content	{"x":277,"y":396}
1470140195823: 	draw	content	{"x":276,"y":397}
1470140195829: 	draw	content	{"x":276,"y":398}
1470140195836: 	draw	content	{"x":276,"y":399}
1470140195846: 	draw	content	{"x":276,"y":400}
1470140195853: 	draw	content	{"x":276,"y":401}
1470140195861: 	draw	content	{"x":275,"y":403}
1470140195879: 	draw	content	{"x":275,"y":404}
1470140195889: 	draw	content	{"x":275,"y":406}
1470140195903: 	draw	content	{"x":275,"y":407}
1470140195913: 	draw	content	{"x":275,"y":408}
1470140195930: 	draw	content	{"x":274,"y":410}
1470140195953: 	draw	content	{"x":274,"y":411}
1470140195970: 	draw	content	{"x":274,"y":412}
1470140195987: 	draw	content	{"x":274,"y":413}
1470140196005: 	draw	content	{"x":273,"y":414}
1470140196011: 	draw	content	{"x":273,"y":415}
1470140196029: 	draw	content	{"x":273,"y":416}
1470140196037: 	draw	content	{"x":273,"y":417}
1470140196046: 	draw	content	{"x":272,"y":418}
1470140196063: 	draw	content	{"x":271,"y":419}
1470140196071: 	draw	content	{"x":271,"y":420}
1470140196079: 	draw	content	{"x":270,"y":420}
1470140196088: 	draw	content	{"x":269,"y":422}
1470140196104: 	draw	content	{"x":268,"y":423}
1470140196112: 	draw	content	{"x":267,"y":423}
1470140196122: 	draw	content	{"x":266,"y":424}
1470140196137: 	draw	content	{"x":265,"y":425}
1470140196147: 	draw	content	{"x":264,"y":425}
1470140196153: 	draw	content	{"x":263,"y":426}
1470140196162: 	draw	content	{"x":262,"y":426}
1470140196171: 	draw	content	{"x":262,"y":427}
1470140196178: 	draw	content	{"x":261,"y":427}
1470140196191: 	draw	content	{"x":260,"y":427}
1470140196197: 	draw	content	{"x":259,"y":428}
1470140196211: 	draw	content	{"x":258,"y":428}
1470140196221: 	draw	content	{"x":257,"y":428}
1470140196239: 	draw	content	{"x":256,"y":429}
1470140196246: 	draw	content	{"x":255,"y":429}
1470140196263: 	draw	content	{"x":254,"y":429}
1470140196270: 	draw	content	{"x":254,"y":430}
1470140196279: 	draw	content	{"x":253,"y":430}
1470140196298: 	draw	content	{"x":252,"y":430}
1470140196304: 	draw	content	{"x":251,"y":430}
1470140196312: 	draw	content	{"x":251,"y":431}
1470140196323: 	draw	content	{"x":250,"y":431}
1470140196345: 	draw	content	{"x":248,"y":432}
1470140196358: 	draw	content	{"x":247,"y":432}
1470140196369: 	draw	content	{"x":246,"y":432}
1470140196377: 	draw	content	{"x":245,"y":433}
1470140196385: 	draw	content	{"x":244,"y":433}
1470140196401: 	draw	content	{"x":242,"y":434}
1470140196420: 	draw	content	{"x":240,"y":435}
1470140196432: 	draw	content	{"x":239,"y":436}
1470140196447: 	draw	content	{"x":238,"y":437}
1470140196455: 	draw	content	{"x":237,"y":438}
1470140196472: 	draw	content	{"x":236,"y":438}
1470140196487: 	draw	content	{"x":235,"y":439}
1470140196499: 	draw	content	{"x":234,"y":439}
1470140196505: 	draw	content	{"x":233,"y":440}
1470140196514: 	draw	content	{"x":233,"y":441}
1470140196522: 	draw	content	{"x":232,"y":441}
1470140196537: 	draw	content	{"x":231,"y":442}
1470140196553: 	draw	content	{"x":231,"y":443}
1470140196562: 	draw	content	{"x":230,"y":443}
1470140196579: 	draw	content	{"x":230,"y":444}
1470140196588: 	draw	content	{"x":229,"y":444}
1470140196596: 	draw	content	{"x":228,"y":445}
1470140196611: 	draw	content	{"x":228,"y":446}
1470140196629: 	draw	content	{"x":227,"y":447}
1470140196647: 	draw	content	{"x":227,"y":448}
1470140196662: 	draw	content	{"x":226,"y":449}
1470140196679: 	draw	content	{"x":226,"y":450}
1470140196695: 	draw	content	{"x":225,"y":451}
1470140196729: 	draw	content	{"x":225,"y":452}
1470140196763: 	draw	content	{"x":224,"y":452}
1470140196780: 	draw	content	{"x":224,"y":453}
1470140197325: 	draw	image-10	{"x":129,"y":19}
1470140197514: 	draw	image-10	{"x":137,"y":6}
1470140197522: 	draw	image-10	{"x":138,"y":5}
1470140197529: 	draw	image-10	{"x":139,"y":4}
1470140197538: 	draw	image-10	{"x":140,"y":3}
1470140197556: 	draw	image-10	{"x":142,"y":1}
1470140197563: 	draw	image-10	{"x":143,"y":1}
1470140197570: 	draw	image-10	{"x":144,"y":0}
1470140197579: 	draw	image-10	{"x":145,"y":0}
1470140197587: 	draw	image-10	{"x":146,"y":0}
1470140197597: 	draw	image-10	{"x":147,"y":0}
1470140197604: 	draw	image-10	{"x":149,"y":0}
1470140197612: 	draw	image-10	{"x":150,"y":0}
1470140197629: 	draw	image-10	{"x":150,"y":0}
1470140197638: 	draw	image-10	{"x":150,"y":0}
1470140197646: 	draw	image-10	{"x":150,"y":0}
1470140197653: 	draw	image-10	{"x":150,"y":0}
1470140197663: 	draw	image-10	{"x":150,"y":0}
1470140197671: 	draw	image-10	{"x":150,"y":0}
1470140197680: 	draw	image-10	{"x":150,"y":0}
1470140197688: 	draw	image-10	{"x":150,"y":0}
1470140197696: 	draw	image-10	{"x":150,"y":0}
1470140197704: 	draw	image-10	{"x":150,"y":0}
1470140197713: 	draw	image-10	{"x":150,"y":0}
1470140197720: 	draw	image-10	{"x":150,"y":0}
1470140197729: 	draw	image-10	{"x":150,"y":0}
1470140197739: 	draw	image-10	{"x":150,"y":0}
1470140197745: 	draw	image-10	{"x":150,"y":0}
1470140197753: 	draw	image-10	{"x":150,"y":0}
1470140197764: 	draw	image-10	{"x":150,"y":0}
1470140197780: 	draw	image-10	{"x":150,"y":0}
1470140197788: 	draw	image-10	{"x":150,"y":0}
1470140197795: 	draw	image-10	{"x":150,"y":0}
1470140197804: 	draw	image-10	{"x":150,"y":0}
1470140197812: 	draw	image-10	{"x":150,"y":0}
1470140197821: 	draw	image-10	{"x":150,"y":0}
1470140197828: 	draw	image-10	{"x":150,"y":0}
1470140197840: 	draw	image-10	{"x":150,"y":0}
1470140197845: 	draw	image-10	{"x":150,"y":0}
1470140197854: 	draw	image-10	{"x":150,"y":0}
1470140197863: 	draw	image-10	{"x":150,"y":0}
1470140197871: 	draw	image-10	{"x":150,"y":0}
1470140197879: 	draw	image-10	{"x":150,"y":0}
1470140197887: 	draw	image-10	{"x":150,"y":0}
1470140197897: 	draw	image-10	{"x":150,"y":0}
1470140197905: 	draw	image-10	{"x":150,"y":0}
1470140197912: 	draw	image-10	{"x":150,"y":0}
1470140197920: 	draw	image-10	{"x":150,"y":0}
1470140197929: 	draw	image-10	{"x":150,"y":0}
1470140197937: 	draw	image-10	{"x":150,"y":0}
1470140197948: 	draw	image-10	{"x":150,"y":0}
1470140197963: 	draw	image-10	{"x":150,"y":0}
1470140197971: 	draw	image-10	{"x":150,"y":0}
1470140197979: 	draw	image-10	{"x":150,"y":0}
1470140197988: 	draw	image-10	{"x":150,"y":0}
1470140198004: 	draw	image-10	{"x":150,"y":0}
1470140198014: 	draw	image-10	{"x":150,"y":0}
1470140198023: 	draw	image-10	{"x":150,"y":0}
1470140198038: 	draw	image-10	{"x":150,"y":0}
1470140198047: 	draw	image-10	{"x":150,"y":0}
1470140198073: 	draw	image-10	{"x":150,"y":0}
1470140198087: 	draw	image-10	{"x":150,"y":0}
1470140198096: 	draw	image-10	{"x":150,"y":0}
1470140198109: 	draw	image-10	{"x":150,"y":0}
1470140198123: 	draw	image-10	{"x":150,"y":0}
1470140198129: 	draw	image-10	{"x":150,"y":0}
1470140198138: 	draw	image-10	{"x":150,"y":0}
1470140198147: 	draw	image-10	{"x":150,"y":0}
1470140198155: 	draw	image-10	{"x":150,"y":0}
1470140198169: 	draw	image-10	{"x":150,"y":0}
1470140198179: 	draw	image-10	{"x":150,"y":0}
1470140198188: 	draw	image-10	{"x":150,"y":0}
1470140198207: 	draw	image-10	{"x":150,"y":0}
1470140198215: 	draw	image-10	{"x":150,"y":0}
1470140198232: 	draw	image-10	{"x":150,"y":0}
1470140198238: 	draw	image-10	{"x":150,"y":0}
1470140198257: 	draw	image-10	{"x":150,"y":0}
1470140198287: 	draw	image-10	{"x":150,"y":0}
1470140198320: 	draw	image-10	{"x":150,"y":0}
1470140198330: 	draw	image-10	{"x":150,"y":0}
1470140198666: 	draw	image-10	{"x":146,"y":8}
1470140198972: 	draw	image-10	{"x":150,"y":0}
1470140200070: 	draw	content	{"x":330,"y":386}
1470140200264: 	draw	content	{"x":317,"y":394}
1470140200271: 	draw	content	{"x":316,"y":395}
1470140200279: 	draw	content	{"x":315,"y":396}
1470140200289: 	draw	content	{"x":314,"y":397}
1470140200296: 	draw	content	{"x":314,"y":398}
1470140200304: 	draw	content	{"x":313,"y":399}
1470140200321: 	draw	content	{"x":312,"y":401}
1470140200329: 	draw	content	{"x":311,"y":401}
1470140200338: 	draw	content	{"x":311,"y":402}
1470140200346: 	draw	content	{"x":310,"y":403}
1470140200355: 	draw	content	{"x":310,"y":405}
1470140200365: 	draw	content	{"x":309,"y":406}
1470140200371: 	draw	content	{"x":309,"y":407}
1470140200379: 	draw	content	{"x":308,"y":409}
1470140200396: 	draw	content	{"x":308,"y":410}
1470140200414: 	draw	content	{"x":307,"y":411}
1470140200422: 	draw	content	{"x":307,"y":412}
1470140200429: 	draw	content	{"x":306,"y":413}
1470140200438: 	draw	content	{"x":306,"y":414}
1470140200455: 	draw	content	{"x":305,"y":415}
1470140200464: 	draw	content	{"x":305,"y":416}
1470140200471: 	draw	content	{"x":305,"y":417}
1470140200479: 	draw	content	{"x":304,"y":418}
1470140200489: 	draw	content	{"x":304,"y":419}
1470140200496: 	draw	content	{"x":303,"y":419}
1470140200504: 	draw	content	{"x":303,"y":420}
1470140200514: 	draw	content	{"x":302,"y":421}
1470140200531: 	draw	content	{"x":302,"y":422}
1470140200539: 	draw	content	{"x":301,"y":423}
1470140200555: 	draw	content	{"x":300,"y":424}
1470140200564: 	draw	content	{"x":300,"y":425}
1470140200571: 	draw	content	{"x":299,"y":425}
1470140200579: 	draw	content	{"x":299,"y":426}
1470140200589: 	draw	content	{"x":298,"y":427}
1470140200605: 	draw	content	{"x":298,"y":428}
1470140200613: 	draw	content	{"x":297,"y":428}
1470140200621: 	draw	content	{"x":297,"y":429}
1470140200632: 	draw	content	{"x":296,"y":429}
1470140200639: 	draw	content	{"x":296,"y":430}
1470140200647: 	draw	content	{"x":295,"y":431}
1470140200664: 	draw	content	{"x":294,"y":432}
1470140200680: 	draw	content	{"x":293,"y":433}
1470140200688: 	draw	content	{"x":292,"y":434}
1470140200705: 	draw	content	{"x":292,"y":435}
1470140200713: 	draw	content	{"x":291,"y":436}
1470140200722: 	draw	content	{"x":290,"y":436}
1470140200731: 	draw	content	{"x":290,"y":437}
1470140200747: 	draw	content	{"x":289,"y":438}
1470140200764: 	draw	content	{"x":288,"y":439}
1470140200773: 	draw	content	{"x":287,"y":439}
1470140200781: 	draw	content	{"x":287,"y":440}
1470140200791: 	draw	content	{"x":286,"y":441}
1470140200801: 	draw	content	{"x":285,"y":441}
1470140200810: 	draw	content	{"x":285,"y":442}
1470140200820: 	draw	content	{"x":284,"y":442}
1470140200831: 	draw	content	{"x":283,"y":443}
1470140200842: 	draw	content	{"x":282,"y":443}
1470140200861: 	draw	content	{"x":282,"y":444}
1470140200871: 	draw	content	{"x":280,"y":445}
1470140200879: 	draw	content	{"x":279,"y":446}
1470140200888: 	draw	content	{"x":278,"y":446}
1470140200904: 	draw	content	{"x":277,"y":447}
1470140200914: 	draw	content	{"x":276,"y":448}
1470140200929: 	draw	content	{"x":274,"y":449}
1470140200948: 	draw	content	{"x":273,"y":449}
1470140200957: 	draw	content	{"x":273,"y":450}
1470140200965: 	draw	content	{"x":272,"y":450}
1470140200984: 	draw	content	{"x":272,"y":451}
1470140200990: 	draw	content	{"x":271,"y":451}
1470140200995: 	draw	content	{"x":270,"y":452}
1470140201013: 	draw	content	{"x":269,"y":452}
1470140201029: 	draw	content	{"x":268,"y":453}
1470140201046: 	draw	content	{"x":267,"y":453}
1470140201064: 	draw	content	{"x":266,"y":453}
1470140201071: 	draw	content	{"x":266,"y":454}
1470140201083: 	draw	content	{"x":265,"y":454}
1470140201101: 	draw	content	{"x":264,"y":454}
1470140201107: 	draw	content	{"x":263,"y":455}
1470140201113: 	draw	content	{"x":262,"y":455}
1470140201130: 	draw	content	{"x":260,"y":456}
1470140201140: 	draw	content	{"x":259,"y":456}
1470140201145: 	draw	content	{"x":258,"y":456}
1470140201159: 	draw	content	{"x":257,"y":457}
1470140201164: 	draw	content	{"x":256,"y":457}
1470140201180: 	draw	content	{"x":255,"y":458}
1470140201633: 	draw	content	{"x":325,"y":400}
1470140201830: 	draw	content	{"x":331,"y":386}
1470140201837: 	draw	content	{"x":331,"y":385}
1470140201846: 	draw	content	{"x":332,"y":385}
1470140201855: 	draw	content	{"x":334,"y":384}
1470140201863: 	draw	content	{"x":335,"y":383}
1470140201871: 	draw	content	{"x":335,"y":382}
1470140201880: 	draw	content	{"x":336,"y":382}
1470140201888: 	draw	content	{"x":337,"y":381}
1470140201895: 	draw	content	{"x":338,"y":380}
1470140201906: 	draw	content	{"x":339,"y":380}
1470140201919: 	draw	content	{"x":340,"y":379}
1470140201943: 	draw	content	{"x":341,"y":378}
1470140201959: 	draw	content	{"x":343,"y":376}
