1470139694349: 	acted on	innerText
1470139694437: 	sub-instrument	start	draw	true
1470139694447: 	activate	draw
1470139695781: 	draw	image-5	{"x":34,"y":70}
1470139695878: 	draw	image-5	{"x":39,"y":85}
1470139695886: 	draw	image-5	{"x":40,"y":87}
1470139695893: 	draw	image-5	{"x":42,"y":89}
1470139695903: 	draw	image-5	{"x":43,"y":89}
1470139695911: 	draw	image-5	{"x":44,"y":90}
1470139695918: 	draw	image-5	{"x":45,"y":90}
1470139695927: 	draw	image-5	{"x":46,"y":90}
1470139695935: 	draw	image-5	{"x":48,"y":89}
1470139695943: 	draw	image-5	{"x":50,"y":88}
1470139695952: 	draw	image-5	{"x":52,"y":85}
1470139695960: 	draw	image-5	{"x":53,"y":82}
1470139695969: 	draw	image-5	{"x":54,"y":80}
1470139695977: 	draw	image-5	{"x":54,"y":78}
1470139695984: 	draw	image-5	{"x":54,"y":75}
1470139695993: 	draw	image-5	{"x":53,"y":72}
1470139696003: 	draw	image-5	{"x":53,"y":70}
1470139696010: 	draw	image-5	{"x":52,"y":68}
1470139696018: 	draw	image-5	{"x":51,"y":67}
1470139696026: 	draw	image-5	{"x":50,"y":65}
1470139696035: 	draw	image-5	{"x":49,"y":65}
1470139696043: 	draw	image-5	{"x":48,"y":64}
1470139696053: 	draw	image-5	{"x":47,"y":63}
1470139696060: 	draw	image-5	{"x":45,"y":63}
1470139696068: 	draw	image-5	{"x":43,"y":64}
1470139696077: 	draw	image-5	{"x":42,"y":64}
1470139696086: 	draw	image-5	{"x":39,"y":66}
1470139696093: 	draw	image-5	{"x":38,"y":68}
1470139696102: 	draw	image-5	{"x":36,"y":71}
1470139696110: 	draw	image-5	{"x":35,"y":74}
1470139696118: 	draw	image-5	{"x":35,"y":77}
1470139696127: 	draw	image-5	{"x":35,"y":80}
1470139696135: 	draw	image-5	{"x":35,"y":83}
1470139696143: 	draw	image-5	{"x":36,"y":86}
1470139696153: 	draw	image-5	{"x":37,"y":88}
1470139696161: 	draw	image-5	{"x":38,"y":90}
1470139696168: 	draw	image-5	{"x":39,"y":91}
1470139696176: 	draw	image-5	{"x":40,"y":92}
1470139696185: 	draw	image-5	{"x":41,"y":93}
1470139696193: 	draw	image-5	{"x":42,"y":93}
1470139696202: 	draw	image-5	{"x":43,"y":93}
1470139696210: 	draw	image-5	{"x":44,"y":93}
1470139696218: 	draw	image-5	{"x":46,"y":92}
1470139696228: 	draw	image-5	{"x":48,"y":89}
1470139696238: 	draw	image-5	{"x":50,"y":86}
1470139696253: 	draw	image-5	{"x":52,"y":81}
1470139696259: 	draw	image-5	{"x":52,"y":78}
1470139696268: 	draw	image-5	{"x":52,"y":75}
1470139696277: 	draw	image-5	{"x":52,"y":73}
1470139696285: 	draw	image-5	{"x":51,"y":70}
1470139696293: 	draw	image-5	{"x":50,"y":69}
1470139696306: 	draw	image-5	{"x":49,"y":68}
1470139696319: 	draw	image-5	{"x":45,"y":66}
1470139696327: 	draw	image-5	{"x":43,"y":66}
1470139696341: 	draw	image-5	{"x":40,"y":67}
1470139696355: 	draw	image-5	{"x":35,"y":70}
1470139696369: 	draw	image-5	{"x":31,"y":72}
1470139696377: 	draw	image-5	{"x":31,"y":73}
1470139696390: 	draw	image-5	{"x":30,"y":73}
1470139696395: 	draw	image-5	{"x":30,"y":74}
1470139696422: 	draw	image-5	{"x":30,"y":75}
1470139696444: 	draw	image-5	{"x":34,"y":79}
1470139696451: 	draw	image-5	{"x":37,"y":80}
1470139696462: 	draw	image-5	{"x":41,"y":81}
1470139696468: 	draw	image-5	{"x":46,"y":82}
1470139696477: 	draw	image-5	{"x":50,"y":82}
1470139696621: 	draw	image-5	{"x":79,"y":98}
1470139696719: 	draw	image-5	{"x":73,"y":112}
1470139696727: 	draw	image-5	{"x":73,"y":113}
1470139696734: 	draw	image-5	{"x":74,"y":114}
1470139696744: 	draw	image-5	{"x":75,"y":115}
1470139696761: 	draw	image-5	{"x":76,"y":115}
1470139696769: 	draw	image-5	{"x":77,"y":116}
1470139696786: 	draw	image-5	{"x":78,"y":116}
1470139696793: 	draw	image-5	{"x":79,"y":115}
1470139696801: 	draw	image-5	{"x":80,"y":114}
1470139696810: 	draw	image-5	{"x":82,"y":112}
1470139696818: 	draw	image-5	{"x":82,"y":109}
1470139696827: 	draw	image-5	{"x":82,"y":106}
1470139696834: 	draw	image-5	{"x":81,"y":104}
1470139696842: 	draw	image-5	{"x":79,"y":101}
1470139696852: 	draw	image-5	{"x":78,"y":98}
1470139696860: 	draw	image-5	{"x":76,"y":96}
1470139696867: 	draw	image-5	{"x":74,"y":95}
1470139696877: 	draw	image-5	{"x":72,"y":94}
1470139696885: 	draw	image-5	{"x":70,"y":94}
1470139696892: 	draw	image-5	{"x":67,"y":94}
1470139696902: 	draw	image-5	{"x":65,"y":95}
1470139696910: 	draw	image-5	{"x":62,"y":96}
1470139696918: 	draw	image-5	{"x":61,"y":97}
1470139696926: 	draw	image-5	{"x":59,"y":99}
1470139696934: 	draw	image-5	{"x":58,"y":101}
1470139696942: 	draw	image-5	{"x":58,"y":103}
1470139696952: 	draw	image-5	{"x":57,"y":104}
1470139696959: 	draw	image-5	{"x":57,"y":106}
1470139696967: 	draw	image-5	{"x":58,"y":108}
1470139696976: 	draw	image-5	{"x":59,"y":110}
1470139696984: 	draw	image-5	{"x":60,"y":112}
1470139696992: 	draw	image-5	{"x":62,"y":114}
1470139697001: 	draw	image-5	{"x":63,"y":115}
1470139697009: 	draw	image-5	{"x":65,"y":116}
1470139697017: 	draw	image-5	{"x":68,"y":118}
1470139697027: 	draw	image-5	{"x":69,"y":118}
1470139697035: 	draw	image-5	{"x":71,"y":118}
1470139697043: 	draw	image-5	{"x":73,"y":118}
1470139697052: 	draw	image-5	{"x":76,"y":118}
1470139697060: 	draw	image-5	{"x":77,"y":117}
1470139697068: 	draw	image-5	{"x":79,"y":116}
1470139697077: 	draw	image-5	{"x":81,"y":114}
1470139697085: 	draw	image-5	{"x":82,"y":112}
1470139697093: 	draw	image-5	{"x":83,"y":109}
1470139697102: 	draw	image-5	{"x":84,"y":106}
1470139697110: 	draw	image-5	{"x":83,"y":103}
1470139697117: 	draw	image-5	{"x":83,"y":100}
1470139697127: 	draw	image-5	{"x":82,"y":98}
1470139697135: 	draw	image-5	{"x":81,"y":95}
1470139697142: 	draw	image-5	{"x":80,"y":93}
1470139697153: 	draw	image-5	{"x":78,"y":90}
1470139697160: 	draw	image-5	{"x":76,"y":89}
1470139697168: 	draw	image-5	{"x":75,"y":88}
1470139697178: 	draw	image-5	{"x":73,"y":88}
1470139697185: 	draw	image-5	{"x":71,"y":88}
1470139697192: 	draw	image-5	{"x":69,"y":88}
1470139697201: 	draw	image-5	{"x":68,"y":90}
1470139697210: 	draw	image-5	{"x":65,"y":93}
1470139697218: 	draw	image-5	{"x":64,"y":96}
1470139697226: 	draw	image-5	{"x":62,"y":100}
1470139697235: 	draw	image-5	{"x":62,"y":103}
1470139697242: 	draw	image-5	{"x":62,"y":106}
1470139697253: 	draw	image-5	{"x":62,"y":108}
1470139697261: 	draw	image-5	{"x":62,"y":111}
1470139697268: 	draw	image-5	{"x":63,"y":113}
1470139697277: 	draw	image-5	{"x":64,"y":115}
1470139697285: 	draw	image-5	{"x":65,"y":116}
1470139697293: 	draw	image-5	{"x":67,"y":117}
1470139697301: 	draw	image-5	{"x":69,"y":118}
1470139697309: 	draw	image-5	{"x":73,"y":119}
1470139697318: 	draw	image-5	{"x":76,"y":118}
1470139697327: 	draw	image-5	{"x":83,"y":115}
1470139697623: 	acted on	innerText
1470139697735: 	sub-instrument	stop	draw	false
1470139697765: 	deactivate	draw
1470139715628: 	acted on	sample
1470139722404: 	acted on	sample
1470139722575: 	acted on	sample
1470139722754: 	acted on	sample
1470139724551: 	acted on	sample
1470139725010: 	acted on	sample
1470139726978: 	acted on	innerText
1470139727081: 	sub-instrument	start	draw	true
1470139727093: 	activate	draw
1470139728564: 	draw	image-5	{"x":68,"y":62}
1470139728777: 	draw	image-5	{"x":82,"y":52}
1470139728785: 	draw	image-5	{"x":84,"y":50}
1470139728794: 	draw	image-5	{"x":86,"y":48}
1470139728801: 	draw	image-5	{"x":87,"y":47}
1470139728812: 	draw	image-5	{"x":89,"y":45}
1470139728818: 	draw	image-5	{"x":90,"y":44}
1470139728826: 	draw	image-5	{"x":92,"y":42}
1470139728833: 	draw	image-5	{"x":94,"y":40}
1470139728843: 	draw	image-5	{"x":97,"y":38}
1470139728850: 	draw	image-5	{"x":98,"y":37}
1470139728859: 	draw	image-5	{"x":100,"y":35}
1470139728868: 	draw	image-5	{"x":101,"y":34}
1470139728876: 	draw	image-5	{"x":103,"y":33}
1470139728884: 	draw	image-5	{"x":104,"y":32}
1470139728893: 	draw	image-5	{"x":105,"y":30}
1470139728901: 	draw	image-5	{"x":106,"y":29}
1470139728910: 	draw	image-5	{"x":107,"y":28}
1470139728918: 	draw	image-5	{"x":108,"y":27}
1470139728926: 	draw	image-5	{"x":109,"y":26}
1470139728934: 	draw	image-5	{"x":110,"y":26}
1470139728943: 	draw	image-5	{"x":110,"y":25}
1470139728953: 	draw	image-5	{"x":111,"y":25}
1470139728960: 	draw	image-5	{"x":111,"y":24}
1470139728976: 	draw	image-5	{"x":112,"y":23}
1470139729009: 	draw	image-5	{"x":113,"y":23}
1470139729034: 	draw	image-5	{"x":113,"y":22}
1470139729091: 	draw	image-5	{"x":113,"y":23}
