1470141109931: 	acted on	menu
1470141110671: 	acted on	menu
1470141111530: 	acted on	innerText
1470141111956: 	sub-instrument	start	mover	true
1470141111957: 	activate	mover
1470141112665: 	start moving	mover	from	{"x":56,"y":208}
1470141112989: 	moved	mover	to	{"x":147,"y":281}
1470141113005: 	moved	mover	to	{"x":147,"y":284}
1470141113013: 	moved	mover	to	{"x":146,"y":286}
1470141113021: 	moved	mover	to	{"x":146,"y":288}
1470141113029: 	moved	mover	to	{"x":146,"y":290}
1470141113036: 	moved	mover	to	{"x":145,"y":292}
1470141113045: 	moved	mover	to	{"x":145,"y":294}
1470141113054: 	moved	mover	to	{"x":145,"y":297}
1470141113062: 	moved	mover	to	{"x":144,"y":299}
1470141113070: 	moved	mover	to	{"x":144,"y":301}
1470141113079: 	moved	mover	to	{"x":143,"y":304}
1470141113087: 	moved	mover	to	{"x":143,"y":305}
1470141113096: 	moved	mover	to	{"x":142,"y":307}
1470141113104: 	moved	mover	to	{"x":142,"y":309}
1470141113113: 	moved	mover	to	{"x":141,"y":311}
1470141113121: 	moved	mover	to	{"x":141,"y":314}
1470141113130: 	moved	mover	to	{"x":140,"y":316}
1470141113137: 	moved	mover	to	{"x":140,"y":318}
1470141113146: 	moved	mover	to	{"x":140,"y":321}
1470141113162: 	moved	mover	to	{"x":140,"y":324}
1470141113171: 	moved	mover	to	{"x":139,"y":326}
1470141113179: 	moved	mover	to	{"x":139,"y":327}
1470141113188: 	moved	mover	to	{"x":139,"y":329}
1470141113195: 	moved	mover	to	{"x":139,"y":331}
1470141113204: 	moved	mover	to	{"x":139,"y":332}
1470141113213: 	moved	mover	to	{"x":139,"y":333}
1470141113220: 	moved	mover	to	{"x":139,"y":334}
1470141113229: 	moved	mover	to	{"x":139,"y":336}
1470141113237: 	moved	mover	to	{"x":139,"y":337}
1470141113245: 	moved	mover	to	{"x":139,"y":338}
1470141113254: 	moved	mover	to	{"x":139,"y":340}
1470141113262: 	moved	mover	to	{"x":139,"y":341}
1470141113270: 	moved	mover	to	{"x":139,"y":344}
1470141113279: 	moved	mover	to	{"x":138,"y":346}
1470141113287: 	moved	mover	to	{"x":138,"y":348}
1470141113295: 	moved	mover	to	{"x":138,"y":351}
1470141113304: 	moved	mover	to	{"x":137,"y":356}
1470141113312: 	moved	mover	to	{"x":137,"y":359}
1470141113320: 	moved	mover	to	{"x":136,"y":364}
1470141113329: 	moved	mover	to	{"x":135,"y":370}
1470141113337: 	moved	mover	to	{"x":135,"y":374}
1470141113345: 	moved	mover	to	{"x":134,"y":380}
1470141113354: 	moved	mover	to	{"x":133,"y":385}
1470141113362: 	moved	mover	to	{"x":132,"y":392}
1470141113370: 	moved	mover	to	{"x":131,"y":399}
1470141113379: 	moved	mover	to	{"x":130,"y":408}
1470141113388: 	moved	mover	to	{"x":128,"y":417}
1470141113396: 	moved	mover	to	{"x":127,"y":425}
1470141113404: 	moved	mover	to	{"x":125,"y":435}
1470141113412: 	moved	mover	to	{"x":125,"y":445}
