1470150327193: 	acted on	innerText
1470150327258: 	sub-instrument	start	draw	true
1470150327259: 	activate	draw
1470150329250: 	acted on	innerText
1470150329316: 	sub-instrument	stop	draw	false
1470150329317: 	deactivate	draw
1470150331391: 	acted on	sample
1470150333766: 	acted on	sample
1470150341140: 	acted on	sample
1470150343841: 	acted on	innerText
1470150343898: 	sub-instrument	start	draw	true
1470150343900: 	activate	draw
1470150347376: 	draw	content	{"x":771.4840087890625,"y":173.1190185546875}
1470150347624: 	draw	content	{"x":787.2659912109375,"y":170.15997314453125}
1470150347631: 	draw	content	{"x":789.239013671875,"y":170.15997314453125}
1470150347640: 	draw	content	{"x":792.197998046875,"y":170.15997314453125}
1470150347648: 	draw	content	{"x":794.1700439453125,"y":169.17401123046875}
1470150347656: 	draw	content	{"x":796.1429443359375,"y":169.17401123046875}
1470150347665: 	draw	content	{"x":798.115966796875,"y":169.17401123046875}
1470150347673: 	draw	content	{"x":800.0880126953125,"y":169.17401123046875}
1470150347681: 	draw	content	{"x":801.074951171875,"y":169.17401123046875}
1470150347690: 	draw	content	{"x":803.0469970703125,"y":168.18798828125}
1470150347706: 	draw	content	{"x":804.0340576171875,"y":168.18798828125}
1470150347715: 	draw	content	{"x":805.02001953125,"y":168.18798828125}
1470150347723: 	draw	content	{"x":806.0059814453125,"y":168.18798828125}
1470150347740: 	draw	content	{"x":806.9930419921875,"y":168.18798828125}
1470150347756: 	draw	content	{"x":807.97900390625,"y":168.18798828125}
1470150347773: 	draw	content	{"x":808.9649658203125,"y":168.18798828125}
1470150347841: 	draw	content	{"x":809.9520263671875,"y":168.18798828125}
1470150347858: 	draw	content	{"x":809.9520263671875,"y":167.20098876953125}
1470150347957: 	draw	content	{"x":810.93798828125,"y":167.20098876953125}
1470150360102: 	draw	content	{"x":690.60400390625,"y":116.89801025390625}
1470150360365: 	draw	content	{"x":694.550048828125,"y":132.67901611328125}
1470150360565: 	draw	content	{"x":698.4949951171875,"y":158.2969970703125}
1470150360773: 	draw	content	{"x":702.43994140625,"y":191.83197021484375}
1470150360991: 	draw	content	{"x":703.427001953125,"y":224.38201904296875}
1470150361198: 	draw	content	{"x":706.385986328125,"y":250.0269775390625}
1470150361399: 	draw	content	{"x":708.3590087890625,"y":267.781005859375}
1470150361656: 	draw	content	{"x":708.3590087890625,"y":274.68499755859375}
1470150361865: 	draw	content	{"x":695.5360107421875,"y":273.822021484375}
1470150362066: 	draw	content	{"x":674.822998046875,"y":253.16302490234375}
1470150362283: 	draw	content	{"x":662.9869995117188,"y":234.4229736328125}
1470150362532: 	draw	content	{"x":658.0549926757812,"y":228.5050048828125}
1470150362739: 	draw	content	{"x":666.9320068359375,"y":229.3270263671875}
1470150362940: 	draw	content	{"x":683.699951171875,"y":250.0269775390625}
1470150363173: 	draw	content	{"x":691.5909423828125,"y":265.8079833984375}
1470150363389: 	draw	content	{"x":697.509033203125,"y":269.75299072265625}
1470150363607: 	draw	content	{"x":705.4000244140625,"y":272.71197509765625}
1470150363815: 	draw	content	{"x":722.1669921875,"y":270.79400634765625}
1470150363873: 	draw	content	{"x":729.072021484375,"y":270.8759765625}
1470150363915: 	draw	content	{"x":734.0030517578125,"y":269.9310302734375}
1470150363957: 	draw	content	{"x":737.948974609375,"y":265.98602294921875}
1470150363981: 	draw	content	{"x":739.9219970703125,"y":264.01300048828125}
1470150364072: 	draw	content	{"x":746.8260498046875,"y":255.135986328125}
1470150364274: 	draw	content	{"x":753.72998046875,"y":240.34100341796875}
1470150364282: 	draw	content	{"x":753.72998046875,"y":239.35400390625}
1470150364341: 	draw	content	{"x":754.717041015625,"y":237.38201904296875}
1470150364665: 	draw	content	{"x":756.68896484375,"y":235.40899658203125}
1470150368660: 	draw	content	{"x":114.58099365234375,"y":52.936004638671875}
1470150368975: 	draw	content	{"x":113.593994140625,"y":68.71701049804688}
1470150369181: 	draw	content	{"x":110.635009765625,"y":87.27999877929688}
1470150369387: 	draw	content	{"x":109.64898681640625,"y":122.78900146484375}
1470150369588: 	draw	content	{"x":111.62200927734375,"y":149.41998291015625}
1470150369805: 	draw	content	{"x":113.593994140625,"y":169.14697265625}
1470150370020: 	draw	content	{"x":112.60800170898438,"y":175.06500244140625}
1470150370220: 	draw	content	{"x":111.62200927734375,"y":180.98297119140625}
1470150370425: 	draw	content	{"x":96.82699584960938,"y":180.1190185546875}
1470150370634: 	draw	content	{"x":80.05899047851562,"y":166.364990234375}
1470150370834: 	draw	content	{"x":70.19500732421875,"y":146.63800048828125}
1470150371083: 	draw	content	{"x":66.25,"y":140.719970703125}
1470150371292: 	draw	content	{"x":69.20901489257812,"y":141.63800048828125}
1470150371500: 	draw	content	{"x":82.031005859375,"y":152.3790283203125}
1470150371717: 	draw	content	{"x":91.89498901367188,"y":171.1190185546875}
1470150371926: 	draw	content	{"x":99.7860107421875,"y":176.051025390625}
1470150372134: 	draw	content	{"x":110.635009765625,"y":179.010009765625}
1470150372343: 	draw	content	{"x":127.40301513671875,"y":177.09197998046875}
1470150372550: 	draw	content	{"x":147.1300048828125,"y":164.39202880859375}
1470150372650: 	draw	content	{"x":154.03399658203125,"y":149.59698486328125}
1470150372867: 	draw	content	{"x":161.92498779296875,"y":132.8289794921875}
1470150372900: 	draw	content	{"x":162.9110107421875,"y":131.843017578125}
1470150372992: 	draw	content	{"x":163.89801025390625,"y":130.85699462890625}
1470150373075: 	draw	content	{"x":164.88397216796875,"y":130.85699462890625}
1470150376084: 	acted on	innerText
1470150376134: 	sub-instrument	stop	draw	false
1470150376135: 	deactivate	draw
