1470147319925: 	acted on	menu
1470147320814: 	acted on	innerText
1470147320891: 	sub-instrument	start	mover	true
1470147320909: 	activate	mover
1470147324514: 	start moving	image-28	from	{"x":80,"y":59}
1470147324717: 	moved	image-28	to	{"x":175,"y":432}
1470147324724: 	moved	image-28	to	{"x":175,"y":433}
1470147324734: 	moved	image-28	to	{"x":175,"y":434}
1470147324741: 	moved	image-28	to	{"x":175,"y":435}
1470147324748: 	moved	image-28	to	{"x":175,"y":436}
1470147324767: 	moved	image-28	to	{"x":175,"y":438}
1470147324782: 	moved	image-28	to	{"x":174,"y":439}
1470147324791: 	moved	image-28	to	{"x":174,"y":440}
1470147324807: 	moved	image-28	to	{"x":174,"y":441}
1470147324823: 	moved	image-28	to	{"x":174,"y":442}
1470147324833: 	moved	image-28	to	{"x":174,"y":443}
1470147324841: 	moved	image-28	to	{"x":174,"y":444}
1470147324849: 	moved	image-28	to	{"x":174,"y":445}
1470147324857: 	moved	image-28	to	{"x":174,"y":446}
1470147324875: 	moved	image-28	to	{"x":174,"y":447}
1470147324882: 	moved	image-28	to	{"x":174,"y":448}
1470147324900: 	moved	image-28	to	{"x":174,"y":450}
1470147324917: 	moved	image-28	to	{"x":174,"y":451}
1470147324925: 	moved	image-28	to	{"x":174,"y":452}
1470147324932: 	moved	image-28	to	{"x":174,"y":453}
1470147324950: 	moved	image-28	to	{"x":173,"y":454}
1470147324958: 	moved	image-28	to	{"x":173,"y":455}
1470147324967: 	moved	image-28	to	{"x":173,"y":456}
1470147324983: 	moved	image-28	to	{"x":173,"y":457}
1470147324999: 	moved	image-28	to	{"x":173,"y":458}
1470147325006: 	moved	image-28	to	{"x":173,"y":459}
1470147325025: 	moved	image-28	to	{"x":173,"y":460}
1470147325041: 	moved	image-28	to	{"x":173,"y":461}
1470147325049: 	moved	image-28	to	{"x":172,"y":461}
1470147325057: 	moved	image-28	to	{"x":172,"y":462}
1470147325074: 	moved	image-28	to	{"x":172,"y":463}
1470147325082: 	moved	image-28	to	{"x":172,"y":464}
1470147325099: 	moved	image-28	to	{"x":172,"y":465}
1470147325107: 	moved	image-28	to	{"x":171,"y":466}
1470147325124: 	moved	image-28	to	{"x":171,"y":467}
1470147325132: 	moved	image-28	to	{"x":171,"y":468}
