1470147401480: 	acted on	sample
1470147402640: 	acted on	sample
1470147403262: 	acted on	sample
1470147403742: 	acted on	sample
1470147403923: 	acted on	sample
1470147408304: 	acted on	innerText
1470147408365: 	sub-instrument	start	shapes	true
1470147408380: 	activate	shapes
1470147409164: 	acted on	rectangle
1470147409213: 	sub-instrument	rectangle	shapes	true
1470147413342: 	shape started	{"x":537,"y":615}
1470147413345: 	shape continued	10	rectangle
1470147413530: 	shape continued	15	rectangle
1470147413537: 	shape continued	17	rectangle
1470147413547: 	shape continued	18	rectangle
1470147413554: 	shape continued	19	rectangle
1470147413563: 	shape continued	20	rectangle
1470147413572: 	shape continued	21	rectangle
1470147413579: 	shape continued	23	rectangle
1470147413587: 	shape continued	24	rectangle
1470147413597: 	shape continued	25	rectangle
1470147413605: 	shape continued	26	rectangle
1470147413612: 	shape continued	28	rectangle
1470147413621: 	shape continued	29	rectangle
1470147413630: 	shape continued	30	rectangle
1470147413637: 	shape continued	31	rectangle
1470147413647: 	shape continued	32	rectangle
1470147413654: 	shape continued	33	rectangle
1470147413662: 	shape continued	34	rectangle
1470147413671: 	shape continued	35	rectangle
1470147413679: 	shape continued	36	rectangle
1470147413687: 	shape continued	37	rectangle
1470147413705: 	shape continued	38	rectangle
1470147413722: 	shape continued	39	rectangle
1470147413729: 	shape continued	40	rectangle
1470147413738: 	shape continued	41	rectangle
1470147413754: 	shape continued	42	rectangle
1470147413763: 	shape continued	43	rectangle
1470147413789: 	shape continued	44	rectangle
1470147413796: 	shape continued	45	rectangle
1470147413813: 	shape continued	46	rectangle
1470147413830: 	shape continued	47	rectangle
1470147413848: 	shape continued	48	rectangle
1470147413854: 	shape continued	49	rectangle
1470147413872: 	shape continued	50	rectangle
1470147413879: 	shape continued	51	rectangle
1470147413887: 	shape continued	52	rectangle
1470147413905: 	shape continued	53	rectangle
1470147413922: 	shape continued	54	rectangle
1470147413938: 	shape continued	55	rectangle
1470147413964: 	shape continued	56	rectangle
1470147414005: 	shape continued	57	rectangle
1470147414064: 	shape continued	58	rectangle
1470147414131: 	shape continued	59	rectangle
1470147414189: 	shape continued	60	rectangle
1470147414255: 	shape continued	61	rectangle
1470147414280: 	shape continued	62	rectangle
1470147414289: 	shape continued	63	rectangle
1470147414296: 	shape continued	65	rectangle
1470147414304: 	shape continued	66	rectangle
1470147414313: 	shape continued	68	rectangle
1470147414321: 	shape continued	69	rectangle
1470147414330: 	shape continued	70	rectangle
1470147414338: 	shape continued	72	rectangle
1470147414346: 	shape continued	73	rectangle
1470147414354: 	shape continued	75	rectangle
1470147414363: 	shape continued	76	rectangle
1470147414371: 	shape continued	77	rectangle
1470147414379: 	shape continued	79	rectangle
1470147414388: 	shape continued	80	rectangle
1470147414396: 	shape continued	82	rectangle
1470147414404: 	shape continued	83	rectangle
1470147414413: 	shape continued	85	rectangle
1470147414421: 	shape continued	86	rectangle
1470147414430: 	shape continued	88	rectangle
1470147414438: 	shape continued	89	rectangle
1470147414447: 	shape continued	91	rectangle
1470147414454: 	shape continued	93	rectangle
1470147414463: 	shape continued	95	rectangle
1470147414471: 	shape continued	96	rectangle
1470147414480: 	shape continued	98	rectangle
1470147414488: 	shape continued	100	rectangle
1470147414496: 	shape continued	102	rectangle
1470147414504: 	shape continued	103	rectangle
1470147414513: 	shape continued	105	rectangle
1470147414521: 	shape continued	107	rectangle
1470147414529: 	shape continued	109	rectangle
1470147414539: 	shape continued	110	rectangle
1470147414546: 	shape continued	111	rectangle
1470147414554: 	shape continued	113	rectangle
1470147414564: 	shape continued	115	rectangle
1470147414571: 	shape continued	116	rectangle
1470147414579: 	shape continued	118	rectangle
1470147414589: 	shape continued	120	rectangle
1470147414596: 	shape continued	121	rectangle
1470147414605: 	shape continued	123	rectangle
1470147414613: 	shape continued	124	rectangle
1470147414621: 	shape continued	127	rectangle
1470147414629: 	shape continued	128	rectangle
1470147414638: 	shape continued	129	rectangle
1470147414646: 	shape continued	131	rectangle
1470147414655: 	shape continued	132	rectangle
1470147414663: 	shape continued	133	rectangle
1470147414671: 	shape continued	134	rectangle
1470147414680: 	shape continued	135	rectangle
1470147414697: 	shape continued	136	rectangle
1470147414714: 	shape continued	137	rectangle
1470147414729: 	shape continued	138	rectangle
1470147414780: 	shape continued	139	rectangle
1470147414913: 	shape continued	140	rectangle
1470147415097: 	shape continued	140	rectangle
1470147415171: 	shape continued	139	rectangle
1470147415276: 	shape continued	138	rectangle
1470147415302: 	shape continued	138	rectangle
1470147415309: 	shape continued	137	rectangle
1470147415325: 	shape continued	136	rectangle
1470147415333: 	shape continued	134	rectangle
1470147415343: 	shape continued	133	rectangle
1470147415352: 	shape continued	131	rectangle
1470147415364: 	shape continued	129	rectangle
1470147415374: 	shape continued	128	rectangle
1470147415381: 	shape continued	126	rectangle
1470147415389: 	shape continued	125	rectangle
1470147415394: 	shape continued	124	rectangle
1470147415399: 	shape continued	123	rectangle
1470147415404: 	shape continued	121	rectangle
1470147415413: 	shape continued	120	rectangle
1470147415420: 	shape continued	119	rectangle
1470147415429: 	shape continued	118	rectangle
1470147415438: 	shape continued	116	rectangle
1470147415445: 	shape continued	115	rectangle
1470147415454: 	shape continued	114	rectangle
1470147415463: 	shape continued	113	rectangle
1470147415470: 	shape continued	112	rectangle
1470147415479: 	shape continued	111	rectangle
1470147415487: 	shape continued	110	rectangle
1470147415495: 	shape continued	109	rectangle
1470147415505: 	shape continued	108	rectangle
1470147415513: 	shape continued	107	rectangle
1470147415520: 	shape continued	106	rectangle
1470147415529: 	shape continued	105	rectangle
1470147415537: 	shape continued	103	rectangle
1470147415545: 	shape continued	102	rectangle
1470147415554: 	shape continued	102	rectangle
1470147415563: 	shape continued	100	rectangle
1470147415571: 	shape continued	99	rectangle
1470147415579: 	shape continued	98	rectangle
1470147415588: 	shape continued	97	rectangle
1470147415595: 	shape continued	96	rectangle
1470147415604: 	shape continued	95	rectangle
1470147415612: 	shape continued	94	rectangle
1470147415620: 	shape continued	92	rectangle
1470147415629: 	shape continued	91	rectangle
1470147415638: 	shape continued	90	rectangle
1470147415654: 	shape continued	88	rectangle
1470147415662: 	shape continued	88	rectangle
1470147415672: 	shape continued	87	rectangle
1470147415678: 	shape continued	86	rectangle
1470147415687: 	shape continued	85	rectangle
1470147415696: 	shape continued	84	rectangle
1470147415703: 	shape continued	83	rectangle
1470147415713: 	shape continued	82	rectangle
1470147415720: 	shape continued	81	rectangle
1470147415739: 	shape continued	80	rectangle
1470147415753: 	shape continued	79	rectangle
1470147415779: 	shape continued	78	rectangle
1470147415838: 	shape continued	77	rectangle
1470147415935: 	shape continued	76	rectangle
1470147415976: 	shape continued	75	rectangle
1470147416010: 	shape continued	74	rectangle
1470147416052: 	shape continued	73	rectangle
1470147416077: 	shape continued	72	rectangle
1470147416091: 	shape continued	71	rectangle
1470147416109: 	shape continued	70	rectangle
1470147416135: 	shape continued	69	rectangle
1470147416169: 	shape continued	68	rectangle
1470147416218: 	shape continued	67	rectangle
1470147416259: 	shape continued	66	rectangle
1470147416317: 	shape continued	65	rectangle
1470147416510: 	shape continued	65	rectangle
1470147417610: 	shape continued	65	rectangle
1470147417635: 	shape continued	66	rectangle
1470147417685: 	shape continued	67	rectangle
1470147417699: 	shape continued	68	rectangle
1470147417715: 	shape continued	69	rectangle
1470147417723: 	shape continued	70	rectangle
1470147417731: 	shape continued	71	rectangle
1470147417739: 	shape continued	72	rectangle
1470147417746: 	shape continued	73	rectangle
1470147417754: 	shape continued	74	rectangle
1470147417764: 	shape continued	75	rectangle
1470147417771: 	shape continued	76	rectangle
1470147417780: 	shape continued	77	rectangle
1470147417797: 	shape continued	78	rectangle
1470147417814: 	shape continued	80	rectangle
1470147417830: 	shape continued	81	rectangle
1470147417838: 	shape continued	82	rectangle
1470147417846: 	shape continued	83	rectangle
1470147417854: 	shape continued	84	rectangle
1470147417871: 	shape continued	85	rectangle
1470147417879: 	shape continued	86	rectangle
1470147417896: 	shape continued	87	rectangle
1470147417904: 	shape continued	88	rectangle
1470147417914: 	shape continued	89	rectangle
1470147417921: 	shape continued	90	rectangle
1470147417929: 	shape continued	91	rectangle
1470147417947: 	shape continued	92	rectangle
1470147417955: 	shape continued	93	rectangle
1470147417973: 	shape continued	94	rectangle
1470147417979: 	shape continued	95	rectangle
1470147417997: 	shape continued	96	rectangle
1470147418014: 	shape continued	97	rectangle
1470147418030: 	shape continued	98	rectangle
1470147418047: 	shape continued	99	rectangle
1470147418072: 	shape continued	100	rectangle
1470147418104: 	shape continued	101	rectangle
1470147418146: 	shape continued	102	rectangle
1470147418154: 	shape continued	102	rectangle
1470147418197: 	shape continued	103	rectangle
1470147418246: 	shape continued	104	rectangle
1470147418281: 	shape continued	105	rectangle
1470147418326: 	shape continued	106	rectangle
1470147418369: 	shape continued	107	rectangle
1470147418418: 	shape continued	108	rectangle
1470147418469: 	shape continued	109	rectangle
1470147418494: 	shape continued	109	rectangle
1470147418561: 	shape continued	110	rectangle
1470147418782: 	shape continued	109	rectangle
1470147419356: 	shape continued	109	rectangle
1470147419414: 	shape continued	108	rectangle
1470147420039: 	shape continued	108	rectangle
1470147420114: 	shape continued	107	rectangle
1470147420339: 	shape continued	107	rectangle
1470147420664: 	shape continued	107	rectangle
1470147420755: 	shape continued	106	rectangle
1470147420822: 	shape continued	106	rectangle
1470147420939: 	shape continued	105	rectangle
1470147421131: 	shape continued	104	rectangle
1470147421537: 	shape continued	104	rectangle
1470147425687: 	acted on	innerText
1470147425760: 	sub-instrument	stop	shapes	false
1470147425773: 	deactivate	shapes
1470147801501: 	acted on	innerText
1470147801553: 	sub-instrument	start	shapes	true
1470147801566: 	activate	shapes
1470147803001: 	acted on	circle
1470147803052: 	sub-instrument	circle	shapes	true
1470147804735: 	acted on	innerText
1470147804780: 	sub-instrument	stop	shapes	false
1470147804792: 	deactivate	shapes
1470147812822: 	acted on	sample
1470147815207: 	acted on	innerText
1470147815283: 	sub-instrument	start	shapes	true
1470147815298: 	activate	shapes
1470147815914: 	acted on	circle
1470147815944: 	sub-instrument	circle	shapes	true
1470147818677: 	shape started	{"x":1002,"y":54}
1470147818681: 	shape continued	10	circle
1470147818741: 	shape continued	10	circle
