1470147069724: 	acted on	sample
1470147074485: 	acted on	innerText
1470147074544: 	sub-instrument	start	shapes	true
1470147074562: 	activate	shapes
1470147075222: 	acted on	circle
1470147075294: 	sub-instrument	circle	shapes	true
1470147078422: 	shape started	{"x":1083,"y":150}
1470147078426: 	shape continued	10	circle
1470147078527: 	shape continued	16	circle
1470147078534: 	shape continued	19	circle
1470147078543: 	shape continued	22	circle
1470147078551: 	shape continued	26	circle
1470147078560: 	shape continued	29	circle
1470147078568: 	shape continued	33	circle
1470147078575: 	shape continued	37	circle
1470147078584: 	shape continued	40	circle
1470147078593: 	shape continued	44	circle
1470147078602: 	shape continued	48	circle
1470147078608: 	shape continued	52	circle
1470147078618: 	shape continued	57	circle
1470147078625: 	shape continued	61	circle
1470147078633: 	shape continued	66	circle
1470147078642: 	shape continued	71	circle
1470147078650: 	shape continued	76	circle
1470147078659: 	shape continued	82	circle
1470147078668: 	shape continued	86	circle
1470147078676: 	shape continued	90	circle
1470147078684: 	shape continued	95	circle
1470147078694: 	shape continued	100	circle
1470147078700: 	shape continued	104	circle
1470147078709: 	shape continued	109	circle
1470147078717: 	shape continued	114	circle
1470147078726: 	shape continued	118	circle
1470147078734: 	shape continued	123	circle
1470147078743: 	shape continued	128	circle
1470147078750: 	shape continued	133	circle
1470147078759: 	shape continued	138	circle
1470147078768: 	shape continued	142	circle
1470147078775: 	shape continued	147	circle
1470147078783: 	shape continued	151	circle
1470147078793: 	shape continued	155	circle
1470147078800: 	shape continued	160	circle
1470147078809: 	shape continued	164	circle
1470147078818: 	shape continued	168	circle
1470147078825: 	shape continued	172	circle
1470147078833: 	shape continued	176	circle
1470147078843: 	shape continued	180	circle
1470147078850: 	shape continued	184	circle
1470147078858: 	shape continued	188	circle
1470147078869: 	shape continued	191	circle
1470147078876: 	shape continued	195	circle
1470147078883: 	shape continued	199	circle
1470147078894: 	shape continued	203	circle
1470147078900: 	shape continued	207	circle
1470147078908: 	shape continued	211	circle
1470147078918: 	shape continued	214	circle
1470147078925: 	shape continued	218	circle
1470147078933: 	shape continued	221	circle
1470147078942: 	shape continued	226	circle
1470147078950: 	shape continued	228	circle
1470147078958: 	shape continued	232	circle
1470147078969: 	shape continued	234	circle
1470147078975: 	shape continued	238	circle
1470147078983: 	shape continued	241	circle
1470147078993: 	shape continued	244	circle
1470147079000: 	shape continued	246	circle
1470147079009: 	shape continued	249	circle
1470147079017: 	shape continued	252	circle
1470147079027: 	shape continued	255	circle
1470147079033: 	shape continued	257	circle
1470147079043: 	shape continued	260	circle
1470147079050: 	shape continued	262	circle
1470147079059: 	shape continued	264	circle
1470147079069: 	shape continued	267	circle
1470147079075: 	shape continued	269	circle
1470147079083: 	shape continued	271	circle
1470147079092: 	shape continued	274	circle
1470147079101: 	shape continued	276	circle
1470147079108: 	shape continued	278	circle
1470147079117: 	shape continued	280	circle
1470147079125: 	shape continued	282	circle
1470147079134: 	shape continued	284	circle
1470147079145: 	shape continued	286	circle
1470147079150: 	shape continued	288	circle
1470147079159: 	shape continued	291	circle
1470147079169: 	shape continued	292	circle
1470147079175: 	shape continued	294	circle
1470147079183: 	shape continued	296	circle
1470147079193: 	shape continued	298	circle
1470147079200: 	shape continued	300	circle
1470147079208: 	shape continued	302	circle
1470147079218: 	shape continued	304	circle
1470147079225: 	shape continued	305	circle
1470147079234: 	shape continued	307	circle
1470147079242: 	shape continued	309	circle
1470147079251: 	shape continued	310	circle
1470147079258: 	shape continued	312	circle
1470147079268: 	shape continued	313	circle
1470147079275: 	shape continued	315	circle
1470147079283: 	shape continued	317	circle
1470147079293: 	shape continued	318	circle
1470147079301: 	shape continued	319	circle
1470147079309: 	shape continued	320	circle
1470147079318: 	shape continued	321	circle
1470147079325: 	shape continued	322	circle
1470147079333: 	shape continued	323	circle
1470147079342: 	shape continued	324	circle
1470147079350: 	shape continued	325	circle
1470147079358: 	shape continued	326	circle
1470147079368: 	shape continued	327	circle
1470147079376: 	shape continued	329	circle
1470147079383: 	shape continued	330	circle
1470147079394: 	shape continued	332	circle
1470147079410: 	shape continued	334	circle
1470147079419: 	shape continued	335	circle
1470147079427: 	shape continued	336	circle
1470147079434: 	shape continued	336	circle
1470147079443: 	shape continued	337	circle
1470147079451: 	shape continued	338	circle
1470147079469: 	shape continued	339	circle
1470147079476: 	shape continued	340	circle
1470147079485: 	shape continued	340	circle
1470147079493: 	shape continued	341	circle
1470147078800: 	acted on	innerText
1470147078869: 	sub-instrument	stop	shapes	false
1470147078873: 	deactivate	shapes
1470147152630: 	acted on	shapes
1470147153700: 	acted on	innerText
1470147153750: 	sub-instrument	start	shapes	true
1470147153764: 	activate	shapes
1470147154453: 	acted on	rectangle
1470147154507: 	sub-instrument	rectangle	shapes	true
1470147157536: 	shape started	{"x":130,"y":186}
1470147157538: 	shape continued	10	rectangle
1470147157567: 	shape continued	14	rectangle
1470147157575: 	shape continued	18	rectangle
1470147157582: 	shape continued	23	rectangle
1470147157591: 	shape continued	28	rectangle
1470147157599: 	shape continued	33	rectangle
1470147157609: 	shape continued	39	rectangle
1470147157617: 	shape continued	45	rectangle
1470147157624: 	shape continued	50	rectangle
1470147157633: 	shape continued	57	rectangle
1470147157641: 	shape continued	64	rectangle
1470147157649: 	shape continued	71	rectangle
1470147157660: 	shape continued	78	rectangle
1470147157666: 	shape continued	85	rectangle
1470147157674: 	shape continued	92	rectangle
1470147157683: 	shape continued	98	rectangle
1470147157691: 	shape continued	105	rectangle
1470147157699: 	shape continued	110	rectangle
1470147157709: 	shape continued	116	rectangle
1470147157716: 	shape continued	122	rectangle
1470147157725: 	shape continued	127	rectangle
1470147157734: 	shape continued	133	rectangle
1470147157741: 	shape continued	138	rectangle
1470147157749: 	shape continued	142	rectangle
1470147157759: 	shape continued	148	rectangle
1470147157766: 	shape continued	152	rectangle
1470147157774: 	shape continued	156	rectangle
1470147157783: 	shape continued	160	rectangle
1470147157791: 	shape continued	164	rectangle
1470147157799: 	shape continued	168	rectangle
1470147157807: 	shape continued	172	rectangle
1470147157816: 	shape continued	175	rectangle
1470147157825: 	shape continued	178	rectangle
1470147157833: 	shape continued	180	rectangle
1470147157841: 	shape continued	183	rectangle
1470147157849: 	shape continued	184	rectangle
1470147157859: 	shape continued	187	rectangle
1470147157866: 	shape continued	189	rectangle
1470147157874: 	shape continued	192	rectangle
1470147157882: 	shape continued	194	rectangle
1470147157892: 	shape continued	196	rectangle
1470147157900: 	shape continued	197	rectangle
1470147157908: 	shape continued	199	rectangle
1470147157916: 	shape continued	200	rectangle
1470147157924: 	shape continued	201	rectangle
1470147157933: 	shape continued	202	rectangle
1470147157941: 	shape continued	204	rectangle
1470147157950: 	shape continued	205	rectangle
1470147157958: 	shape continued	206	rectangle
1470147157967: 	shape continued	207	rectangle
1470147157974: 	shape continued	208	rectangle
1470147157991: 	shape continued	210	rectangle
1470147158008: 	shape continued	212	rectangle
1470147158024: 	shape continued	213	rectangle
1470147158042: 	shape continued	214	rectangle
1470147158058: 	shape continued	215	rectangle
1470147158100: 	shape continued	216	rectangle
1470147158141: 	shape continued	216	rectangle
1470147158233: 	shape continued	217	rectangle
1470147158274: 	shape continued	217	rectangle
1470147162927: 	shape started	{"x":378,"y":175}
1470147162928: 	shape continued	10	rectangle
1470147162992: 	shape continued	10	rectangle
1470147163000: 	shape continued	11	rectangle
1470147163008: 	shape continued	14	rectangle
1470147163016: 	shape continued	16	rectangle
1470147163026: 	shape continued	18	rectangle
1470147163033: 	shape continued	20	rectangle
1470147163041: 	shape continued	22	rectangle
1470147163051: 	shape continued	25	rectangle
1470147163059: 	shape continued	28	rectangle
1470147163066: 	shape continued	30	rectangle
1470147163075: 	shape continued	33	rectangle
1470147163084: 	shape continued	36	rectangle
1470147163091: 	shape continued	38	rectangle
1470147163100: 	shape continued	40	rectangle
1470147163108: 	shape continued	42	rectangle
1470147163118: 	shape continued	45	rectangle
1470147163125: 	shape continued	48	rectangle
1470147163133: 	shape continued	50	rectangle
1470147163142: 	shape continued	52	rectangle
1470147163150: 	shape continued	54	rectangle
1470147163158: 	shape continued	56	rectangle
1470147163167: 	shape continued	58	rectangle
1470147163175: 	shape continued	59	rectangle
1470147163183: 	shape continued	61	rectangle
1470147163191: 	shape continued	62	rectangle
1470147163200: 	shape continued	63	rectangle
1470147163208: 	shape continued	64	rectangle
1470147163216: 	shape continued	65	rectangle
1470147163225: 	shape continued	66	rectangle
1470147163233: 	shape continued	67	rectangle
1470147163241: 	shape continued	68	rectangle
1470147163258: 	shape continued	69	rectangle
1470147163275: 	shape continued	70	rectangle
1470147163283: 	shape continued	70	rectangle
1470147163301: 	shape continued	71	rectangle
1470147163351: 	shape continued	72	rectangle
1470147163384: 	shape continued	72	rectangle
1470147163434: 	shape continued	72	rectangle
1470147163467: 	shape continued	71	rectangle
1470147163484: 	shape continued	71	rectangle
1470147163492: 	shape continued	69	rectangle
1470147163500: 	shape continued	67	rectangle
1470147163508: 	shape continued	65	rectangle
1470147163516: 	shape continued	63	rectangle
1470147163525: 	shape continued	61	rectangle
1470147163533: 	shape continued	60	rectangle
1470147163541: 	shape continued	58	rectangle
1470147163551: 	shape continued	55	rectangle
1470147163558: 	shape continued	53	rectangle
1470147163566: 	shape continued	51	rectangle
1470147163575: 	shape continued	49	rectangle
1470147163583: 	shape continued	47	rectangle
1470147163591: 	shape continued	44	rectangle
1470147163600: 	shape continued	41	rectangle
1470147163608: 	shape continued	40	rectangle
1470147163616: 	shape continued	37	rectangle
1470147163625: 	shape continued	35	rectangle
1470147163633: 	shape continued	33	rectangle
1470147163641: 	shape continued	31	rectangle
1470147163651: 	shape continued	29	rectangle
1470147163658: 	shape continued	27	rectangle
1470147163666: 	shape continued	26	rectangle
1470147163675: 	shape continued	25	rectangle
1470147163684: 	shape continued	23	rectangle
1470147163691: 	shape continued	22	rectangle
1470147163700: 	shape continued	21	rectangle
1470147163708: 	shape continued	19	rectangle
1470147163717: 	shape continued	19	rectangle
1470147163725: 	shape continued	17	rectangle
1470147163733: 	shape continued	16	rectangle
1470147163741: 	shape continued	16	rectangle
1470147163751: 	shape continued	15	rectangle
1470147163758: 	shape continued	14	rectangle
1470147163767: 	shape continued	13	rectangle
1470147163775: 	shape continued	13	rectangle
1470147163783: 	shape continued	13	rectangle
1470147163791: 	shape continued	12	rectangle
1470147163801: 	shape continued	11	rectangle
1470147163808: 	shape continued	11	rectangle
1470147163816: 	shape continued	10	rectangle
1470147163825: 	shape continued	10	rectangle
1470147163854: 	shape continued	10	rectangle
1470147163889: 	shape continued	10	rectangle
1470147164361: 	acted on	innerText
1470147164399: 	sub-instrument	stop	shapes	false
1470147164405: 	deactivate	shapes
