1470155507407: 	acted on	sample
1470155508739: 	acted on	sample
1470155575088: 	acted on	innerText
1470155575154: 	sub-instrument	start	draw	true
1470155575155: 	activate	draw
1470155576963: 	acted on	sample
1470155578937: 	acted on	sample
1470155581195: 	acted on	sample
1470155582930: 	acted on	sample
1470155583330: 	acted on	innerText
1470155583405: 	sub-instrument	stop	draw	false
1470155583406: 	deactivate	draw
1470155583887: 	acted on	sample
1470155587187: 	acted on	sample
1470155588512: 	acted on	
1470155589446: 	acted on	innerText
1470155589520: 	sub-instrument	start	draw	true
1470155589521: 	activate	draw
1470155590428: 	acted on	sample
1470155594597: 	acted on	innerText
1470155594671: 	sub-instrument	stop	draw	false
1470155594672: 	deactivate	draw
1470155597613: 	acted on	sample
1470155597947: 	acted on	sample
1470155599930: 	acted on	innerText
1470155600021: 	sub-instrument	start	draw	true
1470155600022: 	activate	draw
1470155603391: 	draw	image-17	{"x":21,"y":158}
1470155603664: 	draw	image-17	{"x":27,"y":144}
1470155603670: 	draw	image-17	{"x":27,"y":143}
1470155603687: 	draw	image-17	{"x":28,"y":142}
1470155603705: 	draw	image-17	{"x":28,"y":141}
1470155603712: 	draw	image-17	{"x":28,"y":140}
1470155603720: 	draw	image-17	{"x":29,"y":140}
1470155603729: 	draw	image-17	{"x":29,"y":139}
1470155603745: 	draw	image-17	{"x":30,"y":138}
1470155603762: 	draw	image-17	{"x":30,"y":137}
1470155603780: 	draw	image-17	{"x":30,"y":136}
1470155603787: 	draw	image-17	{"x":31,"y":136}
1470155603831: 	draw	image-17	{"x":31,"y":135}
1470155603856: 	draw	image-17	{"x":32,"y":134}
1470155603889: 	draw	image-17	{"x":32,"y":133}
1470155603906: 	draw	image-17	{"x":33,"y":133}
1470155603912: 	draw	image-17	{"x":33,"y":132}
1470155603939: 	draw	image-17	{"x":33,"y":131}
1470155603956: 	draw	image-17	{"x":34,"y":130}
1470155603976: 	draw	image-17	{"x":35,"y":128}
1470155603993: 	draw	image-17	{"x":35,"y":127}
1470155604011: 	draw	image-17	{"x":36,"y":126}
1470155604024: 	draw	image-17	{"x":37,"y":125}
1470155604056: 	draw	image-17	{"x":39,"y":123}
1470155604073: 	draw	image-17	{"x":39,"y":122}
1470155604089: 	draw	image-17	{"x":40,"y":121}
1470155604114: 	draw	image-17	{"x":41,"y":120}
1470155604139: 	draw	image-17	{"x":43,"y":119}
1470155604148: 	draw	image-17	{"x":43,"y":118}
1470155604164: 	draw	image-17	{"x":44,"y":117}
1470155604180: 	draw	image-17	{"x":45,"y":116}
1470155604195: 	draw	image-17	{"x":46,"y":115}
1470155604212: 	draw	image-17	{"x":46,"y":114}
1470155604220: 	draw	image-17	{"x":47,"y":114}
1470155604230: 	draw	image-17	{"x":47,"y":113}
1470155604238: 	draw	image-17	{"x":48,"y":112}
1470155604255: 	draw	image-17	{"x":49,"y":111}
1470155604262: 	draw	image-17	{"x":49,"y":110}
1470155604280: 	draw	image-17	{"x":50,"y":109}
1470155604288: 	draw	image-17	{"x":50,"y":108}
1470155604296: 	draw	image-17	{"x":51,"y":107}
1470155604312: 	draw	image-17	{"x":52,"y":106}
1470155604321: 	draw	image-17	{"x":52,"y":105}
1470155604329: 	draw	image-17	{"x":53,"y":104}
1470155604337: 	draw	image-17	{"x":54,"y":103}
1470155604345: 	draw	image-17	{"x":54,"y":102}
1470155604354: 	draw	image-17	{"x":55,"y":101}
1470155604362: 	draw	image-17	{"x":56,"y":100}
1470155604380: 	draw	image-17	{"x":57,"y":99}
1470155604387: 	draw	image-17	{"x":57,"y":98}
1470155604396: 	draw	image-17	{"x":58,"y":96}
1470155604405: 	draw	image-17	{"x":59,"y":96}
1470155604412: 	draw	image-17	{"x":59,"y":95}
1470155604420: 	draw	image-17	{"x":59,"y":94}
1470155604436: 	draw	image-17	{"x":60,"y":93}
1470155604445: 	draw	image-17	{"x":61,"y":91}
1470155604454: 	draw	image-17	{"x":62,"y":90}
1470155604463: 	draw	image-17	{"x":62,"y":89}
1470155604480: 	draw	image-17	{"x":64,"y":87}
1470155604487: 	draw	image-17	{"x":65,"y":85}
1470155604495: 	draw	image-17	{"x":65,"y":84}
1470155604505: 	draw	image-17	{"x":66,"y":83}
1470155604512: 	draw	image-17	{"x":67,"y":82}
1470155604521: 	draw	image-17	{"x":68,"y":81}
1470155604530: 	draw	image-17	{"x":68,"y":80}
1470155604538: 	draw	image-17	{"x":69,"y":79}
1470155604546: 	draw	image-17	{"x":70,"y":78}
1470155604554: 	draw	image-17	{"x":70,"y":77}
1470155604562: 	draw	image-17	{"x":71,"y":76}
1470155604570: 	draw	image-17	{"x":72,"y":75}
1470155604579: 	draw	image-17	{"x":72,"y":74}
1470155604588: 	draw	image-17	{"x":73,"y":73}
1470155604596: 	draw	image-17	{"x":74,"y":72}
1470155604605: 	draw	image-17	{"x":75,"y":71}
1470155604613: 	draw	image-17	{"x":76,"y":70}
1470155604621: 	draw	image-17	{"x":77,"y":69}
1470155604629: 	draw	image-17	{"x":78,"y":68}
1470155604649: 	draw	image-17	{"x":81,"y":66}
1470155604665: 	draw	image-17	{"x":82,"y":64}
1470155604679: 	draw	image-17	{"x":84,"y":63}
1470155604696: 	draw	image-17	{"x":85,"y":63}
1470155604706: 	draw	image-17	{"x":86,"y":62}
1470155604721: 	draw	image-17	{"x":87,"y":62}
1470155604738: 	draw	image-17	{"x":88,"y":61}
1470155604755: 	draw	image-17	{"x":89,"y":61}
1470155604772: 	draw	image-17	{"x":91,"y":61}
1470155604779: 	draw	image-17	{"x":91,"y":60}
1470155604798: 	draw	image-17	{"x":94,"y":60}
1470155604807: 	draw	image-17	{"x":95,"y":59}
1470155604826: 	draw	image-17	{"x":97,"y":58}
1470155604844: 	draw	image-17	{"x":100,"y":57}
1470155604855: 	draw	image-17	{"x":101,"y":56}
1470155604872: 	draw	image-17	{"x":104,"y":56}
1470155604880: 	draw	image-17	{"x":105,"y":55}
1470155604889: 	draw	image-17	{"x":106,"y":55}
1470155604899: 	draw	image-17	{"x":107,"y":54}
1470155604917: 	draw	image-17	{"x":109,"y":54}
1470155604944: 	draw	image-17	{"x":110,"y":54}
1470155604952: 	draw	image-17	{"x":112,"y":53}
1470155604963: 	draw	image-17	{"x":114,"y":53}
1470155604979: 	draw	image-17	{"x":115,"y":53}
1470155604988: 	draw	image-17	{"x":116,"y":53}
1470155604995: 	draw	image-17	{"x":117,"y":53}
1470155605011: 	draw	image-17	{"x":117,"y":54}
1470155605020: 	draw	image-17	{"x":120,"y":54}
1470155605029: 	draw	image-17	{"x":121,"y":55}
1470155605045: 	draw	image-17	{"x":123,"y":56}
1470155605054: 	draw	image-17	{"x":124,"y":56}
1470155605062: 	draw	image-17	{"x":126,"y":57}
1470155605070: 	draw	image-17	{"x":127,"y":58}
1470155605080: 	draw	image-17	{"x":128,"y":59}
1470155605088: 	draw	image-17	{"x":130,"y":60}
1470155605096: 	draw	image-17	{"x":132,"y":61}
1470155605105: 	draw	image-17	{"x":133,"y":62}
1470155605113: 	draw	image-17	{"x":134,"y":62}
1470155605121: 	draw	image-17	{"x":135,"y":63}
