1470156560305: 	acted on	innerText
1470156560449: 	sub-instrument	start	draw	true
1470156560475: 	activate	draw
1470156561028: 	acted on	sample
1470156561329: 	draw	sample	{"x":183.8300018310547,"y":295.8039855957031}
1470156567434: 	draw	content	{"x":160,"y":235}
1470156567498: 	draw	content	{"x":167,"y":249}
1470156567505: 	draw	content	{"x":170,"y":253}
1470156567513: 	draw	content	{"x":172,"y":257}
1470156567966: 	draw	content	{"x":193,"y":289}
1470156568039: 	draw	content	{"x":204,"y":302}
1470156568046: 	draw	content	{"x":207,"y":305}
1470156568055: 	draw	content	{"x":209,"y":308}
1470156568063: 	draw	content	{"x":212,"y":311}
1470156568492: 	draw	content	{"x":235,"y":342}
1470156568591: 	draw	content	{"x":246,"y":353}
1470156568597: 	draw	content	{"x":249,"y":355}
1470156568605: 	draw	content	{"x":250,"y":357}
1470156568613: 	draw	content	{"x":253,"y":359}
1470156568943: 	draw	content	{"x":282,"y":392}
1470156569048: 	draw	content	{"x":297,"y":402}
1470156569055: 	draw	content	{"x":300,"y":403}
1470156569064: 	draw	content	{"x":302,"y":405}
1470156569071: 	draw	content	{"x":304,"y":405}
1470156569080: 	draw	content	{"x":307,"y":406}
1470156569088: 	draw	content	{"x":309,"y":407}
1470156569097: 	draw	content	{"x":311,"y":408}
1470156569500: 	draw	content	{"x":346,"y":430}
1470156569605: 	draw	content	{"x":361,"y":432}
1470156569614: 	draw	content	{"x":364,"y":432}
1470156569621: 	draw	content	{"x":367,"y":432}
1470156569630: 	draw	content	{"x":369,"y":433}
1470156569638: 	draw	content	{"x":372,"y":433}
1470156569646: 	draw	content	{"x":374,"y":433}
1470156569654: 	draw	content	{"x":377,"y":433}
1470156569663: 	draw	content	{"x":379,"y":433}
1470156569982: 	draw	content	{"x":414,"y":443}
1470156570106: 	draw	content	{"x":431,"y":447}
1470156570113: 	draw	content	{"x":433,"y":447}
1470156570120: 	draw	content	{"x":436,"y":448}
1470156570130: 	draw	content	{"x":438,"y":448}
1470156570140: 	draw	content	{"x":441,"y":448}
1470156570508: 	draw	content	{"x":499,"y":453}
1470156570607: 	draw	content	{"x":515,"y":453}
1470156570614: 	draw	content	{"x":518,"y":453}
1470156570623: 	draw	content	{"x":521,"y":452}
1470156570632: 	draw	content	{"x":522,"y":452}
1470156570639: 	draw	content	{"x":525,"y":452}
