1470152078892: 	acted on	innerText
1470152079064: 	sub-instrument	start	draw	true
1470152079093: 	activate	draw
1470152079559: 	acted on	innerText
1470152079632: 	sub-instrument	stop	draw	false
1470152079635: 	deactivate	draw
1470156193503: 	acted on	draw
1470156193633: 	acted on	
1470156218016: 	acted on	draw
1470156389256: 	acted on	innerText
1470156389335: 	sub-instrument	start	draw	true
1470156389357: 	activate	draw
1470156390364: 	draw	image-5	{"x":38,"y":76}
1470156390458: 	draw	image-5	{"x":28,"y":89}
1470156390466: 	draw	image-5	{"x":28,"y":91}
1470156390475: 	draw	image-5	{"x":29,"y":93}
1470156390482: 	draw	image-5	{"x":29,"y":95}
1470156390490: 	draw	image-5	{"x":30,"y":96}
1470156390500: 	draw	image-5	{"x":31,"y":97}
1470156390508: 	draw	image-5	{"x":32,"y":98}
1470156390515: 	draw	image-5	{"x":33,"y":98}
1470156390525: 	draw	image-5	{"x":34,"y":99}
1470156390535: 	draw	image-5	{"x":35,"y":99}
1470156390541: 	draw	image-5	{"x":39,"y":98}
1470156390549: 	draw	image-5	{"x":42,"y":96}
1470156390558: 	draw	image-5	{"x":45,"y":94}
1470156390566: 	draw	image-5	{"x":46,"y":92}
1470156390574: 	draw	image-5	{"x":48,"y":89}
1470156390582: 	draw	image-5	{"x":49,"y":86}
1470156390591: 	draw	image-5	{"x":51,"y":83}
1470156390599: 	draw	image-5	{"x":51,"y":80}
1470156390609: 	draw	image-5	{"x":52,"y":79}
1470156390616: 	draw	image-5	{"x":52,"y":77}
1470156390625: 	draw	image-5	{"x":52,"y":76}
1470156390633: 	draw	image-5	{"x":51,"y":74}
1470156390642: 	draw	image-5	{"x":50,"y":73}
1470156390651: 	draw	image-5	{"x":50,"y":72}
1470156390658: 	draw	image-5	{"x":49,"y":70}
1470156390666: 	draw	image-5	{"x":48,"y":70}
1470156390675: 	draw	image-5	{"x":47,"y":69}
1470156390682: 	draw	image-5	{"x":46,"y":69}
1470156390691: 	draw	image-5	{"x":44,"y":69}
1470156390699: 	draw	image-5	{"x":42,"y":69}
1470156390708: 	draw	image-5	{"x":39,"y":69}
1470156390716: 	draw	image-5	{"x":37,"y":70}
1470156390728: 	draw	image-5	{"x":35,"y":72}
1470156390741: 	draw	image-5	{"x":32,"y":74}
1470156390749: 	draw	image-5	{"x":31,"y":75}
1470156390757: 	draw	image-5	{"x":31,"y":76}
1470156390765: 	draw	image-5	{"x":30,"y":77}
1470156390774: 	draw	image-5	{"x":30,"y":78}
1470156390782: 	draw	image-5	{"x":29,"y":79}
1470156390790: 	draw	image-5	{"x":29,"y":81}
1470156390799: 	draw	image-5	{"x":30,"y":82}
1470156390807: 	draw	image-5	{"x":30,"y":84}
1470156390815: 	draw	image-5	{"x":31,"y":85}
1470156390824: 	draw	image-5	{"x":32,"y":86}
1470156390832: 	draw	image-5	{"x":33,"y":87}
1470156390840: 	draw	image-5	{"x":35,"y":88}
1470156390849: 	draw	image-5	{"x":37,"y":88}
1470156390857: 	draw	image-5	{"x":39,"y":88}
1470156390865: 	draw	image-5	{"x":41,"y":89}
1470156390874: 	draw	image-5	{"x":42,"y":89}
1470156390882: 	draw	image-5	{"x":43,"y":88}
1470156390890: 	draw	image-5	{"x":44,"y":88}
1470156390899: 	draw	image-5	{"x":45,"y":88}
1470156390907: 	draw	image-5	{"x":46,"y":87}
1470156390915: 	draw	image-5	{"x":47,"y":86}
1470156390925: 	draw	image-5	{"x":48,"y":84}
1470156390932: 	draw	image-5	{"x":49,"y":81}
1470156390941: 	draw	image-5	{"x":49,"y":79}
1470156390949: 	draw	image-5	{"x":49,"y":76}
1470156390958: 	draw	image-5	{"x":48,"y":74}
1470156390965: 	draw	image-5	{"x":47,"y":71}
1470156390974: 	draw	image-5	{"x":46,"y":70}
